,書名,作者,出版日期,內容介紹,網址
1,來自美墨邊界的急件：一個前邊境巡邏員的沉痛告白,方濟各．坎圖,2020-10-31,"
「有那麼一下子，我忘了自己到底站在哪一個國家。 周遭大地連成一體，一同顫抖，一同呼吸。」 一八四八年，美國與墨西哥最初的界線被劃定出來。 在這一片古老恆久、一望無際的地景之中， 美墨的差距就此延...more
",https://www.books.com.tw/products/0010874046?loc=P_0003_001
2,不流血抗爭：公民不服從的先驅，印度人權鬥士甘地,"王志豔,艾仲廷",2020-10-23,"
非暴力不合作，公民不服從，向一切不合理的制度宣戰! 愛因斯坦曾說：「未來的人們將難以相信，這般血肉之軀曾降臨過人間。」   他，是印度民族解放運動的領導人、印度國大黨領袖、現代印度的國父、甘地主...more
",https://www.books.com.tw/products/0010874500?loc=P_0003_002
3,唐寧街的背影：二戰後光榮敗選的熱血首相邱吉爾,"林真如,王志豔",2020-10-16,"
「對自己國家的偉大人物忘恩負義，是一個偉大民族的特徵。」   他，曾兩度出任英國首相，是著名的畫家、演說家、作家及記者   他，打響了不列顛保衛戰，指揮了諾曼第戰役，在納粹的進逼下力挽狂瀾   他，...more
",https://www.books.com.tw/products/0010873820?loc=P_0003_003
4,他們都是猶太人,"湯天一,胡新航",2020-10-15,"
猶太民族的生存、發展歷程是奇特而曲折的。在經濟、文化高度發達的美國，猶太人幾乎控制著美國各個領域，在貿易、金融、投資、石油、建築、傳媒、電影等佔有絕對地位，幾乎壟斷了美國大的財團，占全美人數...more
",https://www.books.com.tw/products/0010872842?loc=P_0003_004
5,GE奇異的誕生：從發明燈泡到製造火箭,"潘于真,王志豔",2020-10-09,"
多重發報機、留聲機、電燈、電影放映機、蓄電池， 掀起一波又一波的科學革命浪潮—— 「雖然愛迪生不發明歷史，但他的發明卻為歷史錦上添花。」   書籍是天才留給人類的遺產，世代相傳，更是給予那些尚未出...more
",https://www.books.com.tw/products/0010873262?loc=P_0003_005
6,心安即是家,"林娉婷,王賡武",2020-10-01,"
王賡武回憶錄共兩卷。下卷《心安即是家》由王賡武與太太林娉婷合著，繼續述說他們在情感和知性上的探索旅程。...more
",https://www.books.com.tw/products/0010873429?loc=P_0003_006
7,時空行者 史蒂芬.霍金：從漸凍人到當代最偉大物理學家，他的工作、生活、愛情、友情，與思考演進的側寫,雷納．曼羅迪諾,2020-09-30,"
史蒂芬.霍金——   愛因斯坦之後最傑出的理論物理學家，承襲牛頓擔任劍橋大學盧卡斯講座教授長達30餘年。21歲確診漸凍人症，僥倖安度55年的漸凍人生活，創作233部作品(包括書籍、論文、演講等)，其中《時間...more
",https://www.books.com.tw/products/0010871524?loc=P_0003_007
8,爆笑世界史： 潮讀45位名人反差，帶你一次上手世界史!,"本村凌二,瀧乃美和子",2020-09-11,"
★新冠疫情下日本最賣的歷史學習系列書，空降書店排行榜《糟糕日本史‧爆笑世界史》賣破50萬本   ★大發明!!用6P的漫畫一分鐘了解世界演變，隨翻隨讀輕鬆學習不馬虎   ★好簡單!!用2P的插畫一分鐘了解大事件年...more
",https://www.books.com.tw/products/0010868484?loc=P_0003_008
9,籃球之神與最接近神的男人(共2冊),張佳瑋,2020-08-28,"
同樣執著於勝利的個性，   同樣嚴以律己的態度，   在籃球之神華麗的演出後，   能與之相比的，唯有黑曼巴!...more
",https://www.books.com.tw/products/0010868337?loc=P_0003_009
10,法蘭西戰神：開創第一帝國的拿破崙,潘于真,2020-08-28,"
拿破崙·波拿巴，他是法蘭西的荒野雄獅   他是歐洲大陸的征服者，一生打過無數次勝仗，是毫無疑問的軍事天才   他是波拿巴王朝的創始者，從平民到皇帝，開創了短暫但輝煌無比的第一帝國   他頒布法典，傳播...more
",https://www.books.com.tw/products/0010869167?loc=P_0003_010
11,甘地,,2020-08-28,"
甘地──被尊稱為聖雄甘地、印度國父、印度民主主義運動領袖，其「和平」、「非暴力」的信念鼓舞了美國民權領袖馬丁·路德·金恩和南非曼德拉等其他民主運動人士。   本書為甘地自傳，全書誠實呈現甘地追求真...more
",https://www.books.com.tw/products/0010868313?loc=P_0003_011
12,新.人間革命(第30卷下),池田大作,2020-08-21,"
本卷是最終卷，收錄了〈曉鐘〉(下)、〈勝利歡呼〉和〈誓願〉。   記述了創價學會斬斷宗門的枷鎖，取得了「精神獨立」，向世界宗教飛躍的歷史。   一九八一年六月十六日，伸一的和平之旅飛往美國和加拿大，...more
",https://www.books.com.tw/products/0010874170?loc=P_0003_012
13,佘有進的風雲際會(簡體書),佘立松,2020-08-20,"
1823年，一名勇敢又精明的年輕人從中國漂洋過海來到了新加坡。這一年他十八歲。他要在這裡建功立業。他竭智盡力，捨己為人，最終取得了成功，成為了商界與社區的一位重要領袖。他的付出無人不知，無人不曉...more
",https://www.books.com.tw/products/0010874785?loc=P_0003_013
14,國家的歧途：日本帝國的毀滅之路(1912—1945),馬國川,2020-08-04,"
1912年，隨着明治天皇去世、大正天皇登基，日本開始出現寬鬆的社會環境，民主主義運動高漲，實現了普選制和政黨內閣制。另一方面，軍部和右翼勢力的暗流涌動，最終在1936年釀成「二二六事件」。從那時起，...more
",https://www.books.com.tw/products/0010864730?loc=P_0003_014
15,逆權女子：獄中手記,金子文子,2020-07-23,"
席捲韓國大鐘獎5項大獎，韓國票房大作《朴烈：逆權時代》並行故事。   連法官都動容的獄中自白書。   一個日本叛亂犯，為何成為韓國的建國英雄?   一個短暫、多舛的青春，為何貢獻於無政府主義?   一個無...more
",https://www.books.com.tw/products/0010864438?loc=P_0003_015
16,柯札克猶太隔離區日記：兒童人權之父最後的回憶錄與隨筆,雅努什・柯札克,2020-07-01,"
「我在。我有重量。我有意義。我可以。我會。」   「我活著的目的不是讓別人愛我、讚嘆我，而是為了行動、為了去愛。」   「我有義務照顧這個世界。」    他背負黑暗，穩穩向光移動，   在絕望中奮力做該...more
",https://www.books.com.tw/products/0010861894?loc=P_0003_016
17,D-Day女孩：以柔克剛的間諜故事，二戰中擊敗納粹的祕密武器,莎拉・羅斯,2020-06-04,"
《植物獵人的茶盜之旅》作者最新力作 敘述二戰不為人知的女力故事 解讀英美法機密檔案、還原二戰倖存者記憶 ○○七間諜故事原型、各國戰略情報局機構藍圖 神祕的代號、不為人知的地下工作，她們隱藏身分、參...more
",https://www.books.com.tw/products/0010859260?loc=P_0003_017
18,顯微鏡後的隱藏者：改變世界的女性科學家,"劉仲康,鍾金湯",2020-06-01,"
因為她們，我們存在   新冠狀病毒肆虐，主導新藥研發者為來自台灣的女性科學家，   英國女科學家聲稱已研發出疫苗，正在進行測試!   你不該只知道居禮夫人，更不該只認識愛因斯坦，有更多的女科學家讓我們...more
",https://www.books.com.tw/products/0010858730?loc=P_0003_018
19,愛因斯坦的黃金歲月(二版),胡貝爾．戈納,2020-05-27,"
二十世紀最具獨創性的科學家之一 和「黃金二○年代」柏林的故事   本書講的是愛因斯坦以及和他同在柏林生活的人，並敘述一座城市和一段動盪時期的文化史。作者將這位多才多藝的天才人物在生命中的某個階段...more
",https://www.books.com.tw/products/0010859268?loc=P_0003_019
20,福澤諭吉自傳(開啟日本明治維新的啟蒙大師),福澤諭吉,2020-05-02,"
從下級武士一躍成為日本萬元鈔票的肖像人物── 拒絕從政卻啟發無數政治家的日本近代教育之父 想了解日本如何成為亞洲強國，一個不可不知的關鍵名字! 全新經典改版│問世逾一百二十年，福澤諭吉發人深省的口...more
",https://www.books.com.tw/products/0010855735?loc=P_0003_020
21,手塚番：我曾伺候過漫畫之神,佐藤敏章,2020-04-30,"
●被譽為「漫畫之神」的手塚治虫，一起工作過的編輯第一手訪談!   ●面對死線的大師真面目以及經典神作的創作祕密!   ●漫畫名家安達充、高橋留美子、竹熊健太郎絕贊推薦!   ●收錄神之前助手、漫畫大師石坂啟...more
",https://www.books.com.tw/products/0010855791?loc=P_0003_021
22,危機領導：在體現品格與價值的時代,桃莉絲・基恩斯・古德溫,2020-04-29,"
能帶領眾人度過難關的，永遠不會是權力 唯有歷經存亡之秋，才能突顯出「領導價值」 ──普立茲獎得主最新力作，當代領導力新準則──   ★《時代雜誌》專訪：面對疫情，領導者能從危機領導中學到寶貴的總統課。...more
",https://www.books.com.tw/products/0010855514?loc=P_0003_022
23,超視覺 解謎日本史 歷史英雄列傳,,2020-04-27,"
~挑戰歷史人物問答題，互動學歷史!~ 影響日本歷史的65位代表人物 × 3選1問答題 測驗看看，你對日本歷史了解多少?   NHK大河劇時代考證專家──小和田哲男 監修   【Q1】織田信長使用「天下布武」朱印時期的...more
",https://www.books.com.tw/products/0010855778?loc=P_0003_023
24,日本戰國武將大圖鑑,山村竜也,2020-04-01,"
~改寫時代的120戰國武將&傾國公主!~ 以看遊戲攻略的心情學習正史! 120幅精美CG+雷達圖， 使風雲武將和傾城公主重放異彩!    戰國時代，是日本歷史上最黑暗，也最光輝的時期，   出世的武將們，憑藉神人之...more
",https://www.books.com.tw/products/0010853118?loc=P_0003_024
25,諾貝爾經濟學家的故事(4版),吳惠林,2020-03-28,"
1969迄今，凝結半世紀的智慧 從諾貝爾看經濟思潮，洞察世界正面臨的問題   ♦從開端到當今，論評1969~2019獲獎薈萃   「它的基本原理如此簡單，只要一張紙就可以寫完，而且任何人都可以了解，然而真正了解...more
",https://www.books.com.tw/products/0010853265?loc=P_0003_025
26,昭和天皇物語 ( 2 ),"半藤一利,永福一成,能條純一",2020-03-25,"
在位時間最長、最具爭議性的昭和天皇‧裕仁 他是日本的「象徵」和「統帥」，同時也是一介走下神壇的「凡人」…… ★揭開日本皇室的神秘面紗!史詩級昭和天皇傳記大作★   年少的裕仁終於對自己與眾不同的身分有...more
",https://www.books.com.tw/products/0010852409?loc=P_0003_026
27,李維史陀： 實驗室裡的詩人,派翠克˙威肯,2020-03-18,"
他畢生致力於擺脫西方文化的侷限， 越過科學的界線，進入野性的思維， 探究感官與邏輯事物融合為一完整整體的可能性---- 二十一世紀的今天，是時候重新認識李維史陀。   科學思維是分析性和抽象的，喜歡把...more
",https://www.books.com.tw/products/0010851567?loc=P_0003_027
28,人權的條件：定義「危害人類罪」與「種族滅絕罪」的關鍵人物,沙茲,2020-03-07,"
人權不是生而有之  二戰前，國家可以對國民做任何事情，包括歧視、折磨或殺害…… ◎英國圖書年度非虛構好書獎(The British book awards non-fiction book of the year) ◎吉福德非虛構寫作獎(B......more
",https://www.books.com.tw/products/0010850746?loc=P_0003_028
