,書名,作者,出版日期,內容介紹,網址
1,SPQR：璀璨帝國，盛世羅馬，元老院與人民的榮光古史,瑪莉‧畢爾德,2020-09-30,"
「古羅馬，很重要!」 一部寫給當代的全方位羅馬史 全球翻譯超過23種語言，跨越漫漫歷史長河的耀眼帝國，榮光不滅! 當代歷史學界超級巨星，全球矚目的劍橋教授瑪莉‧畢爾德隆重鉅作    「我們書寫與觀看這世...more
",https://www.books.com.tw/products/0010871294?loc=P_0003_001
2,最長的一日：諾曼第登陸的英勇故事,考李留斯雷恩,2020-09-09,"
重現「二戰經典三部曲」的磅礡氣勢 非虛構寫作大師不能錯過的經典傳世之作 「D日」不是軍事史，而是人的故事 是一個普通士兵面對殘酷戰火 蛻變成勇士的故事 這是從此被人記得的「最長的一日」 同時也是決...more
",https://www.books.com.tw/products/0010869035?loc=P_0003_002
3,第二次世界大戰戰史(上下冊套書)(二戰終戰七十五週年紀念版),李德哈特,2020-09-03,"
【本書特色】 ☑ 軍事寫作一代傳奇李德哈特，五十餘萬字篇幅、耗時二十多年完成之遺世大作 ☑ 最經典的二戰史，軍武迷失之遺憾的磅礡逸品 ☑ 二戰終戰七十五週年紀念新版 ☑ 收錄多幅珍貴手繪戰場地圖 【內容...more
",https://www.books.com.tw/products/0010868104?loc=P_0003_003
4,一本讀懂明治日本,周佳榮,2020-08-28,"
本書以人物傳論形式展示出明治維新的歷史，包括政治、外交、憲法、思想、軍事、實業、學術、文化各個方面，總共一百二十人，從多元角度反映出明治時期日本的社會面貌。他們在日本現代化進程中所擔當的角色...more
",https://www.books.com.tw/products/0010869320?loc=P_0003_004
5,世界現代史(上)(四版),王曾才,2020-08-21,"
現代世界的發展，有其特別的重要性，此為今日大專學生和社會人士亟需吸收的歷史知識。本書作者王曾才教授以其清晰的歷史視野和國際觀，用流暢的筆法來撰述，為讀者提供了一個體察天下之變的指涉架構。   ...more
",https://www.books.com.tw/products/0010868643?loc=P_0003_005
6,二次大戰後的野蠻歐陸：充滿復仇、內戰與種族清洗的血腥之地,齊斯．洛韋,2020-08-06,"
翻轉「正義vs.邪惡」、「歐洲從灰燼中復興」的傳統二戰史觀 改變你我對近代歐洲史認知的傑作 歐洲的亂局並未因1945年德國戰敗而結束 在這片揚棄了道德價值、不知法治為何物、人命卑賤如草芥的野蠻大陸 正...more
",https://www.books.com.tw/products/0010865451?loc=P_0003_006
7,波希戰爭：499–449 BC 第一個世界帝國及其西征,湯姆．霍蘭,2020-07-08,"
★歷史普及作品中的傑作   ★東、西方第一場真正的衝突，從此拉開兩千多年來東西方文明衝突的序幕，並埋下「伯羅奔尼撒戰爭」的近因。   ★磅礴史詩，不但詳細描繪參戰各方，也還原波希雙方驚心動魄的激戰場...more
",https://www.books.com.tw/products/0010862851?loc=P_0003_007
8,穆斯林與猶太少女：柏林納粹時代的救援紀實,羅南‧史坦格,2020-07-05,"
這位埃及醫生以過人的膽識，緜密的白色謊言， 與無畏的勇氣展開救援……  以發生在二戰期間充滿傳奇色彩的真實事件作為紀實報導， 不只打破宗教藩籬，更具人性光輝， 驚奇、迷人處更甚小說!   •本書獲德國20...more
",https://www.books.com.tw/products/0010862344?loc=P_0003_008
9,古羅馬惡行錄：從殘暴的君王到暴民與戰爭，駭人的古羅馬犯罪史,傑利‧透納,2020-07-03,"
解決不了問題， 就解決提出問題的人 現代社會常見的犯罪，古人做的更溜    ◎傑利˙透納 Jerry Toner，繼《如何豢養一隻奴隸》後，又一重量大作!   ◎成功大學歷史學系專任教授 翁嘉聲──審訂、專文導讀   ◎「...more
",https://www.books.com.tw/products/0010861803?loc=P_0003_009
10,想讀通世界史，先讀懂羅馬史：教你快速讀懂長達一二○○年的羅馬帝國興衰史,本村凌二,2020-06-28,"
羅馬帝國是怎麼建立的?從一開始的共和制到後來的帝制，是怎麼演變的?    「羅馬不是一天造成的!」這句話一點也不假，   一千兩百年的羅馬歷史，本書教你有效率的閱讀方法!    在羅馬，明明是萬人之上的皇...more
",https://www.books.com.tw/products/0010862279?loc=P_0003_010
11,另眼看歷史 共產世界大歷史：一部有關共產主義及共產黨兩百年的興衰史,呂正理,2020-06-24,"
「新冷戰」已經來臨   你往後能看多遠，就能往前看多遠   這是最能幫助讀者徹底了解共產黨的一本書    本書以拉長時間的大歷史觀點詳述共產主義的兩百年的興衰。全書以全球視角講述有關共產主義、共產黨、...more
",https://www.books.com.tw/products/0010861321?loc=P_0003_011
