,書名,作者,出版日期,內容介紹,網址
1,大智慧：人心方向與歷史方向,陳振烜,2020-11-01,"
以資訊整合多元視角的知識經驗，建構連結世界、認識自我的「大智慧」!    意料之外是資訊 意料之內是智慧   萬物來自於資訊 資訊來自於智慧    這是一本小書，但卻是一本貫通生物演化與文化演化的大書，作...more
",https://www.books.com.tw/products/0010874296?loc=P_0002_001
2,跟史家一起創作：近代史學的閱讀方法與寫作技藝,皮國立,2020-09-23,"
如何寫歷史?最強的實作力! 第一本以臺灣及華文視角， 談論史學閱讀、寫作與教學的整合性專書， 文史學生和人文愛好者的必備工具。   以嶄新的視角重新認識史家的閱讀與寫作，   用通俗筆調詮釋高深的史學...more
",https://www.books.com.tw/products/0010870256?loc=P_0002_002
3,記憶、海洋與尋常歷史,陳國棟,2020-09-18,"
有記憶方能回憶；能回憶才能在單向的時光旅程中，偶爾飄回逆向的過去。    記憶的內容屬於過去，歷史的內容也屬於過去。只不過記憶歸結在個人身上，往往只能埋頭品味，未必能與他人共同分享。歷史雖非來自...more
",https://www.books.com.tw/products/0010871223?loc=P_0002_003
4,四千年農夫：一趟東方人文與古法農耕智慧的時空行旅,富蘭克林．希拉姆．金恩,2020-08-17,"
東方的農夫是勤勞智慧的生物學家， 4000年來養活數億人口，卻沒榨乾土地的生命力! 百年前「美國土壤物理學之父」中國、日本、韓國的實地行旅記錄， 看完，讓你在火星上都能種地養活自己!   ★超過200多幀珍...more
",https://www.books.com.tw/products/0010864454?loc=P_0002_004
5,笨拙至極的上野(06),tugeneko,2020-08-10,"
差不多該察覺我的心意了吧!田中!!   上野同學依舊殘念地使用著科學之力，   不斷地向田中發動攻勢♥   隨著更多文化系社團的女部長登場，   劇情發展也越來越熱鬧♪   另外，上野加入科學部的經緯也終於在本...more
",https://www.books.com.tw/products/0010866926?loc=P_0002_005
6,歷史學柑仔店 1,歷史學柑仔店作者群,2020-08-05,"
從臺灣思考歷史的書寫 以公眾史學貼近一般大眾   專業史學為何與大眾如此疏遠?如何拉近彼此之間的鴻溝?繼「芭樂人類學」和「巷仔口社會學」之後，創立於2014年4月的「歷史學柑仔店」(kám-á-tiàm)，是學院...more
",https://www.books.com.tw/products/0010865460?loc=P_0002_006
7,很基本的教養套書(共六冊)：圖解經濟學+ 圖解哲學+圖解心理學+圖解社會學+圖解世界史+圖解台灣史,"吳逸驊,小松田直,曾寶瑩,李忠謙,溫美珍",2020-07-16,"
圖解經濟學(修訂版) 沒人教但早該懂的社會運作基本概念  當資源‧時間都有限，該如何權衡得失做分配? .知道改善全球暖化刻不容緩，卻總是希望冷氣可以冷一點? .工作與休閒的比例怎麼拿捏，薪水要用來換新手...more
",https://www.books.com.tw/products/0010863268?loc=P_0002_007
8,史家的技藝,馬克．布洛克,2020-05-27,"
「在地景景觀的背後，在工具器械的背後，在看來最形式化的文件與制度背後，就是人本身。歷史研究想掌握的，也就是這些人。」1929年，由於不滿當時法國史學界劃地為限、自足於史料與制度史煩瑣考證的風氣，...more
",https://www.books.com.tw/products/0010858314?loc=P_0002_008
9,袁氏世範白話讀本,袁采,2020-04-01,"
摘錄自練卜鳴，練宇中    《袁氏世範》共三卷，分《睦親》、《處己》、《治家》三篇，內容非常詳盡。《睦親》凡65則，論及父子、兄弟、夫婦、妯娌、子侄、共居、宗親、婚姻等各種家庭成員關係的處理，具體...more
",https://www.books.com.tw/products/0010855164?loc=P_0002_009
10,兩種文化：從科學人文的分道揚鑣到跨領域知識的倡議，史諾重新思索人類知識本質(60年經典再現版),史諾,2020-02-13,"
今日我們需要的跨領域素養、多元能力，早在60年前史諾就說過了 ◎1959年史諾發表「兩種文化」的演說，引發知識界的論戰。 ◎本書為演講稿內容完整收錄、史諾4年後對講稿引發爭論的回應、柯里尼教授的長篇導...more
",https://www.books.com.tw/products/0010848257?loc=P_0002_010
11,全彩圖解不可不知的國學知識,夢華,2019-12-25,"
你可能不知道的國學知識   「國學」是中華民族傳統文化學術的總稱。國學匯通思想學術、典籍制度、百行百藝、禮儀民俗，蘊含國脈、國魂、國本，是中華民族的根基所在、尊嚴所在。中華民族歷史悠久，文化燦...more
",https://www.books.com.tw/products/0010843970?loc=P_0002_011
12,創作者的異次元宇宙學：文字工作者、活動企劃、神祕學研究者、導演演員必備武器!,株式会社ライブ,2019-11-01,"
~181個異次元基礎知識，字典式神祕學知識大全~   文字創作者、影視導演、漫畫家、電玩製作人、   演員、桌遊企劃、小說編輯必備!   【宗教】、【神話】、【哲學】、【軍事】、【科學】、【神祕學】9大領域...more
",https://www.books.com.tw/products/0010837850?loc=P_0002_012
13,歷史學家的技藝,馬克．布洛克,2019-09-28,"
馬克‧布洛赫是20世紀極為重要的史學大師，作為大師一生治史經驗的結晶，本書從歷史審美的角度著眼，為歷史研究的合法性進行辯護，提醒世人注重求真的同時，也要悉心保存歷史的詩意；在對歷史進行體悟的同...more
",https://www.books.com.tw/products/0010835389?loc=P_0002_013
14,人類該往何處去：從源出非洲到海洋擴散，未來人類的歷史省思,"大塚柳太郎,應地利明,朝尾直弘,杉山正明,松田素二,森本公誠,福井憲彥,陣內秀信,隆納．托比,青柳正規",2019-09-25,"
源出非洲，經海洋擴散──   人類的歷史就是「移動與定居」的歷史   宗教的衝突與共生/海洋與全球化/非洲的世界史新定位/百億人口的警訊……   超越對立與紛爭的全新視野，探究人類未來應該前進的道路。   要...more
",https://www.books.com.tw/products/0010834262?loc=P_0002_014
15,書呆子的反抗：為什麼你以為對的都是錯的?,安卓雅．芭罕,2019-08-08,"
「許多錯誤知識被視為真相，這本書找出這些錯誤，並一一除錯、糾正!極富知識性、趣味性和娛樂性。」──《泰晤士報》  *未經查證的知識比無知更危險! *為什麼我們以為對的都是錯的?因為我們從未認真考證過每...more
",https://www.books.com.tw/products/0010829603?loc=P_0002_015
16,理論與歷史：對社會與經濟演變的一個解讀,路德維希‧馮‧米塞斯,2019-07-28,"
✮中華經濟研究院特約研究員 吳惠林 專文導讀✮   經濟學巨擘米塞斯最鮮為人知的大作，重要性絕不亞於《人的行為》!   研究歷史有很多重要的理由。   它不僅提供擬定政治決策時不可或缺的知識。它還打開人的...more
",https://www.books.com.tw/products/0010829495?loc=P_0002_016
17,歷史 經典閱讀,"周樑楷,李尚仁,楊肅獻,蔣竹山,邱德亮,陳元朋,陳國棟,陳正國,陳熙遠",2019-06-25,"
經典作品能帶來特別的影響，無論是它們深深銘刻在我們想像之中難以忘卻，還是隱隱藏匿於層層記憶之下偽裝成個人或集體的無意識。──義大利作家卡爾維諾   透過經典閱讀，走入歷經文明淬鍊的精神世界，拓展...more
",https://www.books.com.tw/products/0010828270?loc=P_0002_017
18,起源的故事(「大歷史」學派開創者大衛.克里斯欽2018年最新扛鼎巨作),大衛．克里斯欽,2019-06-01,"
有沒有一本書可以告訴我們，「人類從何處而來?又該往何處而去?」 《起源的故事》或許可以提供我們一些答案。 獲選比爾.蓋茲2018年夏季書單，讚譽本書是人類未來發展的指引 入圍Goodreads年度最佳歷史與傳...more
",https://www.books.com.tw/products/0010822729?loc=P_0002_018
19,臺灣社會語言地理學研究：臺灣語言的分類與分區Ⅰ+臺灣語言地圖集Ⅱ(二冊套書),洪惟仁,2019-06-01,"
臺灣語言學巨擘洪惟仁教授歷時三十餘年語言調查； 總合語言學、方言學、社會學、地理學的跨領域研究成果， 獻給臺灣的土地與人民──  臺灣史上第一份，深入臺灣各地的語言調查總報告 《臺灣社會語言地理學...more
",https://www.books.com.tw/products/0010823125?loc=P_0002_019
20,陌生的美麗：突破日常的人文力量,"劉克襄,吳佳璇,張錯,李清志,林強,林正盛,鄭穎,鍾文音,雷光夏,黃尹青,黃麗群",2019-04-30,"
面對過於熟悉的事物，容易變得僵化而沒有感覺；   面對多元且變動的世界，更需對未知保持包容與開放。   張錯、劉克襄、林正盛、黃尹青、李清志、林強 、雷光夏、鍾文音、吳佳璇、鄭穎、黃麗群   11位作者...more
",https://www.books.com.tw/products/0010820932?loc=P_0002_020
21,五四@100：文化，思想，歷史,"夏曉虹,宋明煒,宋明煒等,彭小妍,李奭學,李孝悌,梅家玲,潘光哲,王德威,王汎森,胡曉真,葛兆光,鄭毓瑜,錢理群,陳國球,陳平原,陳曉明,高嘉謙,黃克武,黃英哲",2019-04-02,"
五四一百週年，回顧文學史和思想史上的五四!   51位學者，從文學、思想、文體、人物等角度，重看五四及其影響。   「五四」一百週年，從各種角度來解析「五四」及其影響，以小觀大，對「五四」以來的文學...more
",https://www.books.com.tw/products/0010817735?loc=P_0002_021
22,台灣理論關鍵詞,"傅大為,劉紀蕙,史書美,周素卿,夏曼‧藍波安,孫松榮,廖勇超,廖朝陽,張君玫,李育霖,林亞婷,林建光,林芳玫,梅家玲,楊乃女,洪子惠,王驥懋,珊卓拉‧哈定,紀大偉,蔡林縉,蕭立君,蘇碩斌,詹閔旭,謝若蘭,辜炳達,邰立楷,鄭惠雯,陳國偉,陳東升,陳瑞麟,黃冠閔,黃宗慧,黃涵榆,黃英哲",2019-03-11,"
台灣有沒有理論?只有西方引進的才能算是理論嗎?   在全球知識分工下，以32則關鍵詞   推動台灣超脫依賴者和模仿者，讓台灣理論與世界展開對話   我們如何界定理論?只有西方引進的才能算是理論嗎?台灣有沒...more
",https://www.books.com.tw/products/0010815886?loc=P_0002_022
