,書名,作者,出版日期,內容介紹,網址
1,楊照導讀思想大師套書(三冊)：《在地球瀕臨滅絕時，還原達爾文》、《在資本主義帶來浩劫時，聆聽馬克思》、《在進入潛意識夢境前，請問佛洛伊德》,楊照,2020-08-03,"
本套書共有三冊：在地球瀕臨滅絕時，還原達爾文：讀懂達爾文與《物種起源》、在資本主義帶來浩劫時，聆聽馬克思：讀懂馬克思與《資本論》、在進入潛意識夢境前，請問佛洛伊德：讀懂佛洛伊德與《夢的解析》...more
",https://www.books.com.tw/products/0010865199?loc=P_0003_001
2,定見之外：生活日常的哲學短篇,郭柏年,2020-07-01,"
哲學的古訓是「認識自己」，不過認識自己的方法可以千差萬別。這本書談的是「定見」，即人生中各種早已習以為常、看似理所當然的論斷。我們希望透過反省生活定見，加深對自我以至人類的理解。書中所有文章...more
",https://www.books.com.tw/products/0010872472?loc=P_0003_002
3,現代知識貴族的精神,林毓生,2020-04-17,"
林毓生是研究近現代中國思想史的著名學者，其英文論著《中國意識的危機》在1980 年代出版中、日、韓譯本，對於東亞地區、台灣和大陸的學界與文化界都有極大的影響，奠定了他在西方和東亞近現代思想史領域...more
",https://www.books.com.tw/products/0010855297?loc=P_0003_003
4,啟蒙是連續的嗎?,王汎森,2020-03-05,"
本書收錄作者王汎森橫跨二十年的五四研究文章，圍繞討論「五四新文化運動」，除了講五四本身，同時也儘量涉及五四新文化運動的「前」、「後」、「左」、「右」。作者冀能透過本書，探索這個巨變時期的心靈...more
",https://www.books.com.tw/products/0010851433?loc=P_0003_004
5,存在之思：早期海徳格與勞思光思想硏究,張燦輝,2020-02-14,"
自我、存在、死亡，差不多所有中西哲學家在過去二千多年都關注這些問題，也是海德格和勞思光在他們的早期哲學著作中共同反思的課題。本書分兩部分，上半部探討海德格的早期思想，包括《存在與時間》的「此...more
",https://www.books.com.tw/products/0010849582?loc=P_0003_005
6,思想史9：五四百年專號,思想史編委會,2020-02-07,"
《思想史9：五四百年專號》收錄論文13篇，本期的專號是「五四百年」，特稿有陳永發的〈毛澤東如何綁架五四歷史?〉和呂芳上的〈當「五四」成為啟蒙與革命的複合體：百年學運省思〉，以及黃自進的〈日本駐華...more
",https://www.books.com.tw/products/0010848678?loc=P_0003_006
7,哲學家陪你看電影,"梁家瑜,蔡士瑋",2019-10-10,"
看電影可沒你想像的這麼簡單 九場經典電影 九個哲學思考   ※ 中研院文哲所研究員 黃冠閔 推薦   這是一個影像豐沛的年代。   在這影像豐沛的年代，你的思考方式也被影像制約著；在影像的時代裡，更要警醒...more
",https://www.books.com.tw/products/0010835476?loc=P_0003_007
8,「米兔」在中國,"丘慧芬,劉世鼎,姚新勇,崔衛平,張倫,林垚,王墨林,白永瑞,范廣欣,郭力特,陳純,馬姝,馮媛",2019-10-04,"
「米兔」運動起自美國，但旋即在世界上許多國家引起迴響。表面上，網路社交媒體起了極大的擴散作用；但是性騷擾問題的普世性，才是整個米兔運動的真正動力所在。性騷擾在各地廣泛存在，中國大陸不會例外。...more
",https://www.books.com.tw/products/0010835267?loc=P_0003_008
9,啟蒙運動(上)：現代異教精神的崛起(2019年版),彼得．蓋伊,2019-10-01,"
全面性探討啟蒙運動、啟蒙思想家與其時代的複雜互動關係   這是一本很令人動容的著作，不但具備學術研究的嚴謹，且雅俗共賞，適合大眾閱讀，有極高的可讀性，喜歡讀史的人，能從本書中獲得閱讀的喜悅。   ...more
",https://www.books.com.tw/products/0010835834?loc=P_0003_009
10,啟蒙運動(下)：自由之科學(2019年版),彼得．蓋伊,2019-10-01,"
史學巨擘彼得.蓋伊奠基之作、余英時教授專文推薦 全面性探討啟蒙運動、啟蒙思想家與其時代的複雜互動關係   這是一本很令人動容的著作，不但具備學術研究的嚴謹，且雅俗共賞，適合大眾閱讀，有極高的可讀...more
",https://www.books.com.tw/products/0010835906?loc=P_0003_010
11,偽理性：走出科學神話、經濟迷思與體制牢籠，解救現代人孤獨、焦慮、迷惘的哲學處方箋,紀金慶,2019-09-27,"
人類的理性 造就了繁榮的科技資本主義社會， 但我們真的更幸福嗎? 為什麼我們仍時常感到迷惘?   課程講座爆滿、最接地氣的哲學教授紀金慶   邀你來一場科技時代的人性思辨課!   #大數據、AI世代最需要的思...more
",https://www.books.com.tw/products/0010834161?loc=P_0003_011
12,想想20世紀,"提摩希．史奈德,東尼．賈德",2019-09-18,"
了解一個人的思想，最好的方法是與他對話。   本書是一個晚輩歷史學家向前輩歷史學家求教的過程，前者是2013年漢娜.鄂蘭獎得主提摩希.史奈德，後者是《戰後歐洲六十年》作者東尼.賈德。在賈德最後的人生一...more
",https://www.books.com.tw/products/0010833523?loc=P_0003_012
13,以哲學思維來了解世界,邵真,2019-08-14,"
我們知道他們在說謊，   他們也知道他們在說謊；   他們知道我們知道他們在說謊，   我們也知道他們知道我們知道他們在說謊，   但是他們依然在說謊……   ――索忍尼辛(1970諾貝爾文學獎得主)   以哲學的思考...more
",https://www.books.com.tw/products/0010830520?loc=P_0003_013
14,與魔鬼聊天：為什麼邪惡可能是種美德?最強魔鬼生存法則,佐藤蜜郎,2019-04-03,"
別人的「正當性」與你無關， 它甚至剝奪了你未來的可能性。 ──魔鬼的53則處世祕訣── 決定向世界尋求正解的人，只會永遠困在迷宮裡!   ※日本累績銷售突破200,000冊!   ※日本年度話題書、暢銷書作者最新力作...more
",https://www.books.com.tw/products/0010817359?loc=P_0003_014
15,創造現代世界的四大觀念：五位思想巨人，用自由、平等、演化、民主改變人類世界,"丹尼爾‧希羅,史考特‧蒙哥馬利",2019-03-27,"
價值混沌紛亂的時代，描繪一段偉大的思想史   還原亞當‧斯密、馬克思、達爾文、傑佛遜和漢彌爾頓的思想主張，理解「自由、平等、演化、民主」如何形塑現代世界，影響人類歷史文化   《紐約時報》2015年百...more
",https://www.books.com.tw/products/0010817035?loc=P_0003_015
16,哲學1000問,"楊麗麗,雅瑟",2019-02-26,"
■ 千百年來，那些最聰明的人都在這裡!   本書以問答的形式為讀者展示充滿智慧的中外哲學大家、源遠流長的哲學流派、晦澀難懂的哲學概念、發人深省的哲學名言、博大精深的哲學名著、綿延不絕的哲學鬥爭、異...more
",https://www.books.com.tw/products/0010815047?loc=P_0003_016
17,為神而辯： 一部科學改寫宗教走向的歷史,凱倫．阿姆斯壯,2019-01-30,"
《週日泰晤士報》(Sunday Times)暢銷書   一趟數千年西方宗教歷史之旅，   一場對科學宗教和無神論者的答辯   16、17世紀科學興起之後，以基督宗教為中心的西方宗教受到極大的衝擊和挑戰。近期應運而生的...more
",https://www.books.com.tw/products/0010811854?loc=P_0003_017
18,中國文化的展望(上)(二版),殷海光,2018-12-26,"
《中國文化的展望》是殷海光最重要的專著，無論就思想史脈絡或是就殷海光個人的思想世界而言，本書都深具意義。   近代以來，「中西文化論爭」幾無已時。殷海光採取西方現代社會科學的概念及邏輯分析的方...more
",https://www.books.com.tw/products/0010813455?loc=P_0003_018
19,英文著述與譯作(二版),殷海光,2018-12-26,"
殷海光在追求知識的道路上，始終願將自己涉獵的新知睿見，廣播遠傳，撰寫書評之外，翻譯英文著述，則是他遂行這等志業的另一項重要工作。本書匯總殷海光的翻譯文字於一帙，具體展現了他的譯筆風采。殷海光...more
",https://www.books.com.tw/products/0010813458?loc=P_0003_019
20,中國文化的展望(下)(二版),殷海光,2018-12-26,"
《中國文化的展望》是殷海光最重要的專著，無論就思想史脈絡或是就殷海光個人的思想世界而言，本書都深具意義。   近代以來，「中西文化論爭」幾無已時。殷海光採取西方現代社會科學的概念及邏輯分析的方...more
",https://www.books.com.tw/products/0010813459?loc=P_0003_020
21,思想史8,思想史編委會,2018-12-25,"
《思想史8》收錄論文12篇，「書名及書評論文」有王佩心的〈民主的未竟之業：回顧戰前中國安那其主義研究〉；「研究紀要」有兩篇：潘光哲的〈創造近代中國的「世界知識」與「地理想像」：回顧與思考〉和林...more
",https://www.books.com.tw/products/0010808008?loc=P_0003_021
