,書名,作者,出版日期,內容介紹,網址
1,跟單信用狀與跟單託收交易暨最新案例解析,陳賢芬,2020-10-01,"
本書介紹跟單信用狀交易及其適用之規則。信用狀經常使用於與新興市場國家之交易，或國際貿易大筆金額之交易，其特殊性值得論述，此書輔以案例解析，適合從事國際貿易人員業務執行之參考。...more
",https://www.books.com.tw/products/0010874797?loc=P_0003_001
2,服務建議書之製作,周金柱,2020-06-15,"
退休後完成的第一個里程碑!!    我的書《服務建議書之製作》將自己退休後擔任專案評審委員之心得，提供相關規劃人員參考製作，即日起於三民書局正式上市!!    本書提供專案計畫之製作編寫技術，期望讀者閱...more
",https://www.books.com.tw/products/0010862460?loc=P_0003_002
3,Project Management: The Managerial Process (8版),"Clifford F. Gray,Erik W. Larson",2020-05-27,"
Project Management, 8e provides a holistic and realistic approach to Project Management that combines the human aspect a......more
",https://www.books.com.tw/products/0010860520?loc=P_0003_003
4,SCRUM敏捷實戰手冊：增強績效、放大成果、縮短決策流程,J.J. 薩瑟蘭,2020-04-30,"
當「複雜」成為組織面對的常態 「敏捷」就是最佳解答  SCRUM執行長 睽違5年後 正宗權威演示專書 即刻超強部署 一次解決組織與個人荒謬的浪費   可口可樂、博世、3M、蘋果、Google、Facebook和Amazon都在用...more
",https://www.books.com.tw/products/0010856655?loc=P_0003_004
5,超圖解風險管理：全視角與案例學習，神速掌握重點,宋明哲,2020-03-28,"
☞最適合初學者的風險管理入門 ☞精彩的圖表整理與解析，輕鬆建立正確的風險管理觀念   風險管理一本通，圖解助你不只一臂之力   ❤讓初學者露出幸福微笑的五大特點❤   ✮一單元一重點的編排方式，學習效率大...more
",https://www.books.com.tw/products/0010853242?loc=P_0003_005
6,Visio 流程圖表設計寶典,elearningDJ,2020-02-01,"
「實例引導學習進程，輕鬆搞定“商業圖表繪製”大小事。」    Microsoft Visio利用資料導向的動態視覺工具與範本、強大的流程管理功能以及進階的Web共用功能，將圖表功能提升至一個全新的層次。在一個功能強...more
",https://www.books.com.tw/products/0010851719?loc=P_0003_006
7,企業如何實施目視管理,鄭貞銘,2020-01-22,"
「葫蘆裏賣的什麼藥?」是人們對看不到問題實質的事物，就會產生的困惑，如果這個葫蘆是透明的，那麼這種困惑就不會出現了。   目視管理就是把單位中潛在問題顯現出來，讓任何人一看就知道問題所在的一種視...more
",https://www.books.com.tw/products/0010846931?loc=P_0003_007
8,圖解 IT基本力：256個資訊科技關鍵字全圖解,增井敏克（MASUI TOSHIKATSU）,2019-12-14,"
你知道UI、UX、CMS、SEO是什麼嗎? 你分的清AR、VR、MR之間的差別嗎? 零基礎也能立即上手，嚴選256個IT關鍵字全圖解 ★日本亞馬遜網路書店「電腦類」銷售排行榜 第一名★ ★日本亞馬遜網路書店4星好評!★ 從RPA...more
",https://www.books.com.tw/products/0010842232?loc=P_0003_008
9,專案管理革命,安東尼奧‧尼托－羅德里格茲,2019-11-29,"
企業、社會與人生的所有問題 全都能用專案來解決!!   ★不論是企業領導人、各階層主管，還是每個上班族，專案管理是AI時代不被機器取代的必備職場技能!   過去十年間，大環境與社會變化速度飛快，徹底顛覆...more
",https://www.books.com.tw/products/0010841741?loc=P_0003_009
10,視線變遠見：用八爪章魚系統思考，擺脫窮忙無效的專案管理與企業決策,"于兆鵬,楊朝仲,錢穎,陳國彰",2019-11-19,"
想要掌握專案管理的成功關鍵   就從學會系統思考開始!   你在專案管理上有這樣的困擾嗎?   √專案成果總是無法滿足客戶的需求?   √專案為何而做的商業分析要怎麼簡單有效進行?   √專案總是無法照計畫完成? ...more
",https://www.books.com.tw/products/0010839447?loc=P_0003_010
