,書名,作者,出版日期,內容介紹,網址
1,物流客戶服務,"吳淵清,張燁鍵,蕭文雅",2020-05-21,"
擔任一名優秀的物流客戶服務人員，應該要具備哪些工作的基本原則?   平時需養成哪些習慣?又需擁有哪些禮儀和技能?   如何在圓滿完成工作任務的同時，讓客戶留下美好印象，為公司增加更多客源?   《物流客...more
",https://www.books.com.tw/products/0010859477?loc=P_0003_001
2,採購管理實務(增訂八版),丁振國,2019-12-25,"
越來越多的企業注意到採購管理的重要性，但仍然有很多企業對採購管理的重視程度不夠，仍然將採購行為只看作生產的後勤輔助行為來加以管理，只強調採購為生產服務的觀念；單純認為採購管理只是配合生產、節...more
",https://www.books.com.tw/products/0010843494?loc=P_0003_002
3,中國物流管理案例與實訓,,2019-12-12,"
物流管理者對其物流營運及其管理的標準和經驗又該如何制定和分享，勢必考慮從調動員工或授權員工的職責共同去分析研究物流業務活動，尤其要總結研究物流及物流管理的案例活動，幫助我們最大限度地實現物流...more
",https://www.books.com.tw/products/0010843586?loc=P_0003_003
4,國際貨運代理實務,,2019-11-29,"
本書共分7章，分成陸海空三大部分來講解，海運的篇章較為重，包含運費的計算、事故處理、貨運代理流程、租船業務等；空、陸運的部分大致一樣，陸運則是以火車為主，每樣運輸都會搭配實際案例，包含運費計...more
",https://www.books.com.tw/products/0010842028?loc=P_0003_004
5,特種貨物航空運輸,,2019-10-24,"
特殊貨物的運送因為該類型貨物所具有的特性，如:爆炸性、易腐蝕性、貴重性，甚至是活體生物，在運輸的過程中，特別是航空運輸的部分，容易隨著氣壓、溫度的變化，以及震動、空間限制或是人為因素的影響下...more
",https://www.books.com.tw/products/0010838778?loc=P_0003_005
6,如何管理倉庫(增訂九版),"黃志強,黃憲仁",2019-05-22,"
時光飛逝，作者在憲業企管公司講授「倉儲管理」課程已有數年之久，在競爭激烈之下，企業界對於庫存管理的重要性漸有警覺，因為庫存品資產在各企業的總資產額中所佔的比率極為可觀，進行適時而恰當的庫存管...more
",https://www.books.com.tw/products/0010822578?loc=P_0003_006
7,流通管理(五版)：迎戰新零售時代,邱繼智,2019-05-01,"
本書係以零售業各業態、業種共通性的流通管理為焦點，以門市從業人員或店長應具備的知識與技能為核心，以清晰的脈絡串連各章節內容。   本書內容範圍廣泛，包括零售業的發展與挑戰、零售業的型態與特性、...more
",https://www.books.com.tw/products/0010823229?loc=P_0003_007
8,物料管理控制實務(增訂三版),林進旺,2018-10-22,"
物料(或商品)有如企業的糧食，良好的物料控制，影響企業的每一個層面，是整個企業生產管理的核心，對於企業的成本、利潤，都有決定性作用。企業如何獲取價廉物美而且可靠的物料，經濟有效地加以利用，以降...more
",https://www.books.com.tw/products/0010802046?loc=P_0003_008
9,物流概論,胡建波,2018-09-28,"
本書具有以下主要特點：配套建構了網上教學資源庫，方便學生自主學習網路課程中的電子教學資源；體現問題驅動、任務引領；課後同步測試，著重考察學生分析並解決物流管理實際問題的能力，體現應用導向；理...more
",https://www.books.com.tw/products/0010801049?loc=P_0003_009
10,物流基礎(第四版),胡建波,2018-09-28,"
本書對物流基礎的課程內容體系進行了重構，設置了物流的認知、物流基本功能活動管理、企業物流管理、物流外包與第三方物流運作管理、物流組織與管理、國際物流運作與管理、供應鏈管理共七個學習情境。本書...more
",https://www.books.com.tw/products/0010801073?loc=P_0003_010
11,物流運籌管理4/e,中華民國物流協會,2018-09-01,"
.循序漸進，由淺入深-   先從了解物流的基礎概念開始，再探討物流作業的流程，之後再介紹流程中使用的資訊系統及物流設備，最後綜合探討物流的管理規劃及發展，由點而線，由線而面，形成完整的架構。   ....more
",https://www.books.com.tw/products/0010797472?loc=P_0003_011
12,現代物流管理(第二版),何峻峰,2018-08-24,"
本書包括現代物流的基本概念、類型、採購與供應、運輸、裝卸搬運、倉儲管理、配送管理、訊息管理、供應鏈管理及成本管理等內容。作者緊密結合當今物流領域的實踐，從實際出發，深入淺出探討現代物流的管理...more
",https://www.books.com.tw/products/0010797543?loc=P_0003_012
13,物流訊息系統分析與設計實踐教程,羅文龍,2018-08-17,"
本書是提高學生對專業知識的綜合應用能力與技能，使學生在接收理論知識的基礎上提高並加強網站知識與實踐知識的教育，為學生在今後工作中從事網站開發與維護打下紮實的基礎的必修課。它是電子商務學生在進...more
",https://www.books.com.tw/products/0010796832?loc=P_0003_013
14,國際貨物運輸與保險,"余子鵬,蔡小勇",2018-07-27,"
本書分上下兩篇。   上篇為國際貨物運輸，主要介紹國際貨物運輸的主要方式及其特點，具體的貨運程序和主要單證.運費的計算和支付，以及與國際運輸相關的國際公約及其主要條款。   下篇為國際貿易保險。前...more
",https://www.books.com.tw/products/0010794571?loc=P_0003_014
15,賺錢公司的採購學：產品要想賣得好，先得買得好。懂採購，獲利比銷售賺更多，下一個高階主管就是你。,肖瀟,2018-02-01,"
「採購和銷售，是全公司唯二能掙錢的部門，其他部門發生的，都是費用。」   奇異電氣前總裁 傑克.威爾許   「採購學」是職涯的必修顯學   家樂福全國公關經理/何默真      ◎當採購有啥難，會討價還價就行?...more
",https://www.books.com.tw/products/0010776926?loc=P_0003_015
16,採購與供應管理(5版),"中華採購與供應管理協會,許振邦",2017-09-07,"
傳統被視為滿足企業營運需求的「採購與供應管理」職能已經產生了重大轉變，有愈來愈多的公司將其視為對外競爭策略，提高企業獲利力的重要來源。本書採取循序漸進的方式，結合理論與實務，兼具區域性與國際...more
",https://www.books.com.tw/products/0010766229?loc=P_0003_016
17,採購談判與議價技巧(增訂三版),"丁振國,黃憲仁",2017-08-23,"
企業生意越來越難做，勞動力成本倍增，進而導致原材料成本增加，加之經濟劇烈震盪、金融危機、經濟持續低迷，企業的經營成本居高不下，利潤空間越來越小。      毋庸置疑，企業已經進入了微利時代。企業已...more
",https://www.books.com.tw/products/0010762011?loc=P_0003_017
18,現代物流管理：物流與供應鏈整合(4版),張有恆,2017-05-12,"
本書以深入淺出的方式，協助讀者認識「物流管理」與「供應鏈管理」的本質與基本觀念。 本書特色   一、介紹「物流管理」與「供應鏈管理」的基本觀念與管理功能之應用，並融入「永續物流」的概念，以因應當...more
",https://www.books.com.tw/products/0010760579?loc=P_0003_018
19,通路管理：為目標顧客創造價值(二版),邱繼智,2017-04-01,"
本書具有內容完整、脈絡清晰、闡述分明、各章節之間連貫等特色，並且包含專有名詞中英對照、重點提示，再輔以台灣製造業、零售業、餐飲業等企業實務案例，完整且具體地陳述通路管理理論與實踐情形。      ...more
",https://www.books.com.tw/products/0010759474?loc=P_0003_019
20,供應鏈，不是有料就好：工業4.0時代的採購實戰力,洪興暉,2017-03-02,"
忙、盲、茫，採購工作愈做愈忙怎麼辦? 缺料怎麼辦?慌慌張張、忙忙碌碌地催料，卻還是成效不彰怎麼辦? 被老闆的Cost Down第一槍打到，又要怎麼辦? 從採購的角度看供應鏈，目標：「料」事如神!   因為物聯網...more
",https://www.books.com.tw/products/0010744511?loc=P_0003_020
21,圖解物流管理(3版),張福榮,2016-10-25,"
※ㄧ單元一概念，迅速掌握物流管理的精華與內涵。   ※第一本物流管理圖解書。本次改版每章後新增相關個案。幫助讀者快速且有效   ※率地認識理解此一理論與實務結合的學問與技術。   ※圖文並茂.容易理解.快...more
",https://www.books.com.tw/products/0010733384?loc=P_0003_021
22,圖解流通業經營學,戴國良,2016-07-25,"
◎包含先進國家精華理論與臺灣本土最新案例   ◎內容完整周延，涵蓋流通業的經營、管理、行銷、策略各面向   ◎圖解方法表達，容易理解、學習效果加倍。   ◎重視應用技能與觀念養成，提升上班族專業能力，幫...more
",https://www.books.com.tw/products/0010723061?loc=P_0003_022
23,連鎖業商品開發與物流配送,"周明德,黃憲仁",2016-06-21,"
連鎖業的商品開發策略，至少包括自有品牌開發，或是委外OEM生產，也有對外採購。整個商品線管理，要有效運作。   商品的推出上市，到銜接物流配送，當中必須有電腦化管理作為介面，本書內有詳細解說。   ...more
",https://www.books.com.tw/products/0010719005?loc=P_0003_023
24,供應鏈管理,"侯君溥,彭定國",2016-06-01,"
企業間的競爭態勢在這個多變的年代，已逐漸轉為整體供應鏈上的競爭，但供應鏈所涵蓋的範圍及利益關係者極廣，如何整合彼此的資料以提高在市場面的競爭優勢，成為在供應鏈上所有企業的重要課題。   本書共...more
",https://www.books.com.tw/products/0010728314?loc=P_0003_024
25,供應鏈管理：原理、程序、實務(三版),蘇雄義,2016-05-25,"
企業若要永續經營、不斷提升經營效益並保持競爭優勢，除了改善品質與提升效率外，尚需有效整合相關周邊資源，從上游供應商到顧客端，形成共生共存之虛擬整合企業體。在此環境中，最大的挑戰在於如何即時提...more
",https://www.books.com.tw/products/0010718351?loc=P_0003_025
26,如何預防採購舞弊,"秦浩山,翁世鈞",2016-04-21,"
採購是現代工商管理的一種專門技能，採購作為企業經營活動的一個重要環節，呈現出規範化、專業化趨勢，其作用越來越突出，企業對採購的要求也越來越高。   但隨著市場競爭日益激烈，市場採購活動也存在著...more
",https://www.books.com.tw/products/0010712969?loc=P_0003_026
27,倉儲與運輸管理(第二版),中華民國物流協會,2015-08-05,"
中華民國物流協會『物流運籌人才-倉儲與運輸管理證照』認證指定教材 名人推薦   宇柏資訊 秦玉玲董事總經理 推薦...more
",https://www.books.com.tw/products/0010685490?loc=P_0003_027
28,全球運籌：國際物流管理(3版),"蘇雄義,龍道格",2015-05-06,"
近年來全球經濟發展變化愈趨不可預測，然而國際貿易的發展和國際物流需求仍持續成長。跨國企業對於全球運籌的擘劃，更加重視，使得全球運籌與國際物流管理人才成為熱門需求。本書第三版的更新，除保留二版...more
",https://www.books.com.tw/products/0010678295?loc=P_0003_028
29,物流管理基礎檢定教材,"吳舜丞,林文恭",2015-02-13,"
物流包含運輸、倉儲、通關、物流、金流、資訊流，形成一個全球化貿易的體系。看似複雜的結構要如何讓讀者易懂，作者以非常生活化的相關範例代替枯燥的理論來說明物流管理的理論與實用性，便於讓讀者吸收與...more
",https://www.books.com.tw/products/0010665805?loc=P_0003_029
