,書名,作者,出版日期,內容介紹,網址
1,2021健康地產新趨勢,彭培業,2020-11-04,"
你，期待的未來生活，做好準備了嗎?    從平房到公寓，從華廈到豪宅，第五波需求即將來臨，   從高齡到超高齡時代，「健康」就是未來住宅的核心!   戰後嬰兒潮的長遠影響，就在2021年開始發酵。   健康地...more
",https://www.books.com.tw/products/0010873171?loc=P_0003_001
2,完銷力：預售屋代銷完全操盤(三版),"張明義,許惠喻",2020-10-21,"
去化為王!代銷產業如何主宰房地市場遊戲規則   ■ 適用讀者   志在房地產業必讀教本   代銷經理人╱代銷新鮮人╱不動產經紀人   土地開發人員╱建設公司產品規劃人員   廣告從業人員╱行銷企劃人員 本書特色   ...more
",https://www.books.com.tw/products/0010874428?loc=P_0003_002
3,丁丁的房產人生雜記2,丁丁,2020-10-01,"
好評續集!房產代銷人員不為人知的心得、密法大公開，人人都是房產大贏家!    ◎繼第一冊上市大受好評，應讀者期盼，作者持續書寫不輟，嘉惠讀者。   ◎以少見於同類書籍的角度論述房產產業，同時以十數年第...more
",https://www.books.com.tw/products/0010871393?loc=P_0003_003
4,一圖秒懂2：買房知識+,賣厝阿明,2020-09-01,"
賣厝阿明、買房知識家，長期讓各大媒體肯定轉載分享 買房賣房╳重點整理╳圖解說明 輕鬆閱讀讓您搞懂房地產   生動有趣的視覺圖像，不用繼續憑空想像...終結疑問房產聖經，即刻擁有!   「一圖秒懂2」是一本...more
",https://www.books.com.tw/products/0010868565?loc=P_0003_004
5,翻轉吧!房仲菜鳥,"李姿穎,李逸強",2020-09-01,"
結合行銷理論與十多年實戰經驗，快速成為王牌房仲，就在這一本!    ◎成為一個頂尖房仲需要學習十八般武藝，本書將幫您打開房仲業的任督二脈。   ◎書中脈絡清晰、敘理明確，搭配圖文並茂的解說，讓有志從事...more
",https://www.books.com.tw/products/0010868593?loc=P_0003_005
6,土地建築開發「實務*攻略」,"王啟圳,陳尚宏",2020-08-31,"
本書內容從   |認識土地使用管制體系   |土地產權調查   |建築道路與套繪管制   |建築指示線與畸零地處理   |公有土地讓售   |建築基地利用實務   培養讀者「系統性破解問題土地開發案件」的能力...more
",https://www.books.com.tw/products/0010869826?loc=P_0003_006
7,超強房地產行銷術(5版),"吳家德,陳世雷",2020-08-28,"
●新媒體「數位行銷」強勢來襲，精準領先掌握市場脈動   ●何謂進化行銷3.0、網路經濟學!   ●揭開房地產行銷內幕手法   ●買房&賣房必備專業法寶   ●理論+圖表+實務=最佳教戰手冊   2015年房地合一稅立法通過...more
",https://www.books.com.tw/products/0010868331?loc=P_0003_007
8,住房自由的人生：房地產專家張金鶚教你活用七三法則、大數據，找回居住自主權,張金鶚,2020-07-22,"
房地產是許多人一生中最昂貴的資產， 面對這麼重大的決策，絕對不能憑直覺、靠運氣。   居住是人生中無法逃避的一件大事，無論租屋或買屋，住房應該也是一般人生命中最大的一筆消費。然而，面對這樣的切身...more
",https://www.books.com.tw/products/0010864374?loc=P_0003_008
9,智在法拍2!法拍問題屋 張老師這樣救-不點交、違建、假租約、共有糾紛速解,張明義,2020-07-21,"
糾紛速解，逆轉法拍死局!   在別人眼中，一個不確定性很高的不點交案例，一個勝訴與訴訟時間都很長很渺茫的案例，你如果可以確定出時間差，可以確定出勝算率，可以確定出獲利金額，你就成功了。從「不確定...more
",https://www.books.com.tw/products/0010865716?loc=P_0003_009
10,資產傳承秘笈,施亮州,2020-07-01,"
有錢人持有大筆不動產，在意的是保值、增值、節稅、傳承的 問題?還是留待子女自己去處理?人生最後能不能把資產順利 移轉到子女身上，而且沒有分配紛爭，才是現今持有不動產資 產者更重要面對且必修的課題...more
",https://www.books.com.tw/products/0010864404?loc=P_0003_010
11,房地產理論與實務(12版),吳家德,2020-06-25,"
熱銷萬冊!業界唯一指定用書   ★狂銷12版，好評不斷的入門訓練教材。   ★新媒體「數位行銷」強勢來襲，精準領先掌握市場脈動。   ★全方位必備知識，一書在手，化身房地產行銷高手!    ♕業界名師親自傳授，...more
",https://www.books.com.tw/products/0010863265?loc=P_0003_011
