,書名,作者,出版日期,內容介紹,網址
1,富足一生的理財必修課：從小資存錢到財產傳承的完整規畫,廖義榮,2020-11-11,"
學校老師沒教， 但人生必懂的理財觀    ◎上班工作好累，自已出來開店做老闆比較輕鬆?   【正解】老闆常常全年無休，不但沒有人發給他薪水，還要背負成本、貸款的壓力，未必會比當員工還輕鬆。    ◎和男/女...more
",https://www.books.com.tw/products/0010873174?loc=P_0003_001
2,呂旭明會計師教您如何節稅致富與跨境傳承,呂旭明,2020-11-11,"
應廣大讀者要求，特將2007年版本重新編寫，收錄以下內容：   ●臺灣個人及公司所得、贈與、遺產稅案例解析   ●跨境傳成架構解析與實際操作   ●美國信託及離岸信託架構解析及實際運作   ●外國機構投資人(FIN...more
",https://www.books.com.tw/products/0010874643?loc=P_0003_002
3,月入23K無痛買房投資術：Dr. Selena教你鍊出人生第一桶金，投資買好宅!(作者親簽版),Dr. Selena 楊倩琳,2020-11-10,"
繼《月入23K也能投資理財》《月入23K也能環遊世界》 Dr.Selena「理財特訓班」更升級 教你投資好宅，買房自富!    繼脫貧特訓、夢想特訓後，這次Dr.Selena要給你更進階的買房自富超強理財特訓!      她鼓勵...more
",https://www.books.com.tw/products/0010874431?loc=P_0003_003
4,月入23K無痛買房投資術：Dr. Selena教你鍊出人生第一桶金，投資買好宅!,Dr. Selena 楊倩琳,2020-11-10,"
繼《月入23K也能投資理財》《月入23K也能環遊世界》 Dr.Selena「理財特訓班」更升級 教你投資好宅，買房自富!    繼脫貧特訓、夢想特訓後，這次Dr.Selena要給你更進階的買房自富超強理財特訓!      她鼓勵...more
",https://www.books.com.tw/products/0010874456?loc=P_0003_004
5,用錢賺錢!30歲之後不該逃的理財課：錢追錢快過人追錢，找出你最適用的追錢工具,陳雲,2020-11-01,"
錢不可能是一切，但沒有錢一切免談。 用錢賺錢，最終目的在減輕生活重擔，讓你獲得真正的自由。 但是，該從哪裡踏出第一步?使用哪一種追錢工具才順手?   !給「投資小白」的30秒快問快答!   □Yes □No投資理...more
",https://www.books.com.tw/products/0010874238?loc=P_0003_005
6,從扛債人生走向財務自由：5年清掉5千萬債務的3步驟優化理財術,王姵文（黑媽）,2020-11-01,"
理債，財會來!   解決過去債務╳調整現在收支╳累積未來籌碼，   3步驟優化理財力，創造現金流!   ★隨書附贈「財務陪跑計畫表」，讓黑媽陪著你一起學理財，別債苦!   ★課程限定!2021.12.31前，憑新書入場，...more
",https://www.books.com.tw/products/0010873961?loc=P_0003_006
7,減法理財術，人生大加分：樂活大叔最暖心法總整理,施昇輝,2020-10-29,"
★聽過上百場的投資理財講座，不如一本金句書!★ ★逆著人性走，又慢又無聊，能心安賺錢又何妨!★  重點就在金句裡， 一次完整掌握樂活大叔理財心法， 做你的投資心靈引路人!    「還是有非常多人不懂、害怕、...more
",https://www.books.com.tw/products/0010873559?loc=P_0003_007
8,減法理財術，人生大加分：樂活大叔最暖心法總整理【作者親簽版】,施昇輝,2020-10-29,"
★聽過上百場的投資理財講座，不如一本金句書!★ ★逆著人性走，又慢又無聊，能心安賺錢又何妨!★  重點就在金句裡， 一次完整掌握樂活大叔理財心法， 做你的投資心靈引路人!    「還是有非常多人不懂、害怕、...more
",https://www.books.com.tw/products/0010873778?loc=P_0003_008
9,我畢業五年，用ETF賺到400萬+我用死薪水輕鬆理財賺千萬(五萬本紀念版)(全兩冊套書),"PG財經筆記,安德魯．哈藍",2020-10-28,"
《我畢業五年，用ETF賺到400萬》   ◎股神巴菲特一再指出，ETF最適合散戶，買一檔就能隨著股價指數成長賺遍全世界。   ◎為什麼銀行理專從不建議你買?因為這手續費太低，銀行幾乎收不到佣金。   ◎月收入3萬...more
",https://www.books.com.tw/products/0010874026?loc=P_0003_009
10,巴比倫最有錢的人，刻字匠阿卡德的財富自由之路：傳承百年，獲得財富與幸福的五大黃金法則,喬治．山繆．克拉森,2020-10-21,"
刻字匠阿卡德、馬車工人班西爾、里拉琴手科比三個人是從小一起長大的夥伴， 阿卡德並不特別努力，也沒有比較聰明，但幸運女神卻獨獨挑中了他……，   變革的時代，獲得財富的工具不斷在變，但對財富的觀念，...more
",https://www.books.com.tw/products/0010873219?loc=P_0003_010
11,財務自由實踐版：打造財務跑道，月光族、小資族也能過自己想要的生活,"珍．羅伯茲．馬,羅傑．馬",2020-10-14,"
★個人賺錢能力和投資能力，左右你所能累積的個人資產!   ★從兩手空空到財務自由，強化賺錢能力及改善財務狀況的致富練習。   ▊沒有富爸爸，也能財務自由。   打造財務跑道，讓你不再為錢工作，拿回生活主...more
",https://www.books.com.tw/products/0010872644?loc=P_0003_011
12,理債變有錢：終止財庫黑洞 理債比理財更重要,李宗澤,2020-10-01,"
談理財，你理債了嗎? 終止財富黑洞，理債比理財更重要! 3個月內收入提升，6個月信用能力提升， 1年時間支出降低70%! 掌握理債的訣竅，不只可以擺脫負債，還能實現財富自由!   現今社會，借貸需求已經是人...more
",https://www.books.com.tw/products/0010871132?loc=P_0003_012
13,加速你的FIRE人生：打造致富體質，提早贏得財富自由,Yale Chen,2020-10-01,"
厭世代•FIRE人生加速器 【密技大公開】《自由學院資料庫》超完整懶人包  25歲擁有4個被動收入，26歲達成財富自由 投資理財人氣YouTuber「Yale Chen」 實現FIRE人生一定要知道的理財心法    在不可思議的年...more
",https://www.books.com.tw/products/0010870639?loc=P_0003_013
