,書名,作者,出版日期,內容介紹,網址
1,中國贏了嗎?：挑戰美國的強權領導,馬凱碩,2020-10-15,"
美中對峙，台海緊張情勢日益升高， 台灣該如何安全挺過這場世紀惡鬥?    在詭譎的地緣政治情境裡，   李光耀公共政策學院前院長暨全球地緣政治專家馬凱碩說：   「小國若要安然生存，就要知道地緣政治勢力...more
",https://www.books.com.tw/products/0010873209?loc=P_0003_001
2,一帶一路下的中國貿易,左世翔,2020-06-19,"
國際貿易(International Trade) 又被稱為世界貿易(World Trade)，是指在世界各國之間進行的商品、服務及技術的交換活動。國際貿易以世界各國的勞動分工為基礎，反應了各貿易國在經濟交往中的相互關係。國...more
",https://www.books.com.tw/products/0010862169?loc=P_0003_002
3,外資銀行進入對東道國銀行績效影響研究,馬如靜,2020-05-29,"
20世紀70年代以來， 世界經濟一體化和金融全球化已成為不可逆轉的趨勢，各國都面臨著開放或進一步開放本國金融市場的壓力。銀行業作為金融服務貿易的主導行業，關係到一國金融體系和經濟的發展，一直是各...more
",https://www.books.com.tw/products/0010860150?loc=P_0003_003
4,中國：東盟自由貿易區環境下會計準則趨同與發展研究,劉衛,2020-05-08,"
本書就是研究在中國-東盟自由貿易區環境下，應如何透過協調和趨同形成相對統一的區域會計準則體系，這有助於促進中國和東盟各國的會計準則與國際會計準則相協調乃至趨同，更有助於降低會計服務成本且提高...more
",https://www.books.com.tw/products/0010857957?loc=P_0003_004
5,貿易金流常識與實務入門(二版),葉清宗,2020-03-20,"
台灣是貿易島國，GDP依賴國際貿易程度高，可見貿易對台灣之重要性。本書作者縱橫外匯貿易30餘年，深知貿易業的常見疑難問題，以深入淺出的方式，分享寶貴實務經驗，帶您窺探國際貿易操作的奧秘!無論是否受...more
",https://www.books.com.tw/products/0010852782?loc=P_0003_005
6,黑錢：跨國企業主宰與顛覆全球經濟的手段,大衛‧蒙特羅,2019-11-06,"
史上最完整的貪污地圖 世界經濟強權.500強知名企業.橫跨四大洲 ★普立茲獎得主盛讚★ ★作者為艾美獎提名製作人★   「必看《黑錢》!這本書獨一無二、具啟發性又精練，直接拆穿賄賂的真實過程，以及誰將為此買...more
",https://www.books.com.tw/products/0010838537?loc=P_0003_006
7,川普設的局?!：中美貿易戰與科技戰,楊永明,2019-09-04,"
中美貿易戰是什麼?關稅制裁將造成哪些影響?   華為事件為何受眾人矚目?台灣應該如何應對?   歡迎加入史上最狂總統川普開啟的這局遊戲，   世界各國不僅是受邀觀眾，更是參與玩家，   而由「衛冕冠軍：美國...more
",https://www.books.com.tw/products/0010832199?loc=P_0003_007
8,貿易戰爭：誰獲利?誰受害?解開自由貿易與保護主義的難解之謎,羅素‧羅伯茲,2019-08-08,"
教你看懂「美中貿易戰」的本質， 學會「經濟學」的思考方式 ★米爾頓‧傅利曼、馬丁‧沃夫 專業推薦! ★《商業週刊》、《金融時報》年度商業好書! ★商管、經濟、國貿科系，指定課外讀物  這本書的主角，是十九...more
",https://www.books.com.tw/products/0010829613?loc=P_0003_008
9,說透了世界貿易戰,"劉揮,趙濤",2019-08-07,"
■ 這是一部嚴謹的世界貿易戰全史，同時也是一部有趣的貿易戰故事大全!   回顧2000多年的貿易戰歷史，深度剖析18次貿易戰大事件!走私、榷場、貨幣戰爭，你不知道的宋遼貿易戰關鍵字!為什麼有人說鴉片戰爭其...more
",https://www.books.com.tw/products/0010830232?loc=P_0003_009
10,國貿女王就是姐,鍾莫渝,2019-07-28,"
看小說，一窺國貿職場潛規則   首部台灣貿易界的白領職場小說   職場《甄嬛傳》、貿易界《半澤直樹》   從不熟練的菜鳥助理，蛻變成一人全權負責遠東區業務的總經理。   姐只有一句：「沒在怕的!」   ——給...more
",https://www.books.com.tw/products/0010829516?loc=P_0003_010
