,書名,作者,出版日期,內容介紹,網址
1,塊數據5.0：數據社會學的理論與方法,"大數據戰略重點實驗室,連玉明",2020-11-27,"
★ 美國《中美郵報》、英國《華商報》、西班牙《僑聲報》、日本《日中商報》、南非《非洲時報》等世界各大媒體好評推薦!   ★ 阿里巴巴集團—馬雲、河北省副省長—陳剛好評推薦!   ★ 全國信標委大數據、上海交...more
",https://www.books.com.tw/products/0010874300?loc=P_0003_001
2,塊數據4.0：人工智能時代的激活數據學,"大數據戰略重點實驗室,連玉明",2020-11-13,"
★ 美國《中美郵報》、英國《華商報》、西班牙《僑聲報》、日本《日中商報》、南非《非洲時報》等世界各大媒體好評推薦!   ★ 阿里巴巴集團—馬雲、河北省副省長—陳剛好評推薦!   ★ 全國信標委大數據、上海交...more
",https://www.books.com.tw/products/0010874293?loc=P_0003_002
3,塊數據3.0：秩序互聯網與主權區塊鏈,"大數據戰略重點實驗室,連玉明",2020-11-06,"
★ 美國《中美郵報》、英國《華商報》、西班牙《僑聲報》、日本《日中商報》、南非《非洲時報》等世界各大媒體好評推薦!   ★ 阿里巴巴集團—馬雲、河北省副省長—陳剛好評推薦!   ★ 全國信標委大數據、上海交...more
",https://www.books.com.tw/products/0010873579?loc=P_0003_003
4,後疫情時代的新經濟：全面解讀新冠病毒衝擊下的全球經濟脈動與因應策略,丹尼爾．施德特,2020-10-31,"
疫情之後，全球如何重開機? ▅ 第一本剖析疫情經濟趨勢的重磅之作 ▅ ★《二十一世紀債務論》作者、德國getAbstract國際圖書獎得主新作  2019年底， 一隻黑天鵝「新冠病毒(COVID-19)」讓全球癱瘓， 不僅引發...more
",https://www.books.com.tw/products/0010874047?loc=P_0003_004
5,塊數據2.0：大數據時代的範式革命,"大數據戰略重點實驗室,連玉明",2020-10-30,"
★ 美國《中美郵報》、英國《華商報》、西班牙《僑聲報》、日本《日中商報》、南非《非洲時報》等世界各大媒體好評推薦!   ★ 阿里巴巴集團—馬雲、河北省副省長—陳剛好評推薦!   ★ 全國信標委大數據、上海交...more
",https://www.books.com.tw/products/0010873576?loc=P_0003_005
6,當商業開始改變世界：從亞當.斯密到巴菲特，探看近300年世界商業思潮演變與影響,吳曉波,2020-10-29,"
前人的偉大之處是什麼?是創見。 他們影響了我們，但不能「占領」我們!   名作家吳曉波，從上千本書中精挑細揀經典之作，帶你理解我們所認知的商業世界從何時何處開始?這些經濟與商業思想大師，以其獨到觀...more
",https://www.books.com.tw/products/0010873822?loc=P_0003_006
7,專利戰略：專利如何讓我們準確預測趨勢走向，思考戰略布局?,久慈直登,2020-10-28,"
精準找到潛在飆股的科學方法 「專利」 ↓↓↓↓↓ 「無形資產」 找商機‧找融資‧找趨勢 非懂不可的獲利關鍵字!   ◎當「專利」變成「資產」──對企業會有什麼影響?   近幾年來，「無形資產」這個名詞開始慢慢浮上...more
",https://www.books.com.tw/products/0010873661?loc=P_0003_007
8,漫畫區塊鏈,王俊嶺,2020-10-23,"
區塊鏈是一個沒有中心，能安全存儲和傳送信息，是下一代信息革命的引爆區，在即將到來的5G時代與我們每個人息息相關。如果之前99%的區塊鏈知識你都沒看懂，那麼，你一定會對這本書相見恨晚——這是一本99%的...more
",https://www.books.com.tw/products/0010874750?loc=P_0003_008
9,塊數據1.0：大數據時代真正到來的標誌,"大數據戰略重點實驗室,連玉明",2020-10-23,"
★ 美國《中美郵報》、英國《華商報》、西班牙《僑聲報》、日本《日中商報》、南非《非洲時報》等世界各大媒體好評推薦!   ★ 阿里巴巴集團——馬雲親撰推薦序!   ★ 全國信標委大數據、上海交通大學等知名機構...more
",https://www.books.com.tw/products/0010873570?loc=P_0003_009
10,新世代影響力：年輕人如何成為引領未來趨勢、改變社會運作的力量?,洛基．史考佩利提,2020-10-13,"
年輕一代的價值觀， 正讓世界變得更美好!   比起薪資，他們更看重工作的意義、   被賦予更多權利、追求自我認同、   渴望為社會帶來影響……   這些不同於上一代的，   就是年輕人最可貴的地方。   「青年震...more
",https://www.books.com.tw/products/0010872025?loc=P_0003_010
