,書名,作者,出版日期,內容介紹,網址
1,好文案決定你的商品賣不賣：現學現用!零成本提升業績，有感熱銷文案技巧,椹寛子,2020-11-05,"
好懂!好學!好賣! 零成本業績提升術! 提升來客率、銷售額就靠這一本! 集客、漲粉、商品大賣的文案技巧! 一行字抓住客戶的心! 創業人士、電商、自媒體、社群小編 必備! ■日本亞馬遜、Bookmeter書評網、BookL...more
",https://www.books.com.tw/products/0010874336?loc=P_0003_001
2,影響有影響力的人：丁菱娟解密26堂公關課,丁菱娟,2020-08-03,"
只要是上班族，公關是你一定要會的本領! 每個發光品牌的背後，都有一種公關力 在爭奪眼球的時代，如何打一場漂亮的品牌戰? 溝通表達×關係經營×危機處理 從小編到CEO，都在向公關學的26堂品牌課   公關，是...more
",https://www.books.com.tw/products/0010864927?loc=P_0003_002
3,宣傳學•「公共關係之父」伯內斯代表作：一群隱形統治者如何影響我們的心思，塑造我們的品味，暗示我們應該如何思考,愛德華．伯內斯,2020-08-01,"
《生活》雜誌評為二十世紀最有影響力的百位美國人之一 宣傳專家、「公共關係學之父」伯內斯代表作 「伯內斯所寫的這本誠實而實用的手冊，為我們提供了很多深刻的見解， 讓我們能深入了解在當代企業與國家...more
",https://www.books.com.tw/products/0010865085?loc=P_0003_003
4,公關智商,利嘉敏,2020-01-21,"
「公關智商」不等於「危機管理」，但如何防範和處理危機，絕對是公關智商高或低的重要指標。   上一代的危機管理沒有「real-time」元素，但自從行動科技在全球普及發展，人人手上一部手機，但凡遇到非尋常...more
",https://www.books.com.tw/products/0010813185?loc=P_0003_004
5,關公妹仔手記之挑戰PR地獄,關公妹仔,2019-11-22,"
30個公關真人真事x 嚴選10大拆彈活動CASE   由marketing 廣告講到PR，   由print media講到KOL，   由幕後準備講到活動當日，   關氏兄弟姊妹帶你過五關斬六將!   □古怪客係都要某某明星代言?!   ......more
",https://www.books.com.tw/products/0010840903?loc=P_0003_005
6,公關力：讓客戶、消費者、媒體、政府、投資人都說你好，打造企業影響力,李國威,2019-08-28,"
為什麼有些企業——   在平時，人們自發性的說你好；危機時，企業不重傷?   原因在於，公關力。   公關力就是企業強大的品牌護城河，能夠推出影響力，鞏固品牌價值，還能讓品牌在市場上脫穎而出。   ⊙公關的...more
",https://www.books.com.tw/products/0010831630?loc=P_0003_006
7,自力時代!公關教主于長君教你如何創造自我價值，打造亮眼的個人品牌,于長君,2019-03-07,"
在這個年代，名字就是品牌， 別人對你的印象，來自於對自己經營能力! 縱橫業界數十年、首屈一指的時尚公關教主于長君， 用敏銳細心的眼，剖析各行業成功人士的成功法則； 用真誠傳承的心，完整分享職場及...more
",https://www.books.com.tw/products/0010814897?loc=P_0003_007
8,數位時代的公關新主張：讓群眾口耳相傳、媒體主動報導的PR教戰手冊,"伊澤佑美,根本陽平",2019-01-28,"
請問，「PR」是你的工作嗎?請問，你對「PR」有興趣嗎?   既然你拿起了這本書，答案肯定是「Yes」吧?太好了，這本書一定能對你有所幫助。   無論是目前正從事「PR」工作的人，還是今後想推動「PR」的人，抑...more
",https://www.books.com.tw/products/0010811507?loc=P_0003_008
9,名聲賽局：個人、企業、國家如何創造與經營自己的名聲,"大衛‧瓦勒,魯柏‧楊格",2018-12-27,"
名聲，比金錢更重要   名聲在21世紀的價值，將會超過20世紀的貨幣   本書先定義「名聲」是什麼，同時說明名聲與行銷、公關、品牌塑造、形象或地位的差異何在，以及為什麼要瞭解這些差異。    作者接著說明...more
",https://www.books.com.tw/products/0010808818?loc=P_0003_009
10,說破：全媒體時代危機管理,周廷勇,2018-09-07,"
危者事多，言者多事，在眾聲喧嘩的全媒體時代，危機管理如何從被動走向主動，直至規避危機?本書剖析在全媒體時代的危機管理，要堅持依法處置、輿論引導與社會面管控的方向，在發現危機、孤立危機、處置危...more
",https://www.books.com.tw/products/0010798724?loc=P_0003_010
11,【親善大使、公關活動必備】安啦!帶你搞定活動企劃與禮賓工作,梁崇偉,2018-06-22,"
上司要你辦場活動，你要兩手一攤說：「我不會」嗎? 你可知道在職場上，每一個人都會成為代表公司的公關人物嗎?   所有公商務場合中常見的活動專案，無論是會議及簡報、活動企劃的擬撰、典禮與記者會的舉辦...more
",https://www.books.com.tw/products/0010790687?loc=P_0003_011
12,公關經理「菁英培訓版」,讀品企研所,2018-06-01,"
成為公關經理人所必備的基礎知識   從容面對心態各異的大眾，在錯綜複雜的社會環境中處變不驚，   遊刃有餘地展開工作，是公關經理人應具備的心理素質。   公司做好公關，建立廣泛的社會聯繫，   取得各方...more
",https://www.books.com.tw/products/0010789134?loc=P_0003_012
13,謝罪的藝術 吉本興業的完美危機管理法,竹中功,2018-03-15,"
*真實謝罪腳本/新聞稿案例大公開*   旗下藝人感情糾紛、交通肇事、在酒吧鬥毆、經營餐廳爆發食物中毒……   所屬公司吉本興業要如何道歉才能保住藝人與公司顏面?   從企業團體的謝罪記者會，到職場上的道歉...more
",https://www.books.com.tw/products/0010774045?loc=P_0003_013
14,銷災,徐緣,2017-09-21,"
網絡年代，人人都有公關危機!   如何避免自製災難?   如何應對關公纏身?   你需要一本全面又實用的網絡公關災難處理指南。   《關公災難》加料版，更多案例，全面分析。 名人推薦   莊偉忠・Middle・曾錦...more
",https://www.books.com.tw/products/0010765680?loc=P_0003_014
15,圖解新事業計畫書,井口嘉則,2017-02-09,"
從零開始提煉創意→成功獲利的創業技術 創立新事業的成功只有一點訣， 就在反覆模擬試算，找出商業模式， 然後用感動說服、用熱情堅持、用紀律按表操課! 7步驟完成計畫，簡單具體好操作        ┼ Free Down...more
",https://www.books.com.tw/products/0010742559?loc=P_0003_015
16,頂尖公關人員的10堂致勝課,劉義才,2017-01-04,"
本書特色   公共關係學是一門研究組織與公眾之間相互傳播與溝通的行為、規律和方法的科學。它是傳播學、管理學、社會學、心理學等多門學科相互交叉、融合而產生的一門綜合性、應用性的新興學科。   公共關...more
",https://www.books.com.tw/products/0010740388?loc=P_0003_016
17,公共關係：理論、策略與應用(二版),陳一香,2016-07-28,"
面對全球化以及媒體數位變革等多重挑戰，公共關係作為組織與其所有利益相關者之間的關係管理，其定位與功能，已明顯從戰術性公關轉向策略性公關。同時面對網際網路不斷推陳出新，公關活動的策劃與運作，不...more
",https://www.books.com.tw/products/0010726969?loc=P_0003_017
18,公共關係(三版)：理論、策略與研究實例,孫秀蕙,2016-06-20,"
「人」是公共關係的本位；   能善用工具、活用技巧的人，更是公共關係的靈魂!   快速流動的社會，不斷為公關帶來新挑戰；身為產業或政府博取群眾認同、建立共識的重要灘頭堡，公關應該如何與時俱進，在不...more
",https://www.books.com.tw/products/0010858243?loc=P_0003_018
19,公關與危機管理,"曾良倫,陳家華",2015-04-01,"
踏進數碼新時代，在新科技發展及媒體融合的背景下，資訊傳播模式不斷發生改變。今天，每個人都可以是資料發布者，以致一點危機火苗，也可轉瞬變成燎原之火，給公關行業帶來衝擊。不論公營及私營機構對公關...more
",https://www.books.com.tw/products/0010703776?loc=P_0003_019
20,公關的實戰技巧,鄧峻浩,2015-02-06,"
公關人員、企業高層乃至政府官員等，常要面對媒體，公開發言；稍一不慎，即會惹來洶湧情。如何讓演說或聲明更加專業、更有力道、更見方略?   本書引用大量中外重要場合中，當事人對公眾的表態實例，並通過...more
",https://www.books.com.tw/products/0010665125?loc=P_0003_020
21,國際禮儀與海外見聞(10版),莊銘國,2014-03-13,"
到正式或大型場所用餐時，如何「坐」才合宜?   當湯盤內的湯剩下一點點時，怎麼喝才優雅?   穿著西裝時，應如何搭配鞋子、襪子和領帶?   掌聲是獻給表演者的最佳禮物，但何時鼓掌、何時叫好，你知道嗎?   ...more
",https://www.books.com.tw/products/0010632074?loc=P_0003_021
22,活動企劃(第二版),茱迪．愛倫,2013-11-01,"
對活動企劃人員來說，沒有彩排這回事!   你所企劃與籌備的每一個活動，都反映出你的組織形象──從一開始的邀請到現場作業。無論是策劃產品發表會、研討會、銷售會議、獎勵活動或募款晚會，切記，真正使人難...more
",https://www.books.com.tw/products/0010619695?loc=P_0003_022
23,Facebook文案讚!人財兩得的網路文案經營術,唐崇達,2013-10-08,"
史上第一本!針對Facebook撰寫的文案指南   有FB帳號的人，一定要懂的8堂課   有效解決社群經營「詞窮」、「沒內容」、「貼文單調」等困擾!   匯集千萬人氣，讓粉絲愛你、朋友挺你!天天「讚」不停!   你是...more
",https://www.books.com.tw/products/0010612185?loc=P_0003_023
24,企業失敗學-企業媒體公關策略及企業失敗學(POD),黃正一,2013-06-30,"
企業媒體公關策略及企業失敗學  是目前台灣第一本專門介紹台灣媒體生態及深度執行面的專書，同時也是台灣第一本深入論及企業面對危機時該如何自處的專書，內容理論及實務上的舉例豐富，且都是大家記憶猶新...more
",https://www.books.com.tw/products/0010598379?loc=P_0003_024
