,書名,作者,出版日期,內容介紹,網址
1,一句說重點：4步驟、7方法、刻進右腦的20個關鍵字，寫出短精勁趣的走心文案,田口真子,2020-06-24,"
最適合企劃開發、行銷廣告、社群經營、業務推廣!   小到email主旨、社群回文，大到企劃標題、目錄大標，做到速懂、有力又趣味   4步驟+7方法+刻進右腦的20個關鍵字 = 短‧精‧勁‧趣的走心文案    30年資歷的...more
",https://www.books.com.tw/products/0010860776?loc=P_0003_001
2,Contemporary Advertising and Integrated Marketing Communications (16版),"Michael F. Weigold,Williams F. Arens",2020-05-29,"
1. Practical, hands-on approach.   2. Intended for UG students in liberal arts, journalism, mass communication, and busi......more
",https://www.books.com.tw/products/0010860539?loc=P_0003_002
3,廣告學(11版),陳尚永,2020-05-12,"
一、全方位的「整合行銷傳播」思維   整合行銷傳播的學理與實務運用，已經是現代行銷必備的基本條件。本書作者們即是以此思維撰寫，幫助讀者從閱讀中，培養全方位的「整合行銷傳播」觀念。   二、強調「廣...more
",https://www.books.com.tw/products/0010860508?loc=P_0003_003
4,吸睛文案鍊金術：打造業績狂飆的神級爆文,陳凡,2019-12-05,"
讓銷售翻10倍的爆款文案從何而來?   其實，那些超級熱銷的文案，靈感背後都是邏輯!   寫作靠天賦，文案有公式   150多組經典案例，近100個實戰技巧，教你先模仿後創作，寫出好文案，寫出賺錢力   如何寫出...more
",https://www.books.com.tw/products/0010841720?loc=P_0003_004
5,連賈伯斯都想學的非理性行銷：廣告教父教你動搖人心7堂課， 激起顧客的「購物衝動」!,川上徹也,2019-11-28,"
★暢銷15萬冊《為什麼超級業務員都想學故事銷售》續作!   如果你佩服賈伯斯，讓果粉非理性狂買的銷售力，那你絕對不能錯過這本書!   因為本書教你──   如何在計程車車身加上符號，讓人光是看到就覺得幸運? ...more
",https://www.books.com.tw/products/0010840123?loc=P_0003_005
6,數位時代的奧格威談廣告：聚焦消費洞察，解密品牌行銷,楊名皓,2019-09-11,"
當代廣告大師與一流品牌的經驗總結， 從創意發想到廣告執行，從洞察顧客心理到掌握數位媒體生態， 提供你一整套系統性的思考訓練與實戰策略。 這是一部承前啟後的現代廣告史， 更是一部教你在新時代做內容...more
",https://www.books.com.tw/products/0010832587?loc=P_0003_006
7,文案變現：4個黃金步驟，立刻寫出讓人忍不住掏錢包的超有效文案!,葉小魚,2019-09-02,"
1秒勸敗，1句推坑，地表最強文案訓練師傾囊相授，   超過40個實戰圖解、100則案例分析，讓你立刻變身文案高手!   《誠品副作用》文案達人李欣頻：文案就像溝通，這本書帶著你從「說什麼」、「對誰說」、「...more
",https://www.books.com.tw/products/0010832304?loc=P_0003_007
8,廣告行銷自學聖經：圖解50年金獎廣告，文案撰寫、策略擬定、平面動態、品牌定位及社媒經營的全方位秘笈,彼得‧貝瑞,2019-08-12,"
按""讚""時代，分享即廣告 如果你沒時間花四年讀廣告行銷系，試試這一本 國際廣告大師做你的私人教練!   不必出國留學，一本書，帶你入行   終於等到的「超級工具書」   99%的廣告都很爛，最好的1%都在這本 ...more
",https://www.books.com.tw/products/0010830388?loc=P_0003_008
9,廣告行銷原來如此!破解行銷原點：只要掌握人心，什麼都可以賣!,李仁毅,2019-08-01,"
◆為什麼菜市場一顆小籠包賣6元，那個知名品牌一籠10顆可以賣到220元?   ◆一樣都是賣拉麵，為什麼在海拔3776公尺的富士山頂上開店，客人居然絡繹不絕?   ◆漲了2塊錢，關了一家店!漲價到底該怎麼漲，客人才...more
",https://www.books.com.tw/products/0010829332?loc=P_0003_009
10,李欣頻的寫作之道：如何從誠品書店文案開啟多元寫作之路,李欣頻,2019-07-22,"
我覺得身為一個文案最美好的事，就是能用我們獨特的眼睛，透過文字讓其他人也看到我們眼前的美好。--李欣頻   以兩岸長銷20年《誠品副作用》文案作品集，   創下一篇文案80萬的超高行情，   也同時開啟廣...more
",https://www.books.com.tw/products/0010828389?loc=P_0003_010
11,體驗經濟下的廣告與新媒體管理,,2019-05-24,"
人類經濟發展的歷程經歷了從農業到工業、從工業到服務業等不同階段；經歷了由商品唯一論到商品與服務結合論的不同認識階段。然而縱觀近年來市場的實踐，產品和服務消費模式正發生著巨大變化:顧客消費的整...more
",https://www.books.com.tw/products/0010823487?loc=P_0003_011
12,B2B實例廣告聖經：再高價、再難賣的商品都能賣!,村中明彥,2019-05-15,"
什麼是讓滯銷品業績大爆發的實例廣告?   為什麼它可以讓業務菜鳥即使業務能力普通也能順利拿到訂單?   實例廣告的目的就是要改變顧客對商品的認知，   陳述事實，顧客就會相信，   不用滿口話術，也能順利...more
",https://www.books.com.tw/products/0010821249?loc=P_0003_012
13,感謝：廣告55年，幸遇貴人，幸得機會,賴東明,2019-05-13,"
「廣告就是幫助別人」──這是廣告教父賴東明一路走來始終不變的初衷， 他抱持著感謝的心，走過五十五年廣告路上的人情世故。   「我的廣告人生，從1962年開始於國華廣告，而在2017年終止於聯廣公司。在這半...more
",https://www.books.com.tw/products/0010821093?loc=P_0003_013
14,體驗經濟下的廣告管理：新趨勢、新方法與新案例,艾進,2018-11-09,"
本書是西南財經大學市場營銷學和旅遊管理學教材系列中的一部新教材。本書在汲取國內外廣告學著作精華的同時，結合當今時代所處的背景———體驗經濟，以新的視角和新的案例，融匯了經濟學、管理學、市場營銷...more
",https://www.books.com.tw/products/0010805261?loc=P_0003_014
15,進擊的大學：日本近畿大學親授大逆轉的戰略廣告術,世耕石弘,2018-09-27,"
*十年內報考人數成長兩倍，考生數連續五年日本第一。   *經營者、廣告人必讀，打破日本名校階級的超強品牌宣傳戰。   *150場演講熱烈迴響，聽眾從商業人士到行政人員，兩年間累積三萬人次!   養殖黑鮪魚養...more
",https://www.books.com.tw/products/0010799164?loc=P_0003_015
16,囧 老闆要我寫文案：快速交件不NG的文案懶人包,那口井,2018-07-27,"
別誤會，這並不是另一本教你「如何變成廣告文案大師」的書   我們最在乎的，就是讓你的文案不被老闆打槍   老闆說，下班前把文案交出來!   「報、報告老闆，我是採購助理耶!」   「很簡單啦，幾十個字而已...more
",https://www.books.com.tw/products/0010795642?loc=P_0003_016
17,不只令人心動，更讓人行動的言語力：一開口就動聽、一下筆就吸睛，日本頂尖廣告文案人教你深化思考，優化表達，你也能很有影響力!,梅田悟司,2018-06-27,"
日本銷售量突破二十萬冊!   只需要正視自身思考，不用天賦或高超技巧，就能產出讓人想要行動的言語及文字。   想要表達出令人有所共鳴的話語，或是寫出打動人心的文字，以「技巧」來磨練仍屬有限。   從「...more
",https://www.books.com.tw/products/0010790313?loc=P_0003_017
18,文案力：如果沒有文案，這世界會有多無聊?,盧建彰Kurt Lu,2018-05-11,"
二○一六總統大選 蔡英文與民進黨不分區立委競選廣告 「願你平安」「台灣隊加油」「人民大聲公」導演 柯P百萬點閱競選廣告「這一票，你聽孩子的話」執行者 為你揭露勝選廣告的祕密 台灣最會說故事的鬼才導...more
",https://www.books.com.tw/products/0010787234?loc=P_0003_018
19,攻敵必救的大創意!(喬治.路易斯寫給有天賦的你!),喬治･路易斯,2018-04-28,"
你是你命運的主宰：你是你心靈的首領。 『創意可以解決幾乎所有問題── 創意行動與原創力對習慣的打擊會戰勝一切。』 廣告狂人的原型、大創意先生、文化挑釁者喬治･路易斯 掏心掏肺、咄咄逼人的 120篇忠告...more
",https://www.books.com.tw/products/0010784878?loc=P_0003_019
20,只靠靈感，永遠寫不出好文案!：日本廣告天才教你用科學方法一小時寫出完美勸敗的絕妙文案,佐佐木圭一,2018-04-19,"
寫文案老是讓你痛苦萬分? 想破頭還是沒有新點子?還在等待剎那間的靈光一現? 沒有天賦、不靠靈感，你也能成為文案高手!   坎城國際創意節連續三年獲獎、日本廣告界第一把交椅的佐佐木圭一，   首度公開文案...more
",https://www.books.com.tw/products/0010784313?loc=P_0003_020
21,別想收買我的愛：廣告的致命說服力，動人文案的犀利解構，一份提升媒體識讀力的洞察報告,基爾孟,2018-01-27,"
尋求快樂是人類天性。尋求物質享受，則是廣告給人類強加的「第二天性」。 ◎ 收錄270則廣告圖文實例，犀利解析廣告如何發揮令人情不自禁的致命魔力。 ◎「廣告文化」與「成癮行為」相關性的研究先驅，集結生...more
",https://www.books.com.tw/products/0010775961?loc=P_0003_021
22,我地廣告,"劉昆祐,曾錦程",2018-01-12,"
難得廣告中有香港味   這可能是目前為止對香港九十年代電視廣告最詳盡的一次探討，由八十年代的廣告開始鋪排，也談及在千禧年代留下來的餘韻。作者分別從「廣告創作者」、「廣告業內人」、「研究者」及「...more
",https://www.books.com.tw/products/0010776203?loc=P_0003_022
