,書名,作者,出版日期,內容介紹,網址
1,共享經濟如何讓人變幸福?：利他.分享.在地化，我們已進入第四消費時代,三浦  展,2020-10-13,"
後Covid-19的經濟發展必然趨勢──共享的新世代消費模式 利他.分享.在地化，我們已進入第四消費社會    《下流社會》作者三浦展提出「第四消費社會」，倡議「共享經濟」    ◤21世紀大趨勢──簡樸生活、與人共...more
",https://www.books.com.tw/products/0010872021?loc=P_0003_001
2,量販解密：愛買、大潤發、家樂福，20年資歷專業達人，完全破解量販店讓人狂掃貨的暢銷祕密,何默真,2020-10-07,"
為什麼我想買這個，最後卻買了那個? 為什麼這東西我不需要，看一看還是拿起來? 早就列了購物清單，手推車為何越來越滿? 其實……這中間都有人動了手腳!   身在臺灣，幾乎人人都去過量販店；   乾淨明亮的空...more
",https://www.books.com.tw/products/0010871443?loc=P_0003_002
3,好業務眼中，沒有爛產品：解決掉這28個問題，你才算是一名頂尖業務,"宋希玉,張雷冰",2020-10-01,"
▏賣最優質的產品，做最精明的業務 ▏   Q：為什麼無法發掘有效客戶?        ‧過度依賴網路，尋找管道單一   在網路上搜尋客戶，是許多業務尋找客戶的唯一管道。但網路上的許多資訊都是「有待驗證」；最重要...more
",https://www.books.com.tw/products/0010872968?loc=P_0003_003
4,大腦無法拒絕的癮：揭密商家製造成癮行為背後的心理學；但，想成功，你一定要有一種癮。,孫惟微,2020-09-26,"
◎股神巴菲特每天喝五罐可樂、每週吃三次麥當勞，他說，吃這些讓他心情愉悅。   ◎ iPhone、iPad、MacBook果粉全都要?你已陷入「圓滿效應」陷阱。   ◎外送，居然會讓人點多吃多?原因出在匿名。   ◎產品長歪...more
",https://www.books.com.tw/products/0010870209?loc=P_0003_004
5,黏力，把你有價值的想法，讓人一輩子都記住!：連國家領導人都適用的設計行為學,"丹．希思,奇普．希思",2020-04-08,"
越恐慌，越需要黏力的智慧! 看穿假消息，散播正能量， 100%攸關個人經濟、企業存亡、國家政策!   病毒肆虐、經濟崩潰、產業蕭條，   極具黏力效應的假消息漫天遍布，稍不注意就被風向帶著走!   與其每天被...more
",https://www.books.com.tw/products/0010852542?loc=P_0003_005
6,行銷就需要一些梗：一眼看穿消費者內心,張海良,2020-03-27,"
做一個稱職的「舵手」，就能讓消費者直呼再買就「剁手」!(此行強調)   產品名稱超重要：知名飲料品牌曾因取名「蝌蚪啃蠟」，出道即刷掉!   生活處處都是梗：情侶吵架拆房子，你猜的到是什麼公司的廣告嗎? ...more
",https://www.books.com.tw/products/0010853504?loc=P_0003_006
7,人性鍊金術：奧美最有效的行銷策略,羅里‧薩特蘭,2020-02-27,"
《黑天鵝效應》作者塔雷伯晚餐最想聊天的行為經濟學家 《時代》雜誌盛譽「現代廣告業大師」 奧美集團首席策略長 葉明桂 大力推薦   傳統經濟學家認為人是理性的，但現實生活中卻有很多現象證明人並不理性...more
",https://www.books.com.tw/products/0010850619?loc=P_0003_007
8,賺錢公司都在用的高獲利訂價心理學,永井孝尚,2020-01-07,"
・榮登日本各大書店排行榜行銷類書籍No.1，上市兩週緊急再版 ・著作銷量高達85萬本的人氣行銷專家永井孝尚新作 ・用有趣的實例講解最新行銷戰略理論與正規行為經濟學，精準掌握消費者的內心   漲價賣到翻...more
",https://www.books.com.tw/products/0010845017?loc=P_0003_008
9,爆品設計法則：微軟行為科學家的產品思維與設計流程,麥特‧華勒特,2019-11-07,"
行為科學 X 產品設計 = 橫掃市場 每一個成功的產品和服務，都改變了消費者的行為模式! 以科學為基礎的產品設計與開發框架， 讓你打造消費者一次就上癮的產品和服務! ★亞馬遜超過 9 成讀者 5 星好評 聯合推...more
",https://www.books.com.tw/products/0010838589?loc=P_0003_009
10,消費心理學十二堂課,白紀齡,2019-09-09,"
消費，是日常生活裡都在進行的行為，而在消費交易時必須快速地做出決策；這種消費決策，往往是個人主觀偏好與客觀社會環境在交互作用下所產生的最後結果。你我其實都活在這個社會環境的運行之中，這個環境...more
",https://www.books.com.tw/products/0010833511?loc=P_0003_010
11,精準購買：比「斷捨離」更極簡、永續的究極之道,塔拉．巴頓,2019-09-05,"
斷捨離，然後呢? 其實我們最該學會的是── 挑選耐用、實用、合用的物品，過著愛物習物的生活! 擺脫過度消費、提升自我價值的選物哲學* 附「居家用品維修護理」指南 * 隨文穿插「精準購買」小練習，在生活中...more
",https://www.books.com.tw/products/0010831715?loc=P_0003_011
12,那個為什麼會熱賣：商品與資訊氾濫的時代，如何利用「框架攻略法」讓消費者「衝動購買」,博報堂買物研究所,2019-08-28,"
低價、大量選項、豐富的商品資訊，這些都是無用的行銷方式，   當你的商品沒有進入減輕消費者選擇疲勞的框架中，就差不多可以說再見了!    「想要卻選不出來，所以無法購買」的消費者已占了全體的八成，  ...more
",https://www.books.com.tw/products/0010831587?loc=P_0003_012
13,超圖解 市調分析立即上手：市場研究技巧69招，「大數據」鎖定核心客群，「消費需求」立即掌握，99%的產品都「完銷」!,石渡佑矢,2019-07-31,"
顧客心理、競品情報、市場趨勢， 懂「市場定位」，決策都化為銷售成長動能! 一邊開網店，一邊上班， 兩倍速累積你的第一桶金!   微薪時代，許多上班族都想在正職工作外的零碎時間發展複業，不僅增加自己的...more
",https://www.books.com.tw/products/0010829232?loc=P_0003_013
14,我就知道你會買!破解顧客的25種消費行為偏見,理查．尚頓,2019-07-18,"
行為科學和廣告行銷有什麼關係? 「因為行為總是騙不了人」 跟著顧客的行為走，就能從中發掘商機!   人們在什麼樣的情況下，會做出什麼樣的決定，自有一套「命定的」劇本，你知道下面案例的行銷原則嗎?   ...more
",https://www.books.com.tw/products/0010827724?loc=P_0003_014
15,消費者行為市場分析技術：數據演算如何提供行銷解決方案,麥可．格里斯比,2019-05-29,"
一本行銷人絕對不能沒有的職場實戰指南；一部持續升級的市場分析技術本!   在分析師的書架上贏得兵家必爭的首席地位，分析師一有疑問就會率先翻閱!   這不是典型的市場分析教科書，但它比任何一本教科書都...more
",https://www.books.com.tw/products/0010822807?loc=P_0003_015
16,懂顧客心思的話術最好賣：早一步知道客戶要什麼，下一步就讓他買單,德魯．艾瑞克．惠特曼,2019-04-25,"
平平都是銷售員，有人晉身超業，也有人業績總是吊車尾。 大家都很優秀，但你知道差別在哪嗎? 你以為光靠嘴就能說動顧客嗎? 你真的知道顧客要什麼嗎?   想成功，心態很重要。買賣做不做得成，顧客的心態也...more
",https://www.books.com.tw/products/0010819743?loc=P_0003_016
17,搶佔消費者心智，就能賺到錢：人心比流量更重要!定位、廣告、通路、消費者心理學的營銷實戰術,江南春,2019-03-06,"
想賺錢就一定要看的行銷寶典!   由分眾傳媒董事長親自撰寫!   ★行銷人必學的自我修練   ★只要你想賣東西，這本書非看不可   ★未來10年在消費升級的市場中抓住人心的營銷策略   ★阿里巴巴、騰訊、京東、寶...more
",https://www.books.com.tw/products/0010813429?loc=P_0003_017
18,好服務，是從顧客角度出發：帶給用戶幸福感，解決使用者需求,茶山,2018-12-05,"
‧一圖一短文搭配，能於零碎時間吸收重點   ‧針對「如何設計出好服務」為出發點，提出獨有的觀察   不提供用戶不必要的服務   是服務設計的重要原則之一   貼心入微的服務   是以用戶的角度出發   規畫出一...more
",https://www.books.com.tw/products/0010807072?loc=P_0003_018
19,洞察地圖：6大致勝法則，成功破解消費者心理,溫蒂．郭爾登,2018-11-20,"
作者經過50年的定性市場(註)調查，透過本書確定了6個恆久不變的原則，挖掘問題，提出理論進而探索消費者的心理，解釋人們的思考的邏輯，做事的方法，以及說話的習慣，藉以幫助大家了解消費者的言論和行為...more
",https://www.books.com.tw/products/0010804259?loc=P_0003_019
20,演算法下的行銷優勢,麥茲伯格,2018-09-28,"
★榮獲《金融時報》「本月最佳商業書」   汲取人文科學五大原則，   供商界領導人、企業界與個人解決工作與生活最棘手的難題。   最優秀的執行長除了能讀報表以外，還要懂得欣賞小說!   大數據真能解決所有...more
",https://www.books.com.tw/products/0010800490?loc=P_0003_020
21,超級用戶時代：抓住10%死忠客戶，引爆70%的利潤成長策略,尹艾迪,2018-08-20,"
★ 商業周刊第1594期封面故事 ★《策略商業》雜誌(strategy + business)2017年最佳商業書籍之一 ★ 尼爾森旗下──劍橋集團合夥人20年策略諮詢經驗淬鍊 ★ 首創「超級用戶」概念、策略、實踐做法   在新用戶獲取...more
",https://www.books.com.tw/products/0010795462?loc=P_0003_021
