,書名,作者,出版日期,內容介紹,網址
1,幸福告別：聖嚴法師談生死關懷(簡體版),聖嚴法師,2020-10-21,"
善終並不一定就是無痛、無病的往生，有病有痛也可以善終，只要觀念正確、正念分明，臨終可以很莊嚴也很有尊嚴。    有人一生繁花似錦，有人一生茫然而過；無論過程如何，在最後一刻，都希望能幸福告別!   ...more
",https://www.books.com.tw/products/0010873177?loc=P_0003_001
2,必取小人 逆境菩薩修心大法,黃子容,2020-10-21,"
每次開座談會，很多人來問事，常常糾結於小人的問題，小人無所不在，有時出現在辦公室，有的出現在你的家庭，他可以出現在任何地方場合與時機。   更可怕的，有的成為你的閨蜜好朋友，然後在你不注意或是...more
",https://www.books.com.tw/products/0010873530?loc=P_0003_002
3,學習人生的雲淡風輕：弘一大師的七部人生禪,"弘一大師,舒硯",2020-10-14,"
◎本書初版為木馬文化《弘一大師的七部人生禪》   人生需要一種淡然樸實的美感。   弘一大師的七部人生禪，60則小故事，   讓你在生活中時常保持一顆安寧清淨的心 ，從容細細體會人生。   語靜、身心靜。  ...more
",https://www.books.com.tw/products/0010872625?loc=P_0003_003
4,生命的永續經營(下冊),慧開法師,2020-09-29,"
順應生命的自然機制 自然謝幕絕非難事 如願往生操之在我    作者慧開法師不只是關照生命的宗教師，更是專業的「生死學」教授學者，數十年來不僅揚名於專業學術領域，更親身實證分享自身的經驗，讓文字學術...more
",https://www.books.com.tw/products/0010870269?loc=P_0003_004
5,生命的永續經營(中冊),慧開法師,2020-09-29,"
生死大事的抉擇課題 不做生命的延畢生 優雅謝幕風光畢業    作者慧開法師不只是關照生命的宗教師，更是專業的「生死學」教授學者，數十年來不僅揚名於專業學術領域，更親身實證分享自身的經驗，讓文字學術...more
",https://www.books.com.tw/products/0010870285?loc=P_0003_005
6,生命的永續經營(上冊),慧開法師,2020-09-29,"
生命的終極功課 生死自在  瀟灑來去    作者慧開法師不只是關照生命的宗教師，更是專業的「生死學」教授學者，數十年來不僅揚名於專業學術領域，更親身實證分享自身的經驗，讓文字學術成為實際運用於生命...more
",https://www.books.com.tw/products/0010870268?loc=P_0003_006
7,淨地菩提子：佛光山動物之美,"慧延法師,永會法師",2020-09-18,"
駱駝為何流淚?   白頭翁竟會講話!   參與過堂的麻雀，   度人念佛的九官鳥，   長期定居的綠頭鴨，   最佳知客的松鼠滿地，   小龍、蜘蛛、蝸牛、馬陸……   無一不在說法。    莫道群生性命微，   淨地佛子...more
",https://www.books.com.tw/products/0010871252?loc=P_0003_007
8,空性智慧：眾生煩惱痛苦的解脫之道,杜志軍,2020-09-15,"
宇宙萬物都是依賴因緣和合而成，   萬物的顯現無常，萬物的本性無我，   無常與無我正是宇宙之真理，   而無我更是眾生解脫痛苦必須具備的品質。    修行佛法，其目的就是為了要見性，見佛性，見無我之性...more
",https://www.books.com.tw/products/0010868789?loc=P_0003_008
9,擁抱禪，重新開始：療癒關係的正念修習四部曲【特別收錄：一行禪師序文〈一個人的幸福〉】,真空法師,2020-09-02,"
四個「正念修習」幫助我們： 找回善念與愛意→修復心靈的傷痕→重建溝通→修復關係 讓我們「擁抱禪」， 重新開始美好親密關係的正循環!   ★追隨一行禪師60年，真空法師大力提倡的「愛的正念修習」   ★出版至...more
",https://www.books.com.tw/products/0010868179?loc=P_0003_009
10,覺性,謝安朔,2020-09-01,"
觀心、修心、淨心、轉心，從人性迷茫走入心靈覺醒的光明殿堂。   ◎作者經二十餘年勤苦修行，參究各宗派核心思想之短長，最終確認佛陀教法乃是最圓滿究竟解脫道路。遂一門深入，潛心修習，融通大乘經典。  ...more
",https://www.books.com.tw/products/0010868907?loc=P_0003_010
11,高僧神通力運用大解密-你所不知道的神通度眾法則,梁崇明,2020-08-21,"
沒有「神」也可以「通」是真神通 「妙用難測為神，自在無礙為通」    如果神通需要依賴鬼神，那是鬼通不是神通，真神通不需要鬼神，而且能夠自己收放自如，這是自證神通也稱「智證通」，具不可測不可礙的...more
",https://www.books.com.tw/products/0010868397?loc=P_0003_011
12,寶藏瓔珞,林伯謙,2020-08-07,"
鑲嵌佛理而談心論道的佛教文學，越來越多，但如本書深入法海，且將佛學、儒學、玄學，甚至西方哲學等融入生活，巧妙結合，相互運用者，則不多見；它兼具了散文欣賞及學術研究的價值。   作者以優美生動、...more
",https://www.books.com.tw/products/0010866998?loc=P_0003_012
13,佛曰：從禪學中學習人生哲理,"才永發,李彥舒",2020-07-31,"
跟著佛學過生活，其實一點也不枯燥 身體即是廟，兩耳為菩提，生活中，何處不可修行? 一百多個禪學故事，為你點亮一盞明燈，陪你走過人生風雨   本書以各種短篇故事，教讀者在日常中將禪學活學活用禪，可以...more
",https://www.books.com.tw/products/0010866424?loc=P_0003_013
14,一切都是最好的安排(典藏版),加措仁波切,2020-07-31,"
一切都是最好的安排   這並不是人生沉淪的最後消極嘶吼，   而是，提醒你人生應該轉換視角，   你將發現沿途風光與你想像中的不同    ◎《一切都是最好的安排》在中國大陸上市短短兩週賣出五萬冊，並迅速佔...more
",https://www.books.com.tw/products/0010866123?loc=P_0003_014
15,菩薩心語5,黃子容,2020-07-30,"
菩薩心語一系列書籍呈現出菩薩平常想要對我們開示的話語，我將他們記錄下來，當中有人生哲理，有生活處事智慧談，也有很多修行道路上我們需要修正的方向與指引，對我來說，這一系列的菩薩心語的確對我們非...more
",https://www.books.com.tw/products/0010866173?loc=P_0003_015
16,校長的十八般武藝,釋惠敏,2020-07-09,"
「一切眾生皆同一事，皆欲離苦得樂」，但現代人會更快樂嗎?   1969年在月球踏下腳印的太空人阿姆斯壯，   會比三萬年前在洞穴中留下手印的史前人快樂嗎?   人類的進步可讓更多人存活，但不一定讓人們更快...more
",https://www.books.com.tw/products/0010863234?loc=P_0003_016
17,與菩薩對話7願,黃子容,2020-07-06,"
我在臉書有成立一個「一年愛班的祈福區」，目的是為了讓有需要祈福的人張貼文字在這個專屬的祈福區中，為家人朋友祈福。   幫別人祈福其實是一件非常有功德的事，但有時我們會發現：為何同樣幫別人祈福會...more
",https://www.books.com.tw/products/0010863388?loc=P_0003_017
18,我的菩提路 第六輯,劉正莉,2020-07-02,"
本書詳敘學佛路程之辛苦萬端，直至得遇正法之後如何修行終能實證，現觀真如而入勝義菩薩僧數。本輯亦錄入一位1990年明心後追隨平實導師學法弘法的老師，不數年後又再眼見佛性的實證者，文中詳述見性之過程...more
",https://www.books.com.tw/products/0010862953?loc=P_0003_018
19,悟在瘟疫蔓延時,洪啟嵩,2020-06-24,"
▍瘟疫的流行，就是「開悟」的流行。   ▍在反覆無常的疫情中將人生的主權拿回，從惡夢中醒來!   ▍如何活得更好更健康?而且好到一點都不懷念從前，只喜歡現在!   經歷了一場不知終點在哪的戰「疫」，我們或...more
",https://www.books.com.tw/products/0010862957?loc=P_0003_019
20,禪的理論與實踐,聖嚴法師,2020-06-08,"
「禪的理論」 × 「禪的實踐」   ‧ 禪，是真正的現實主義。   ‧ 禪境，不離現實生活，但問你心中有無牽掛障礙而已。   ‧ 禪修的觀念和方法，能開發智慧、減少煩惱，同時也能幫助他人，這是自利利他的兩得其...more
",https://www.books.com.tw/products/0010860108?loc=P_0003_020
