,書名,作者,出版日期,內容介紹,網址
1,阿若優的星盤詮釋指南(二版),史蒂芬‧阿若優,2020-10-21,"
「人本主義現代占星學」先驅── 史蒂芬‧阿若優 三十年長銷經典 星盤詮釋科學的奠基之作   認識人本占星的科學觀念   條列式精簡詮釋，查閱方便   完整解析本命盤，步驟明確    認識自己、瞭解別人，優化人...more
",https://www.books.com.tw/products/0010873173?loc=P_0003_001
2,2021占星手帳(療癒生命之花燙銀圓背軟精裝)：一手掌握水逆、月相、全年星座運勢,艾曼達 Amanda,2020-09-03,"
★12星座皆通用!2021占星手帳燦爛登場★ ★每月皆有星座專屬分析，外加四季運勢精闢解說★ ★收錄超過400筆全年占星資訊，50餘篇精彩星座實用分析★  ──AOA國際占星研究院創辦人 魯道夫 專文推薦──  2020年，我...more
",https://www.books.com.tw/products/0010868102?loc=P_0003_002
3,揭祕十二宮位：天空為限的占星手札,天空為限,2020-09-01,"
~給滿腹占星知識，卻用不上手的你~ 深度剖析行星個性特質&十二宮位的終極密碼 重新整頓你的占星邏輯!    「海王星在第二宮會亂花錢，土星在二宮會小氣，但如果海王星跟土星同時在二宮呢?」   「金牛、巨蟹...more
",https://www.books.com.tw/products/0010868468?loc=P_0003_003
4,誰說算命都是統計學?：來自百年命相館的占星師告訴你，人生好壞都是自己走出來的!,天空為限,2020-08-31,"
從百年命算家族， 到塔羅占卜師、占星師的命算之路! 真正的算命， 並不是準而已……   她外高祖父是上知天文、下知地理的秀才醫生兼命算師，   外曾祖父在生命最後預知了自己的死亡死辰，   外祖父的神算讓...more
",https://www.books.com.tw/products/0010867151?loc=P_0003_004
5,靈魂占星：從南北交點認識你的本能與天賦,珍‧史匹勒,2020-08-18,"
南北交點標記出人的行為傾向、性格與特質， 是深層意識未能覺知的部分， 而生命轉變的關鍵， 就在認識南北交點所賦予的任務與挑戰中。    傾聽你內在的認知及過去的經驗，是相當重要的。……只有你自己知道...more
",https://www.books.com.tw/products/0010867399?loc=P_0003_005
6,占星媽媽手冊,韓良露,2020-08-12,"
第一次查星圖就上手   教大家從查星圖開始，一步一步看懂星圖的占星書    「為什麼我的孩子會有這樣的星圖?」   「月亮落在這個位置不好吧?」   「我是不是沒有盡好自己的母職?」   「孩子的月亮跟我的月...more
",https://www.books.com.tw/products/0010866732?loc=P_0003_006
7,【占星全書】(三冊)：《行運占星全書》、《月亮推運占星全書》、《月之南北交全書》,"愛波．艾略特．肯特,瑟萊絲托．提爾,艾美．賀林",2020-08-03,"
本套書組合：《行運占星全書：我的人生運勢週期表》+《月亮推運占星全書：我的人生演化課程表》+《月之南北交全書：從占星看今生業力之路》    「行星行運」+「月亮推運」，   讓你完整掌握個人人生運勢、...more
",https://www.books.com.tw/products/0010865268?loc=P_0003_007
8,12星座健康生活篇(漫畫版),"Lala,雷夢",2020-08-01,"
你了解本身星座與健康的關係嗎?看完這本馬上變成星座健康達人!   12星座中誰是最重視健康的好寶寶?   誰又最愛糟蹋自己的身體?   許多隱藏的壞習慣你從未發現，   卻在無形中慢慢產生許多疾病；   透過本...more
",https://www.books.com.tw/products/0010864861?loc=P_0003_008
9,性與占星術,柯順隆,2020-08-01,"
本書以性的關係正面論述占星術，分別介紹十二星座男、女的性事，尤其是對於性問題的獨異愛好也很率直地寫出來。...more
",https://www.books.com.tw/products/0010866548?loc=P_0003_009
10,終生受用!占星論命一本通：圖解星學大成之命局分析,萬民英,2020-07-01,"
終生受用! 圖解星學大成之命局分析    剖析生辰八字、星座命理和行運流年，   掌握人脈、職場、家庭、愛情運勢    透過中國古代星學的最高成就   學會根據出生時間、星辰位置、運行情況，   來判定個人的...more
",https://www.books.com.tw/products/0010862767?loc=P_0003_010
11,占星流年(全新增訂版),魯道夫,2020-05-07,"
全新增訂版! 推測占星流年、解讀星盤運勢最詳盡的專業參考書  國際占星研究院創辦人 魯道夫──著  ★最完整的占星預測技巧 ★最詳細的流年星盤解說 ★提供占星研究者必須養成的流年預測態度和視野 【占星預測...more
",https://www.books.com.tw/products/0010856422?loc=P_0003_011
12,現代占星學：以占星結合心理學，找出靈魂的真實目標,露易絲．愛丁頓,2020-04-27,"
~奠基於「榮格心理學」的個人成長工具~ 現代占星學以星盤+榮格心理學，探索靈魂的真正目標。 幫助人們流暢運用個人潛能、破除舊習，運用自我意志創造人生。   「占星學肯定能夠得到心理學毫無保留的認可，...more
",https://www.books.com.tw/products/0010855773?loc=P_0003_012
