,書名,作者,出版日期,內容介紹,網址
1,奇門遁甲200問,杜易峰,2020-09-25,"
★以QA形式深入淺出講解奇門遁甲的相關知識，實用與趣味兼具!   奇門遁甲相傳為黃帝所創，姜太公、諸葛亮均憑藉此術克敵制勝，是中國預測術中的集大成者，在術數領域有極崇高的地位，被稱為「方術之王」，...more
",https://www.books.com.tw/products/0010870797?loc=P_0003_001
2,生命靈數全書：古老的生命科學，畢達哥拉斯教你算出命格與流年,大衛・A・菲利普斯,2020-07-06,"
「靈數學」始祖--畢達哥拉斯千年祕傳 簡單而神準，一生必備的命格運勢經典書   ★繪製個人九宮格生命靈數「出生圖」   ★算出性格優勢、人生目標、適合職業、養生提示   ★預知每一年的「流年」走勢   ★如何...more
",https://www.books.com.tw/products/0010862557?loc=P_0003_002
3,河洛易命理五行開運術,承先行者,2020-07-01,"
★深入淺出介紹生活諸事與五行相生相剋的密切關係，簡便且實用。   照表找出個人之五行屬性，再依屬性瞭解其性格、愛情、婚姻、親子、人際、金錢、工作、創業、學業、健康，以達趨吉避凶之效，並有減肥、投...more
",https://www.books.com.tw/products/0010861785?loc=P_0003_003
4,轉做人生勝利組 一次學會7種算命術與簡易生機改運法,林金郎,2020-06-05,"
一次學會7種算命術知人識人、知己知彼   多種躺著做的簡易生機改運法有效易做，精氣神十足   好運旺旺來，人生更具競爭力，   擺脫魯蛇Loser邁向穩拿Winner!   你知道嗎?現在最常用的筆畫姓名學，   是日...more
",https://www.books.com.tw/products/0010858783?loc=P_0003_004
5,禁忌遊戲：愛的魔法(二版),酒井潔,2020-06-01,"
透過玄秘的方式(花語、寶石、夢境、占術、咒術、護符、妖術)，告訴你如何去掌握幸福、掌握愛情。...more
",https://www.books.com.tw/products/0010861093?loc=P_0003_005
6,奇門遁甲真的很神奇,"李羽宸,黃恆堉",2020-04-10,"
據”龍甲神章”及”煙波釣叟歌”記載，關於奇門遁甲的起源，可追朔至遠古時期涿鹿大戰的傳說年代。當時軒轅黃帝面對強大的蚩尤，涿鹿久戰不克陷入不利境地，軒轅黃帝向上天祈禱，誠心感動了九天玄女，授與天書...more
",https://www.books.com.tw/products/0010854341?loc=P_0003_006
7,一學就會的靈棋經與棋卦,元氣山人,2020-01-30,"
只要準備四顆棋子，或就地取材(如硬幣)即可占卜； 再對照書中卦象及解讀，不論求財、升官、問病、尋人 或…，大小事都可立刻找到答案。您一定要試試!   《靈棋經》究竟為何人所撰一直讓人深感好奇。最早記...more
",https://www.books.com.tw/products/0010847791?loc=P_0003_007
8,愛與療癒：身心靈導師指南,許宏,2020-01-11,"
身心靈導師不該是精神錯亂的角色扮演 更不能是招搖撞騙的神棍 而是一種來自慈悲幫助的智慧真誠 6這個數字 同時代表了愛與療癒 為您獻上6個6 愛自己 療癒過去現在未來  自序：愛與療癒6個6  在西方的生命之...more
",https://www.books.com.tw/products/0010845353?loc=P_0003_008
9,樂吾隨筆之一：《命理一得》《姑妄言之(一)》,徐樂吾,2019-12-25,"
樂吾隨筆之一─《命理一得》《姑妄言之(一)》，【民國】徐樂吾撰， 一冊兩卷，平裝。據虛白廬藏民國二十八年(一九三九)上海乾乾書社刊本修復清理出版。   徐氏對《滴天髓》及任鐡樵等命學，大力推廣，對民...more
",https://www.books.com.tw/products/0010843413?loc=P_0003_009
10,樂吾隨筆之二：《守素室叢談》《子罕言》《姑妄言之(二)》,徐樂吾,2019-12-25,"
近代命理學大家徐樂吾命理經驗心得之紀錄，不自衿秘，公開研究。   開子平法未有之創格。盡發從來談命者不宣之秘。   樂吾隨筆之二─《守素室叢談》《子罕言》《姑妄言之(二)》，【民國】徐樂吾撰，一冊三...more
",https://www.books.com.tw/products/0010843414?loc=P_0003_010
11,好命密碼：工作事業財運篇：數字磁場的魅力,愛德華,2019-10-07,"
國際數字磁場大師愛德華(Edward)老師，   讓您學會如何運用及改變身分證數字的磁場，來扭轉人生，   帶給你在工作、事業、財運上 成功幸福的力量!...more
",https://www.books.com.tw/products/0010836608?loc=P_0003_011
12,366生日・生命靈數全書：從生日數字的意義，了解你的天賦與使命，掌握一生運勢的祕密,葉月虹映,2019-09-27,"
✡✡✡日本命理類暢銷書、引爆話題討論度TOP1✡✡✡   20,000人實占盛讚：「準到嚇人!」   秒懂生命靈數占卜只要看這本。   隨翻隨查、即時解析，自己、情人、親人、好友、工作夥伴的   性格、愛情運、工作運、...more
",https://www.books.com.tw/products/0010833841?loc=P_0003_012
13,輕鬆學生命靈數，秒懂人心,洪若萍,2019-04-24,"
總是覺得識人不清?   永遠不了解另一半在想甚麼?   為何人際關係總是不和諧?   總是缺乏安全感，情緒不穩定?   為什麼財富總是與我擦身而過?   一分鐘識人術聊出好心情，分析不同類型人的性格特質，讓你判...more
",https://www.books.com.tw/products/0010819530?loc=P_0003_013
14,人的運氣,汪季高,2019-03-20,"
香港六十年代術數經典「醫學和命理結合」的創造性作品   五六十年化香港報章專欄「科學命理閒話」等結集! —— 《人的運氣》   《人的運氣》。原書一冊不分卷。汪季高撰。平裝。原書一九六五年香港五行出版...more
",https://www.books.com.tw/products/0010815121?loc=P_0003_014
15,汪汪喵喵心世界,汪心茹,2019-03-12,"
一心向善，就是積德， 為人行善，就是積福。 因為善良就是你的福報，善良就是你的靠山。 只要你一直善良下去，總會收穫福氣!   心茹老師是台灣命理製作節目中，第一個在錄影過程中沒有預設腳本及題目，無...more
",https://www.books.com.tw/products/0010816051?loc=P_0003_015
