,書名,作者,出版日期,內容介紹,網址
1,大維老師開運紫微牌陣【珍藏版】內含書+專屬開運紫微牌,"大維老師,青小鳥",2020-10-08,"
=牌卡介紹=   專屬開運紫微牌/46張/雙面全彩/6.15X9.45cm/盒裝   採國際標準撲克牌規格印製，滑順不黏手，易抽易翻，易隨身攜帶。   針對大維老師設計的10大紫微牌陣，   設計專屬的紫微牌圖案，   為方便...more
",https://www.books.com.tw/products/0010871946?loc=P_0003_001
2,【紫微講座系列之一】紫微論三國,劉杰靂,2020-08-13,"
《紫微論三國》提出新論述   把紫微斗數從迷信導向成為一門科學!    ◎拋棄封神榜中的擬神化，轉而朝向三國人物中，有血有肉的擬人化   每個人命運的轉變，跟因果沒有什麼關係，而是當事者心性情欲轉變的結...more
",https://www.books.com.tw/products/0010866882?loc=P_0003_002
3,改運之書‧格局篇：經營自己、找到助力、善用煞忌、創造吉化，超前布局!,大耕老師,2020-07-28,"
命運負責洗牌， 但玩牌的，是你自己!   為何命盤看來形勢大好，卻沒有等來想要的人生?   如果沒有所謂的好格局，難道註定一生動盪不安?   真的有可以改運、打破生命侷限的方法嗎?   與其盡信格局，不如自...more
",https://www.books.com.tw/products/0010864015?loc=P_0003_003
4,現代紫微斗數秘笈大公開,了無齋主,2020-06-02,"
紫微斗數，百年不傳秘笈；白話敘述，深入淺出。   紫微斗數為宋朝陳博老祖(希夷先生)所獨創最精準的算命術，源於先天八卦、復體用於後天八卦，佈天星在十二宮中，以天、地、人三盤道盡天地之間的人事際遇...more
",https://www.books.com.tw/products/0010859877?loc=P_0003_004
5,紫微攻略【紫微斗數學習套組】(全四冊附書盒)(附贈占卜手帳),大耕老師,2020-05-26,"
──有邏輯、好理解── 攻略全系列4冊完整版   ──最受斗數研究者歡迎作家之一大耕老師，   用講人話的書寫方式解惑命理，公開斗數界不願一開始就教的技巧秘訣，   讀懂這套，解盤準度「咻」地成長!──   ★ 攻...more
",https://www.books.com.tw/products/0010857817?loc=P_0003_005
6,推背圖中的未來：從全球預言看紫薇聖人,天際雲,2020-05-13,"
《推背圖》是中國十大預言之首! 預言準確，在許多朝代被朝廷視為禁書! 其中紫薇聖人是其預言的當代重要人物! 你拿到了一本值得傳給後代的書… 他們仍會不斷見證裏面的奇蹟… 記住，現在是2020年，故事正要發...more
",https://www.books.com.tw/products/0010856822?loc=P_0003_006
7,紫微命盤解析：透視你的對待關係,林俊旭,2020-05-01,"
《紫微命盤解析─透視你的對待關係》，互動式紫微斗數出版簡介：   生命瞬息萬變?利用紫微斗數輕鬆掌握最精準的對應   作者出版《紫微命盤解析─透視你的對待關係》一書，利用紫微斗數探討人與人之間的對待...more
",https://www.books.com.tw/products/0010859583?loc=P_0003_007
8,東方星理學(單星篇),天乙上人,2020-04-11,"
★東方星理學創始人.紫微斗數泰斗 天乙上人 畢生心血之作 ★榮獲二〇一三年歐盟(比利時)國際發明展(文化類)金牌獎、羅馬尼亞國家研究院金牌獎、波蘭國家發明聯合總會金牌獎 ★融合古老智慧和現代元素，解譯個...more
",https://www.books.com.tw/products/0010853781?loc=P_0003_008
9,飛星紫微斗數：《十二宮六七二象》廣義的基礎論斷訣 精裝(1版5刷),梁若瑜,2020-03-23,"
飛星紫微斗數，精確有餘，但易學難精。作者有鑑於此，不揣固陋，謹以二十五年的玩命經驗，竭盡智能而完稿於此『十二宮六七二象廣義的基礎論斷訣』。祈以大助益於後學廣大諸賢，能跨入基本門檻，利以修德習...more
",https://www.books.com.tw/products/0010851948?loc=P_0003_009
10,韋氏命學講義(2版),韋千里,2020-03-03,"
本書全係僕實驗之談，故書中所敘，有為古書所載，有為古書所無者。   2.本書因欲初學者易於了解，故力求淺顯，凡陳言荒僻，及迂迴曲折之論，一概捐除。   3.僕孤陋寡聞，加之本書篇帙不多，祇可導示以命學...more
",https://www.books.com.tw/products/0010313869?loc=P_0003_010
