,書名,作者,出版日期,內容介紹,網址
1,2021陽宅風水指南,胡肇台,2020-10-21,"
風水可以相信，不可依賴。俗語說：「一命、二運、三風水、四積陰德、五讀書。」   為先賢勸世人信奉風水之外，還要靠自己努力與積德，為此始為成功之重要因素。   本書提供了基本學理剖析、文獻回顧、操作...more
",https://www.books.com.tw/products/0010872267?loc=P_0003_001
2,學風水一本就上手,王信宜,2020-10-16,"
改變你的風水，改變你的人生 幫助讀者對風水產生正知正見   透過本書所提供的知識和方法，   一套整合及創新的座向判斷原則，   合乎邏輯讓人一看就懂，   為自己布置出一個藏風納氣的風水好格局。   本書...more
",https://www.books.com.tw/products/0010873815?loc=P_0003_002
3,別有風味：香港風水故事典故,蔣匡文,2020-09-18,"
術數大師王亭之首徒——蔣匡文，以輕鬆筆觸，運用中州派玄空飛星的方法，配上相片和插圖，並以實例解說，在一弛一張的情節變化中，綜觀歷史文化、建築結構、街道佈局……暢談香港本土風水故事的方方面面。   ...more
",https://www.books.com.tw/products/0010871424?loc=P_0003_003
4,風水靈籤怪談(第一集),齊東野,2020-08-28,"
風靡港台近一甲子《命相談奇》姊妹編   風水靈籤怪談(第一集) ，齊東野撰。一冊平裝，排印本。現據虛白廬藏一九六三年香港宇宙出版社初版修復清理重刊。   吳氏總結民初的「命理」：「大體可以分『星數』...more
",https://www.books.com.tw/products/0010867806?loc=P_0003_004
5,風水靈籤怪談(第二集),齊東野,2020-08-28,"
風靡港台近一甲子《命相談奇》姊妹編    風水靈籤怪談(第一集) ，齊東野撰。一冊平裝，排印本。現據虛白廬藏一九六三年香港宇宙出版社初版修復清理重刊。    吳氏總結民初的「命理」：「大體可以分『星數...more
",https://www.books.com.tw/products/0010867813?loc=P_0003_005
6,2021風水聖經,陳冠宇,2020-08-12,"
「風水聖經」是陳冠宇大師的年度代表作，至今以堂堂邁入第二十二個年頭，擺脫以往風水的神秘色彩，以最淺顯的文字詮釋中國古老科學的奧義，自出版以來，已獲廣大讀者熱烈好評，內容包羅萬象，精彩實用。(...more
",https://www.books.com.tw/products/0010867072?loc=P_0003_006
7,風水謬誤與基本知識,蘇民峰,2020-08-07,"
近年內地興起一派只看巒頭而不用看理氣的風水，而且標榜上一個短期課程便可以成為風水大師，吸引了很多急功近利之徒從此途徑進身成為風水師。玄學大師蘇民峰為杜絕這種誤人誤己之風，在本書內盡數釋述近六...more
",https://www.books.com.tw/products/0010867113?loc=P_0003_007
8,陽宅紫府寶鑑,劉文瀾,2020-07-16,"
陽宅紫府寶鑑，[清]劉文瀾纂，原三卷卷首一卷三册, 線裝, 清道光十二年(一八三二)刊本。   劉氏本書匯集了三元陽宅宅法精粹，其理本於收(引)三元旺氣，其法以「本《都天》、《撼龍經》一十八論造宅，三白(...more
",https://www.books.com.tw/products/0010863674?loc=P_0003_008
9,後天派陽宅實證(增訂版),吳友聰,2020-06-19,"
本次再版增加許多實例個案，讓讀者們可以更加清楚的了解，後天派陽宅樓房分析鑑定。靜宅，靜平宅之定宅就間論間，依洛書之數定東、西四宅，開門放水依此。   [特別增訂]   陽宅樓房實例鑑定(二)   陰陽-立...more
",https://www.books.com.tw/products/0010862182?loc=P_0003_009
10,空間醫學：帶您從科學角度探討風水與健康的關係,廖子源,2020-05-28,"
風水學說是中華文化的資產，也是爭議性話題，在空間醫學的印證下，為您解開風水與健康的密碼。   ˙電磁波會影響風水嗎?   ˙路沖為什麼不好?   ˙自古紅顏多薄命--鏡子惹的禍   ˙福地福人居.福人居福地   ˙...more
",https://www.books.com.tw/products/0010859246?loc=P_0003_010
11,專論陽宅風水,陳柏瑜,2020-04-30,"
早期民俗講究人死後入土為安，故十分重視陰宅風水，但台灣地狹人稠，土葬費用昂貴，加上民眾環保及衛生意識抬頭，人們逐漸接受火葬，先人遺體經高溫火化後對子孫已無影響，因此，人們日常所居的陽宅風水便...more
",https://www.books.com.tw/products/0010858238?loc=P_0003_011
12,香港.尋龍點穴錄二,劉坤昰,2020-04-17,"
本書純以風水的「巒頭」學理，去討論陰宅風水的得失，由於巒頭學理著重於山水形勢，作為吉凶得失的準則。而且巒頭學理的威力，其所影響之時間，等閒一般至少橫跨百年以上，完全不受理氣左右。 近代風水書...more
",https://www.books.com.tw/products/0010855281?loc=P_0003_012
13,家宅風水基本法 增訂版,蘇民峰,2020-02-28,"
本書彙編了逾八十個情景不同的真實案例，以問答形式切入，剖析各種現代樓宇的風水實況。開卷細閱，你會發現作者提供的改善之法，無不便於實行，簡單如只放一杯水、一塊石、改動牀頭方向，便能扭轉乾坤，實...more
",https://www.books.com.tw/products/0010850810?loc=P_0003_013
14,地理大全一集形勢真訣(上、中、下),"張成春,李國木",2020-01-03,"
自從地理大全二集理氣秘旨出版後，受到各界好評，余接到眾多讀者電話及來信，同時在育林出版社李老闆的極力邀請之下，特將「地理大全一集形勢真訣」公開給廣大的讀者。此套地理經典，專講龍穴砂水收集各名...more
",https://www.books.com.tw/products/0010845853?loc=P_0003_014
15,房屋吉凶和墳墓禁忌,楊儒勳,2019-12-27,"
房屋是家的溫暖，墳墓是祖先安息； 風水可造就成敗，地理要注意禁忌。   從古時候到現在，上至顯赫世家，下至平民百姓，都知道風水地理選擇的重要性，大家無不以取得好地理巒頭為其希望，更進而禮聘風水名...more
",https://www.books.com.tw/products/0010844097?loc=P_0003_015
