,書名,作者,出版日期,內容介紹,網址
1,牛的印跡：禪修與開悟見性的道路,"丹．史蒂文生,聖嚴法師",2020-11-05,"
一代聖哲聖嚴法師親自開示的禪法門 理論與實踐並重的現代修行指南 「牛的印跡」此一概念可溯至十二世紀禪宗著名的《十牛圖》。 這系列畫作以牛與牧牛人為主軸，生動描述了禪修的次第。畫中，牧牛人代表修...more
",https://www.books.com.tw/products/0010874349?loc=P_0002_001
2,民眾宗教中的權威鑲嵌：場域變遷下的象徵資本與靈性資本,丁仁傑,2020-10-08,"
頭人與上師，是父權社會中的兩種權威型態。 父權社會創造出權威集中的地方頭人與家族領導者， 卻也產生排擠效應，萌生大眾巨大的心靈失落感。 靈性導師的出現，成功化解父權社會的內在緊張性。 神奇效果繼...more
",https://www.books.com.tw/products/0010872582?loc=P_0002_002
3,榮格論心理學與宗教,卡爾・榮格,2020-09-05,"
宗教經驗是絕對存在的，它存在於無意識心靈中，凌駕且掌控人類主體。 只有見識短淺的人才會選擇視而不見。 ——卡爾・榮格                                                      ▋榮格第一本探討......more
",https://www.books.com.tw/products/0010868631?loc=P_0002_003
4,造神：人類探索信仰與宗教的歷史,雷薩・阿斯蘭,2020-09-02,"
★紐約時報暢銷書★ 全球化時代「宗教素養教育」必備第一書   宗教學者、公共知識份子雷薩˙阿斯蘭最新力作   從多元信仰視野出發，跨越宗教藩籬，尋找共同語言，深刻叩問：   人追尋的是「神」，還是神聖版...more
",https://www.books.com.tw/products/0010868238?loc=P_0002_004
5,明公啟示錄：隱修門談驅魔與靈界真相,范明公,2020-08-06,"
本書是一部由一系列中篇故事構成的長篇修真揭祕系列故事。 這些故事，既有微觀的對一山一河、一仙一魔的感化與降服；又有宏觀的國家與國家、朝代與朝代、星座與星座之間的興衰存亡的靈界因果的描述。既揭...more
",https://www.books.com.tw/products/0010865454?loc=P_0002_005
6,善書、經卷與文獻(2)：西遊記新論專輯,范純武,2020-05-22,"
本刊是全世界關心中文善書、經卷與宗教文獻的學者所辦的。我們希望透過這個平台，與關心此領域的專家交流，也提供年輕研究者，發表機會!...more
",https://www.books.com.tw/products/0010858975?loc=P_0002_006
7,站在科學背後的造物者,張之嵐,2020-04-30,"
宇宙是虛幻的嗎? 介於科學及靈性中，人類與某種至高無上的力量間又有什麼關聯?   這並不是一本宗教書，書中的「上帝」傳達的是「創生者」的概念，宇宙中所有生命的源起，仔細探求定能發現其中不可思議的圓...more
",https://www.books.com.tw/products/0010857354?loc=P_0002_007
8,一本讀懂世界三大宗教,「探索歷史之謎」會,2020-04-09,"
你知道嗎? 《達文西密碼》中提到暗藏玄機的名畫「最後的晚餐」在描述什麼? 《西遊記》小說裡，唐三藏遇到危險時，會誦念何種經文退散妖魔? 為何伊斯蘭世界的銀行沒有利息?穆斯林禁止飲酒?  不談深奧的哲理...more
",https://www.books.com.tw/products/0010853789?loc=P_0002_008
9,鐵證如山的信仰：伊斯蘭或基督教?,納比．庫雷希,2020-02-07,"
誰才是宇宙獨一的真神?   一位虔誠的美國穆斯林青年納比.庫雷希，因為改信基督教而失去了所有的家人和親友。許多穆斯林跟他一樣因改信基督教而失去一切，甚至自己的生命。很多人說穆斯林和基督徒敬拜的是...more
",https://www.books.com.tw/products/0010848044?loc=P_0002_009
10,牛津通識 猶太教,諾曼．所羅門,2019-12-01,"
獨特的猶太人創立了獨特的猶太教，獨特的猶太教塑造了獨特的猶太人。二者相輔相成，互為因果。因此，欲瞭解獨特的猶太人，必須瞭解獨特的猶太教；反過來也是一樣。這本牛津通識《猶太教》和其他猶太教概論...more
",https://www.books.com.tw/products/0010850334?loc=P_0002_010
11,勇敢層級：用你喜歡的方式，活出你自己,紫嚴導師,2019-11-30,"
《勇敢層級》是什麼? 跳脫既有框架以全新角度理解「勇敢」， 你將發現， 勇敢竟是如此輕鬆， 卻有超乎想像的力量與多種層次， 帶你穿越挫折與脆弱， 活出你最喜歡的樣子， 遨翔夢想天際! 繼年度百大排行榜...more
",https://www.books.com.tw/products/0010840659?loc=P_0002_011
12,善書、經卷與文獻(1),范純武,2019-11-08,"
本刊是全世界關心中文善書、經卷與宗教文獻的學者所辦的。   我們希望透過這個平台，與關心此領域的專家交流，也提供年輕研究者，發表機會!...more
",https://www.books.com.tw/products/0010839047?loc=P_0002_012
13,宗教心理學之人文詮釋,蔡怡佳,2019-10-25,"
與宗教經驗有關的心理動力是複雜的，可能作為面對焦慮的因應機制，可能與中介現實的象徵創造有關，也可能來自於尋求意義或是自我超越的動力。   《宗教心理學之人文詮釋》以幾位重要心理學者的著作與理論...more
",https://www.books.com.tw/products/0010837543?loc=P_0002_013
14,老師的話第26輯,明德出版社,2019-08-10,"
回首這數十年來，師尊為渡化冥頭不靈的我輩   屢屢臨壇慈悲顯化，    從來也不嫌棄弟子們的魯鈍與痴迷。   老師，從來不曾放棄過我們!   祂那慈悲的法雨，有如醍醐灌頂，   永遠鍥而不捨、無微不至的告誡...more
",https://www.books.com.tw/products/0010831042?loc=P_0002_014
15,白水老人慈語：今天我們求道了,明德出版社,2019-07-26,"
這一本書可說是各天職學修講辦必備的工具書，可幫助我們在渡人成全之閱讀研究，提振道念、複習道學，也可送給有緣人做為啟信、入門研究或新進道親於求道後道化家庭、立志修辦的指南。...more
",https://www.books.com.tw/products/0010829364?loc=P_0002_015
16,老師的話第27輯,明德出版社,2019-07-26,"
老師，從來不曾放棄過我們!祂那慈悲的法雨，有如醍醐灌頂，永遠鍥而不捨、無微不至的告誡著我們。   當我們迷失、徘徊、無助時，恩師慈語，總是如即時雨般的出現耳際。若清泉沁心，如雷灌頂!不時洗滌我們...more
",https://www.books.com.tw/products/0010829366?loc=P_0002_016
17,你必須知道的宗教常識：日常出現的100個宗教用語，你真的了解他的意涵嗎?,島田裕巳,2019-06-12,"
「宗教很難懂。」這麼想的人並非少數， 但在全球化時代，宗教才是不分老少都應必修的科目!   福音、原罪、贖罪、十誡、齋戒、靖國神社、《般若波羅密多心經》、天主教與基督教的差別、輪迴轉世、偶像崇拜...more
",https://www.books.com.tw/products/0010824293?loc=P_0002_017
18,慈悲清淨：佛教與中古社會生活(修訂二版),劉淑芬,2019-04-05,"
夫釋教者，以清淨為基，慈悲為主。您知道嗎?早在一千四百年前，中國河北省已經有一群有組織的佛教徒，從事著如同今日「慈濟功德會」所做的各種社會救濟工作，他們可以說是現代「慈濟人」的前身。本書以生...more
",https://www.books.com.tw/products/0010818401?loc=P_0002_018
19,科學追求掌握.宗教追求解脫,蕭中和scf,2019-04-03,"
上帝是一片夜空，星光燦爛，神祕迷人； 哲學是樹上的一隻小鳥，想要摘星，卻怎麼也摘不著； 科學是海裡的一條魚，魚離不開水，就像科學離不開物質， 於是這條魚不相信有夜空。   量子力學創始人普朗克：「...more
",https://www.books.com.tw/products/0010816746?loc=P_0002_019
