,書名,作者,出版日期,內容介紹,網址
1,運動生理學(第三版),"劉介仲,吳慧君,吳泰賢,李佳倫,李意旻,林高正,溫小娟,王鶴森,蔡佈曦,蔡琪文,謝悅齡,郭婕,鄭宇容,鄭景峰,顏惠芷",2020-10-12,"
本書邀集了多位國內多所大學、科大、技術學院的資深運動生理學教師共同編寫，作者們參考國內外運動生理學教科書，再依國內教學需求加以調整，擬定本書各章架構。編撰時力求以簡明易懂的文字，搭配清楚扼要...more
",https://www.books.com.tw/products/0010874271?loc=P_0003_001
2,Nancy Clark運動營養指南(二版),Nancy Clark,2020-08-20,"
※這是一本非教科書寫法且值得信賴的實用型運動營養指南   ※供給喜好運動者最新參考運動營養諮詢   ※指導如何在琳琅滿目的各式運動食品及飲料中作正確選擇   ※提供利用運動營養的正確知識所製作之賽前-賽中...more
",https://www.books.com.tw/products/0010869561?loc=P_0003_002
3,素養導向體育教學設計 : 在身體活動中建立自信和能力的遊戲,Heather Gardner,2020-08-20,"
本書是寫來幫助幼稚園至十二年級學生的教師，具備教授高品質且有趣的遊戲及活動，以支持學習者發展身體素養時的特定需求。作者Heather Gardner設計了120個可立即使用的遊戲及活動，可在最少設備的情況下應...more
",https://www.books.com.tw/products/0010869558?loc=P_0003_003
4,運動觀光賽會管理：運動觀光賽會管理為都市與社區更新和發展的策略指引,"張智鈞,林政德,莊哲仁,黃金柱",2020-08-01,"
.為國內第一本探討運動觀光賽會管理的教科書。   .從後新冠肺炎疫情新生活樣態形塑的觀點言，旨在透過運動觀光旅遊，以提升身心靈健康和增强免疫力，誠為刻不容緩的課題。本著作恰可指供目前和未來擬擔任...more
",https://www.books.com.tw/products/0010868219?loc=P_0003_004
5,健康體適能與促進(第二版),張耿介,2020-07-01,"
本書作者為健身體適能教練、重量訓練教練，具有多項健康體適能檢測、指導相關證照，實務經驗豐富，並在大專院校任教多年，編寫本書做為大專院校健康休閒、健康管理、運動休閒等相關科系教材，有系統地整理...more
",https://www.books.com.tw/products/0010865114?loc=P_0003_005
6,ACSM 身體組成評估,,2020-05-22,"
前衛的身體組成專家Timothy G. Lohman和Laurie A. Milliken，以及一群備受推崇的貢獻者，與美國運動醫學會(ACSM)合作編寫評估身體組成的實用指引。《ACSM身體組成評估》採用易於依循的格式和淺顯的文字，...more
",https://www.books.com.tw/products/0010859614?loc=P_0003_006
7,走出體育的迷宮,許義雄,2020-05-01,"
本書分：「成長的代價」、「興革之道」、「社會關照」以及「回顧與前瞻」等四部分，係有感於台灣近代體育運動發展，始終無法擺脫歷史與社會環境的影響，跌跌撞撞，踟躕難行，有如墜入迷宮。筆者嘗試按圖索...more
",https://www.books.com.tw/products/0010859654?loc=P_0003_007
8,體適能評估與運動處方(三版),"Ann L. Gibson,Dale R. Wagner,Vivian H. Heyward",2020-02-27,"
第八版《體適能評估與運動處方》，提供全面體適能評估和客製化運動處方的內容。本書引用運動生理學、運動學、測量、心理學和營養學的概念和理論，將研究和實務與相結合，清楚表達如何透過體適能測驗的評估...more
",https://www.books.com.tw/products/0010851762?loc=P_0003_008
9,運動場館規劃與管理(2版),"劉田修,周宇輝,康正男,李俞麟,林秉毅,田文政,簡鴻檳,許龍池,鄭勵君,鄭良一,陳國華,黃煜",2020-02-17,"
‧本書集結國內運動場館規劃及管理相關學界與業界人士，亦包含曾具體育行政主管經驗之學者共同撰寫，實為結合產官學界通力合作之著作。   ‧內容涵蓋實用之理論基礎，同時附有國內外場館經營實例供各界參考...more
",https://www.books.com.tw/products/0010853358?loc=P_0003_009
10,競技與健身運動心理學(四版),"Daniel Gould,Robert S. Weinberg",2020-02-17,"
運動心理學領域的領導教科書第7版出現了，再一次將該領域的標準向上提升不少。《競技與健身運動心理學》第7版提供了競技與健身運動心理學的全貌，為學生以及實務人員搭起了理論與實務工作的橋樑，使讀者掌...more
",https://www.books.com.tw/products/0010867222?loc=P_0003_010
11,運動心理學,盧綽蘅,2020-01-21,"
不少人聽到「運動心理學」，就會聯想到只適用於「心理有問題」的運動員。事實上，應用運動心理學的最大宗旨是提升、維持及恢復運動員的運動水平，適用於任何運動員。運動員藉著與運動心理學家溝通，培養批...more
",https://www.books.com.tw/products/0010819091?loc=P_0003_011
12,運動健康與體適能,"張育愷,李麗晶,楊碧霞,温蕙甄,王俊智,盧俊宏,童淑琴,翁仲邦,蘇俊雄,詹美玲,謝武進,賴韻宇,陳聰毅,陳銘正",2019-11-17,"
「體適能」為身體適應生活與環境的綜合能力，也就是說，體適能較好的人在日常生活或運動皆有較佳的體力及適應能力。然而現代人工作時間相對增加，身體活動的機會越來越少，加上外食習慣導致熱量攝取越來越...more
",https://www.books.com.tw/products/0010840575?loc=P_0003_012
13,體適能與健康指南：適合各年齡層的體能活動與營養指引(二版),Barbara Bushman,2019-11-13,"
本書致力於運動和營養的最大努力，提供最佳資源。在新版《ACSM體適能與健康指南》中，擁有權威的參考資料，可以基於研究指導，應用於獨特的健康和體適能需求。本書著重於整個生命週期，呈現如何在未來幾年...more
",https://www.books.com.tw/products/0010867224?loc=P_0003_013
14,運動防護貼紮(附彩圖光碟),"David H. Perrin,Ian A. McLeod",2019-09-11,"
《運動防護貼紮》第四版除了原有的貼紮和包紮技術外，並新增石膏與夾板的固定技術。新版內容將以清楚的照片示範與圖解、仔細且逐步分解的操作及各項技術說明來呈現運動防護員與治療師最常使用的臨床技巧。...more
",https://www.books.com.tw/products/0010834371?loc=P_0003_014
15,戰術肌力與體能訓練,"Conditioning Association,National Strength",2019-08-06,"
軍事、執法、消防及救難等戰術職業，要求身體必須處於最佳狀態，以便能完美達成任務並降低傷害風險。《戰術肌力與體能訓練》包含科學資訊，得以在商業或政府健身中心與戰術運動員合作，協助實施或重組肌力...more
",https://www.books.com.tw/products/0010831009?loc=P_0003_015
16,阻力訓練,"Conditioning Association,National Strength",2019-06-10,"
由國家肌力與體能協會(NSCA)編輯的《阻力訓練》，是當前致力於肌力與體能專業和私人教練的實用資源。本書藉由各種自由重量和器械動作的獨特視覺示範，為準備NSCA認證者，以及為運動員及所有年齡和體能水準...more
",https://www.books.com.tw/products/0010825085?loc=P_0003_016
17,彩色圖解運動生理學導論,"W.．賴瑞．肯尼,鮑伯．莫瑞",2019-06-10,"
本書《彩色圖解運動生理學導論》以深入淺出的方式，帶領讀者理解運動生理學的科學觀念。其中將生理學的概念應用至運動計畫的設計上，藉此協助個人訓練師、肌力與體能調節訓練專家，以及其他健康與體適能專...more
",https://www.books.com.tw/products/0010825551?loc=P_0003_017
18,人體表現測驗與評量(二版),"Dale P. Mood,James G. Disch,James R.Morrow Jr.,Minsoo Kang",2019-05-20,"
本書著作者大學教授的聯合任教年資幾近一百五十年，我們用本教科書的內容任教已經上百節次，教導過上千學生，同時也接受這些學生的寶貴回饋意見與建議。    有些學生對本課程的內容會感到害怕，我們相信我...more
",https://www.books.com.tw/products/0010867220?loc=P_0003_018
19,運動處方(2版),方進隆,2019-04-09,"
榮獲國立臺灣師範大學專書審查評定為「傑出專書」!   如何養成正確又規律的運動習慣?   運動與體適能的全方位指南   要維持全人健康需要養成良好的運動習慣，許多國家將國人健康列為重要的政策及施政目標...more
",https://www.books.com.tw/products/0010818682?loc=P_0003_019
20,體重控制,"吳佩芳,吳幸娟,徐華穗,李春松,林文元,林鑾珍,趙丹平,邱琬淳,郭婕,鄭佾琪,陸美玲",2018-12-25,"
體重過重與肥胖是現代人常有的問題，也是人類健康的剋星之一，已被證實與許多慢性疾病有關，是全球關注的重要問題。要維持標準健康體位不外乎從飲食、運動與生活習慣下手，吃的巧、動的好，又能擁有完美曲...more
",https://www.books.com.tw/products/0010808919?loc=P_0003_020
21,特殊族群運動訓練,National Strength and Conditioning Association,2018-09-19,"
針對有志與兒童、老人、暫時性或永久性身體或認知狀態及障礙等特殊族群一起工作，同時成就運動專業的人來說，《NSCA特殊族群運動訓練》是一本不可或缺的書。針對特殊狀況的對象，通常需要調整一般運動建議...more
",https://www.books.com.tw/products/0010800619?loc=P_0003_021
22,體育行政與管理(修訂三版),"呂宛蓁,廖尹華,張少熙,張川鈴,洪嘉文,熊鴻鈞,許振明,詹俊成,鄭志富,陳增朋,陳金盈",2018-09-01,"
《體育行政與管理》乙書兼具體育行政與運動管理學之理論與實務經驗，為大學生、研究生與學校體育行政工作者不可或缺的秘笈寶典。其內容含括體育行政管理之理論基礎、體育政策與法令、體育行政組織與領導、...more
",https://www.books.com.tw/products/0010800766?loc=P_0003_022
23,運動健康科學概論,"劉宏祐,唐慧媛,張又文,張靜文,彭淑美,彭賢德,戴旭志,祁業榮,蘇俊賢,陳順義",2018-06-15,"
本書共計12個單元：健康行為改變、體能評估、課程設計、就業市場、科技應用及運動安全等主題。由教學經驗豐富的作者群，深入淺出描繪運動與健康科學理論與實務。 本書特色   1.敘述淺白易懂，使初學者即時...more
",https://www.books.com.tw/products/0010793108?loc=P_0003_023
24,躲避盤：安全好玩的新潮運動,"朱峯亮,李其隆,陳冠宏",2018-05-01,"
「躲避球」是從小陪著我們長大的運動項目，上了中學因安全因素而中斷了這段樂趣，卻總是讓人感到不捨與懷念。而今，因為「躲避盤」的問世，讓這美好的回憶得以延續。   「躲避盤」是由尼龍及泡綿組成，所...more
",https://www.books.com.tw/products/0010786844?loc=P_0003_024
25,現代體育學原理(上冊) 基本概念,許義雄,2017-10-30,"
作者從1958年自臺南師範畢業算起，從事教育工作將近一甲子。這當中經過不同階段的學習，擔任過不同的工作，受過不少師長、友朋的提攜與指導，得到彌足珍貴的經驗，都轉化為本書重要內容的基本養分。   寫...more
",https://www.books.com.tw/products/0010769341?loc=P_0003_025
