,書名,作者,出版日期,內容介紹,網址
1,化學(第二版),"張振華,莊青青",2020-07-31,"
針對專科通識課程「化學」進行編寫，適用於專科學校授課使用，難易度適中，配合例題與隨堂練習，可使學生進行演練。除基礎化學知識外，亦包含環境、能源、生活、產業、高科技等應用化學的範疇，使學生能夠...more
",https://www.books.com.tw/products/0010872890?loc=P_0003_001
2,圖解輸送現象,吳永富,2020-07-28,"
輸送現象是工程學、化學、材料科學、農學、氣象學、生理學、生物學、藥學等領域皆會面對的課題，從17世紀即已陸續建立基礎理論。一般探討的輸送現象包括動量輸送、熱量輸送和質量輸送，然而這三種輸送往往...more
",https://www.books.com.tw/products/0010865251?loc=P_0003_002
3,分子對稱群論,,2020-03-03,"
以分子對稱為出發點，結合群論研究化合物的各項特性是簡便有效的實用方法。對化學或相關科系的學生而言，修習群論僅需要一些簡單量子化學基礎，不需要太深入嚴謹的數學推導。這門課程涵蓋有機化學、無機化...more
",https://www.books.com.tw/products/0010851652?loc=P_0003_003
4,圖解食品添加物與實務(2版),"吳伯穗,張哲朗,徐能振,李明清,蔡育仁,邵隆志,顏文俊,黃種華",2020-02-28,"
食品添加物的管理，除了政府主管機關應制定規範供業者及民眾依循，並執行例行性的輔導與工廠查核等督導業務之外，使用食品添加物業者的自主管理以及消費者對食品添加物有正確的認識，應是食品添加物管理最...more
",https://www.books.com.tw/products/0010850486?loc=P_0003_004
5,輕課程 生活中的化學,蔡永昌,2020-02-26,"
1、內容深入淺出，為瞭解化學如何應用在我們日常生活中的最佳書籍。   2、新穎的編排方式及豐富彩圖，讓人閱讀愉悅，進而可引發學生學習的興趣。   3、多元的學習評量，引導學生雙向思考，可藉此檢視學生...more
",https://www.books.com.tw/products/0010851259?loc=P_0003_005
6,廢棄物處理,"林健三,林健榮",2020-01-01,"
廢棄物處理在管理層面應著重本土化、技術新穎化，做到與時俱進。本版除配合106年「廢棄物清理法」修正，增修相關廢棄物管理理念、制度外，也導入新穎處理技術以使讀者能完全了解廢棄物處理之現況及未來發...more
",https://www.books.com.tw/products/0010855654?loc=P_0003_006
7,有機化學,,2020-01-01,"
本書以精簡洗鍊的文字及生動活潑的方式介紹有機化學，並以全彩圖片說明表示各化學反應。內容特別關注與生物相關的化學反應，提供數百幅電腦合成的分子模型圖，並以不同的格式呈現，學生可全面地學習化學結...more
",https://www.books.com.tw/products/0010855676?loc=P_0003_007
8,化工熱力學 8/e,Smith,2019-12-31,"
本書是提供大學化工系學生學習基礎熱力學課程而編寫的教科書，也可以作為生化、農化、材料、紡織、冶金、地質等專業的基礎熱力學教材或參考書。    本書的結構在熱力學原理的發展與熱力學性質的相關使用，...more
",https://www.books.com.tw/products/0010848772?loc=P_0003_008
9,圖解化學系統消防安全設備,盧守謙,2019-09-28,"
1. EasyPass，完整不漏   依考選部命題大綱編排，考題不漏網。   2. 圖文解說，易以吸收   條文圖表式闡述，使讀者易掌握。   3 歷屆考題，完整豐富   近9年設備師及設備士歷屆試題，進行完整精解。   4. ...more
",https://www.books.com.tw/products/0010835458?loc=P_0003_009
10,食品加工學(第三版),汪復進,2019-09-05,"
食品加工學的領域十分廣泛，是涵蓋了物理、化學、生物三大基礎學科的應用科學。本書作者在大專院校食品相關科系任教多年，輔導學生參加相關考試深有心得，並具有豐富的業界實務經驗，彙整依教學心得並參酌...more
",https://www.books.com.tw/products/0010834553?loc=P_0003_010
11,普通化學實驗(十三版),中原大學化學系,2019-08-01,"
...more
",https://www.books.com.tw/products/0010832521?loc=P_0003_011
12,分析化學,,2019-08-01,"
實用的主題文章作開端   每章的開始，以一篇生活化、實用的主題文章誘發學生的學習興趣，讓學生在進入章節前，對課程概念有基本的認知。生活化的文章內容，亦可讓學生體會真實世界與科學領域的相關性。   ...more
",https://www.books.com.tw/products/0010855661?loc=P_0003_012
13,食品加工學(3版),"施明智,蔡敏郎,蕭思玉",2019-07-10,"
本書共十六章，主要分為兩部份，前半部為加工方法介紹部份，包括傳統的低溫加工、熱加工、乾燥與濃縮、非熱加工、其他傳統加工方式與新興加工方式。後半部包括農產品、畜產品、蔬果、水產品、油脂與嗜好性...more
",https://www.books.com.tw/products/0010828286?loc=P_0003_013
14,薄膜科技概論,"劉英麟,呂幸江,孫一明,安全福,崔玥,張雍,李亦宸,李岳憲,李魁然,楊台鴻,洪維松,游勝傑,王大銘,童國倫,羅林,胡蒨傑,莊清榮,賴君義,賴振立,鍾台生,阮若屈,陳世雄,陳榮輝,韓剛,高從堦,黃書賢",2019-07-10,"
鑒於國內學界參與薄膜科技研究及業界運用膜者眾，但缺少一本適當的書籍，既可作為學界的教科書，也提供自修者學習的參考書。因此，撰寫一本薄膜科技的專門書籍，是編者多年來的願望。希望此書面世能成為產...more
",https://www.books.com.tw/products/0010828292?loc=P_0003_014
15,環境化學,,2019-07-01,"
本書藉由對水圈、大氣圈、地圈、生物圈及人類圈各項主題的探討，帶領讀者進入環境化學的世界。內容由淺入深，解說詳盡，透過研究化學物質在環境中的反應及作用，瞭解人類活動對環境所產生的影響，進而探討...more
",https://www.books.com.tw/products/0010855658?loc=P_0003_015
16,反應工程學(第九版),林俊一,2019-06-20,"
本書完整囊括所有反應工程學的概念，除了可供技專院校及科技大學上課使用，其他對於反應工程學有興趣的讀者，本書亦是一本極佳的參考書籍。   本書共分十章，除第一章為總論外，其他各章分別討論勻相反應...more
",https://www.books.com.tw/products/0010826846?loc=P_0003_016
17,化學反應工程概論,呂維明,2019-05-01,"
本書是供大學化工、應化、生物化工、環工、食品、材料工程、礦冶等相關科系學生首次學習「化學反應工程」的入門書，此書也可供上述泛化工領域的技術人員自修化學反應操作的相關基礎原理和認識化學反應裝置...more
",https://www.books.com.tw/products/0010832526?loc=P_0003_017
18,Chemistry 13/e,"Jason Overby,Raymond Chang",2019-01-01,"
Chang s best-selling general chemistry textbook takes a traditional approach and is often considered a student and teach......more
",https://www.books.com.tw/products/0010791597?loc=P_0003_018
