,書名,作者,出版日期,內容介紹,網址
1,給水工程(五版),黃政賢,2021-01-01,"
重要名詞釋義按筆畫順序排列，方便查詢，可讓讀者充分瞭解給水專有名詞的精義。   涵蓋不同的設計與計算類型，予以詳細解析，相信可消除讀者對計算的恐懼感，並提供解題技巧。   每章節後面附有習題，書末...more
",https://www.books.com.tw/products/0010870841?loc=P_0003_001
2,建築估價：工程數量計算編(附光碟),李健雄,2020-10-15,"
本書特色    極速公式×變數工具×獨門心法    15招心法完攻數量計算    尺寸快取×5招   ◆ 包外總長扣除各柱寬   ◆ (A+B)×2=周邊長最大長寬法   ◆ 取用尺寸：大尺寸再扣除   ◆ 取用面積：取大面積再扣除   ◆...more
",https://www.books.com.tw/products/0010874035?loc=P_0003_002
3,行家的營建工程施工計畫書,王玨,2020-09-03,"
若採用本書作為「施工計畫書」編撰之參考，主要對象為營造單位，但本書內容將施工流程及方法、施工及材料之品質要求、安全衛生要求、注意事項、檢查方法等均涵蓋於內，亦適合營建工程中各級單位使用，作為...more
",https://www.books.com.tw/products/0010505340?loc=P_0003_003
4,水電工程工料單價分析實務(上),陳志泰,2020-06-01,"
本書寫作之基本目的，係在於提供國內廣大的機電從業人員能真正了解「工」與「料」內容之分析，有助釐清日常工作中常因諸多(一式)工程，而顯無力審核之感，就內容方面而言，本書共有11章，有管線、電氣、弱...more
",https://www.books.com.tw/products/0010392263?loc=P_0003_004
5,水電工程施工與監造實務(第三版),陳天來,2020-06-01,"
水電工程的施工範圍包羅廣泛，從電氣工程、給排水設備、消防設備到弱電系統等，彼此看似連結緊密，實則又可各自視為專業領域；而水電工程的施工項目亦相當繁雜，初入業界的入門者，往往深受理論與實務無法...more
",https://www.books.com.tw/products/0010584311?loc=P_0003_005
6,營建預算編列要訣：從投標到發包成本之實案分析(附光碟),陳重義,2020-06-01,"
預算準備   參與投標的前置準備作業千頭萬緒，筆者依建設公司各部門之專業分工，說明如何有效地整合資源、收集資料，就設計、施工、銷售、財務等面向之最佳考量，訂定工程成本分類並擬定詳實的施工計劃，...more
",https://www.books.com.tw/products/0010595271?loc=P_0003_006
7,混凝土工程設計規範與解說(土木401-108),中國土木水利工程學會混凝土工程委員會,2020-03-04,"
混凝土結構始終在土木建築工程中扮演重要腳色，是最為廣泛使用的結構型式之一，其設計成果與品質要求將直接影響結構物的強度，且亦關係民眾生命財產安全。惟混凝土結構是諸多材料與構件的組合，其材料間須...more
",https://www.books.com.tw/products/0010852310?loc=P_0003_007
8,電腦輔助2D建築製圖(第五版),林利垣 ,2020-02-14,"
全書內容編排以建築設計圖及施工圖為主軸，從環境的設定開始、單元的建立後接著以平面圖、立體圖、剖面圖及大樣詳圖 等圖元為導向，以建築製圖的專業知識為主，導入CAD的觀念與特色，目的是幫助讀者熟悉建...more
",https://www.books.com.tw/products/0010851671?loc=P_0003_008
9,環境工程(六版),"張錦松,黃政賢",2020-02-01,"
本書主要是針對國內大學院校所開設的環境工程相關課程之定位及走向，進行完整的分析與歸納，並收集國內外最新資料編撰而成。書中文字力求簡明流暢，內容力求務實易懂，使同學在學習過程中，迅速吸收書中精...more
",https://www.books.com.tw/products/0010855656?loc=P_0003_009
10,土地開發實務作業手冊(2020年增修五版)都更新版、危老重建、簡易都更、增額容積【一本專為土地開發從業人員所寫的專業工具書】,王英欽,2020-01-31,"
土地開發是建設公司的首要工作，其中尤以購地階段的篩選、調查、產品定位、規劃配置、投資評估與土地簽約等的土地開發核心作業，更是決定購地成本與案場去化的關鍵。    筆者將其從事土地開發卅年的工作心...more
",https://www.books.com.tw/products/0010848962?loc=P_0003_010
11,管線設計與安裝(2版),溫順華,2020-01-10,"
每棟建築物完成時都需要配水管、瓦斯管及汙水排放管，且任何工廠蓋廠之初期，原料之輸送、過程之反應、成品之送出等都需要管線，配管之重要性並不亞於任何一門理工學院的學科專業。惟目前實務上均仍是以師...more
",https://www.books.com.tw/products/0010847858?loc=P_0003_011
12,環境保護法規(六版),林健三,2020-01-01,"
研讀環保法規除須基本法律素養外，更應融入環保專業知識之養成。故本書設定使用對象為具備環保基本知識之理工科學生或環保從業人員，而非具完備法學素養者。本次改版除檢視並依最新增修訂環保法規作內容修...more
",https://www.books.com.tw/products/0010855659?loc=P_0003_012
13,推管掘進機設備與操作實務,倪至寬,2019-12-10,"
操作經驗與品管參數並重的推進機實案分析   推進機的操作必須因應推進時所發生的任何突發狀況，例如在推進路徑遭遇浮木、巨石、複合地盤等等的變化，因此必須具備長年的實務經驗來判斷；其中最重要的為判...more
",https://www.books.com.tw/products/0010843278?loc=P_0003_013
