,書名,作者,出版日期,內容介紹,網址
1,證券暨期貨月刊(38卷10期109/10),金融監督管理委員會證期局,2020-10-16,"
本期專題：   投信投顧事業之法制發展與演變   我國期貨市場發展歷程...more
",https://www.books.com.tw/products/0010874932?loc=P_0003_001
2,考試院公報第39卷19期-685,考試院編纂室,2020-10-15,"
刊載總統文告、考銓法規、命令、公告、重要工作報導、考銓合格人員名單、行政爭訟等。...more
",https://www.books.com.tw/products/0010874930?loc=P_0003_002
3,展望與探索月刊18卷10期(109/10),展望與探索雜誌社,2020-10-15,"
...more
",https://www.books.com.tw/products/0010874939?loc=P_0003_003
4,中華民國師資培育統計年報(108年版),,2020-10-01,"
為建置師資培育供需評估機制，符應政府資訊公開原則及自由、開放、競爭、自主權責的民主運作機制，特編印師資培育統計年報。年報資訊將包括:師資培育的相關基本資料、在職教師數量現況、領有教師證書者的...more
",https://www.books.com.tw/products/0010874917?loc=P_0003_004
5,樂覽109年10月-202期,,2020-10-01,"
小提琴家林品任在樂音裡發光   [精彩 NTSO]   ● 用美好琴音社會走透透 小提琴家蘇顯達與國臺交合作關渡藝術節演出   ● 國臺交前進奇美樂展 奏響青春貝多芬   ● 自然、協奏、貝多芬寫在「水藍，林品任/「田...more
",https://www.books.com.tw/products/0010874927?loc=P_0003_005
6,標準公報半月刊109年 第十八期,經濟部標準檢驗局,2020-09-30,"
國家標準   國家標準制定、修訂及廢止公布   國家標準草案徵求意見   國家標準確認徵求意見   國家標準確認公布...more
",https://www.books.com.tw/products/0010873376?loc=P_0003_006
7,標準公報半月刊109年 第十七期,經濟部標準檢驗局,2020-09-15,"
...more
",https://www.books.com.tw/products/0010871853?loc=P_0003_007
8,展望與探索月刊18卷9期(109/09),展望與探索雜誌社,2020-09-15,"
...more
",https://www.books.com.tw/products/0010872351?loc=P_0003_008
9,IECQ報導年刊第八期(109/9),中華民國電子零件認證委員會,2020-09-09,"
●IECQ制度國內外概況報導   ●2020年ADAS車輛的感測和運算   ●2020年微機電系統產業的現況   ●2020年汽車的人工智慧運算   ●ISO 26262國際安全規範與應用介紹   ●探索SPC在當今生產環境中的新角色   ......more
",https://www.books.com.tw/products/0010874700?loc=P_0003_009
10,書香遠傳151期(2020/09)雙月刊：圖書館的日常,,2020-09-01,"
...more
",https://www.books.com.tw/products/0010871032?loc=P_0003_010
11,今日郵政753期109年9月,,2020-09-01,"
...more
",https://www.books.com.tw/products/0010872345?loc=P_0003_011
12,臺灣出版與閱讀季刊109年第3期,,2020-09-01,"
尋找出版的故事   本期的專題為「尋找出版的故事」。爾雅出版社發行人隱地、燎原出版主編區肇威、春山出版主編王梵、繪本評論家賴嘉綾、詩人汪彥君等多位作者，分別撰文娓娓道出出版背後不為人知的故事，...more
",https://www.books.com.tw/products/0010873373?loc=P_0003_012
13,存款保險資訊第33卷3期(109/09),中央存款保險公司存款保險資訊編輯委員會,2020-09-01,"
特載：   金融資安行動方案……………………………………………金融監督管理委員會   國際間央行數位貨幣之最新發展趨勢……………………………………中央銀行   論著與分析：   購買與承受交易之研究…………………………………………本公司清理......more
",https://www.books.com.tw/products/0010874923?loc=P_0003_013
14,海巡季刊105期(109.09),,2020-09-01,"
●守護藍色國土、巡弋八方海疆   嘉義艦寫下臺灣海上醫療新頁   ●海洋教師穿越古金大膽體驗同島一命...more
",https://www.books.com.tw/products/0010874924?loc=P_0003_014
15,水試專訊 NO.71,,2020-09-01,"
本期要目：臺灣西南海域大棘大眼鯛年齡組成初探、水產養殖智慧專家系統之規劃及初步成果、模擬浮動型光電設施遮蔽率對虱目魚塭溫度變化初探、細額沼蝦之人工繁養殖初探、滸苔種苗生產模式及多元利用可行性...more
",https://www.books.com.tw/products/0010874918?loc=P_0003_015
16,中等教育季刊71卷3期2020/09校訂課程發展,,2020-09-01,"
...more
",https://www.books.com.tw/products/0010874940?loc=P_0003_016
17,標準公報半月刊109年 第十六期,經濟部標準檢驗局,2020-08-30,"
...more
",https://www.books.com.tw/products/0010870118?loc=P_0003_017
18,標準公報半月刊109年 第十五期,經濟部標準檢驗局,2020-08-15,"
...more
",https://www.books.com.tw/products/0010868733?loc=P_0003_018
19,展望與探索月刊18卷8期(109/08),展望與探索雜誌社,2020-08-15,"
...more
",https://www.books.com.tw/products/0010868744?loc=P_0003_019
20,今日郵政752期109年8月,,2020-08-01,"
...more
",https://www.books.com.tw/products/0010869051?loc=P_0003_020
21,潮汐表(年刊)民國110年-第24期,交通部中央氣象局海象測報中心,2020-08-01,"
中央氣象局蒐集臺灣各地潮位站量測之水位資料，經品管處理後，選取其中資料品質較佳之地點來預報未來 1 年潮汐表。品質較佳的定義為有連續 1 至 2 年資料且觀測基準面於該時段未曾變動。本年度用以推算之...more
",https://www.books.com.tw/products/0010874320?loc=P_0003_021
22,標準公報半月刊109年 第十四期,經濟部標準檢驗局,2020-07-30,"
...more
",https://www.books.com.tw/products/0010867206?loc=P_0003_022
23,標準公報半月刊109年 第十三期,經濟部標準檢驗局,2020-07-15,"
...more
",https://www.books.com.tw/products/0010865535?loc=P_0003_023
