,書名,作者,出版日期,內容介紹,網址
1,空軍學術雙月刊678(109/10),,2020-10-01,"
本期企劃：   當前中國大陸對臺統戰策略及其影響之研究   臺海地區建構軍事熱線之芻議   國際關係之英國學派的發展、特質與評論   組織制度、權威類型與成員交換關係的探討一系統動態觀點   捍衛臺海的F-1...more
",https://www.books.com.tw/products/0010873062?loc=P_0003_001
2,空軍軍官雙月刊214[109.10],,2020-10-01,"
...more
",https://www.books.com.tw/products/0010873615?loc=P_0003_002
3,陸軍學術雙月刊573期(109.10),,2020-10-01,"
本期專題【作戰研究】   ●探討國軍單兵戰鬥裝備未來研改之方向   ●防衛作戰後勤支援之研究─以戰場搶修為例   ●2019年沙烏地阿拉伯油田遭無人機攻擊事件研究─論陸軍野戰防空...more
",https://www.books.com.tw/products/0010874705?loc=P_0003_003
4,考試院公報第39卷18期-684,考試院編纂室,2020-09-30,"
...more
",https://www.books.com.tw/products/0010873618?loc=P_0003_004
5,考試院公報第39卷17期-683,考試院編纂室,2020-09-15,"
...more
",https://www.books.com.tw/products/0010871850?loc=P_0003_005
6,中央政府總預算案：歲入來源別歲出政事別預算表及參考表+歲出機關別預算表+總說明及主要附表(1套3冊)110年度,行政院主計總處,2020-09-10,"
...more
",https://www.books.com.tw/products/0010872335?loc=P_0003_006
7,吾愛吾家397(109/09)：知性文旅 再尋軍事風采,,2020-09-01,"
...more
",https://www.books.com.tw/products/0010871517?loc=P_0003_007
8,國土及公共治理季刊第8卷第3期(109.09),國家發展委員會,2020-09-01,"
...more
",https://www.books.com.tw/products/0010871518?loc=P_0003_008
9,中華民國僑務統計年報108年,,2020-09-01,"
提要分析   壹、 海外華人及臺僑之分布   ⼀、概述   二﹑各洲海外華人及臺僑分布   貳、 僑⺠及僑團聯繫與服務   ⼀、海外僑⺠、華⼈團體組織概況   二、海外區域性僑團會議活動概況   三、海外僑團回國...more
",https://www.books.com.tw/products/0010871852?loc=P_0003_009
10,國防雜誌季刊第35卷第3期(2020.09),,2020-09-01,"
...more
",https://www.books.com.tw/products/0010873622?loc=P_0003_010
11,Taiwan Tourism 2030 台灣觀光政策白皮書,交通部觀光局,2020-09-01,"
藉由「Taiwan Tourism 2030 台灣觀光政策白皮書」之出版，佈達台灣未來10 年觀光施政願景，擘劃觀光發展新藍圖，以落實「觀光立國」、「觀光主流化」的施政理念，振興國家經濟發展。...more
",https://www.books.com.tw/products/0010874699?loc=P_0003_011
12,五角大廈之腦,安妮．雅各布森,2020-09-01,"
五角大廈的科技智囊團，美國國防先進研究計畫局，將天馬行空的科幻想像，轉化成最先進的軍事科技，是美軍有形戰力的泉源，並對全世界造成翻天覆地的改變。...more
",https://www.books.com.tw/products/0010873342?loc=P_0003_012
13,考試院公報第39卷16期-682,考試院編纂室,2020-08-30,"
...more
",https://www.books.com.tw/products/0010870656?loc=P_0003_013
14,考試院公報第39卷15期-681,考試院編纂室,2020-08-15,"
...more
",https://www.books.com.tw/products/0010868732?loc=P_0003_014
15,空軍軍官雙月刊213[109.8],,2020-08-01,"
...more
",https://www.books.com.tw/products/0010867462?loc=P_0003_015
16,中華民國的空軍第963期(109.08),,2020-08-01,"
中華民國的空軍第963期(109.08)慶祝「八一四」勝利八十三週年特刊...more
",https://www.books.com.tw/products/0010867463?loc=P_0003_016
17,空軍學術雙月刊677(109/08),,2020-08-01,"
...more
",https://www.books.com.tw/products/0010867464?loc=P_0003_017
18,陸軍學術雙月刊572期(109.08),,2020-08-01,"
...more
",https://www.books.com.tw/products/0010867921?loc=P_0003_018
19,海軍學術雙月刊54卷4期(109.08),,2020-08-01,"
...more
",https://www.books.com.tw/products/0010867925?loc=P_0003_019
20,考試院第12屆施政成果(附光碟),考試院,2020-08-01,"
考試院第12屆施政理念、施政成果、業務與行政的回顧與前瞻、考試院重大方案執行成果，以及院長、副院長、考試委員、部會首長回顧專論等。...more
",https://www.books.com.tw/products/0010868133?loc=P_0003_020
21,內政部移民署108年年報,內政部移民署,2020-08-01,"
內政部移民署108年施政重點，重要業務統計及英文翻譯。...more
",https://www.books.com.tw/products/0010868700?loc=P_0003_021
22,內政部役政署108年年報,蔡俊輝等,2020-08-01,"
役政署108年重要業務辦理情形...more
",https://www.books.com.tw/products/0010869722?loc=P_0003_022
23,海軍軍官季刊第39卷3期(2020.08),,2020-08-01,"
...more
",https://www.books.com.tw/products/0010869772?loc=P_0003_023
24,第15任總統副總統及第10屆立法委員選舉桃園市選舉實錄[附光碟],桃園市選舉委員會,2020-08-01,"
有關第15任總統副總統及第10屆立法委員選舉桃園市選舉概況及統計資料。...more
",https://www.books.com.tw/products/0010870106?loc=P_0003_024
25,陸軍後勤季刊109年第3期(2020.08)：後勤戰略研析,,2020-08-01,"
...more
",https://www.books.com.tw/products/0010870204?loc=P_0003_025
26,軍法專刊66卷4期-2020.08,軍法專刊社編輯委員,2020-08-01,"
...more
",https://www.books.com.tw/products/0010870206?loc=P_0003_026
27,中華民國人口推估(2020年至2070年),國家發展委員會,2020-08-01,"
...more
",https://www.books.com.tw/products/0010870661?loc=P_0003_027
28,中華民國108年監察院彈劾案彙編,監察院綜合業務處,2020-08-01,"
本彙編係將監察院民國108年1月至12月經審查決定成立之彈劾案，予以彙編成冊，以供各界人士參考。...more
",https://www.books.com.tw/products/0010870663?loc=P_0003_028
29,中華民國108年監察院糾正案彙編(四),監察院綜合業務處,2020-08-01,"
彙編係將監察院民國108年1月至12月經審查決定成立，移送行政機關處理改善之糾正案，予以彙編成冊，以供各界人士參考。...more
",https://www.books.com.tw/products/0010870666?loc=P_0003_029
30,中華民國108年監察院糾正案彙編(三),監察院綜合業務處,2020-08-01,"
彙編係將監察院民國108年1月至12月經審查決定成立，移送行政機關處理改善之糾正案，予以彙編成冊，以供各界人士參考。...more
",https://www.books.com.tw/products/0010870674?loc=P_0003_030
31,中華民國108年監察院糾正案彙編(二),監察院綜合業務處,2020-08-01,"
彙編係將監察院民國108年1月至12月經審查決定成立，移送行政機關處理改善之糾正案，予以彙編成冊，以供各界人士參考。...more
",https://www.books.com.tw/products/0010870677?loc=P_0003_031
32,中華民國108年監察院糾正案彙編(一),監察院綜合業務處,2020-08-01,"
彙編係將監察院民國108年1月至12月經審查決定成立，移送行政機關處理改善之糾正案，予以彙編成冊，以供各界人士參考。...more
",https://www.books.com.tw/products/0010870679?loc=P_0003_032
33,外交部聲明及公報彙編(108),外交部公眾外交協調會,2020-08-01,"
外交部108年度對外發布之聯合公報、聲明稿、新聞稿、新聞參考資料。...more
",https://www.books.com.tw/products/0010870687?loc=P_0003_033
34,臺灣的社會轉型與福利制度改革：羅紀琼女士訪問紀錄(口述歷史叢書106)(軟精裝),"劉素芬,袁經緯",2020-08-01,"
1995年，臺灣開辦了全世界第一個單一體制的全民健康保險；2008年開辦國民年金，以相同條件投保的人，國民年金的福利比勞保年金少40%；2026年之前，預計勞工保險基金累積餘額將用完，制度面臨破產；2017年...more
",https://www.books.com.tw/products/0010871504?loc=P_0003_034
35,中華民國環境保護統計年報109年,,2020-08-01,"
編製目的：本年報以圖表與分析說明，提供中華民國環境狀況以及環保人員所投入之環境維持成果，藉資察往知來。   編製內容：本年報分為空氣品質監測及污染防制、噪音監測及防制、水質監測及污染防治、廢棄...more
",https://www.books.com.tw/products/0010873369?loc=P_0003_035
36,軍事社會科學專刊第十七期,軍事社會科學專刊編輯委員,2020-08-01,"
從群眾戰之層面探討國防安全...more
",https://www.books.com.tw/products/0010873606?loc=P_0003_036
37,考試院公報第39卷14期-680,考試院編纂室,2020-07-30,"
...more
",https://www.books.com.tw/products/0010867204?loc=P_0003_037
38,中共研究雙月刊第54卷04期(109/07)：新冠肺炎疫情下中國大陸內外部情勢,中共研究月刊編輯委員會,2020-07-25,"
...more
",https://www.books.com.tw/products/0010870122?loc=P_0003_038
39,考試院公報第39卷13期-679,考試院編纂室,2020-07-15,"
...more
",https://www.books.com.tw/products/0010865529?loc=P_0003_039
40,2014-2019年監察院兒少人權工作實錄,,2020-07-01,"
本書從兒少生存與發展權、健康權、家庭權、受教權、被剝奪自由之處置、免於性別暴力、免於體罰及不當管教、免於受剝削、表意權、隱私權及禁止歧視與合理調整等11個面向，摘選監察院自103年至108年相關調查...more
",https://www.books.com.tw/products/0010864333?loc=P_0003_040
41,吾愛吾家396(109/07),,2020-07-01,"
...more
",https://www.books.com.tw/products/0010865098?loc=P_0003_041
42,主計季刊第61卷2期NO.369(109/07),,2020-07-01,"
主計季刊第61卷2期NO.369(109/07)落實數字管理，讓國防預算資源從A+到A++...more
",https://www.books.com.tw/products/0010865527?loc=P_0003_042
43,關務年報2019-中華民國108年,,2020-07-01,"
...more
",https://www.books.com.tw/products/0010866683?loc=P_0003_043
44,2018年監察院人權工作實錄下冊,監察院人權保障委員會,2020-07-01,"
監察院人權保障委員會依據107年6月19日第5屆第43次會議決議修正之和權利定義(詳附錄一)，作為監察院調查案件人權性質分類之參考依據。本書依據上開定義，由監察委員擇選107年調查的人權案件，分別就自由權...more
",https://www.books.com.tw/products/0010866851?loc=P_0003_044
45,2018年監察院人權工作實錄上冊,監察院人權保障委員會,2020-07-01,"
監察院人權保障委員會依據107年6月19日第5屆第43次會議決議修正之和權利定義(詳附錄一)，作為監察院調查案件人權性質分類之參考依據。本書依據上開定義，由監察委員擇選107年調查的人權案件，分別就自由權...more
",https://www.books.com.tw/products/0010866852?loc=P_0003_045
46,國防大學第一屆全人教育學術研討會論文集,,2020-07-01,"
教育乃國家百年大計，攸關國家民族未來之興盛與發展至深且鉅!而「全人教育」更是我國大學教育的核心所在。因此，國防大學乃將「建構哲學、科學、兵學一體之全人教育環境」作為本校師生共同努力實踐的終極...more
",https://www.books.com.tw/products/0010866854?loc=P_0003_046
47,新新季刊48卷3期(109.7),國家中山科學研究院,2020-07-01,"
新新季刊48卷3期(109.7)主動相列雷達之技術發展與應用...more
",https://www.books.com.tw/products/0010866864?loc=P_0003_047
48,家庭價值與政策(附光碟),"孫大川,江綺雯,王惠元,金志謙",2020-07-01,"
家庭是自然的團體，在良好的家庭中不同世代的人住在一起，經歷到親情、團結、感恩、無私的承諾、互相援助及公平。每位家庭成員，無須做什麼就能得到其他人的認可、接納和尊重。每個人就「如其所是」地被愛...more
",https://www.books.com.tw/products/0010867191?loc=P_0003_048
