,書名,作者,出版日期,內容介紹,網址
1,打錫.陳萬能：人間國寶的錫藝人生[軟精裝],陳志揚,2020-11-01,"
錫工藝在清朝時期傳入臺灣，於今有百年以上歷史。往昔農業社會，士紳講求豪華氣派，廳堂擺設各式錫器，顯示經濟財富臺語俗諺：「入門看交椅茶几，桌上看花瓶五賽」，所謂「花瓶五賽」，包括香爐與成雙成對...more
",https://www.books.com.tw/products/0010874686?loc=P_0003_001
2,掛號3[附紙上遊戲],文化銀行,2020-10-11,"
日治人物化身遊戲RPG?一邊玩，一邊認識1920年代!   2020年適逢臺灣文化協會成立第99年，新文化運動紀念館館刊《掛號3》以「遊戲」為企劃，挑選日治時代的重要人物與地標，帶領讀者認識1921年文協成立前的...more
",https://www.books.com.tw/products/0010873275?loc=P_0003_002
3,不完全抗議手冊,"張竹崴,曾靖雯",2020-10-01,"
繪本：警察與民眾在抗議活動的樣貌...more
",https://www.books.com.tw/products/0010874673?loc=P_0003_003
4,牽電點燈：集光發熱的用電服務(臺灣電力文化資產叢書10),楊菁菁,2020-10-01,"
不同於台電的其他單位，業務處所建構的價值，正如電力一般，無色無形，卻讓民眾相當有感的-「服務」。   「我國電費相當親民」，但深入其中，發現維持親民的電費，可說是台電70多年來努力的目標。 對民眾...more
",https://www.books.com.tw/products/0010874720?loc=P_0003_004
5,阿公的藏寶圖,"許佳欣,陳可容",2020-10-01,"
繪本：藉著阿公平日敘述和留在家中藏寶圖展開一段尋寶歷程...more
",https://www.books.com.tw/products/0010874675?loc=P_0003_005
6,妹妹的秘密衣櫥,林尚錞,2020-10-01,"
繪本：妹妹的秘密衣櫥，衣櫃裡除了許多雜亂的衣服，竟然發現許多零食跟玩具…...more
",https://www.books.com.tw/products/0010874676?loc=P_0003_006
7,金門防疫大作戰,陳蘋妤,2020-10-01,"
繪本：新冠病毒與金門風俗-風獅爺和城隍爺的有趣故事...more
",https://www.books.com.tw/products/0010874677?loc=P_0003_007
8,動物玩遊戲,陳志冠,2020-10-01,"
繪本：動物玩遊戲，每天的遊戲時間是動物最快樂的時光!...more
",https://www.books.com.tw/products/0010874678?loc=P_0003_008
9,牽電點燈：逐布踏實的配電大業(臺灣電力文化資產叢書09),蕭景文,2020-10-01,"
配電系統在時代演進中肩負輸送電力的重責大任，本書係描述以守護穩定供電為使命的台電員工讓電力生活不斷升級的故事。...more
",https://www.books.com.tw/products/0010874713?loc=P_0003_009
10,野柳文明：林欽賢2020繪畫創作展,國立彰化生活美學館,2020-10-01,"
「野柳文明─林欽賢2020繪畫創作展」展覽專輯畫冊。林欽賢致力於推廣油畫與人物繪畫，其創作專注於歷史與文化觀察，作品多為寫實人物肖像畫，他擅長觀察描繪對象的形體，運用色彩以及精湛的繪畫筆法，所呈...more
",https://www.books.com.tw/products/0010874913?loc=P_0003_010
11,彰化縣第二十一屆磺溪美展(精裝),,2020-10-01,"
本書為彰化縣文化局辦理「2020彰化縣第二十一屆磺溪美展專輯」，專輯內容包含數位藝術類、書法篆刻類、 油畫水彩類、水墨膠彩類、攝影類及立體工藝類六大類作品。...more
",https://www.books.com.tw/products/0010874902?loc=P_0003_011
