,書名,作者,出版日期,內容介紹,網址
1,2021年海洋生態戀,海洋委員會海洋保育署,2020-11-30,"
月曆尺寸：52cm x 74 cm ± 0.5cm   紙盒：6.5cm x 6.5cm x 58 cm ± 0.5cm   2021年海洋生態戀月曆介紹介紹   臺東的海域正上演著鬼頭刀追捕飛魚的大戲，綠蠵龜在澎湖海域悠遊、以認真的眼神觀......more
",https://www.books.com.tw/products/0010872781?loc=P_0003_001
2,2020森林集水區及環境監測研討會論文集,,2020-10-01,"
森林集水區經營涉及的研究範圍非常廣泛，從降水的量及時間分布、地表逕流的產生、啟動表土沖蝕的因素、山坡地崩塌的機制，以至治理層面的水土災害防治、政策面的土地利用管理探討，環境監測涉及氣候、大氣...more
",https://www.books.com.tw/products/0010873982?loc=P_0003_002
3,動植物防疫檢疫季刊第66期(109.10),行政院農業委員會動植物防疫檢疫局,2020-10-01,"
動植物防疫檢疫季刊第66期-   家禽流行性感冒病毒傳播探討   友善環境防治雜草資材壬酸之應用推廣   臺灣、澎湖及馬祖獲世界動物衛生組織認可為不打疫苗口蹄疫非疫區   網際網路平臺刊登或販賣境外應施檢...more
",https://www.books.com.tw/products/0010874007?loc=P_0003_003
4,漁業推廣 409期(109/10),,2020-10-01,"
專題：懷抱繁養殖創新和疫病防治技術   臺灣游向觀賞魚藍海   知識：是危機，也是轉機   談COVID-19下的水族產業變化...more
",https://www.books.com.tw/products/0010874702?loc=P_0003_004
5,農政與農情339期-2020.09,,2020-09-15,"
農業部門因應新冠肺炎之對策與執行成效...more
",https://www.books.com.tw/products/0010871862?loc=P_0003_005
6,109年度行政院農業委員會畜產試驗所科技研發成果專輯,朱家德等,2020-09-01,"
科技研發成果專輯。...more
",https://www.books.com.tw/products/0010871007?loc=P_0003_006
7,漁業推廣 408期(109/09),,2020-09-01,"
專題：娛樂漁業漁船進化3.0!豪華舒適的套裝旅遊，走出新的海上旅遊生機...more
",https://www.books.com.tw/products/0010871860?loc=P_0003_007
8,技術服務NO.123,,2020-09-01,"
...more
",https://www.books.com.tw/products/0010872341?loc=P_0003_008
9,行政院農委會種苗改良繁殖場年報108年,"劉明宗,李思慧,林勝富",2020-09-01,"
針對種苗改良繁殖場持續投入對種子(苗)品種選育、健康種苗生產繁殖、生物技術開發及種子品質檢測等相關研究與農業推廣及人才培育等工作。...more
",https://www.books.com.tw/products/0010872989?loc=P_0003_009
10,水土保持季刊NO.30(109年秋季號),,2020-09-01,"
主動出擊 水保教育深入全臺   小鎮池畔「茭」遊去   好好來場浪漫酒莊行   走訪菊島 海陸體驗一次滿足   橘果成熟時 公老坪魅力飄香   科技導入 防災更全面也更簡單...more
",https://www.books.com.tw/products/0010873003?loc=P_0003_010
11,台灣農業研究季刊第69卷3期(109/09),,2020-09-01,"
研究報告：   苦瓜萃取物總酚、類黃酮、三萜類、胜肽含量及體外抑制血管收縮素轉化酶能力之研究   沼渣與蔗渣對菇類生產之影響   紅龍果花期與幼果濕腐病(病原Gilbertella persicaria)之藥劑篩選與田間防...more
",https://www.books.com.tw/products/0010873004?loc=P_0003_011
12,109年度動物用藥品產業人員教育訓練班講義：動物用製造廠水系統查核、系統設計及微生物確效試驗規劃,"呂理福,李欣隆,范原華",2020-09-01,"
針對動物用藥品製造場水系統規範、建置實務及微生物確效規畫進行簡介。...more
",https://www.books.com.tw/products/0010873054?loc=P_0003_012
13,109年度動物用藥品產業人員教育訓練班講義：實驗動物SPF豬隻及中藥檢驗規格簡介,"何玉鈴,方文德,楊啟裕,洪紹文",2020-09-01,"
實驗動物SPF豬隻飼養、生物安全及動物福祉，另外以人用中草藥管理制度簡介做為未來動物中草藥管理之參考。...more
",https://www.books.com.tw/products/0010873057?loc=P_0003_013
14,自然保育季刊-111(109/09),,2020-09-01,"
...more
",https://www.books.com.tw/products/0010873612?loc=P_0003_014
15,農政與農情338期-2020.08：防治作物病蟲害‧農業生產環境更健康,,2020-08-15,"
...more
",https://www.books.com.tw/products/0010868739?loc=P_0003_015
16,水土保持季刊NO.29(109年夏季號),,2020-08-01,"
...more
",https://www.books.com.tw/products/0010867917?loc=P_0003_016
17,漁業推廣 407期(109/08)：來去漁玩 署長帶你遊漁村,,2020-08-01,"
...more
",https://www.books.com.tw/products/0010868737?loc=P_0003_017
18,108年植物品種權年鑑(光碟),"劉明宗,安志豪,鍾文全",2020-08-01,"
推動智慧財產權乃我國重要施政項目，植物品種權提供各界完整的年度品種權利登記，並為我國植物品種研發歷程留下成果紀錄。...more
",https://www.books.com.tw/products/0010870109?loc=P_0003_018
19,行政院農業委員會農業試驗所108年年報,行政院農業委員會農業試驗所,2020-08-01,"
...more
",https://www.books.com.tw/products/0010870651?loc=P_0003_019
20,2019臺灣創新農機館 成果專刊,"吳有恒,林子傑,楊捷尹,洪良政,王文良,胡忠一,邱銀珍,陳靜芝,陳麗玉,饒美菊,黃俊欽,黃柏昇",2020-08-01,"
本書為行政院農委會辦理編印之「2019臺灣創新農機館成果專刊」，內容為行政院農業委員會所屬機關單位及臺灣農機產業之農機研發及外銷成果。...more
",https://www.books.com.tw/products/0010872321?loc=P_0003_020
21,行政院農業委員會畜產試驗所年報108年,行政院農業委員會畜產試驗所技術服務組,2020-08-01,"
本所研究領域包含家畜禽遺傳育種、家畜禽生理及生物科技、家畜禽營養、芻料作物、畜牧經營與廢棄物處理、畜產加工等六大研究領域。 年報彙集並記錄本所108年各項試驗研究工作、產業服務及行政業務。...more
",https://www.books.com.tw/products/0010872765?loc=P_0003_021
22,水土保持相關法規彙編109年[精裝](9版),,2020-08-01,"
為實施水土保持之處理與維 護，以保育水土資源，涵養水源，減 免災害，促進土地合理利用，增進國 民福祉，特制定本法。 水土保持，依本法之規定；本法 未規定者，適用其他法律之規定。...more
",https://www.books.com.tw/products/0010873339?loc=P_0003_022
23,109年度農業創新育成中心培育優質企業案例專輯,,2020-08-01,"
收集109年度農業創新育成中心15家進駐期滿畢業廠商的培育成果，編著成專輯介紹與成果發表。...more
",https://www.books.com.tw/products/0010873600?loc=P_0003_023
24,農政與農情337期-2020.07,,2020-07-15,"
農政與農情337期-2020.07發展休閒農業，全民同遊樂...more
",https://www.books.com.tw/products/0010865537?loc=P_0003_024
25,2019年臺灣周邊海域漁場環境監測航次報告,,2020-07-01,"
水試所航次報告。...more
",https://www.books.com.tw/products/0010863367?loc=P_0003_025
26,水土保持統計年報108年,行政院農業委員會水土保持局,2020-07-01,"
...more
",https://www.books.com.tw/products/0010864328?loc=P_0003_026
27,稻穀生產成本調查報告(108年),行政院農業委員會農糧署,2020-07-01,"
...more
",https://www.books.com.tw/products/0010865092?loc=P_0003_027
28,動植物防疫檢疫季刊第65期(109.07),行政院農業委員會動植物防疫檢疫局,2020-07-01,"
...more
",https://www.books.com.tw/products/0010865101?loc=P_0003_028
29,漁業推廣 406期(109/07),,2020-07-01,"
...more
",https://www.books.com.tw/products/0010866009?loc=P_0003_029
30,審計部專案審計報告：我國農業保險體系建構與政策推動情形,審計部,2020-07-01,"
中華民國審計部獨立行使審計職權，監督政府及其所屬機關預算之執行，並就其運用資源之經濟性、效率性及效果性進行考核，本書揭露我國農業保險體系建構與政策推動情形，其相關缺失事項經審計部教育農林審計...more
",https://www.books.com.tw/products/0010867885?loc=P_0003_030
31,林業統計年報108年,行政院農業委員會林務局主計室,2020-07-01,"
...more
",https://www.books.com.tw/products/0010869042?loc=P_0003_031
32,動物園雜誌159期：109.07 冠狀病毒,,2020-07-01,"
...more
",https://www.books.com.tw/products/0010869053?loc=P_0003_032
33,農業法規彙編2020.7[軟精裝],,2020-07-01,"
本書為行政院農業委員會編印之「農業法規彙編(109年版)」，本書要旨在提供本會同仁及農業從事人員查閱之工具書。...more
",https://www.books.com.tw/products/0010867453?loc=P_0003_033
34,安全樂活 農業新契機：「安全機能性產品產業價值鏈之優化整合與加值推動」計畫成果專刊,"丁文彥,何緯倫,劉秋芳,劉雲聰,吳宗諺,吳永培,呂仲倫,呂昀陞,周國隆,周泳成,張同吳,張淑芬,文紀鑾,施純堅,李宜映,李雅琳,林宜珊,楊俊宏,洪子桓,洪紹文,盧美君,石貴中,翁瑤棽,葉志新,蔡韙任,蕭巧玲,蘇彥碩,許原瑞,賴瑞聲,陳甫彥,陳盈方,陳美杏,陳裕儒,陳裕星,高增婷,龔財立",2020-07-01,"
行政院農業委員會農業試驗所「安全機能性產品產業價值鏈之優化整合與加值推動」計畫成果彙整。...more
",https://www.books.com.tw/products/0010868702?loc=P_0003_034
35,農政與農情336期-2020.06,,2020-06-15,"
...more
",https://www.books.com.tw/products/0010862929?loc=P_0003_035
36,行政院農業委員會特有生物研究保育中心108年度年報,,2020-06-01,"
...more
",https://www.books.com.tw/products/0010861887?loc=P_0003_036
37,108年土石流年報,行政院農業委員會水土保持局,2020-06-01,"
...more
",https://www.books.com.tw/products/0010862376?loc=P_0003_037
38,台灣農業研究季刊第69卷2期(109/06),,2020-06-01,"
...more
",https://www.books.com.tw/products/0010863359?loc=P_0003_038
39,林業研究專訊-155 眾人苦尋的臺灣絕滅植物,,2020-06-01,"
...more
",https://www.books.com.tw/products/0010863370?loc=P_0003_039
40,行政院農業委員會農糧署108年年報(2019),,2020-06-01,"
...more
",https://www.books.com.tw/products/0010863912?loc=P_0003_040
41,水產試驗所2019年年報,行政院農業委員會水產試驗所,2020-06-01,"
水產試驗所過去一年來，除了積極強化沿近海漁業資源的調查與管理、重要水產生物的繁養殖技術及餌飼料研發、養殖系統的精進與改良、魚蝦貝類的病害防治與免疫研究、水產品加工與保鮮技術的提昇外，並加強推...more
",https://www.books.com.tw/products/0010863918?loc=P_0003_041
42,水試專訊 NO.70,水試專訊編輯委員,2020-06-01,"
...more
",https://www.books.com.tw/products/0010864342?loc=P_0003_042
43,太陽照耀的肥沃土地：太麻里 林業篇,胡元瑋,2020-06-01,"
太麻里研究中心自1933年成立迄今已逾80寒暑，歷經各種不同的林業經營時期。本書從歷史沿革的角度切入，臚列各時期的業務演進，盤點各項環境資源配置，並介紹經營目標及重點工作，檢討未來的努力方向。期能...more
",https://www.books.com.tw/products/0010864426?loc=P_0003_043
44,自然保育季刊-110(109/06),,2020-06-01,"
...more
",https://www.books.com.tw/products/0010864432?loc=P_0003_044
45,農產品生產成本調查報告108年,行政院農業委員會農糧署,2020-06-01,"
...more
",https://www.books.com.tw/products/0010865091?loc=P_0003_045
46,技術服務NO.122,,2020-06-01,"
...more
",https://www.books.com.tw/products/0010865100?loc=P_0003_046
47,臺灣生物炭產製與農業應用指南,江汶錦,2020-06-01,"
本書介紹生物炭的產製、功能與農業上的使用效果，以及區域經營產銷的狀況，彰顯生物炭應用於台灣農業的多重價值。...more
",https://www.books.com.tw/products/0010866217?loc=P_0003_047
48,海漂多仔,"陳德豪,陳美琪",2020-06-01,"
海漂多仔是一本有關海廢進入海洋的繪本，藉由喝完的乳酸飲料，因為沒有妥善處理隨意丟棄，所以無法進入正確的回收機制，反而一路上與許多垃圾一同流向海洋。多仔在海裡每天都看著許多垃圾被生物吃掉或是自...more
",https://www.books.com.tw/products/0010866226?loc=P_0003_048
49,臺南區農業專訊NO.112,行政院農業委員會臺南區農業改良場,2020-06-01,"
...more
",https://www.books.com.tw/products/0010866865?loc=P_0003_049
50,漁業推廣 405期(109/06),,2020-06-01,"
漁業推廣 405期(109/06)海洋漁業紓困振興專輯...more
",https://www.books.com.tw/products/0010866869?loc=P_0003_050
51,行政院農業委員會動植物防疫檢疫局108年報,行政院農業委員會動植物防疫檢疫局,2020-06-01,"
防檢局108年施政方針與計畫、重要措施成果、國際諮商與合作、科技研發、重要事紀。...more
",https://www.books.com.tw/products/0010867892?loc=P_0003_051
52,台灣林業46卷3期(2020.06),,2020-06-01,"
台灣林業46卷3期(2020.06)漫談森林保護...more
",https://www.books.com.tw/products/0010867920?loc=P_0003_052
53,台南區農業改良場研究彙報,行政院農業委員會臺南區農業改良場,2020-06-01,"
...more
",https://www.books.com.tw/products/0010869043?loc=P_0003_053
54,行政院農業委員會臺中區農業改良場108年年報,行政院農業委員會臺中區農業改良場,2020-06-01,"
在行政院農業委員會之國家農業政策及科技發展政策指導下，以發展多樣特色、安全友善、創新優質的現代化農業為核心目標。本(108)年本場農業科技研究計畫涵蓋：農業科技管理及產業化、食品科技研發、國際農...more
",https://www.books.com.tw/products/0010870111?loc=P_0003_054
55,台灣林業科學35卷2期(109.06),行政院農業委員會林業試驗所編輯委員,2020-06-01,"
...more
",https://www.books.com.tw/products/0010870117?loc=P_0003_055
56,畜產研究季刊53卷2期(2020/06),,2020-06-01,"
...more
",https://www.books.com.tw/products/0010873607?loc=P_0003_056
57,女巫島神秘事件簿：閱讀里海傳承八斗,方雅芬,2020-06-01,"
國立海洋科技博物館位於八斗子，此地屬於里海環境，曾是基隆市唯一同時擁有礦村與漁村的地區。藉由本書以梳理八斗子森川里海百年發展脈絡，透過穿越時空旅程，帶領青少年及一般民眾，探索神秘事件，挖掘八...more
",https://www.books.com.tw/products/0010869502?loc=P_0003_057
58,椰子的葉蔭(精裝),川上瀧彌,2020-06-01,"
這是一趟穿越時空，跟著博物學家走進百年前南洋印度的旅程。植物愛好者可鑑賞百年前植物知識體系與現今呼應或差異之處；旅遊愛好者可遍覽殖民地時期東南亞的庶民生活樣態、城鄉風貌、原住民神話、地方特產...more
",https://www.books.com.tw/products/0010861928?loc=P_0003_058
59,農政與農情335期-2020.05,,2020-05-15,"
...more
",https://www.books.com.tw/products/0010859787?loc=P_0003_059
60,宜蘭農村好好玩：10個農產業六級化的實踐案例,"劉興榮,孫正華,黃懷瑩",2020-05-01,"
宜蘭擁有豐富的休閒農業資源，以農事生產為主軸，提供消費大眾體驗農業生活、感受人與自然連結的場域及服務，而轄區內的休閒農場則順應此一特色，發展出獨特的體驗行程。這些體驗活動，保留下純真豐厚的農...more
",https://www.books.com.tw/products/0010858091?loc=P_0003_060
61,108年行政院農業委員會水土保持局年報,,2020-05-01,"
...more
",https://www.books.com.tw/products/0010859736?loc=P_0003_061
62,太平山森林步道繪本手札明信片,,2020-05-01,"
1906年日本理蕃警察路過芃芃山隘勇路時，驚見濁水溪(現今蘭陽溪)旁古木參天，引起注目。1914年日本政府進行調查，1915年開始開發，從舊太平山區至新太平山區。昔日太平山被泰雅人，稱為「眠腦」，意思是一...more
",https://www.books.com.tw/products/0010860433?loc=P_0003_062
