,書名,作者,出版日期,內容介紹,網址
1,特殊教育導論,"于曉平,佘永吉,劉惠美,吳武典,張千惠,張正芬,張蓓莉,杜正治,杞昭安,林幸台,林淑莉,洪儷瑜,潘裕豐,王曉嵐,程國選,胡心慈,邱紹春,郭靜姿,陳心怡",2020-09-17,"
本書乃為配合大學及研究所「特殊教育導論」或「特殊教育專題討論」課程之需要而編寫，包含總論和分論兩大部分，共十八章。總論有七章，包括：特殊教育基本概念；特殊教育的演進和發展；生涯發展與轉銜服務...more
",https://www.books.com.tw/products/0010871310?loc=P_0003_001
2,教導自閉症幼兒社會溝通能力：家長手冊(第二版),"安娜．德佛札克,布魯克．英格索爾",2020-09-11,"
此手冊是為了像妳一樣的家長──家中有互動和溝通困難孩子的家長──所寫。孩子的情況包含確診或疑似有社會溝通遲緩和自閉症類群障礙的兒童。此手冊是設計來要在ImPACT家長方案中使用。ImPACT的涵義為 「讓家...more
",https://www.books.com.tw/products/0010870753?loc=P_0003_002
3,特殊教育導論：探究特殊需求學習者(2版),張世彗,2020-09-10,"
特殊教育導論是探究特殊教育需求學習者的入門，本書包含兩大部分：(1)特殊教育的基礎；(2)各類特殊需求學習者。內容主要兼顧國內的現況與國外先進國家的特殊教育思潮、法令、重要理論及教育實務，當能引領...more
",https://www.books.com.tw/products/0010871359?loc=P_0003_003
4,嬰幼兒社會情緒發展進程問卷指導手冊(含施測題本),"Diane Bricker,Elizabeth Twombly,Jane Squires",2020-09-04,"
#本套書含指導手冊及施測題本共兩冊，不分售#    本書指導讀者如何使用ASQ:SE-2TM，這本指導手冊能給嬰幼兒相關的專業人員在社會情緒篩檢過程的每個步驟上清楚的指導，閱讀此書將能了解到：    ●計畫、組...more
",https://www.books.com.tw/products/0010870201?loc=P_0003_004
5,早期療育(第二版),"曾淑賢,林秀錦,柯秋雪,盧明",2020-09-04,"
本書有系統的整理早期療育領域的重要範疇，包括：早期療育的背景與發展、個別化家庭與幼兒的服務計畫、親職教育、課程與教保策略、測驗與評量、轉銜服務、科技輔具等。作者群以淺顯易懂的方式來描述早期療...more
",https://www.books.com.tw/products/0010870064?loc=P_0003_005
6,個別化教育計畫的擬定與執行,"林燕玲,柯懿真,盧台華,鄒小蘭",2020-09-03,"
個別化教育計畫是教育行政人員、教師、該生家長及特教專業人員等所組成之個別化教育計畫團隊小組為身心障礙學生與身心障礙資優學生量身打造並作為實施檢討依據的重要書面文件，亦是特殊教育存在的意義、價...more
",https://www.books.com.tw/products/0010870195?loc=P_0003_006
7,教導自閉症幼兒社會溝通能力(第二版)：教練手冊,"安娜．德佛札克,布魯克．英格索爾",2020-09-02,"
ImPACT方案(Improving Parents As Communication Teachers；讓家長成為孩子溝通訓練的老師)──是以獨特的手法融合發展與行為面向的文獻所發展出的方案。此療育策略已有非常強的實證基礎，可以有效增進自......more
",https://www.books.com.tw/products/0010869802?loc=P_0003_007
8,兒童語音異常：構音與音韻的評估與介入,鄭靜宜,2020-09-01,"
國內有關華語兒童語音異常(台語俗稱「臭乳呆」)的評估與介入書籍相當少見，本書即是專門為以「語言治療師」為職志的學生以及想要深入探究此議題的語言治療師和教師所寫，其特色是以華語語音為主軸，囊括目...more
",https://www.books.com.tw/products/0010869656?loc=P_0003_008
9,吞嚥生理標準化訓練：改良式鋇劑吞嚥障礙量表(MBSImP™)實證評估方法,"ASHA Honors,BCS-S,Bonnie Martin-Harris,CCC-SLP",2020-06-15,"
本書主要介紹MBSImP™吞嚥生理標準化訓練的相關內容，適合負責評估及治療吞嚥障礙病人的臨床人員研讀。    書中內容討論成人吞嚥機轉的17個重要生理要素，能夠幫助讀者更深入理解吞嚥機轉。每個生理要素同...more
",https://www.books.com.tw/products/0010862126?loc=P_0003_009
10,視覺障礙導論,黃國晏,2020-04-25,"
視覺障礙者是個體間特質與能力差異極大的群體，本書共分五個部分、十六章。從不同面向，介紹視覺障礙專門領域的技能與課程，並試圖去除社會大眾對視覺障礙者的刻版印象。    第一部分：理論基礎與障礙概念...more
",https://www.books.com.tw/products/0010857426?loc=P_0003_010
11,社會性技巧訓練手冊：給自閉症或亞斯伯格症幼兒、兒童、年輕人和他們朋友們的185則社會性故事(第二版),凱蘿‧葛瑞,2020-04-07,"
社會性故事提供真正的社交理解!   「敘寫一則社會性故事，就如同擁有一封進入患有自閉症兒童、青少年或成人心靈的邀請函。我們需要非常地謹慎。」--凱蘿‧葛瑞   本書包含了許許多多提供社交理解的重要主題...more
",https://www.books.com.tw/products/0010854739?loc=P_0003_011
12,幫助自閉兒的每一天：將介入活動融入幼兒和其家人的日常作息中,"Barbara Weber,Merie J. Crawford",2020-02-17,"
有自閉症的兒童在其生命的頭幾年中通常不會獲得診斷，但如果一個極幼小的兒童展現出自閉症徵兆，專業人士和家長在當下該做些什麼呢?此書提供幫助從出生到三歲兒童實際有效的解決辦法，不論有或沒有自閉症...more
",https://www.books.com.tw/products/0010850599?loc=P_0003_012
13,身心障礙學生的轉銜教育與服務,,2020-01-31,"
轉銜教育與服務是從職業教育和生涯教育，而逐漸發展成形的教育實務，其目的乃欲協助身心障礙學生從高中畢業後，可以順利銜接至升學高等教育、就業、接受職業訓練、接受成人教育，以及成人的獨立生活，亦即...more
",https://www.books.com.tw/products/0010848793?loc=P_0003_013
14,學前融合教育課程架構：以全方位學習(UDL)為基礎支持幼兒成功學習,"Eva M. Horn,Gretchen D. Butera,Joan A. Lieber,Susan B. Palmer",2020-01-21,"
本書以實證研究為基礎，建構完整的學前融合教育模式，提供幼兒教育工作者規劃與實施課程的具體步驟和有效策略。期透過學理和實務的連結，增進幼教老師和相關專業人員對於融合教育課程與教學的專業知能。  ...more
",https://www.books.com.tw/products/0010848611?loc=P_0003_014
15,特殊教育導論(二版),"Daniel P. Hallahan,James M. Kauffman,Paige C. Pullen",2019-11-11,"
教導特殊學習者的專業人員應具備紮實的知識基礎，以及健康的服務態度，而這正是Hallahan、Kauffman和Pullen等大師共同撰寫本書之信念!全書特別設計：    ★精彩的固定單元：包括導讀問題、迷思與事實、本章...more
",https://www.books.com.tw/products/0010867221?loc=P_0003_015
16,自閉症兒童社會情緒及語言行為教學實務手冊(第二版),"周婉琪,孫文菊,蔡馨惠,鳳華",2019-11-08,"
本書第二版以應用行為分析原理及語言行為作為學理基礎，實務課程則是依據情緒發展、社會情緒發展、心智理論及語言行為等作為立論基礎，結合實證文獻資料及作者群多年的教學與研究成果，轉化為具體可操作的...more
",https://www.books.com.tw/products/0010840389?loc=P_0003_016
17,學習障礙(3版),張世彗,2019-10-25,"
學習障礙乃是特殊教育主要的對象之一。你想了解這群謎樣的個體嗎?本書可以讓你揭開神祕的面紗一窺堂奧，增進你對學習障礙及其相關理論基礎與教學策略的認識。全書依序分別探討：(1)學習障礙的變遷、描述及...more
",https://www.books.com.tw/products/0010839588?loc=P_0003_017
18,學前融合教育：理論與實務,吳淑美,2019-09-26,"
本書的理論與實務兼具，按部就班地教導教師如何在普通幼兒及特殊幼兒一起學習的學前融合式班級中執行教學，了解如何調整現有的課程與教學，以適合融合的情境，且提供融合班的理念及教學策略，針對融合班管...more
",https://www.books.com.tw/products/0010836203?loc=P_0003_018
19,特殊需求學童之課程與教學：融合教育、多元文化特殊教育,洪清一,2019-09-25,"
滿足每一位學生之特殊需求，使得任何學生的潛能充分發揮，進而成就每一個孩子，實為21世紀教育之核心理念。緣此，本書旨在為從事與關心特殊教育之教師、父母，提供充分理解特殊需求學生之獨特性，進而運用...more
",https://www.books.com.tw/products/0010835240?loc=P_0003_019
20,特殊幼兒教育(3版),"劉心箖,劉蔚萍,周俊良,李昆霖,范智敏,鄒小蘭,陳冠蘭",2019-09-16,"
本書原名「幼兒特殊教育導論」，為因應教育部《國內專科以上學校教保相關系科認可辦法》中有關教保專業課程科目及學分之內容，本次修訂便將書名更改為「特殊幼兒教育」以符合課程規定。   ※三版修訂重點  ...more
",https://www.books.com.tw/products/0010834064?loc=P_0003_020
21,聽障兒童圖片式語音辨識能力測驗指導手冊(附施測光碟),張秀雯,2019-09-11,"
完整的聽能評估除了純音聽力檢查之外，尚包含語音聽力檢查。語音聽力檢查的重要性在於了解個案因為聽力損失對於日常口語溝通能力的影響，並可用於評估助聽輔具的效益，以及聽能創建與復健的成效。   本測...more
",https://www.books.com.tw/products/0010834373?loc=P_0003_021
22,應用行為分析在家庭、學校與遊戲中的運用：協助自閉症光譜障礙或其他障礙類別兒童,Debra Leach,2019-08-30,"
應用行為分析(ABA)是針對自閉症光譜障礙以及其他障礙類別兒童的一個有成效的介入策略。本書可協助您將應用行為分析這個有效策略融入到幼兒的自然情境中，引導您在日常作息與活動中，運用應用行為分析的策...more
",https://www.books.com.tw/products/0010833324?loc=P_0003_022
23,學習障礙與補教教學(4版)：教師及家長實用手冊,孟瑛如,2019-08-25,"
學習障礙是個高異質性的團體，國內師資培育體系在面對這類學生的補救教學與行為處遇訓練至目前為止，仍有極大發展空間，而家長在面對這類孩子時更是惶恐。   本書的主要目的乃針對學習障礙學生常有的127項...more
",https://www.books.com.tw/products/0010833057?loc=P_0003_023
24,應用行為分析在融合教室中的運用：提升自閉症光譜障礙學生成效指南,Debra Leach,2019-06-13,"
應用行為分析(ABA)是一個高度有效能、以嚴謹研究為基礎的自閉症光譜障礙孩童早期介入策略，然而很多老師並沒有受過足夠訓練來將ABA運用在融合教室的情境中。這就是為什麼每位幼兒園到高中的教師需要這一本...more
",https://www.books.com.tw/products/0010825408?loc=P_0003_024
25,教導自閉症光譜障礙者心智解讀：工作手冊,"Julie A. Hadwin,Patricia Howlin,Simon Baron-Cohen",2019-06-11,"
本書可說是延續《心智解讀：自閉症光譜障礙者之教學實用手冊》一書之內容而推出，亦可謂是前書之進階版。有別於提升自閉症光譜障礙者之情緒、信念與假裝性遊戲的理解能力，本書乃設定教導自閉症光譜障礙者...more
",https://www.books.com.tw/products/0010825328?loc=P_0003_025
26,特殊幼兒教育導論,"宣崇慧,曹純瓊",2019-05-10,"
《特殊幼兒教育導論》一書，為提供學前教保人員建立特殊教育知能而撰寫。其主要內容分述於以下四篇：第一篇、特殊幼兒教育的基礎概念與實施依據(第一、二章)，介紹特殊幼兒教育的理論基礎與相關法規；第二...more
",https://www.books.com.tw/products/0010821317?loc=P_0003_026
27,特殊兒童教育導論,"Ed,Moira Konrad,Sheila R. Alber-Morgan,William L. Heward",2019-04-08,"
本書歷經11次的增刪，除了可以看出作者的用心外，我們確實也看出作者以完整、清晰、當前、精準的方式，將複雜的、動態的特殊教育歷史、實施、推進、挑戰和機會說明清楚。本書強調所有特殊孩子都有受教權，...more
",https://www.books.com.tw/products/0010821555?loc=P_0003_027
28,亞斯成人的指南：性×毒品×亞斯伯格症候群,Luke Jackson,2019-03-19,"
路克傑克森(Luke Jackson)是一位溫文而勇敢的年輕人，他患有亞斯伯格症。   他的自傳系列描述了他從青少年階段成長為成人的經驗、反思以及智慧。路克成為亞斯伯格者其家長、家庭的輔導老師。他的洞察及實...more
",https://www.books.com.tw/products/0010817471?loc=P_0003_028
29,亞斯伯格族群的武功秘笈：社交規則手冊,Jennifer Cook O’Toole,2019-03-19,"
珍妮弗.庫克.奧托爾(Jennifer Cook O’Toole)¬生於1975年11月24日，自幼成績優異且是熱愛舞蹈表演的時尚女孩，曾是資深的諮商師、社會工作者和特殊/融合教育教師。與一位志趣相投的警員共結連理後，才發現...more
",https://www.books.com.tw/products/0010817470?loc=P_0003_029
30,身心障礙者生涯輔導與轉銜服務(第二版),林幸台,2019-03-11,"
生涯是自我抉擇的產物，反應現代人對自我存在的責任。個人擁有愈多掌握自我的機會，就可以由個人自主地賦予更積極的意義，而不僅是消極的等待他人安排或機會來臨，身心障礙者的生涯也應同樣如此看待。   ...more
",https://www.books.com.tw/products/0010816599?loc=P_0003_030
31,特殊教育行政,"周台傑,孟瑛如,廖永堃,張英鵬,張蓓莉,林惠芬,王瓊珠,盧台華,胡永崇,莊妙芬,葉瓊華,詹士宜,陳明聰",2019-02-26,"
本書主要特色在於有系統性的介紹國內特殊教育相關制度與運作，包括特殊教育行政與法規、學生鑑定、教育安置、課程與教學、專業團隊、輔具與服務、支持網絡、師資培育、教師專業發展、評鑑、社團組織及無障...more
",https://www.books.com.tw/products/0010815744?loc=P_0003_031
32,溝通障礙導論：以實證本位觀點為導向(三版),"Kimberly A. Farinella,Robert E. Owens Jr.",2019-02-23,"
介紹新版本總是令人雀躍。為顧及不同讀者(從老師到學生)，我們兢兢業業盡心去達成各方皆可滿意的平衡點。   我們期盼對本書前面幾版非常熟悉的讀者也會跟我們一樣，同意本書是一本有價值的語言病理學與聽...more
",https://www.books.com.tw/products/0010815405?loc=P_0003_032
33,特殊教育與融合教育的評量,"James E. Ysseldyke,John Salvia,Sara Witmer",2019-02-22,"
《特殊教育與融合教育的評量》是提供相關需求人員進行評量的入門課程，主要適讀者為職前或在職的國中小特殊教育教師。其次是特殊教育支持體系中的相關人員，亦適用於普通教育教師參與評量相關專業發展的研...more
",https://www.books.com.tw/products/0010815407?loc=P_0003_033
