,書名,作者,出版日期,內容介紹,網址
1,物理實驗(第十版),國立虎尾科技大學 物理教學小組,2020-06-01,"
本書由國立虎尾科技大學物理教學小組合力編著，綜合了小組內各位任課教師在多所大學、科大、技術學院任教的教學經驗與心得。    全書共有26個實驗，包含了量測工具使用，以及力學、運動、電學、電磁、光學...more
",https://www.books.com.tw/products/0010862707?loc=P_0003_001
2,視覺光學(第二版),"李建泓,林煒富",2020-06-01,"
本書內容從光學的基本概念開始講述，逐漸進入到各種鏡片的光學介紹，最後介紹各種眼睛屈光狀態及其矯正，以及相關輔具的應用知識。   全書以淺顯清楚的方式闡釋視光人員所必須具備的光學基礎，並輔以大量...more
",https://www.books.com.tw/products/0010874286?loc=P_0003_002
3,應用磁性物理,任盛源,2020-02-25,"
毫無疑問，與磁性性質或磁性材料相關的知識與技術係被廣泛地應用於各類實用的器件中，這包括：馬達中之永久磁鐵、作為感應傳感器之鐵磁芯、電磁鐵之軟磁鐵芯等不勝枚舉。也因此幾乎所有與電磁、熱、機械相...more
",https://www.books.com.tw/products/0010851338?loc=P_0003_003
4,普通物理實驗(附數據分析圖表、參考資料光碟)(第五版),林立弘 ,2020-02-25,"
內容深入淺出描述理論及詳盡的實驗步驟，並以最新實驗儀器型式編寫，包含國外Pasco、國內宇全等各廠製品，其內文範圍配合大一普通物理教學課程，並附有實驗數據表格及參考資料光碟加強學習效果。 本書特色...more
",https://www.books.com.tw/products/0010851659?loc=P_0003_004
5,物理化學,高憲明,2020-01-25,"
本書將物理化學概分成熱力學(第1章至第8章)、量子化學(第9章至第14章)和動力學(第15章至第17章)三大部分。作者透過多年教授物理化學之豐富經驗，並結合日常生活之相關知識，完成了本書的撰寫。內容深入淺...more
",https://www.books.com.tw/products/0010847851?loc=P_0003_005
6,普通物理,"倪麥童,林建成",2020-01-01,"
適用所有非理工科系學生的大專物理用書。   引導學生認識生活環境中的物理現象。   訓練其邏輯、思考、分析的能力，以深入淺出的方式，融入物理基本概念。   透過趣味的生活範例，使得物理學課程更加生動...more
",https://www.books.com.tw/products/0010855666?loc=P_0003_006
7,普通物理學(下),,2020-01-01,"
本書透過自然簡潔的寫作風格，希冀讓需要學習普通物理之不同科系背景的學生，得以對精確的物理本質產生親切感，並藉由物理在現代科學、科技與日常生活上的應用，使學生將所學內容與生活經驗相連結，以提升...more
",https://www.books.com.tw/products/0010855670?loc=P_0003_007
8,Free Body Diagram & Basic Mechanics(自由體圖概念與力學基礎),李家麟(Dr. K. L. Lee),2019-10-30,"
本書是基礎力學的簡介，其中重點介紹自由體圖的概念。此概念是學習力學的第一個最重要的抽像概念。本書的特點是引導讀者經過簡單的例題計算來呈現此概念，而不是直接描述。有了這概念的基礎理解後，我們將...more
",https://www.books.com.tw/products/0010838806?loc=P_0003_008
9,圖解火災學,盧守謙,2019-09-28,"
1. EasyPass，重點整理   濃縮重點內容，計算更易懂。   2. 圖文解說，易以吸收   條文圖表式闡述，對照易了解。   3 表格對比，易於掌握   名詞表格整理，異同易掌握。   4. 本職博士，實務理論   30年火...more
",https://www.books.com.tw/products/0010835470?loc=P_0003_009
10,眼鏡光學(第三版),陳揚捷,2019-09-18,"
本書是專為視光專業編寫的教科書，全書脈絡分明、循序漸進，從光學的基礎知識到實務層面的鏡片設計，逐步引導讀者融合學理與實務應用，符合大專院校視光科系教學需求。   全書共12章，第一章講述光學基礎...more
",https://www.books.com.tw/products/0010838434?loc=P_0003_010
11,物理實驗 (第四版),"林昭銘,林樹枝,陳文杰",2019-09-01,"
本書架構完整、深入淺出，設計簡單扼要的實驗內容，讓學生透過動手操作與觀察，對於物理基本原理有更深一層的瞭解。   書中力學、光學與電磁學重點實驗設計以數位化物理實驗之方式進行，經由電腦化介面、...more
",https://www.books.com.tw/products/0010834531?loc=P_0003_011
12,物理與生活(第三版),張振華,2019-09-01,"
本書選用生活中常見的各種問題，以淺顯易懂的物理理論解釋說明，使讀者輕鬆明白生活上的各種疑問與相關的物理原理，非常適合專技院校「基礎物理」或「生活物理」等通識課程教學之用。   全書分成物理學與...more
",https://www.books.com.tw/products/0010834545?loc=P_0003_012
13,基礎固態物理(2版),倪澤恩,2019-08-25,"
固態物理的學習方法，基本上可以分成兩大類：第一類是把固態物質的特性具體的整理成多個主題，包含：晶體結構、倒晶格結構、能帶理論、力學特性、電學特性、光學特性、磁學特性、熱學特性、聲子物理、元激...more
",https://www.books.com.tw/products/0010833084?loc=P_0003_013
14,電磁學(二版),張啟陽,2019-08-25,"
這是一本以通俗科學風格編寫的電磁學教科書。講述時，避免一般教科書制式窠臼的敘述法，而以最通俗易懂的方式，從最容易理解的角度切入。   本書特別為科學新鮮人們預備了三章的入門知識(約法三章)：   第...more
",https://www.books.com.tw/products/0010831533?loc=P_0003_014
15,物理,蔡耀智,2019-05-01,"
本書著重於理論之說明，及觀念之建立，以深入淺出的方式帶領學生進入物理世界，打好物理之基礎，提升學生的學習興趣，達到易學易懂之目標。全書內容豐富多元，搭配精緻的彩圖，能與課文配合，協助學生能夠...more
",https://www.books.com.tw/products/0010823264?loc=P_0003_015
16,共舞雷射,王興宗,2018-09-25,"
50年橫跨三個國家之交響人生與驚奇之旅   雷射發明於1960年代，超過半個世紀以來，雷射技術的演進加快了全球科技發展的速度，更滲透到人們日常生活當中成為不可或缺的便利發明。本書由王興宗教授撰述其一...more
",https://www.books.com.tw/products/0010801034?loc=P_0003_016
17,基礎磁性物理,任盛源,2018-09-15,"
磁性，特別是鐵磁性，往往會予人一種神秘的聯想，確實即使時至今日，仍有一些(鐵)磁性性質不甚明瞭，但吾人仍應以科學的角度去理解它，因此，對於過去所累積於磁性的研究結果能列入教科書者，應予系統的介...more
",https://www.books.com.tw/products/0010799561?loc=P_0003_017
18,基礎物理(第二版),"卓達雄,林旺德,林煒富",2018-05-25,"
本書針對醫護與科技相關類科之專科學校或技術學院「基礎物理」、「生活物理」課程的教學需求編寫，以專科學校或技術學院學生為主要對象，使之具有專業基礎科目中物理學科的基本能力。   作者均在專技院校...more
",https://www.books.com.tw/products/0010790892?loc=P_0003_018
19,眼鏡光學(含配鏡學),黃泰郎,2018-04-25,"
視光學的領域中，眼鏡光學是令多數人既困擾又害怕的科目，值此驗光人員法通過，所有從業人員皆需參加國考或特考取得專業證照，其實只要把握眼鏡光學與配鏡學的重點，至少能考60分，就算考驗光師也不需擔心...more
",https://www.books.com.tw/products/0010786221?loc=P_0003_019
20,建築物理環境,陳炯堯,2018-01-25,"
本書是以目前建築師高考之難易度與範圍作為基礎來撰寫的大學教科書，也是作者根據20年教授「建築物理」的經驗深入淺出的將教材整理成書。內容除國內曾經出版的建築物理版本的更新外，由於國內各大學建築系...more
",https://www.books.com.tw/products/0010778453?loc=P_0003_020
