,書名,作者,出版日期,內容介紹,網址
1,維根斯坦與《邏輯哲學論》,羅傑‧M.懷特,2020-10-25,"
《邏輯哲學論》是維根斯坦在世時正式出版的唯一一部哲學著作，改變了20世紀上半葉的哲學方向。但《邏輯哲學論》是一部難讀的文本，因此關於其正確解讀就有了相當多的爭議，而爭議不但涉及特定段落的具體注...more
",https://www.books.com.tw/products/0010873801?loc=P_0003_001
2,儒道釋思想交會與文王卦之開展,黃泊凱,2020-09-30,"
本書主要為筆者近幾年在中國哲學與民間術數思想的研究心得，分為上下兩卷，上卷主要是以淺顯而白話的方式，跟讀者簡單介紹儒、道、佛三教哲學與中國哲學中較為知名的大哲學家思想，使讀者研習之後，能具備...more
",https://www.books.com.tw/products/0010871055?loc=P_0003_002
3,圖解哲學思辨與邏輯應用,"吳作樂,吳秉翰",2020-09-28,"
1. 哲學思辯的核心就是使人勇於質疑、正確使用邏輯、統計   2. 應用哲學思辯在自我、家庭、宗教、社會、科學、教育等   3. 了解哲學思辯使西方文化由獨裁走向民主   本書目的   1. 了解哲學思辯及其重要性...more
",https://www.books.com.tw/products/0010871600?loc=P_0003_003
4,漢代思想與思想家,陳麗桂,2020-09-25,"
漢代是中國歷史上第一個長治久安的一統帝國。在政治上，它確立了此下2000年中國中央集權政治體制的模式；在學術文化上，西方人將傳統中國學術研究統稱為「漢學」，因為漢代確立了中國傳統學術文化與族群性...more
",https://www.books.com.tw/products/0010872852?loc=P_0003_004
5,中國哲學史三十講,張麗珠,2020-09-25,"
這是一本以講論方式寫作的中國哲學簡史，也是近數十年來，學界重新改寫中國哲學史的極重要新作。   ◎2009年獲臺北「國家教育研究院」評選為全國重要著作英譯出版。   中國哲學究竟是歷史寶藏、抑或吾人所...more
",https://www.books.com.tw/products/0010871368?loc=P_0003_005
6,《老子》異文與黃老要論,陳麗桂,2020-07-25,"
本書一方面經由對中國近年出土戰國與漢代簡帛本《老子》，和重要傳世《老子》文本之對比中，觀測《老子》版本的流傳與異文狀況，及其所產生的不同向度之思想詮釋，以理解老子哲學生命開闊深遠之影響力； ...more
",https://www.books.com.tw/products/0010864357?loc=P_0003_006
7,孟子與莊子的生命價值哲學,黎惟東,2020-06-25,"
孟子和莊子雖然分屬不同的學派，但兩者皆在崩壞的時代背景中回應生命價值的問題，同時突顯出生命價值的沉重課題，並起而提出許多突破性的建言，以衝破世局的限制和人生的險阻，引領其後各個時代邁入理想的...more
",https://www.books.com.tw/products/0010864354?loc=P_0003_007
8,歐利根駁斥柏拉圖,馬克．愛德華斯,2020-05-01,"
歐利根(西元185-254年)是出生在埃及的亞歷山大城的早期基督教會的護教士之一，他是哲學神學(philosophical theology)的創立者。   歐利根被視為是在早期教會中以異教哲學污染聖經神學的主要責任人物之一。...more
",https://www.books.com.tw/products/0010855260?loc=P_0003_008
9,渴望「形式」的「感受」：先秦儒家的政治考古學,李雨鍾,2020-03-25,"
作為對先秦儒家政治的考古學研究，本書並不試圖建構一套儒家政治哲學體系，或真實還原出先秦儒家的政治思想史脈絡，而是想要重新考掘出先秦儒家所親歷的某種政治經驗。這種政治經驗能夠突破道德人性論的傳...more
",https://www.books.com.tw/products/0010855267?loc=P_0003_009
10,文學與音樂中的哲思：情緒認知與人際互動,薛清江,2020-03-18,"
「文學」和「音樂」一直是作者生命中的良伴，它們分別在各個不同生命階段扮演著「一朵小花」的功能。這幾年的教學過程中發現，越來越多的同學對於外在事物完全無感，問他們特別喜歡哪些事物或活動，則幾乎...more
",https://www.books.com.tw/products/0010853045?loc=P_0003_010
