,書名,作者,出版日期,內容介紹,網址
1,Phytoseiidae of Taiwan (Acari: Mesostigmata),"Chiun-Cheng Ko（柯俊成）,Chyi-Chen Ho（何琦琛）,Hsiao-Chin Lee（李曉芹）,Jhih-Rong Liao（廖治榮）",2020-10-20,"
The Phytoseiidae are among the best-known mite families, with more than 2,700 recorded species worldwide. Some of those ......more
",https://www.books.com.tw/products/0010870746?loc=P_0002_001
2,四千年農夫：一趟東方人文與古法農耕智慧的時空行旅,富蘭克林．希拉姆．金恩,2020-08-17,"
東方的農夫是勤勞智慧的生物學家， 4000年來養活數億人口，卻沒榨乾土地的生命力! 百年前「美國土壤物理學之父」中國、日本、韓國的實地行旅記錄， 看完，讓你在火星上都能種地養活自己!   ★超過200多幀珍...more
",https://www.books.com.tw/products/0010864454?loc=P_0002_002
3,笨拙至極的上野(06),tugeneko,2020-08-10,"
差不多該察覺我的心意了吧!田中!!   上野同學依舊殘念地使用著科學之力，   不斷地向田中發動攻勢♥   隨著更多文化系社團的女部長登場，   劇情發展也越來越熱鬧♪   另外，上野加入科學部的經緯也終於在本...more
",https://www.books.com.tw/products/0010866926?loc=P_0002_003
4,綠色能源科技(第四版),鍾金明,2020-06-20,"
本書以淺顯易懂的文字與圖表，闡述能源科技之種類原理與應用方法，讓各種不同領域背景的讀者均能夠融會貫通，有系統的瞭解各種潔淨能源架構與實務應用，不僅適合做為大專院校教科書，亦可作為從事能源開發...more
",https://www.books.com.tw/products/0010862721?loc=P_0002_004
5,綠色能源(第三版),黃鎮江 ,2019-10-22,"
綠色能源泛指對生態環境低污染或無污染的能源，而人類可開發和利用的綠色能源有風能、太陽能、熱核能和氫能源等。面對石油即將枯竭的年代，如何利用這些綠色能源來取代石油已經是件非常迫切的課題。   本...more
",https://www.books.com.tw/products/0010839993?loc=P_0002_005
6,環境友善之植醫保健秘籍,"羅朝村,謝奉家,謝廷芳,黃振文",2019-08-10,"
農作物的健康管理措施，可決定農產品的品質安全與環境生態的和諧，因此，嘗試研發植物源、微生物源及天然生化的植物保護製劑產品，作為作物病蟲害綜合管理的主要手段，是現代農業永續發展努力追求的目標。...more
",https://www.books.com.tw/products/0010831732?loc=P_0002_006
7,木材物理學：物理性質篇,王松永,2018-09-20,"
本書特色   木材之利用，一般區分為「物理加工利用」與「化學加工利用」兩大類。木材物理學係研討木材及木質材料之物理、強度等基本性質的科學。它是木材物理加工利用的基礎，許多現象及問題的解析均有賴...more
",https://www.books.com.tw/products/0010800720?loc=P_0002_007
8,永續農業之植物病害管理,"謝廷芳,黃振文,黃鴻章",2017-04-10,"
植物病害防治是農業生產體系中不可或缺的一環，也是研究植物病理學的主要目的。自從廿世紀末期以來，由於環境保護的壓力，使得世界各國的研究人員都在努力尋找替代化學農藥和化學肥料的植物栽培管理技術，...more
",https://www.books.com.tw/products/0010749983?loc=P_0002_008
9,生活科技：融入科技的健康生活(四版),梁立國,2017-02-01,"
依據教育部所頒布之生活科技課程大綱撰寫。   增加食物與醫藥兩大主題，以符合現代人健康生活的需求。   高科技議題，如雷射、奈米、生技等，以生活化方式呈現，平易近人。   圖形表格豐富，滿足教師教學...more
",https://www.books.com.tw/products/0010744805?loc=P_0002_009
10,家畜解剖生理(二版),白火城,2016-09-02,"
家畜解剖生理包括家畜解剖與家畜生理兩部分，為研究家畜個體之形態、構造及生命現象與原理的科學，除了是畜牧學及獸醫學的基礎學科之外，也是研習遺傳學、育種學、營養學與生殖學等相關學科的基礎，為畜牧...more
",https://www.books.com.tw/products/0010727667?loc=P_0002_010
