,書名,作者,出版日期,內容介紹,網址
1,圖解犯罪心理學,楊士隆,2020-09-28,"
作者編寫圖解犯罪心理學一書，主要鑑於市面一般之圖解書多數為翻譯之著作，較缺乏本土實證性之研究，為彌補此缺憾，並提供給一般民眾較容易閱讀之便利，故彙整文獻編寫，期以增加民眾對各類型罪犯心理之了...more
",https://www.books.com.tw/products/0010871583?loc=P_0003_001
2,環境心理學(2版),Frank T. McAndrew,2020-09-10,"
《環境心理學》一書的內容，都是經過有關環境和行為的最新實徵研究所證實，此外，在每一章中，作者首先敘述環境心理學家目前已知的成果，然後才介紹抽象的理論問題和爭議。而且，在每一章結尾處都有專有名...more
",https://www.books.com.tw/products/0010871334?loc=P_0003_002
3,心理測驗：沿革、原理及用途(2版),羅伯特．喬治,2020-09-10,"
《心理測驗》的主旨是在教導學生關於心理測驗的特性、目標及廣延的效應。   除了各個傳統主題的論述，本書還納入了一些新穎內容，像是神經心理衡鑑和老年評鑑、測驗的誤用及濫用、學習障礙的衡鑑、特殊背...more
",https://www.books.com.tw/products/0010871342?loc=P_0003_003
4,健康心理學(八版),"艾德‧薩拉菲諾,蒂莫西‧史密斯",2020-09-02,"
本書有兩項目標十分關鍵。第一、本書內容適合於大學部高年級學生，但作者直接而淺顯的書寫形式，也使大部分二年級同學容易瞭解書中的內容。其次，作者嘗試使來自不同學科的同學覺得內容是有關聯而且是有趣...more
",https://www.books.com.tw/products/0010866933?loc=P_0003_004
5,H5649航空心理學(二版),"游一龍,程千芳",2020-09-01,"
第一作者曾歷任民航局航醫中心研究員及空軍官校心理諮商科教職達十數年，從事民航機師心理狀態評估、飛行員甄選工具的研發和飛訓生諮商輔導的工作。全方位的了解到軍航與民航各自有其所屬的任務與使命、人...more
",https://www.books.com.tw/products/0010873399?loc=P_0003_005
6,心理評估：在諮商中的應用(二版),黃政昌,2020-08-19,"
本書自2008年出版迄今，因應心理評估的資訊與法令出現許多變化，如診斷系統DSM-5與ICD-10改版、WISC-4(5)等測驗工具更新、身心障礙鑑定基準(ICF系統)改變、個案概念化與個案評估觀念落實等，特別進行大幅...more
",https://www.books.com.tw/products/0010868924?loc=P_0003_006
7,兒童心理創傷後的遊戲治療：實務工作者應該知道的事：實務工作者應該知道的事,Eliana Gil,2020-08-17,"
本書作者為遊戲治療領域頂尖的專家Eliana Gil，她以多年來從事兒童虐待與預防的實務經驗，提供兒童臨床工作者有關創傷後遊戲的必備知識以及評估和治療方法。「創傷後遊戲」通常顯得重複且缺乏一般遊戲時該...more
",https://www.books.com.tw/products/0010867874?loc=P_0003_007
8,大團體動力學：理念、結構與現象(2版),夏林清,2020-08-10,"
本書涵括二大部分。第一部分介紹國外有關大團體動力的理論與方法，第二部分則為作者在臺灣團體實務工作中的工作報告。在臺灣，小團體工作方法已十分普及，相關論述亦不少，而大團體則不多見。   然而人們...more
",https://www.books.com.tw/products/0010867424?loc=P_0003_008
9,正向心理治療臨床手冊,"塔亞布‧拉西德,馬丁‧塞利格曼",2020-08-10,"
一個多世紀以來，心理治療的負向聚焦一直困擾我們，其根本假設主要在發掘案主過往創傷，糾正謬誤思維，恢復情感關係的功能失調等等。但是，辨識障礙和減少症狀的同時，卻也忽視同等重要的正向心理層面。  ...more
",https://www.books.com.tw/products/0010867420?loc=P_0003_009
10,15堂人際關係與溝通課,"周玉娥,周談輝",2020-07-16,"
15堂讓你學會生活、家庭、職場、社會都適用的人際關係處理技巧與溝通秘訣，從此不再說錯話，輕鬆聊出最有關係的影響力!  本書特色    第1~5堂│溝通入門課   第6~12堂│技巧應用課   第13~15堂│案例模擬課  ...more
",https://www.books.com.tw/products/0010866473?loc=P_0003_010
11,團體諮商：心理團體的理論與實務(三版),何長珠,2020-06-10,"
你，想了解自己在與人互動時之特徵與心理依據嗎?   你，想要藉一本書來總括了解各種心理團體(團輔、團諮及團治)之動力及重要概念嗎?   你，困惑於有關團體的各項英文理論，但卻看不到一本統整以實務性(本...more
",https://www.books.com.tw/products/0010861449?loc=P_0003_011
12,情緒與行為問題：兒童與青少年所面臨與呈現的挑戰(二版),施顯烇,2020-06-10,"
兒童與青少年情緒與行為問題千頭萬緒，本書不但舉出幾個常見的問題如︰恐懼、違抗、攻擊行為、過動，以及違規行為；更要發掘一些殊少人知的兒童行為痼疾如︰憂鬱、精神症狀、自殺、自我摧殘、自我傷害、飲...more
",https://www.books.com.tw/products/0010861450?loc=P_0003_012
13,音樂認知心理學(二版),蔡振家,2020-04-13,"
人們為何需要音樂?音樂有哪些功能?音樂為何會引起情緒?聽音樂時為何會想要律動身體?……拜科技進步之賜，科學家如今可以觀測人腦在處理音樂訊息時的活化型態；另一方面，音樂活動的跨物種比較，也隨著生物學...more
",https://www.books.com.tw/products/0010854064?loc=P_0003_013
14,失落、哀傷諮商與治療 : 客體角色轉換模式,吳秀碧,2020-04-10,"
自1996年D. Klass等人主張「繼續聯結說」以來，與死者維持繼續聯結有助於哀傷復原之論說，已經在美國哀傷諮商領域蔚為風潮，也是一種趨勢。然而如何維持繼續依附聯結，卻成了當前美國哀傷諮商學界棘手的問...more
",https://www.books.com.tw/products/0010853948?loc=P_0003_014
15,兒童輔導與諮商(3版),林建平,2020-03-25,"
本書專門針對師院生及國小師資訓練者，準備畢業後服務國小所需具備的輔導知能而撰寫。本書分三篇，共計十六章。第一篇是輔導的基本理論，第二篇是兒童諮商理論與技術，第三篇是團體輔導。本書具有下列特點...more
",https://www.books.com.tw/products/0010853945?loc=P_0003_015
16,諮商原理與技術(2版),牛格正,2020-03-25,"
撰寫本書的主要目的，即在幫助諮商學員，對諮商這一專業服務的基本原則、理論和運作情形，有一統整而清晰的概念，以順利邁向諮商理論與實務更深入的研究。本書的內容集中在諮商服務的原理及技術的運用上，...more
",https://www.books.com.tw/products/0010853940?loc=P_0003_016
17,犯罪心理學,"Donald A. Andrews,James Bonta",2020-03-20,"
《犯罪心理學》多年來蟬聯海內外心理學相關書籍的熱門排行前幾名，本書作為犯罪相關熱點議題的探討以及深入研究均有其獨到的貢獻與意義。   本書主要由三大部分構成：   第一部分：針對犯罪心理學的理論脈...more
",https://www.books.com.tw/products/0010853641?loc=P_0003_017
18,大學諮商中心的新變化和新挑戰：其架構與因應校園性侵、暴力、自殺議題,陳若璋,2020-03-10,"
作者過去32年曾任職於臺灣、清華、東華及慈濟大學，為專任之臨床與諮商心理學教授；其中有15年擔任清華、東華大學諮商中心主任。   作者在30年前，首先注意到臺灣婚暴對婦女、社會的傷害，後帶領婦女團體...more
",https://www.books.com.tw/products/0010851284?loc=P_0003_018
19,敘事教育學：生命史取向,"Ivor F. Goodson,Scherto R. Gill",2020-02-25,"
眾所周知，我們正活在一個「敘事時代」。社會科學為了回應這一趨勢，許多學科都開始使用生命史和敘事方法。當我們從強調客觀性的現代主義時代轉向以主體性的後現代主義時，這種對敘事的訴求在學術界可能變...more
",https://www.books.com.tw/products/0010851288?loc=P_0003_019
20,諮商與心理治療實務,林家興,2020-01-16,"
本書內容是一位資深心理治療師與心理師培訓者，從事諮商與心理治療臨床工作與教學研究35年後的經驗分享，係從廣義的精神分析學派觀點，以有系統的方式，說明諮商與心理治療的實施步驟與注意事項，並特別強...more
",https://www.books.com.tw/products/0010847788?loc=P_0003_020
