,書名,作者,出版日期,內容介紹,網址
1,不用數字的研究：質性研究的思辯脈絡(5版),蕭瑞麟,2020-10-28,"
凡事能以數字計算的，不一定能算數。凡事能算數的，卻不一定能以數字計算。—— 愛因斯坦   由長期角度來看，決定社會興衰的，是人的思維模式，也就是看一個社會中的菁英有沒有嚴謹的思考力，以解讀及因應各...more
",https://www.books.com.tw/products/0010874199?loc=P_0002_001
2,研究方法原理：論文寫作的邏輯思維(3版),韓乾,2020-09-25,"
本書是做研究、撰寫論文的必備書籍!   帶你融會貫通論文寫作的What→Why→How   全面拆解學術研究的邏輯思維，並且兼及論文寫作的格式：從摘要、緒論、問題意識、、文獻回顧、分析架構、研究方法、研究結果...more
",https://www.books.com.tw/products/0010872850?loc=P_0002_002
3,教授為什麼沒告訴我(2020進化版),畢恆達,2020-09-02,"
研究與生活畢竟無法等同，但是卻有許多相通之處。一個平日就擅於聆聽、聊天的人，很有潛力可以成為好的訪員；反過來說，一位認真的研究者，在生活中也可能擅於同理他人的處境。研究的目的在於提升知識之深...more
",https://www.books.com.tw/products/0010869611?loc=P_0002_003
4,教育論文寫作與實用技巧(6版),吳和堂,2020-08-11,"
全新六版延續並擴增前五版的架構，將全書分作論文寫作篇、實用技巧篇及SPSS操作與寫作篇。本書大幅減省理論上的論述，直接告訴讀者論文應如何寫作，包括寫作的重要內容與切入點，並以一般常犯的錯誤為例，...more
",https://www.books.com.tw/products/0010867518?loc=P_0002_004
5,給論文寫作者的進階統計指南：傻瓜也會跑統計II,"鄭中平,顏志龍",2020-06-25,"
「誰說等級低就不能拿勇者之劍?」    本書是《傻瓜也會跑統計I》的續作。延續前作「就算不懂統計，也能跑完統計、寫完論文」的精神，本書希望為不懂統計但卻迫切需要統計的學生們……或是懂統計，但卻必須和...more
",https://www.books.com.tw/products/0010861453?loc=P_0002_005
6,論文夢田耕耘實務,鈕文英,2019-10-08,"
每位研究者心中都有一顆種子，而一顆種子就是一畝田，研究者可決定想用它來種什麼   本書一共12章，詳述論文的準備、發想、撰寫，到口試與發表的完整歷程，包含：   蓄勢待發──論文寫作心態與作法之準備開...more
",https://www.books.com.tw/products/0010837521?loc=P_0002_006
7,論文寫作要領(3版),林隆儀,2019-08-25,"
一直以來，我們都誤解論文寫作要領了!   想要對它有正確的理解，你需要有全新的視野!   ●最佳論文寫作工具書。   ●本書提供一套簡易可行的論文寫作方法，好讓初學者得以迅速進入寫作情況，將視論文寫作為...more
",https://www.books.com.tw/products/0010839586?loc=P_0002_007
8,英文研究論文寫作：關鍵句指引(第四版),廖柏森,2019-08-01,"
廖柏森教授重磅經典，新裝出擊!   暢銷第一名，英文論文寫作必備聖經!   第四版新增200條關鍵句式與10組通用句型!   本書自2006年出版至今，歷經多次改版，上市之初正值台灣學術生態改變，對於英文論文寫...more
",https://www.books.com.tw/products/0010828674?loc=P_0002_008
9,厲害了!碩士論文撰寫與問卷調查統計分析：108 小時實戰,胡子陵,2019-07-10,"
一本為你而生的褓母級論文救急攻略。    每週3小時，你也能寫出一篇自己滿意(教授點頭)的研究論文!   ◆本書操作簡明，讓SPSS極易上手，速懂這套國內研究生分析數據最普遍使用的統計軟體。   ◆包含「問卷調...more
",https://www.books.com.tw/products/0010828239?loc=P_0002_009
10,給論文寫作者的統計指南：傻瓜也會跑統計,"鄭中平,顏志龍",2019-06-25,"
「80%的學生看到這本書都哭了。」   ●獨立單元，各取所需。   ●實用表格範例，直接套用。   ●統計分析和論文書寫合而為一。   ●可愛Excel小幫手，輕鬆寫論文。   ●實用統計觀念澄清和說明。   「這是一本...more
",https://www.books.com.tw/products/0010825534?loc=P_0002_010
11,如何撰寫畢業論文：給人文學科研究生的建議,安伯托‧艾可,2019-05-07,"
研究生的最佳陪伴之書 從現在開始克服論文焦慮   安伯托‧艾可(Umberto Eco)：寫論文是自娛，還有，論文跟殺豬一樣，可以物盡其用，半點都不浪費。   一九七七年，廣為世人所熟知的義大利符號學家、小說家—...more
",https://www.books.com.tw/products/0010820275?loc=P_0002_011
12,論文教室：從課堂報告到畢業論文,戶田山和久,2019-04-17,"
日本哲學大叔又出招了， 這回化身為教你如何寫論文的犀利導師!   不知道論文怎麼下筆嗎?別人寫起來咻咻咻，你卻是頭皮抓到破?   就讓笑哏用不完的哲學大叔，帶你走一趟既殘酷又感動且爆笑的論文寫作之旅吧...more
",https://www.books.com.tw/products/0010819459?loc=P_0002_012
13,中學專題研究實作指南,"吳昌政,曾慶玲,童禕珊,簡邦宗,黃春木",2018-12-13,"
★最權威、最接學生地氣的專題研究終極攻略!★    教改浪潮來襲，課程重新建構，學測、指考轉型，「專題研究」成為熱門校訂必修選項。   集結一線實戰教師群教學精華，從思考到實踐、從資料蒐集到成果展現、...more
",https://www.books.com.tw/products/0010807224?loc=P_0002_013
14,應用文寫作(二版),,2018-12-07,"
本書主要根據人們日常工作和日常生活中經常使用的各種應用文體的講解相關知識，包括行政公文、財經文書、通用文書、新聞報道、司法文書、學術論文等進，並輔以寫作訓練。期透過本書的學習能夠幫助當代大學...more
",https://www.books.com.tw/products/0010807990?loc=P_0002_014
15,萬用模版英文論文寫作法：不論碩博士論文或期刊論文都適用,陳甫州,2018-10-29,"
《萬用模版英文論文寫作法》是專為華人地區學生設計，最邏輯化的英文論文寫作教學專書，作者陳甫州綜合多年論文教學經驗，透過分析解構數百篇科學論文的結構，提出簡單實用的英文寫作模版理念，藉由一個個...more
",https://www.books.com.tw/products/0010801745?loc=P_0002_015
16,中學生小論文寫作完全指導【三版】(20K彩圖),董幸正,2018-10-19,"
這是一本完全指導手冊，教導您寫出一篇最出色的小論文!   廣受學生歡迎的《中學生小論文寫作完全指導》改版囉!第三版根據105年的最新修訂辦法，更新部分內容，附錄的小論文特優作品範例悉數更新，並增加為...more
",https://www.books.com.tw/products/0010802447?loc=P_0002_016
17,中文母語者專用：實用學術英文寫作指南習作(人文社會科學領域),C. R. Harrington,2018-09-27,"
本習作根據搭配的指南之內容設計，以提供讀者練習。   為了使此習作能用於自學或是課堂練習，本書有提供參考答案。   但是請注意，很多時候不一定有標準答案，因此本書提供的答案僅供參考之用。...more
",https://www.books.com.tw/products/0010801514?loc=P_0002_017
18,中文母語者專用：實用學術英文寫作指南(人文社會科學領域),C. R. Harrington,2018-09-27,"
May Hung May Cheng (The Education University of Hong Kong)、蔡今中(臺灣師範大學)、黃國禎(臺灣科技大學)、陳素芬(南非西北大學)、張慧貞(彰化師範大學)、Chwee Beng Le......more
",https://www.books.com.tw/products/0010801513?loc=P_0002_018
19,寫論文，其實不難：學術新鮮人必讀本(增訂二版),林淑馨,2018-08-31,"
以淺顯的話語搭配具體的實例說明，建立正確的觀念和技巧。   閱讀完本書，你會發現：寫論文，其實並不難。   寫論文這件事，相信深深困擾著許多人。大多數的人其實都想寫好論文，只是不得要領，不知該從何...more
",https://www.books.com.tw/products/0010798421?loc=P_0002_019
