,書名,作者,出版日期,內容介紹,網址
1,牙周病照護(二版),賴志毅,2020-09-10,"
本書為針對國人日常生活中最頻繁發生的牙周病，作一比較完整的說帖。希望以輕鬆的筆調，兼具知性與感性，娓娓闡述牙周病的來龍去脈。    作者強調「維護牙齒與口腔健康的知識」及「定期的預防管理」的重要...more
",https://www.books.com.tw/products/0010871356?loc=P_0003_001
2,長期照顧機構籌劃與管理實務,"吳淑如,張怡秋,林勝群,林育秀,梁亞文,許淑芬,陳英正",2020-09-02,"
臺灣將於2026年邁入「超高齡社會」，老年人口的快速增加，導致行動不便及老年慢性病人口增加，使得原以急性醫療為主的全民健康保險和社會安全體系的健全性與持續性面臨極大的挑戰。且家庭結構的改變導致高...more
",https://www.books.com.tw/products/0010869799?loc=P_0003_002
3,老人營養學實務,"侯玟伊,劉明宜,廖英茵,張美鈴,鄭千惠,黃瑞華,黃畹藀",2020-08-14,"
本書共10章，分為：   ‧營養與健康概念篇：綜論目前高齡化狀況、高齡化社會人口特性、健康照護政策及進展，以及老人健康變化、常見營養問題和營養需求、簡介各類營養素。   ‧營養評估及飲食型態篇：介紹營...more
",https://www.books.com.tw/products/0010867068?loc=P_0003_003
4,實證護理的臨床應用(4版),"周幸生,周繡玲,張瑩如,李雅玲,盧美秀,蔣立琦,陳可欣,陳杰峰,陳淑賢",2020-08-10,"
本書的特色，除了將實證護理的發展趨勢和進行實證護理臨床運用之五A循環一一介紹之外，並將如何營造醫療機構之實證護理文化以及發展與應用實證的倫理考量加以介紹，最重要的是加入內外科、婦兒科以及特殊...more
",https://www.books.com.tw/products/0010869492?loc=P_0003_004
5,實證護理概論,"周幸生,張麗銀,李美銀,林小玲,梁靜娟,楊淑華,盧淑芬,穆佩芬,蘇瑞源,郭素真,鄭慧娟,陳可欣,黃子珍",2020-08-07,"
本書由穆佩芬教授召集台灣實證護理菁英，以深入淺出的方式，為初學者及五專學生、學士學生合力編寫，涵蓋如何在臨床工作發現問題、文獻查證方法、量性/質性系統性文獻回顧、文獻評讀方法、實證報告撰寫技...more
",https://www.books.com.tw/products/0010867236?loc=P_0003_005
6,社區衛生護理學(第十一版),"何瓊芳,吳美月,張淑芳,張雯姈,彭秀英,方郁文,李媚媚,苗迺芳,蕭伃伶,謝佳容,鄧玉貴,陳怡樺,陳美滿,陳靜敏",2020-07-15,"
...more
",https://www.books.com.tw/products/0010865129?loc=P_0003_006
7,快速上手智慧健康照護,"張毓騰,林家妃,洪論評",2020-07-10,"
隨著醫療技術快速發展，公共衛生環境不斷改善，高齡「超、老、快」是不可逆的趨勢，在預期壽命不斷提高的情況下，有品質的走過健康、亞健康、衰落、失能、重病到臨終的過程是人們不斷在追求的。然而，藉由...more
",https://www.books.com.tw/products/0010864362?loc=P_0003_007
8,實用護理師英語(3版),"彭孃慧,李英中,汪麗琴,洪慧真,溫千慧,王令璿,陳雅玲",2020-07-10,"
全書共分七大篇，分別為初診篇、病史詢問及症狀評估篇、住院照護篇、內外科病人指導篇、婦產科病人指導篇、小兒科病人指導篇及公共衛生概論篇，各篇中包含數種不同照護主題，每種內容依據情境、對話、文章...more
",https://www.books.com.tw/products/0010866383?loc=P_0003_008
9,護理資訊,李亭亭等,2020-07-01,"
‧本書從理論到實際案例，詳盡介紹護理資訊系統的開發過程、資訊系統基本概念及必備新知，如：資訊安全(加解密技術)、雲端運算等，並介紹現代新科技應用，如智慧型手機app、人工智慧、虛擬實境的應用，以及...more
",https://www.books.com.tw/products/0010862859?loc=P_0003_009
10,精神科護理學(第五版),"吳瓊芬,巫慧芳,徐瑩媺,李信謙,李怡賢,林志豪,梁妙儀,楊翠媛,段藍媞,沈孟樺,洪翠妹,王俊凱,王美業,王麗華,葉明莉,蔡素玲,蕭佳蓉,許寶鶯,謝佳容,趙又麟,陳宣佑,陳永展,陳碧霞,陸秀芳,黃一玲,黃威智,黃瑞媛",2020-06-15,"
本書由富有教學、研究及實務經驗的精神科學者們共同編撰，並配合理論撰寫臨床實例，加強學生學理及實務並用的能力。敦聘國內精神科護理專家蕭淑貞教授校閱審定，內容確實且極具專業性。    全書架構嚴謹，...more
",https://www.books.com.tw/products/0010862717?loc=P_0003_010
