,書名,作者,出版日期,內容介紹,網址
1,臨床推理(第二版),楊義明,2020-10-29,"
本書集結全台知名的20多位臨床診斷專家及學者，由基要、實務及教學三方面，討論現代臨床推理之理論、臨床實務及教學上的運用。內容由廣泛檢閱現代臨床推理文獻及最新教科書、專文與最新資料汲取精華並加以...more
",https://www.books.com.tw/products/0010874101?loc=P_0003_001
2,醫學分子檢驗(六版),吳俊忠,2020-10-10,"
醫學分子檢驗的技術在過去幾年的發展，有多項技術已廣泛應用於各大醫院及生技公司，其結果可作為病人疾病之診斷、治療及預防之參考。如海洋性貧血、血友病、蠶豆症及唐氏症的診斷及篩選，腫瘤標誌的診斷及...more
",https://www.books.com.tw/products/0010872871?loc=P_0003_002
3,醫護統計與SPSS：分析方法與應用(三版),"楊秋月,陳耀茂",2020-10-10,"
統計方法經常要面對數值計算，然而今日科技如此進步，已開發有各種統計軟體，學生在學習統計方法時當不至於感到霧煞煞了。    但是在學習統計方法處理問題時，最常令人感到困擾的是:   「收集到的數據要選...more
",https://www.books.com.tw/products/0010873799?loc=P_0003_003
4,圖解 內臟單字大全,原島廣至,2020-10-08,"
~依詞源記誦解剖學名詞~   ★日本醫學排行NO.1   ★連年高居亞馬遜暢銷排行榜!   ★醫學、護理、研究人員、專科生必不可少!   ★國立成功大學基礎醫學研究所博士、長庚科技大學副教授 鄧志娟審定   ◆◆依詞源記...more
",https://www.books.com.tw/products/0010872780?loc=P_0003_004
5,犬貓牙科與口腔外科手冊(4版),"Alexander M. Reiter,Margherita Gracis",2020-09-25,"
BSAVA系列叢書《犬貓牙科與口腔外科手冊(4版)》剛好在全世界不斷發展專業領域中適時問世的出版書籍。對於想要擴展其牙科和口腔外科專業知識和臨床技巧的一般小動物外科獸醫師(獸醫師)、護士/技術人員以及...more
",https://www.books.com.tw/products/0010871025?loc=P_0003_005
6,犬貓骨骼肌肉影像檢查手冊(2版)(書+光碟),"Fintan J. McEvoy,Robert M. Kirberger",2020-09-25,"
《犬貓骨骼肌肉影像檢查手冊(2版)》大幅更新修訂，正反映了過去十年來影像學的蓬勃發展。   隨著數位放射攝影檢查在獸醫全科診療機構日益普及，再加上橫切面成像技術的可近性大增，我們新增了五個全新章節...more
",https://www.books.com.tw/products/0010871031?loc=P_0003_006
7,小動物輸液學(2版),"林政毅,王咸棋,羅勝騰,翁伯源,譚大倫",2020-09-25,"
水分的重要性不可言喻，但光有水分仍不足以維持身體恆定與運作，其中涉及電解質與酸鹼平衡。體液恆定與維持是生物體存活的關鍵，而許多疾病狀態會對體液造成影響。《小動物輸液學》旨在詳細介紹臨床輸液治...more
",https://www.books.com.tw/products/0010871039?loc=P_0003_007
8,電生理聽力學,"張宸瑋,張秀雯,李國熙,林鴻清,楊昭輝,楊義良,羅意琪,羅敦信,陳郁夫,黃仲鋒,黃俊豪",2020-09-16,"
本書結合「電生理聽力學」跨領域不同專長的聽力學教授、耳鼻喉科專科教授醫師們合作，是一本以華人聽力學專業需求為導向撰寫的中文書籍。    本書內容豐富且完整：主要探討臨床廣泛應用的聽性腦幹反應，說...more
",https://www.books.com.tw/products/0010871851?loc=P_0003_008
9,兒童聽力學 : 診斷、技術與管理,"Carol Flexer,Erin C. Schafer,Jace Wolfe,Jane R. Madell",2020-09-16,"
兒童聽力障礙臨床治療教育資源的權威：   「兒童聽力學：診斷、技術和處遇」第三版已全面更新，涵蓋此領域最新進展的前瞻主題。新的章節包括兒童的聽力和前庭問題，測試新生兒的最新方法以及人工電子耳技...more
",https://www.books.com.tw/products/0010871847?loc=P_0003_009
10,醫學類別資料分析,林建甫,2020-09-11,"
在醫學研究中，類別資料是一種常見的資料類型，醫學研究結果的測量通常是類別變數，例如臨床試驗在受試者服用抗骨質疏藥物，追蹤數年後研究是否可降低骨折發生。又例如第二期癌症臨床試驗在試驗藥物治療後...more
",https://www.books.com.tw/products/0010870813?loc=P_0003_010
