,書名,作者,出版日期,內容介紹,網址
1,VCSEL 技術原理與應用,"尤信介,盧廷昌",2019-09-25,"
垂直共振腔面射型雷射的發展與量產將近40年，在光通訊與光資訊領域已經成為不可或缺的主動光源最佳解決方案，並在近10年陸續應用在各式各樣的感測器相關用途，因此相關產業也開始進入高速成長期。   本書...more
",https://www.books.com.tw/products/0010836883?loc=P_0003_001
2,光機電系統設計和製作(2版),黃君偉,2018-10-10,"
本書原是台灣大學光學設計和工程，光機電設計和製作之授課內容，在過去十年課程已有將近200位台大學生使用過。本書參考多本國際知名作者光機電習用參考書，經過多次編繹及修訂，並整合作者之專利，累積之...more
",https://www.books.com.tw/products/0010802889?loc=P_0003_002
3,光學薄膜設計模擬實習,葉倍宏,2017-10-25,"
本書內容共分十六個單元介紹各類光學薄膜，首先使讀者了解基礎理論，而後進行模擬實習。主要內容有基板之光學特性、單層與多層抗反射膜、紅外光區抗反射膜、雙波段抗反射膜、單層與多層抗反射膜優化設計、...more
",https://www.books.com.tw/products/0010769814?loc=P_0003_003
4,雷射工程(第二版),楊寶賡,2017-01-20,"
本書以深入淺出方式介紹雷射基本原理與相關技術，並盡量使用圖片輔助說明，期使讀者能加深學習印象。   全書分為8章，第1、2章分別介紹光與雷射的基本概念；第3章探討雷射共振腔的穩定性分析；第4章介紹雷...more
",https://www.books.com.tw/products/0010743656?loc=P_0003_004
5,世界第一簡單電力系統,藤田吾郎,2015-04-02,"
電機系 台電員工 電器、電力相關證照 最佳入門書!   電機系學生打好基礎，國營事業高分上榜!   水力、火力與核能發電的運作，   輸電設備的事故對策，   變電所的結構與種類，   各種配電方式，   未來的...more
",https://www.books.com.tw/products/0010669946?loc=P_0003_005
6,圖解光電半導體元件,"李勝偉,李敏鴻,李朱育,柯文政,段生振,陳念波",2014-07-31,"
本書包含了光電半導體元件之基本原理、元件應用與未來展望，內容涵蓋了四種主要光電科技應用，包含：光電感測元件、固態照明系統、顯示系統、太陽光電系統等，這幾項光電科技都與我們日常生活息息相關。本...more
",https://www.books.com.tw/products/0010653685?loc=P_0003_006
7,LED螢光粉技術,"劉偉仁,姚中業,金風,鍾淑茹,黃健豪",2014-01-03,"
全書共分為九章，前第一章至第二章主要介紹基礎光學原理以及螢光材料基本原理，第三章開始針對螢光粉的製備方法以及最新螢光粉製備技術之相關文獻進行深入探討，第四章則著墨在目前最熱門之螢光玻璃陶瓷，...more
",https://www.books.com.tw/products/0010625858?loc=P_0003_007
8,光機電產業設備系統設計,"利定東,劉建聖,李朱育",2013-11-01,"
我國半導體光電產業經過二十餘年來的發展，已經形成完整的供應鏈體系。在這半導體光電產業鏈中，製程設備與檢測設備是最關鍵的一環。這些設備的性能，關係著生產的成本及品質。「設備本土化」將是臺灣半導...more
",https://www.books.com.tw/products/0010615576?loc=P_0003_008
9,幾何光學(第四版),"何建娃 ,耿繼業",2013-08-30,"
本書介紹最基本的幾何光學知識，內容詳盡介紹光的特性及應用。而幾何光學是光學中重要的一支，是設計透鏡設計、軍事儀表、醫療儀器、攝影儀器等領域中不可或缺的一環，可說是一門重要又實用的學科。本書內...more
",https://www.books.com.tw/products/0010616205?loc=P_0003_009
10,光電系統與應用,"張文陽,林奇鋒,林宸生",2013-05-01,"
本書為教育部顧問室「半導體與光電產業先進設備人才培育計畫」之成果，包含了光電系統之基本原理、架構與發展、應用及趨勢，各章節主題條列如下：第一章太陽能與光電半導體基礎理論、第二章半導體概念與能...more
",https://www.books.com.tw/products/0010588499?loc=P_0003_010
