,書名,作者,出版日期,內容介紹,網址
1,每週都去看屍體：首爾大學最熱門的死亡學,柳成昊,2020-11-05,"
二十年來負責超過一千五百起屍檢案件的韓國法醫柳成昊， 以淺顯易懂的方式，述說死亡經常被忽略的最真實樣貌， 讓讀者可從學習思索死亡，學習人生。   「雖然我不清楚大家會不會被書名嚇到，   但我是本著...more
",https://www.books.com.tw/products/0010874523?loc=P_0002_001
2,謝謝你在我們心裡：器官受贈者的暖心奮鬥，與器官勸募的強力呼喚,蘇上豪,2020-09-15,"
死亡是生命的必然，但生命價值卻可以延續。 讓有限生命的器官，有機會拯救其他人。    每個人心中應該都有一份期許，若有一天，生命的靈離開了肉體，能繼續把心中的那份力量，遺留人間。讓愛永遠流傳……   ...more
",https://www.books.com.tw/products/0010869277?loc=P_0002_002
3,生死彼岸(增訂版),劉易齋,2020-08-25,"
古往今來、宇宙內外沒有不死之人，也沒有不滅的生命。這是生命的原相!   在死亡之前 眾生平等。能否平靜安詳地接受死亡?是人總結一生的課題!要如何死?就必須怎樣生!無論是自己 ，還是他人的死亡，從出生那...more
",https://www.books.com.tw/products/0010869305?loc=P_0002_003
4,隨時放得下的功課：心靈病房的18堂終極學分,張明志,2020-08-18,"
醫者治病，帶領病患逃避死亡，   但許多病人卻忘了許多未圓滿的心願；   忘了道謝、道歉、道別；忘了道愛，忘了神。    假若一輩子就這樣生個病死了，我們有學到什麼呢?   死亡是人生的必然，是很大的功課...more
",https://www.books.com.tw/products/0010866402?loc=P_0002_004
5,那個病人，我人生的醫生,艾倫．狄維瑟,2020-08-01,"
每位醫生與護士心裡都有位終生難忘的病人， 用生命教會他們勇敢，也醫治了脆弱……   「我現在終於明白，珍惜你所擁有的一切是多麽重要的一件事。」──心臟科醫生   「是這個女孩幫我們上了為期一週的速成課...more
",https://www.books.com.tw/products/0010864592?loc=P_0002_005
6,寵物終老前，還能為心愛的牠做什麼 末期寵物的心情安寧照護指南,張婉柔,2020-07-11,"
心情安寧、照顧者的自我照顧、離世溝通， 獸醫師+動物溝通師的跨領域支持最前線。 ◆專文推薦 獸醫師、智遇動物醫院院長 蔡文智 諮商心理師、心理叢書作家 蘇絢慧 大悲學苑社區安寧靈性關懷教師 德嘉法師 ...more
",https://www.books.com.tw/products/0010863012?loc=P_0002_006
7,人生最後一次相聚(全新封面版),江佳龍,2020-07-02,"
★★★《商業周刊》1250期精選書摘★★★ 人生的圓滿，也許就是在來得及時，好好說聲再見 辦過近千場告別式的禮儀師，娓娓道來一個個「圓滿」的離別聚會故事 ◆一本告訴你如何畫上「圓滿」句點的書◆ 面對親人的逝...more
",https://www.books.com.tw/products/0010861906?loc=P_0002_007
8,命案現場清潔公司：比屍水、血跡、蛆蟲更難清潔的是人心,得第一環境維護公司,2020-06-29,"
●歡迎來到命案現場清潔公司!   我們的專業包括處理命案現場的清潔，協助委託人將環境恢復整潔。   那些佈滿屍水、血跡、蛆蟲的環境，各種怵目驚心的社會悲劇，都是這份工作的日常。   或許有很多人會覺得...more
",https://www.books.com.tw/products/0010861611?loc=P_0002_008
9,只是哭沒有用：人生無法隨心所欲，但對抗疾病隨我高興,尹智會,2020-06-01,"
這是一本 安慰之書‧鼓勵之書‧療癒之書 因為，只是哭沒有用，因為，我可以發光發熱。 IG累積五千萬點閱的話題作品   突然這一天得到胃癌末期的宣告，我按照醫生的指示，開始每天抗癌的化學治療。   生活有...more
",https://www.books.com.tw/products/0010859008?loc=P_0002_009
10,那些屍體教我的事：日本首席法醫的處世哲學：從死亡找尋生命的意義──獻給活出未來年輕的你們,上野正彥,2020-05-22,"
「請你明白，我不是意外死亡的。」   每一個死亡，都會留下尚未說完的話，都曾有過一個重要的人生。屍體不是物體，是活生生的。我們必須用自己的雙眼去挖掘真相、聆聽無聲的死者的聲音，從死亡找尋生命的...more
",https://www.books.com.tw/products/0010858253?loc=P_0002_010
11,從心清除癌細胞：放下糾結，與自己和解，從心理學體悟癌症的七種療癒解方,納輝,2020-05-19,"
每種疾病都有一段故事，它用自己的方式在對我們傳達信息。 罹癌讓作者看清疾病背後的真相，學會傾聽內心的聲音， 進而從「心」找到讓「身」康復的七大習慣。 最終，不是她治癒了癌症，而是癌症改變了她的...more
",https://www.books.com.tw/products/0010857499?loc=P_0002_011
