,書名,作者,出版日期,內容介紹,網址
1,英雄訓練手冊 三國志傳奇,澄田夢久,2020-11-06,"
~兼具智慧、勇氣與浪漫，由各路豪傑上演的壯闊史詩!~   魏之曹操，蜀之劉備，吳之孫權，   三足鼎立，爭天下之一統。   各路英雄、豪傑、軍師逐鹿中原，   交織出充滿智慧、勇氣與志氣的熱血夢想與傳奇故...more
",https://www.books.com.tw/products/0010874605?loc=P_0003_001
2,容齋隨筆：宋代最強紙上知識型Youtuber 一本什麼都能談的歷史脫口秀,洪邁,2020-11-03,"
不管是什麼，都給我來一點：最豐富的文史大蒐奇   今晚，我想來點……歷史大蒐奇!   這部巨大的小書，雖然可以說不管是什麼，都給我來一點；   但其與百科全書最大的差異在於：   它不只是知識的條目，它更...more
",https://www.books.com.tw/products/0010874160?loc=P_0003_002
3,江山代有才人出：歷代經典詩詞選,人人編輯部,2020-10-16,"
★收錄約400首經典詩詞，小開本大容量!   ★附注音與簡明注釋，方便背誦，容易閱讀!   ★軟皮精裝典雅細膩，是送禮的最佳選擇!    本書從先秦至清代，共選錄了四百首歷代經典詩詞，集結各家精華，凝聚輝煌盛...more
",https://www.books.com.tw/products/0010873107?loc=P_0003_003
4,賴布衣傳奇,蕭玉寒,2020-09-26,"
自古以來，風水與堪輿就和中國人的生活息息相關。本書描述有一代大師美譽的宋朝著名風水先生賴布衣，在冒險犯難、追龍尋脈的過程中，經歷的種種危機，全書高潮迭起，續演一段段精采絕倫的尋龍傳奇。  本書...more
",https://www.books.com.tw/products/0010872635?loc=P_0003_004
5,圖解山海經大全：上古奇珍異獸、民俗歷史、宗教巫術的神話地理志【暢銷增訂版】,,2020-09-23,"
上古奇珍異獸、民俗歷史、宗教巫術的神話地理志 穿越古今，一同進入《山海經》中充滿趣味的想像空間   《山海經》是一部極富歷史價值的巨作，囊括四海內外奇觀異聞，是中國古代先賢們想像力的結晶。透過他...more
",https://www.books.com.tw/products/0010871292?loc=P_0003_005
6,山海經：看見遠古的神話世界,郭璞,2020-09-01,"
「一部現存最早的百科全書」    山川木石皆自異，萬物於我何求同    女媧補天去哪裡找五彩石?   后羿真的射下了九個太陽?   黃帝如何大戰蚩尤?   共工為何怒觸不周山?    四海八荒，諸多邦國、無數山川， ...more
",https://www.books.com.tw/products/0010868614?loc=P_0003_006
7,山海經：看見遠古的神話世界【首刷限量加贈：山海經插圖手札】,郭璞,2020-09-01,"
首刷限量加贈 山海經插圖手札   「一部現存最早的百科全書」   山川木石皆自異，萬物於我何求同   女媧補天去哪裡找五彩石?   后羿真的射下了九個太陽?   黃帝如何大戰蚩尤?   共工為何怒觸不周山?   四海...more
",https://www.books.com.tw/products/0010868553?loc=P_0003_007
8,全彩圖解古文觀止,"吳楚材,吳調侯",2020-07-29,"
了解中國文化的必讀巨著    《古文觀止》成書於康熙三十四年(1695年)，由吳楚材、吳調侯叔姪選編而成。「觀止」二字出自《左傳》，意思是：讀了這些盡美盡善的文章，就無需再去閱讀別的文章了。該書選文上...more
",https://www.books.com.tw/products/0010865225?loc=P_0003_008
9,唐宋八大家：古代散文的典範,葛曉音,2020-07-21,"
北大教授葛曉音的唐宋古文導讀，適合大眾讀者的古文今譯選本； 從題解、原文、註釋、譯文，四部分完整導讀欣賞經典古文。   「唐宋八大家」是指唐宋時期八位著名的散文家——唐代的韓愈、柳宗元，宋代的歐陽...more
",https://www.books.com.tw/products/0010862994?loc=P_0003_009
10,免死記!過目不忘三字經：你與古文的距離，只差一塊美味的翻譯年糕,"楊忠,歐陽翰",2020-07-03,"
童年是鬼抓人、是躲避球，童年還是《三字經》。 以前的你，就像念rap一樣背誦：人之初，性本善……. 三字經難道只能死記嗎?非也!   【來一塊翻譯年糕，經典原文過目不忘】   本書不強調背誦的必要性，強迫大...more
",https://www.books.com.tw/products/0010863476?loc=P_0003_010
11,智囊：有勇還須有謀，囊括270則古人智慧懶人包，補足天生缺的那點「小心機」,馮夢龍,2020-07-02,"
古籍今用，風華重現 賦予經典名著新的生命，透過書中睿智的文字， 讓我們重拾過去不曾領悟的處世手腕、生活智慧。   「人有智，猶地有水，地無水為焦土，人無智為行屍。   智用於人，猶水行於地。地勢坳則...more
",https://www.books.com.tw/products/0010862729?loc=P_0003_011
12,浮生六記﹝一函五冊﹞,沈復,2020-07-01,"
函裝手工宣紙綾面絹簽穿線精裝【經典復刻版】    《浮生六記》是清朝長洲人沈復著於嘉慶十三年的自傳體散文，在清代筆記體文學中佔有相當重要的位置。本書是著名藏書家彭令先生整理、崇賢館釋譯的《浮生六...more
",https://www.books.com.tw/products/0010861899?loc=P_0003_012
13,全彩圖解山海經,,2020-07-01,"
奇幻之祖，玄幻經典    《山海經》成書於戰國至漢初，與《易經》、《黃帝內經》並稱為上古三大奇書。全書共十八卷，記載了四十多個邦國、五百五十座山、三百條水道、一百多個歷史人物、四百多個神怪異獸，...more
",https://www.books.com.tw/products/0010862591?loc=P_0003_013
14,竇娥冤(二版),"王星琦,關漢卿",2020-06-19,"
《竇娥冤》是元代戲曲家關漢卿的代表作，也是中國古代經典悲劇。內容敘述一善良女子竇娥的坎坷遭遇，她本與婆婆過著平穩的孀居生活，卻平地風波，遭市井惡棍張驢兒父子糾纏、陷害以致慘受冤獄刑戮。全劇曲...more
",https://www.books.com.tw/products/0010861540?loc=P_0003_014
15,雷峰塔(二版),"俞為民,方成培",2020-06-19,"
《雷峰塔》傳奇所描寫的「白蛇傳」故事是中國四大民間傳說故事之一，長期以來，一直是戲曲、小說、說唱等俗文學的重要題材，現代電影、戲劇也常加改編演出，受到人民群眾所喜聞樂見。劇中許宣、白娘子、青...more
",https://www.books.com.tw/products/0010861546?loc=P_0003_015
16,蘇東坡選集+四李選集(二冊套書)+贈大筆記本,人人編輯部,2020-06-17,"
讀蘇東坡的生活哲學‧四李詩人的才情萬千   蘇軾為北宋著名文人，字子瞻，號東坡居士，與父親蘇洵、弟弟蘇轍都被列為唐宋八大家之一。《蘇東坡選集》以編年分章，每一章先導讀蘇軾於該時期的經歷，繼而選編...more
",https://www.books.com.tw/products/0010861789?loc=P_0003_016
17,文心雕龍注,"劉勰,范文瀾",2020-06-11,"
魏晉南北朝為古典文論之黃金時代，而南梁劉勰所作之《文心雕龍》則堪稱其中翹楚。全書凡十卷，分五十篇，自〈原道〉始，迄〈序志〉終，均由駢體寫成。其文辭雅麗，包羅宏富，囊括文學總論、文體論、創作論...more
",https://www.books.com.tw/products/0010860019?loc=P_0003_017
18,慢讀.浮生六記：浮生若夢，只因一生情癡，遭此顛沛,"夢窗,沈復",2020-04-13,"
浮生若夢，為歡幾何? 一本清朝普通文人沈復的自傳體式散文， 卻在百餘年後觸發無數情感共鳴，欽慕沈復與其妻芸娘之間 文雅風趣、堅貞不渝，卻又備極坎坷的愛情， 清朝思想家王韜讀後說：「筆墨間纏綿哀感...more
",https://www.books.com.tw/products/0010854068?loc=P_0003_018
19,物色《金瓶梅》：活色生香的明代器物誌,揚之水,2020-04-10,"
金井玉欄杆圈兒、珠子箍兒、金玲瓏草蟲兒頭面……《金瓶梅》中令人眼花撩亂的器物名稱與入微描寫，竟埋藏了無數的世故與心機。   第一本從「名物」角度對古典小說名著《金瓶梅》進行專門解讀和細緻研究的名...more
",https://www.books.com.tw/products/0010854351?loc=P_0003_019
20,圖解菜根譚大全【暢銷增訂版】：內容增量，白話全譯‧圖文並茂，長智慧、學處事、悟人生,洪應明,2020-03-30,"
內容升級，長智慧、學處事、悟人生，儒釋道三修 白話全譯‧圖文並茂‧處世真經 中國傳統人生哲學出世與入世的智慧結晶 處世待人、修身養性、為學勵志、齊家治國的最佳指南    智慧傳承，百年不衰，鑑古知今...more
",https://www.books.com.tw/products/0010853703?loc=P_0003_020
21,第六才子書西廂記(三版),王實甫-,2020-02-27,"
《西廂記》的故事原型為唐著名傳奇〈鶯鶯傳〉所述的崔、張愛情悲劇，全劇佈局巧妙，情節豐富曲折，人物形象和語言細膩貼切，故能獨領風騷，成為流傳最廣、影響最大的劇目。清代怪傑金聖嘆將它列為「第六才...more
",https://www.books.com.tw/products/0010850081?loc=P_0003_021
