,書名,作者,出版日期,內容介紹,網址
1,一闋詞.一份情 唐宋詞的情感世界(上),劉少雄,2020-10-29,"
詞，一字一句， 皆有聲有色、有情有義。 在茫茫詞海中， 定能找到最療癒自己的那一首!    詞，是文學中最優雅輕靈的文類、最婉麗動人的體裁，它是歌詠青春的詩篇，是千年前古人悲歡離合的乘載，是陰柔中有...more
",https://www.books.com.tw/products/0010873853?loc=P_0003_001
2,一闋詞.一份情 唐宋詞的情感世界(下),劉少雄,2020-10-29,"
詞，一字一句， 皆有聲有色、有情有義。 在茫茫詞海中， 定能找到最療癒自己的那一首!    詞，是文學中最優雅輕靈的文類、最婉麗動人的體裁，它是歌詠青春的詩篇，是千年前古人悲歡離合的乘載，是陰柔中有...more
",https://www.books.com.tw/products/0010873856?loc=P_0003_002
3,一闋詞.一份情 唐宋詞的情感世界(限量作者親簽版雙冊套書，加贈「詞情綿綿」藏書票),劉少雄,2020-10-29,"
詞，一字一句， 皆有聲有色、有情有義。 在茫茫詞海中， 定能找到最療癒自己的那一首!    詞，是文學中最優雅輕靈的文類、最婉麗動人的體裁，它是歌詠青春的詩篇，是千年前古人悲歡離合的乘載，是陰柔中有...more
",https://www.books.com.tw/products/0010873863?loc=P_0003_003
4,如何閱讀一首詩詞：五種詩詞的最佳讀法,馬大勇,2020-10-21,"
當你無意間遇見 一首怦然心動的詞，或是 一首傳誦千古的詩， 要如何得到更豐富的感動?   如果你喜歡詩詞，有興趣、有熱情去讀，那麽，讀到什麽程度可以說「讀懂」了呢?   本書作者馬大勇教授，以深厚的學...more
",https://www.books.com.tw/products/0010873225?loc=P_0003_004
5,江山代有才人出：歷代經典詩詞選,人人編輯部,2020-10-16,"
★收錄約400首經典詩詞，小開本大容量!   ★附注音與簡明注釋，方便背誦，容易閱讀!   ★軟皮精裝典雅細膩，是送禮的最佳選擇!    本書從先秦至清代，共選錄了四百首歷代經典詩詞，集結各家精華，凝聚輝煌盛...more
",https://www.books.com.tw/products/0010873107?loc=P_0003_005
6,唐詩三百首鑒賞大全集(全新封面版),,2020-10-15,"
唐朝是中國詩歌發展的黃金時期。在唐朝的二百九十多年裏，湧現出了大量詩歌名家，創造出了五萬首之多的唐詩。它已經成為了傳承中國文化和民族精神的重要載體，了解中國悠久歷史文化的重要管道。古往今來，...more
",https://www.books.com.tw/products/0010872811?loc=P_0003_006
7,一日一宋詞，此情在心頭(365天的宋詞萬用日曆，典雅書盒收藏版),,2020-10-15,"
一曲新詞酒一杯，去年天氣舊亭臺。 無可奈何花落去，似曾相識燕歸來。  每天讀一首宋詞，賞一幅古畫。 365天的宋詞日曆 手工裝幀，萬年可用    宋詞是古代文化寶庫中的明珠。王國維《人間詞話》中說：「詞...more
",https://www.books.com.tw/products/0010872424?loc=P_0003_007
8,人間好時節(流金歲月版),張曼娟,2020-10-08,"
我願自己是一個引路人， 每個讀者都能在古典詩詞中，找到自己的人間好時節。 古典新詮第一人——張曼娟 出版15年，累銷十萬本! 人生啟示經典《人間好時節》，全新改版上市。 特別收錄/張曼娟〈十五週年新版...more
",https://www.books.com.tw/products/0010871178?loc=P_0003_008
9,回到現場讀唐詩【全三冊】,章雪峰,2020-10-01,"
※文史作家章雪峰三作品，精美書盒典藏套裝版※   《唐詩現場》+《藏在節日裡的詩詞》+《二十四節氣的詩詞密碼》   來一場與詩詞最美的相遇!   幽默、新奇、知識、好讀，   那些關於詩人、名人、節日、節氣...more
",https://www.books.com.tw/products/0010871408?loc=P_0003_009
10,山水有清音：古代山水田園詩鑑要,葛曉音,2020-09-29,"
這本小書所選詩歌以南朝到唐代的代表作為主，兼及宋代的少數名篇，按照山水田園詩產生的各類環境和相關主題分為田園、隱居、遊覽、行旅幾類，從多種角度幫助讀者了解中國古代山水田園詩的高度成就和藝術價...more
",https://www.books.com.tw/products/0010870306?loc=P_0003_010
11,王氏續古文辭類纂注(上下)(三版),,2020-09-18,"
清初文人學士反對明末提倡性靈的公安派、竟陵派，認為文章應講求經世致用，宣揚孔孟道統。方苞主張為文應有義法，義，指言之有物(內容)，法，指言之有序(形式)。劉大櫆將方苞的理論擴而充之，提出神氣說，...more
",https://www.books.com.tw/products/0010871283?loc=P_0003_011
12,唐宋詞選讀,陳美朱,2020-09-10,"
這是為成功大學基礎國文之「古典詞」所設計的讀本。以歷時性的方式導讀唐宋詞名家名作。每首詞附以重要典故詞彙的「註釋」，另以「導讀」介紹詞作背景與章節架構，以「析評」展現詞評家對本詞的賞愛處或爭...more
",https://www.books.com.tw/products/0010870431?loc=P_0003_012
13,驚破霓裳羽衣：說不盡的唐詩，不過是歌舞昇平一場,杜昱青,2020-08-21,"
古今一望，唯有盛世唐朝的讚歌還在迴響， 從華清宮旁，到鸛雀樓上，到玉門關前，到終南山下…… 即使繁華落盡，唐詩也留下了一片美極的蒼涼──    ▏李白：即便是人生低谷，也要仰天長嘯    行路難，行路難，...more
",https://www.books.com.tw/products/0010868383?loc=P_0003_013
14,唐詩三百首+宋元明清詩選(二冊套書)+贈大筆記本,人人編輯部,2020-08-07,"
《唐詩三百首》由清代的蘅塘退士編選，按體裁分類，共選錄三百二十首作品，許多名人佳句畢出，是許多人熟悉的啟蒙教材。   那讀完了唐詩三百首，只能讀宋詞嗎?    歷經唐代後，「詩」雖然被掩蓋在宋詞的光...more
",https://www.books.com.tw/products/0010865648?loc=P_0003_014
15,宋元明清詩選+歷代愛情詩詞選(二冊套書)+贈大筆記本,人人編輯部,2020-08-07,"
一般常把「唐」與「詩」並稱，但並不是只有唐人才寫詩，之後宋元明清各朝，前後長達千年，詩的創作綿延不輟，不因朝代更替而中斷，佳作無數，更有不少耳熟能詳的作品。人人出版此次輯錄《化作春泥更護花：...more
",https://www.books.com.tw/products/0010865647?loc=P_0003_015
16,思無邪,風,2020-08-04,"
筆者自謂，從小即熱愛文學，卻因家庭因素，無奈走上理工，雖有傑出表現，然終非所願。在幾經社會歷練，而能選擇所愛之路，便毅然決然棄商從文，並取得文學博士學位，而成為教師與文耕者。其中，曾以〈那一...more
",https://www.books.com.tw/products/0010866026?loc=P_0003_016
17,成廬詩稿,勞榦,2020-08-01,"
蘭臺出版社出版──簡牘國際大師勞榦先生詩集《成廬詩稿》   居延漢簡研究的先驅   「勞榦(1907-2003)是居延漢簡研究的先驅。居延漢簡的釋文和圖錄最早由勞先生出版，他的相關考證和專題論文也開啟了此後研...more
",https://www.books.com.tw/products/0010869584?loc=P_0003_017
18,唐駢體文鈔,,2020-07-31,"
《新唐書・文藝傳》謂「唐文凡三變」，駢文亦有三變。初唐色澤濃縟，音節流暢，盛唐駢散並行，清空疏快，中唐以後融合此前風格體式，而敘事仍能疎宕有致，說理仍能精譬無累，言情仍能淒惋感人。世人皆以唐...more
",https://www.books.com.tw/products/0010867075?loc=P_0003_018
19,人間詞話校注,王國維,2020-07-28,"
王國維於一九一O年完成本書，受到詞學家重視，是中國近代最知名的一部詞學批評著作。書中的理論核心是「境界」說，並作為基準，具體評論歷代詞人創作得失；又借用西方的美學觀念，對「境界」作「造境」與...more
",https://www.books.com.tw/products/0010865232?loc=P_0003_019
