,書名,作者,出版日期,內容介紹,網址
1,甲骨文發現120周年紀念套書(共兩冊)：《新編進階甲骨文字典》+《文字學家的寫字塾 一寫就懂甲骨文》,"施順生,許進雄",2020-09-16,"
國際甲骨文權威學者 許進雄 ╳ 文字學學家 施順生 紀念甲骨文發現120周年，共同編著推出!   《新編進階甲骨文字典：甲骨文發現120周年紀念版》   一部文字簡史，從1600個甲骨文透視古代社會。   由國際甲骨...more
",https://www.books.com.tw/products/0010869682?loc=P_0003_001
2,圖解DSE文言範文+經典(2020修訂版),田南君,2020-09-11,"
本書針對文憑試中文科卷一甲部「指定閱讀篇章」的部分編撰。全書錄有詩、詞及文言文35篇，當中16篇是教育局指定閱讀篇章，其餘19篇則為作者精挑細選的經典文言作品。「圖解」是本書的最大特色，以圖畫解說...more
",https://www.books.com.tw/products/0010870714?loc=P_0003_002
3,港生活.學正字,田南君,2020-08-14,"
本書從生活出發，配以實地拍攝的照片，展示生活中常見的別字、俗字，從形、音、義三方面拆解各字異同，娓娓講述其造字方式及字義演變，使讀者真正理解各字由來，從根源上導正別字問題，同時體察古人造字的...more
",https://www.books.com.tw/products/0010867847?loc=P_0003_003
4,【這個詞，原來是這個意思系列套書】(5冊)：《這個詞，原來是這個意思：第一輯~第五輯》,許暉,2020-08-03,"
本套書組合：《這個詞，原來是這個意思!》、《這個詞，原來是這個意思：第二輯》、《這個詞，原來是這個意思：第三輯》《這個詞，原來是這個意思：第四輯》、《這個詞，原來是這個意思：第五輯》(5冊)   ...more
",https://www.books.com.tw/products/0010865327?loc=P_0003_004
5,文字學家的寫字塾 一寫就懂甲骨文：紀念甲骨文發現120周年,"施順生,許進雄",2020-07-22,"
親手寫甲骨文 穿越時空 洞悉古代社會與文化 「文字學家的寫字塾」 正式開始授課!   本書為紀念甲骨文發現120周年，特別邀請兩位文字學界代表學者，文字學學家 施順生 與國際甲骨文權威學者 許進雄 共同教...more
",https://www.books.com.tw/products/0010863899?loc=P_0003_005
6,象形篇,陳光政,2020-05-30,"
小篆是圖形文字的終點站，先前的古文字是小篆的中上游，欲知文字的流變，尤其象形文，非參考甲骨文、金文與戰國文不可。   本書即是透過層層古文字，每字皆先引用《說文》，並廣參近世古文字的代表作，將1...more
",https://www.books.com.tw/products/0010860453?loc=P_0003_006
7,國學要義•十個關鍵詞,夏海,2020-05-29,"
國學義理凝聚在儒道兩家裏，能大致概括兩家基本義理的十個關鍵詞是——道、仁、義、禮、智、信、孝、忠、廉、恥。理解這十個關鍵詞，也為品讀經典提供堅實的基礎。   研讀國學關鍵詞，應以建構為主，構建一...more
",https://www.books.com.tw/products/0010860400?loc=P_0003_007
8,天律聖典大全：白話解釋(下冊),,2020-04-01,"
修身養性、明辨善惡、趨吉避凶，就從體悟《天律聖典》開始!   如今世界混亂，天災、疾病、戰爭層出不窮，似乎世界已走到了盡頭，末日彷彿隨時都將來臨。   至聖先師 孔夫子，感嘆現今的人已喪失原有的善良...more
",https://www.books.com.tw/products/0010852595?loc=P_0003_008
9,天律聖典大全：白話解釋(上冊),,2020-04-01,"
修身養性、明辨善惡、趨吉避凶，就從體悟《天律聖典》開始!   如今世界混亂，天災、疾病、戰爭層出不窮，似乎世界已走到了盡頭，末日彷彿隨時都將來臨。   至聖先師 孔夫子，感嘆現今的人已喪失原有的善良...more
",https://www.books.com.tw/products/0010852599?loc=P_0003_009
10,狀元字音字形全攻略[新修版],郭菁怡,2020-04-01,"
地表最強的字音字形武功祕笈! 冠軍名師教你認識文字的正確發音和涵義， 拓展語文常識，增強記憶力，啟發創造力!    本書是針對國高中生所撰寫的國語文補充教材，可幫助學生熟悉字音字形，擴增詞語能力。這...more
",https://www.books.com.tw/products/0010854214?loc=P_0003_010
