,書名,作者,出版日期,內容介紹,網址
1,夜不語詭秘檔案114：寶藏(中),夜不語,2020-11-17,"
寶藏價值連城，絕無僅有， 你，願意用性命去換嗎?  奇詭驚悚天王夜不語X華麗系插畫家Kanariya再次攜手 重新演繹 經典成名代表作《夜不語詭秘檔案》!    身後傳來了腳步聲，十分怪異的腳步聲。那個腳步聲很...more
",https://www.books.com.tw/products/0010874450?loc=P_0003_001
2,我有一座恐怖屋 5 永生的人,我會修空調,2020-11-12,"
再次刷出噩夢任務，為增強自身實力，   陳歌前往位於九江東郊的白龍洞。   凌晨兩點四十四分，他必須獨自穿越隧道，   走上四十四步，一遍遍喊出自己的名字。    手機鬼、紅衣女，平靜的東郊潛藏暗潮，   ...more
",https://www.books.com.tw/products/0010873697?loc=P_0003_002
3,拼字遊戲,維克,2020-11-09,"
你們的旅館有鬼!其實我沒告訴你，根本就沒有人玩過那盤拼字遊戲。在我曾經醉得不省人事時，我發現那些字牌就像通靈板一樣在我手中排列出自己的意志......   他進入了一場狂亂，一種感官的剝離，以及世界永...more
",https://www.books.com.tw/products/0010874809?loc=P_0003_003
4,詭軼紀事‧零：眾鬼閑遊,"尾巴Misa,御我,笭菁,路邊攤,龍雲",2020-10-31,"
記錄詭譎散軼的靈異故事之書 《詭軼紀事‧零：眾鬼閑遊》 笭菁╳龍雲╳尾巴Misa╳御我╳路邊攤 五大作者聯名短篇集 【百鬼夜行番外篇：她，回來了】 笭菁 一群朋友在黑暗的大橋上歡暢回憶，落水聲卻突然傳至，...more
",https://www.books.com.tw/products/0010873846?loc=P_0003_004
5,女鬼事務所,林清揚,2020-10-23,"
女鬼的愛情是：學長的性命屬於我!   林清揚 首波靈異系純愛物語──《女鬼事務所》   女鬼事務所守則：   • 不准接觸生前認識的人。   • 禁止尋找生前記憶。   • 只能嚇人不可殺人。   • 出任務必須穿著白色...more
",https://www.books.com.tw/products/0010873235?loc=P_0003_005
6,浩劫雙城記：從海德堡到上海(上冊),陳介中,2020-10-20,"
二次世界大戰危機重重 原子彈的威力決定一切!   當希特勒開始擴張他的納粹帝國版圖時   無數人的命運都被迫改變了……   二次大戰期間，外勤特工山姆活躍於德國佔領區，執行秘密任務。這次山姆接到的緊急命...more
",https://www.books.com.tw/products/0010870360?loc=P_0003_006
7,浩劫雙城記：從海德堡到上海(下冊),陳介中,2020-10-20,"
青梅竹馬的戀人意外成為了獵殺對象 他該如何執行他的任務?   撤離利普曼夫婦以及取得原子彈爆破點情報，是山姆任務的目的。   但是在過程中需要處決利普曼，更甚者，也要連同他的妻子一同處決……   山姆面...more
",https://www.books.com.tw/products/0010870362?loc=P_0003_007
8,百鬼夜行卷2：水鬼,笭菁,2020-10-08,"
寧靜街頭 ‧ 暗夜鐘響‧ 百鬼夜行 ‧ 善惡莫測 身為河妖乾兒子的水鬼，因一名溺水幼童致使生前記憶閃現，決意委託由眾鬼撫養長大的厲心棠替他找尋死前身分，但各路水鬼均懷鬼胎，即使有最強外援闕擎，兩人也...more
",https://www.books.com.tw/products/0010871889?loc=P_0003_008
9,百鬼夜行卷1：林投劫,笭菁,2020-09-30,"
《百鬼夜行卷1：林投劫》 「我掙扎著，幾乎吸不到空氣，但無論如何都掙不開……」 寧靜街頭 ‧ 暗夜鐘響‧ 百鬼夜行 ‧ 善惡莫測 厲心棠與闕擎，兩個都不屬於「正常」的人，在街頭偶遇，不料街頭充斥著諸多魑魅...more
",https://www.books.com.tw/products/0010868096?loc=P_0003_009
10,怪奇博物館103 座敷靈(上),夜不語,2020-09-30,"
奇詭天王夜不語全新怪誕驚魂系列!   天資聰穎的少年夜諾，成功完成前兩項任務，   閉關三十天後，他準備挑戰第三關，   但他萬萬沒想到，這次情況無比凶險，   以他如今的實力，只有死路一條……   不是人生...more
",https://www.books.com.tw/products/0010871620?loc=P_0003_010
