,書名,作者,出版日期,內容介紹,網址
1,國球的眼淚,秀霖,2020-11-02,"
就算此生只剩下這場比賽可以呈現，就算手臂因為施力過度而受傷、殘廢，我也要讓這些還支持、相信我的球迷，好好看看我每一個奮力的投球動作!    「任何光鮮亮麗的外表下，背後一定有著不為人知的辛酸血淚...more
",https://www.books.com.tw/products/0010874095?loc=P_0003_001
2,我當道士那些年(壹)簽名典藏版,仐三,2020-10-28,"
一個當了四十年的真正道士，跟著師傅修練闖蕩， 記錄了三十七件精彩案件，帶你一窺神秘的道家世界。   道家源流傳承千年，一切未必只是傳說!   超震撼世界觀，你從未看過的玄學世界，揭開道術玄學山、醫、...more
",https://www.books.com.tw/products/0010874144?loc=P_0003_002
3,浩劫雙城記：從海德堡到上海(上 /下冊)博客來獨家簽名套書,陳介中,2020-10-20,"
*臺灣成功大學的航空學資深教授   *台裔美國航空學博士獨家授權   *藍燈書屋搶先出版英文版   *中文版首度轟動上市   *國際熱銷驚悚間諜小說    「種族地位低下的人沒有生存的權利!」──希特勒   納粹一手...more
",https://www.books.com.tw/products/0010871171?loc=P_0003_003
4,謊殺,尾巴,2020-10-20,"
她最恨的不是凶手，而是每個人都在說謊……    ★「鬼尾巴電影院」全新小說系列，故事太有畫面，千萬不要在晚上閱讀!   ★「對於這一部故事我一直很想念……多年後再一次看，讓我十分驚艷!」   2015 - 2018 蟬連...more
",https://www.books.com.tw/products/0010873240?loc=P_0003_004
5,渡鴉,里昂,2020-10-09,"
三位男女主角經歷連串奇怪事件，禁室綁架、無人機追殺、眼球移植、神秘組織等等，一切從一宗網上直播兇殘殺人事件展開……    多年前男主角跟另外八名同患有先天性疾病的孩子被綁架到實驗室，期間男主角被人...more
",https://www.books.com.tw/products/0010872593?loc=P_0003_005
6,末殺者【上】,畢名,2020-10-08,"
▲ 顛覆經典正邪兩道 打造超現實驚悚末世景象 ▼ 何謂正義?何謂邪惡? 我要相信、捍衛的，究竟是什麼? 榮獲「香港聯合物流暢銷書榜」、「香港書獎」、「香港十本好讀」提名! 香港驚悚小說名家代表 畢名 終極...more
",https://www.books.com.tw/products/0010871888?loc=P_0003_006
7,瞬間正義,游善鈞,2020-10-05,"
神一般的預防犯罪系統降臨!   警察用槍時機都將交由AI決定，   扣下扳機，擊發的是實現正義的子彈?   還是建構理想世界的野心?    在不遠的未來，為了解決警察用槍意外頻傳、誤傷無辜民眾的問題，並提升辦...more
",https://www.books.com.tw/products/0010872122?loc=P_0003_007
8,乩童警探：雙重謀殺,張國立,2020-09-25,"
★張國立冷硬犯罪小說第二集，雙重謀殺X雙重精采 ★性感女警爭功吃醋，主角竟被邊緣化? ★犯案詭計再燒腦：死人復活來殺人?   張國立全新三部曲犯罪小說   恨與認同的第二彈：   台灣出現首宗連續殺人案   一...more
",https://www.books.com.tw/products/0010871036?loc=P_0003_008
9,偵探冰室‧靈,"冒業,望日,莫理斯,譚劍,陳浩基,黑貓C",2020-09-23,"
死因無可疑，線索全數歸「靈」!   比起靈異，現實更令人不寒而慄⋯⋯    〈幽靈耳語〉   一座擁有數百年歷史的寧靜古村，少年少女接連自殺。   警方不理會，村人抗拒政府介入，當地人口中的「幽靈耳語」是怎...more
",https://www.books.com.tw/products/0010869866?loc=P_0003_009
10,當正義繞路走了,顧日凡,2020-09-17,"
雨傘運動後政府弄虛作假剝奪了公民的權利，人們吶喊、躁動、憤怒又無奈，可是，人們沒有認命，戮力對抗不公不義的社會，凝聚力量延宕至下一波的反送中運動，寫下一頁悲壯傷感的歷史。    女警步如嫣又遇上...more
",https://www.books.com.tw/products/0010870779?loc=P_0003_010
11,謀殺法則,佘炎輝,2020-09-14,"
屍體好像耶羅尼米斯.波西的畫，「人間樂園」中的《地獄》，那個被垂掛在鑰匙刑具中的樣子--   ★酒駕、販毒、性侵、虐童……社會充斥著逍遙法外的犯罪者。如果出現一位專門私刑制裁罪人的黑暗騎士──你會支持...more
",https://www.books.com.tw/products/0010869552?loc=P_0003_011
12,城境之雨,既晴,2020-09-14,"
沉默，是絕望中最溫柔的吶喊!    公視人生劇展《沉默之槍》原著小說   台灣偵探IP首次影視化    這場大雨洗淨一切，   也將所有的秘密盡皆抹去。   然而風吹不乾的是眼淚，   滴落城境，化入人間……      ...more
",https://www.books.com.tw/products/0010869434?loc=P_0003_012
13,謎案追凶,之江,2020-09-04,"
這世間的每一個人，心中都藏著一個不得不說的秘密。   當在某一時刻，秘密放大，或許就會成為引發罪惡的原點。   就像是一株帶血的紅玫瑰，令人心痛難耐……    刑警大隊長許洋和電台主播黃茹，面臨突如其來...more
",https://www.books.com.tw/products/0010868757?loc=P_0003_013
14,仇恨的螺旋,雨田明,2020-08-20,"
「所有的自殺都是他殺!」   兩年前，樂小雁自殺了，高逸峰深信她是被身邊的人逼死的。戴著和善的優等生面具，高逸峰計劃向朝夕相對的同學復仇……   然而，他的一舉一動彷彿都被藏在暗處的某人看穿……自認最...more
",https://www.books.com.tw/products/0010867239?loc=P_0003_014
15,屯門公園,張篤（棟你個篤）,2020-08-20,"
「如果我當初沒有不聞不問，結局是否會不一樣?」   基金經理施旨山以攢錢為人生最大目標，他在屯門市中心置業，好讓父親及未婚妻生活得更好。   搬進屯門後，一向顧家的父親竟然經常不在家，更整天春風滿...more
",https://www.books.com.tw/products/0010867241?loc=P_0003_015
16,壞小孩,紫金陳,2020-08-17,"
當目擊者變成犯罪者， 好小孩、壞小孩，誰能遏制青春期的黑暗? 秦昊主演.引爆討論熱潮的懸疑推理劇 愛奇藝出品《隱秘的角落》原著小說   ▍成年人眼裡，孩子永遠是簡單的。   ▍他們想像不到孩子的詭計多端...more
",https://www.books.com.tw/products/0010867192?loc=P_0003_016
17,魔笛：童話推理事件簿,陳浩基,2020-08-10,"
當床邊故事變成刑事案件， 「童話」的背後又有著什麼樣的真相?   創作生涯的原點與超越，華文推理第一人陳浩基的「初心」之作!    特別收錄「台灣推理作家協會徵文獎」首獎作品〈藍鬍子的密室〉!    如果...more
",https://www.books.com.tw/products/0010866079?loc=P_0003_017
18,浮動世界,提子墨,2020-08-03,"
即使明天，我將葬身星海化為塵埃，仍會擁抱你的記憶灰飛煙滅。    台北的天空早已不再有白晝與黑夜之分，連續三個星期以來只有一望無際的橘紅色……     台灣首位同時榮獲「英國犯罪作家協會」與「加拿大犯...more
",https://www.books.com.tw/products/0010864895?loc=P_0003_018
