,書名,作者,出版日期,內容介紹,網址
1,董培新畫說金庸,金庸,2020-10-08,"
獨家授權   畫說金庸十五部傳奇小說   新增訂版本 收錄從未出版新畫作    l 董先生憑着為金庸小說及其他文學小說繪圖而得名，在業界甚具名氣，他的畫作因為絕不重繪，所以現時大部分作品的真本已被收藏家...more
",https://www.books.com.tw/products/0010873417?loc=P_0003_001
2,金庸的江湖師友：作家良朋篇,蔣連根,2020-07-01,"
金庸以十五部武俠小說名重遐邇，為所謂「新派武俠小說」定下不少規範，影響了同期和後輩武俠小說作家。本篇介紹一些與金庸有個交集的武俠小說作家，以及相知的作家好，故副題為《作家良朋篇》。   從通俗...more
",https://www.books.com.tw/products/0010861831?loc=P_0003_002
3,金庸的江湖師友：明教精英篇,蔣連根,2020-07-01,"
辦報可以說是金庸的正職，寫武俠小說反而是副業。金庸領導的《明報》對香港，以至整個中國都有深遠的影響力，由上世紀五十年代到金庸退休的九十年代，他在自己的周圍凝聚了一大批報業精英，常有人以《倚天...more
",https://www.books.com.tw/products/0010861846?loc=P_0003_003
4,金庸的江湖師友：金學群豪篇,蔣連根,2020-07-01,"
本書介紹：揭開了「金學」序幕、曾「代筆」《天龍八部》的倪匡；最早看出並品評金庸作品「天下第一」的旅美文學批評大家陳世驤；將金庸小說引入台灣、推動第一波金庸研究的沈登恩。   ● 香港有曾任金庸秘...more
",https://www.books.com.tw/products/0010861848?loc=P_0003_004
5,金庸的江湖師友：師友同業篇,蔣連根,2020-07-01,"
本書介紹大文豪金庸在人生不同階段的老師，以及朋友受同業。   金庸武俠小說中的人物都是有來歷有師承的，而且個個都是尊師重教的好孩子：郭靖和楊過是不用多言的模範生，大理段公子在神仙姐姐的玉像乾脆...more
",https://www.books.com.tw/products/0010861851?loc=P_0003_005
6,金庸的江湖師友：影視棋畫篇,蔣連根,2020-05-22,"
金庸作為一位劃時代的小說家，同時又是名報人、企業家、政論家，成名既早，對社會影響既深且廣，這樣的一位人物，必然相識滿天下。本篇集中介紹與金庸有密切關係的影視製作人、圍棋國手和著名畫家。故副題...more
",https://www.books.com.tw/products/0010858961?loc=P_0003_006
7,金庸家族,蔣連根,2020-05-22,"
本書介紹金庸的家族祖先與親屬。從金庸在清初的遠祖，到他的父祖輩、親兄弟姊妹、堂兄弟姊妹、表親，到三房妻子、四個子女。      《金庸的江湖師友——影視棋畫篇》(蔣連根「金庸學研究」系列香港繁體增訂...more
",https://www.books.com.tw/products/0010858965?loc=P_0003_007
8,緬懷泰斗‧擁抱鴻篇：細味金庸傳奇一生,"倪匡,明報出版社",2019-12-12,"
姑染刀光字行裏   但書俠氣天地間   《明報》創辦人、武俠小說泰斗查良鏞一生傳奇，筆下著有多部膾炙人口的武俠小說，例如《射鵰英雄傳》、《神鵰俠侶》、《倚天屠龍記》、《天龍八部》等，本書特意輯錄二...more
",https://www.books.com.tw/products/0010843505?loc=P_0003_008
9,沉思武俠立斜陽：感悟金庸小說,王偉雄,2019-12-12,"
哲學教授王偉雄是金庸小說迷，本書收錄了他討論金庸小說的五十篇文章。與一般金庸小說評論者不同，王教授在這些文章裏主要不是對小說人物作印象式評點，也不是深入分析小說情節，而是寫出他多年來閱讀金庸...more
",https://www.books.com.tw/products/0010844036?loc=P_0003_009
10,射鵰英雄傳 降龍十八掌 絕世功夫尺,遠流編輯部,2019-11-11,"
在金庸的武俠世界，一把令你功力大增的尺    【故事】   「降龍十八掌」，是金庸小說中最知名的武功之一，主要出自《射鵰英雄傳》和《天龍八部》，洪七公、郭靖、喬峯都是使「降龍十八掌」的高手。常有讀...more
",https://www.books.com.tw/products/0010838913?loc=P_0003_010
