,書名,作者,出版日期,內容介紹,網址
1,暮光之城套書(1~4集),史蒂芬妮．梅爾,2020-11-30,"
貝拉從繁華的鳳凰城搬到偏僻且陰雨不斷的福克斯，她原本認為往後的日子會很無聊，但當她遇上神祕又迷人的愛德華之後，生活開始變得刺激有趣，心也深深地被吸引。    到目前為止，愛德華一家人身為吸血鬼的...more
",https://www.books.com.tw/products/0010498867?loc=P_0003_001
2,海上繁花,匪我思存,2020-11-05,"
◣系列作品風靡超過千萬名讀者◥ 《東宮》《愛如繁星》作者 匪我思存 又一深情揪心力作!  ◣改編電視劇即將熱烈上映◥ 由知名演員《楚喬傳》竇驍、《慶餘年》李沁領銜主演 當當網超過99%讀者好評  上一次，他...more
",https://www.books.com.tw/products/0010874337?loc=P_0003_002
3,青銅騎士 II,寶琳娜‧西蒙斯,2020-06-30,"
愛情是，被人所愛，並還之以愛。   一本喚起初戀心動、酷烈真情的熱淚巨作    自出版起便受到全球讀者的熱烈歡迎，成為名符其實的當代歷史愛情小說經典。    ●Goodreads 網站逾三萬七千則★★★★★書評狂推!  ...more
",https://www.books.com.tw/products/0010861790?loc=P_0003_003
4,我一直都在(暢銷珍藏版),西西莉雅‧艾亨,2020-01-04,"
電影「真愛繞圈圈」原著小說 《PS, 我愛妳》、《最後的禮物》作者揪心浪漫力作! 作品全球暢銷2500萬冊，發行超過40個國家， GOODREADS近10萬讀者5顆星評價!  他愛她，她很愛他， 卻總是在誤會中錯過彼此……...more
",https://www.books.com.tw/products/0010838189?loc=P_0003_004
5,諜影罪愛(限),喬安娜‧柏恩,2019-11-12,"
間諜的世界裡，除了暗戰，還有無限的激情……   【浪漫諜戰歷史愛情小說天后】喬安娜‧柏恩   諜影重重中最令人沉迷的愛戀情仇強勢入心!   ‧AMAZON網路書店讀者4.5星絕讚口碑推薦!   ‧囊括All About Romance...more
",https://www.books.com.tw/products/0010812455?loc=P_0003_005
6,伯爵先生,E L詹姆絲,2019-08-08,"
全球熱銷破1.5億冊《格雷的五十道陰影》作者全新危險誘心力作! 情愛風暴再起!1秒賣出1本，美國首刷100萬冊， 一推出即空降英、德暢銷榜TOP1，迅速賣出13國版權， Goodreads超過1萬名讀者5顆星評價，影視計...more
",https://www.books.com.tw/products/0010829610?loc=P_0003_006
7,禁忌世代：I.邂逅【電影珍藏版】,安娜．陶德,2019-07-12,"
《禁忌世代：邂逅》原著小說 已翻拍成電影，7月12日Netflix上線!   《暮光之城》的痴狂愛戀!《格雷的五十道陰影》的極限情挑!《傲慢與偏見》的悸動時刻!   以英倫男孩天團「一世代」中最狂野不羈的Harry S...more
",https://www.books.com.tw/products/0010827814?loc=P_0003_007
8,青銅騎士,寶琳娜‧西蒙斯,2019-07-02,"
如此溫柔甜美、又如此心痛震撼，   從第一頁開始，愛意、希望和戰爭交織的網即將牢牢捕獲你……   自出版起便受到全球讀者的熱烈歡迎，成為名符其實的當代歷史愛情小說經典!   ●Goodreads 網站逾三萬四千則★...more
",https://www.books.com.tw/products/0010826594?loc=P_0003_008
9,藍眼惡棍,莉莎･克萊佩,2019-06-01,"
«空降《紐約時報》暢銷榜Top2! «作品被翻成超過20國語言，《浪漫時代》雜誌「終身成就獎」得主，愛情小說暢銷天后莉莎‧克萊佩最新浪漫鉅作 «Goodreads網站近1萬讀者盛讚，Amazon網路書店5顆星好評 佈局精...more
",https://www.books.com.tw/products/0010822071?loc=P_0003_009
10,後來的無盡缺憾,吉兒．聖托波羅,2019-06-01,"
妳是否和我一樣， 心中藏了一個不能說的人? 金獎影后瑞絲.薇絲朋指定選書、熱淚推薦! 橫跨一生悸動離合，最揪心的愛情書寫。 / 媲美《遇見你之前》及《真愛挑日子》的無常與生死抉擇， 改編電影進行中，由...more
",https://www.books.com.tw/products/0010822075?loc=P_0003_010
11,築夢天堂(限),茱迪．麥娜,2019-04-30,"
絶對浪漫╳絶對佔有 絶對致命╳絶對誘惑 AAR讀者票選——當代百大羅曼史!   他是出身印第安納的鋼鐵工人，她是上流階級的名門千金，多年前他們短暫且命運多舛的婚姻，如今再次帶來最危險，也是最甜蜜的戰爭!  ...more
",https://www.books.com.tw/products/0010820679?loc=P_0003_011
12,月曆美人 II(限),奧黛莉．卡蘭,2019-04-29,"
今晚一個人?那就讓本書給妳火辣辣的一晚!   【壞壞美女情愛天后】奧黛莉.卡蘭「月曆美人」系列挑逗上陣!   ‧AMAZON書店讀者4顆半星撩欲推薦!   ‧《月曆美人》電子書熱銷突破200萬套!   ‧榮登《紐約時報》...more
",https://www.books.com.tw/products/0010820024?loc=P_0003_012
13,瓊瑤經典作品全集 IV.故宮聯名花鳥工筆燙金限量典藏書盒套書(內含13冊),瓊瑤,2019-01-05,"
【瓊瑤經典作品全集 IV.故宮聯名花鳥工筆燙金限量典藏書盒版套書組】 跨世紀風靡華文世界愛情文學繆斯──瓊瑤 暢銷戲劇經典作品集，華麗復刻再現! ※個性強烈、愛恨分明的人物 ※劇情百轉千迴，對白耐人尋味 ...more
",https://www.books.com.tw/products/0010809684?loc=P_0003_013
14,靈影危戀,珍‧安‧克蘭茲,2018-10-31,"
面對現實吧，愛情本來就是非正常的存在!   【魔幻浪漫懸疑愛情小說女皇】珍‧安‧克蘭茲   人氣破表的「奧秘協會」魔力傑作再度登場!   ‧AMAZON網路書店讀者4.5星絕讚口碑推薦!   維多利亞時代的古董時鐘，...more
",https://www.books.com.tw/products/0010803019?loc=P_0003_014
15,王室任務,蘇珊妮‧柏克曼,2018-08-31,"
突擊隊特種兵vs.形象顧問名媛， 愛，將是他生命中最艱難的任務…… 【紐約時報和今日美國報暢銷作家】蘇珊妮‧柏克曼 最獨一無二的黑暗危險系列，將強勢挑戰妳的心弦! ●霍爾特獎年度最佳長篇現代小說 ●法蘭西...more
",https://www.books.com.tw/products/0010797336?loc=P_0003_015
16,暗戀任務,蘇珊妮‧柏克曼,2018-08-31,"
謀殺嫌疑犯vs.警方調查員，   愛情，總是來得措手不及，且不合時宜…   【紐約時報&今日美國報暢銷作家】蘇珊妮‧柏克曼   最誘惑女心的黑暗危險系列，將火熱引燃妳的悸動!   ●《浪漫時代》讀者票選「Silhou...more
",https://www.books.com.tw/products/0010797372?loc=P_0003_016
