,書名,作者,出版日期,內容介紹,網址
1,聶魯達回憶錄,聶魯達,2020-09-29,"
我不知道活到這把年紀了，這麼講是不是在說大話，我不會放棄繼續珍藏我見過、愛過的所有事物；珍藏我感受過、經歷過、爭取過的一切，這樣我才能繼續寫這一系列還沒完成的長詩，因為我將寫到生命的最後一刻...more
",https://www.books.com.tw/products/0010871119?loc=P_0003_001
2,嬉皮記,保羅．科爾賀,2020-09-22,"
這輩子，你愛夠了嗎?   「人生唯一的意義就是擺脫自己不需要的一切，在每一分鐘、每一次呼吸中找到喜悅。」   你有勇氣追求真正的自由嗎?   沒有這段旅程，就沒有日後的《牧羊少年奇幻之旅》。   ★紐約金...more
",https://www.books.com.tw/products/0010869867?loc=P_0003_002
3,馭光者3 破碎眼(上中下),布蘭特．威克斯,2020-08-05,"
亞馬遜書店讀者書評4.7星推薦，人生必讀奇幻小說! 英雄墜入谷底，然後呢?   「無人能如布蘭特.威克斯般，完美駕馭刺激驚人的劇情大逆轉。」——《火藥法師》暢銷作家 布萊恩.麥克雷倫   這是個因光而繁榮、...more
",https://www.books.com.tw/products/0010865424?loc=P_0003_003
4,枯枝敗葉,加布列．賈西亞．馬奎斯,2020-07-06,"
《百年孤寂》前傳! 馬奎斯步入世界文壇的驚人起手式!   馬奎斯：從開始寫《枯枝敗葉》的那一刻開始，我瞭解到自己想成為作家，沒有人能阻止我，我唯一剩下能做的，就是嘗試成為全世界最好的作家!   首度正...more
",https://www.books.com.tw/products/0010862324?loc=P_0003_004
5,食人輓歌,奧古斯蒂娜．巴斯特里卡,2020-01-15,"
拉丁美洲西班牙語創作最高榮譽號角小說獎2017年得主 淡江大學西語系、拉丁美洲研究所教授陳小雀導讀   在這個吃人合法的世界裡，   我要使我的肉吃起來很苦，   不讓任何人享受我的死亡。    這是一個動物...more
",https://www.books.com.tw/products/0010846550?loc=P_0003_005
6,沒有人寫信給上校,加布列‧賈西亞‧馬奎斯,2019-12-30,"
馬奎斯：我寫《百年孤寂》的原因，   是為了讓大家看見《沒有人寫信給上校》!   20世紀小說中最難忘的人物!   所有文學作品中最完美的結局!   改編拍成電影，榮獲坎城影展金棕櫚獎提名!   首度正式授權   ...more
",https://www.books.com.tw/products/0010844124?loc=P_0003_006
7,牧羊少年奇幻之旅【繪圖本】(博客來獨家精裝版),保羅．科爾賀,2019-08-06,"
有史以來，被翻譯成最多種語言的書! 名列金氏世界紀錄 博客來獨家精裝版。  「當你真心渴望某樣東西時，整個宇宙都會聯合起來幫助你完成。」 勇敢去追尋等待著你的寶藏。   《牧羊少年奇幻之旅》以古老寓...more
",https://www.books.com.tw/products/0010829518?loc=P_0003_007
8,愛在瘟疫蔓延時【典藏紀念版】人類有史以來最偉大的愛情小說!馬奎斯：寫完這本書，我整個人像被掏空了一樣!,加布列‧賈西亞‧馬奎斯,2019-08-05,"
馬奎斯：有兩本書我寫完後整個人好像被掏空了一樣， 一本是《百年孤寂》，另一本就是《愛在瘟疫蔓延時》!   紐約時報：人類有史以來最偉大的愛情小說!   根據西班牙文版全新翻譯!   改編拍成電影，由影帝...more
",https://www.books.com.tw/products/0010829723?loc=P_0003_008
9,愛與戰爭的日日夜夜,愛德華多•加萊亞諾,2019-05-04,"
我們這時代的「最強大腦」，最用功的讀書人， 二十多年閲讀長河中，淘金之金粒篩選下來的精華書單。 ——書癮PLUS—— 童偉格‧房慧真 聯合選書 駱以軍 特別推薦 首波強打：《愛與戰爭的日日夜夜》 房慧真 選書...more
",https://www.books.com.tw/products/0010819374?loc=P_0003_009
10,預知死亡紀事：馬奎斯自認最傑出的作品，首度正式授權繁體中文版!【典藏紀念版】,加布列‧賈西亞‧馬奎斯,2019-01-02,"
馬奎斯：這本書我足足寫了30年! 這是我最傑出的作品!   完成馬奎斯創作系譜最完美的傑作!   義大利導演大師法蘭西斯柯.羅西改編拍成同名電影!   首度正式授權   繁體中文版   如果有一種邪惡足以招致死亡...more
",https://www.books.com.tw/products/0010809621?loc=P_0003_010
11,德國女孩,阿曼多・盧卡斯・科雷亞,2018-11-30,"
九百多名來自德國的猶太難民，1939年納粹清算前夕，   期許開往無反猶狂潮古巴的聖路易斯號帶來希望，   最後卻被迫與家人分別流亡各地，   開啟流浪大西洋的難民悲劇。   打從出生起，我們這群不純潔之人...more
",https://www.books.com.tw/products/0010806967?loc=P_0003_011
12,關於愛與其他的惡魔,加布列‧賈西亞‧馬奎斯,2018-07-09,"
馬奎斯最後的長篇小說作品 首度授權繁體中文版! 與《百年孤寂》、《愛在瘟疫蔓延時》並列馬奎斯最受歡迎的三大長篇巨作! 已改編拍成電影《馬奎斯之愛與群魔》!   在一場驅魔儀式前夕，卡耶塔諾‧德勞拉神父...more
",https://www.books.com.tw/products/0010791480?loc=P_0003_012
13,百年孤寂：首度正式授權繁體中文版!出版50週年紀念全新譯本【平裝典藏版】,加布列‧賈西亞‧馬奎斯,2018-02-05,"
諾貝爾文學獎大師最膾炙人口的代表作! 出版50週年，首度正式授權繁體中文版，全新翻譯!   ●魯西迪譽為過去50年來所有語言中最偉大的傑作!   ●聶魯達盛讚《唐吉訶德》之後最偉大的西班牙文作品!   ●全球銷...more
",https://www.books.com.tw/products/0010778418?loc=P_0003_013
14,女間諜的告白,保羅‧科爾賀,2017-10-24,"
《牧羊少年奇幻之旅》《外遇的女人》 全球最受喜愛作家──保羅.科爾賀最新力作， 將歷史上最神祕的女性搬上舞台。   全書以第一人稱及書信形式，巧妙地將一戰期間歐洲傳奇女間諜──瑪塔.哈莉的曲折人生，透...more
",https://www.books.com.tw/products/0010767691?loc=P_0003_014
15,聽見墜落之聲,胡安‧加百列‧瓦斯奎茲,2017-10-03,"
我書寫讓我倉皇的事物，我書寫不可知裡的難以預料。 這是馬奎斯沒能來得及寫的國度， 無所不能的毒梟、不可能的動物園、荒誕的人生， 人們讚嘆的魔幻寫實，在這裡，其實是現實。   ★馬奎斯世代之後，讓世...more
",https://www.books.com.tw/products/0010766020?loc=P_0003_015
16,沉默的情人,拉斐爾．蒙特斯,2017-04-29,"
「乖。先好好睡一覺，等妳醒來時，我們已經在美好的旅程中了。」 語畢，泰奧將行李箱拉鍊拉上。 當然，他沒忘記留個縫隙給克萊瑞絲呼吸。 知名作家、精神科醫師 王浩威|知名小說家 王聰威 推理評論人 冬陽...more
",https://www.books.com.tw/products/0010750367?loc=P_0003_016
17,阿爾瑪與日本情人,伊莎貝‧阿言德,2016-11-05,"
人稱穿裙子的馬奎斯!當代西語作家第一人 暢銷經典《精靈之屋》、《春膳》作者阿言德又一暢銷大作 紐約時報、USA Today、明鏡週刊暢銷書 作品被譯成35種語言，全球累計銷量6500萬冊   我們在一起只為了相愛...more
",https://www.books.com.tw/products/0010733651?loc=P_0003_017
18,革命前夕的摩托車之旅(大塊20週年經典紀念版),切．格瓦拉,2016-11-01,"
拉丁美洲革命英雄切.格瓦拉，出生於阿根廷一個中產家庭，大學時攻讀醫學系，準備將來濟世救人。而他同時也喜愛文學、足球與旅行。   1951到52這一年，他24歲，與一位學長兼友人阿爾貝托一同騎著摩托車，做...more
",https://www.books.com.tw/products/0010277919?loc=P_0003_018
19,艾瑪的記憶之書,艾瑪．雷耶斯,2016-08-01,"
*《百年孤寂》作者馬奎斯盛讚馬奎斯盛讚，拉丁美洲文學傑作!   *傳奇畫家艾瑪.雷耶斯自傳式小說!   *帶你走進魔幻寫實的故事中，讓你捨不得掩卷!   今天中午12點，戴高樂將軍離開香榭麗舍，他唯一帶走的行...more
",https://www.books.com.tw/products/0010723057?loc=P_0003_019
20,父親的靈魂在雨中飄升,帕德里西歐．普隆,2015-09-22,"
他們一直在謀殺年輕人。這是我對父親做出的調查報告   西語文壇新希望，帕德里西歐.普隆，震撼國際代表作   吳念真、楊照、駱以軍、戴立忍、胡淑雯、張鐵志、楊雅喆 鐵桿好評一致推薦   淡江大學外語學院...more
",https://www.books.com.tw/products/0010689200?loc=P_0003_020
21,外遇的女人,保羅．科爾賀,2015-09-01,"
「每當夜晚來臨，我就說謊――」 意外激情旅程過後，更深刻體會愛的啟示   《牧羊少年奇幻之旅》作者───保羅.科爾賀   全球暢銷新作   ★韓國、德國、義大利及歐洲，上市空降暢銷榜冠軍NO.1   稱霸四十餘國排...more
",https://www.books.com.tw/products/0010687010?loc=P_0003_021
22,人人都是說謊家,阿爾維托．曼古埃爾,2015-01-01,"
在一個徹底被謊言統御的世界裡，要如何找到真相?     一位法國記者在查訪一九七○年代，莫名死於馬德里，友人陽台下人行道上的阿根廷作家，阿勒詹多.貝瓦雷夸的案子時，答覆了這個問題。少數認識作家的人士...more
",https://www.books.com.tw/products/0010660620?loc=P_0003_022
23,朝聖：25週年紀念版,保羅．科爾賀,2013-06-17,"
本書是暢銷大作家保羅.科爾賀第一本著作   作家將千里行旅的神聖體驗化作故事，   隔年寫出名作《牧羊少年奇幻之旅》   二十五年以來，《朝聖》一直被視為是牧羊少年故事的續篇，其實是作者豐饒著作的起源...more
",https://www.books.com.tw/products/0010589262?loc=P_0003_023
24,阿卡拉先師古抄本 (書盒版),保羅．科爾賀,2013-06-17,"
《牧羊少年奇幻之旅》作者2013年全新力作   台灣版獨家收錄_保羅.科爾賀_親筆題字扉頁   謹獻台灣書迷，精裝書盒典藏   空降《紐約時報》暢銷榜亞軍，德國熱銷突破十萬冊   本書以十字軍東征時期的耶路撒...more
",https://www.books.com.tw/products/0010589450?loc=P_0003_024
25,聶魯達的情人,羅伯特．安布埃羅,2012-04-11,"
動盪不安的政局中，詩人聶魯達多年來的祕密，全寄於一位謎樣般的女子。   適逢兵荒馬亂的智利政變前夕，偵探卡耶塔諾臨危受命，   來回奔走於中南美各國，一切只為了幫詩人找尋那最後的答案.……。   西語暢...more
",https://www.books.com.tw/products/0010538501?loc=P_0003_025
