,書名,作者,出版日期,內容介紹,網址
1,我們不在咖啡館：作家的故事，第一手臺灣藝文觀察報導,陳宛茜,2020-11-04,"
我們不在咖啡館，在故事裡   作家的故事   是大時代冷暖悲歡的故事   更是映照我們這一代人的故事   梭織長達六十年的臺灣藝文風雲及文化江湖   第一手的近身觀察、第一線的深度採訪   那些典型、那些傳奇...more
",https://www.books.com.tw/products/0010874383?loc=P_0003_001
2,烽火重生之歌：柬埔寨30年扶貧記事,楊蔚齡,2020-09-21,"
她放棄舒適的環境、穩定的生活、令人稱羨的工作， 遠赴這個戰火摧殘，百廢待舉的國度，一投入就是三十年……    1993年，柬埔寨結束了二十多年的內亂，走向和平，在聯合國協助下，展開了第一次的民主選舉，...more
",https://www.books.com.tw/products/0010869948?loc=P_0003_002
3,寶島暖實力：在臺灣真切活著的36顆心,陳德愉,2020-08-14,"
每一個堅毅的靈魂 都是撐起臺灣的重要存在   「她以細緻有情的視角，真誠呈現每個人物的生命歷程。他們的故事，也是你我的故事，孕育臺灣豐沛的生命力。」——鄭麗君 前文化部長   「用最溫柔的文字，將那些...more
",https://www.books.com.tw/products/0010867237?loc=P_0003_003
4,返家：湖北武漢受困台灣人封城逃疫記,尼克等,2020-05-05,"
第一手武漢疫情封城防疫現場紀錄 湖北自我隔離70天，台灣集中隔離14天的心情寫照 獨家曝光台灣集中隔離所布置與管理日常   逃離疫境!一次翻山小路逃不出鄂冏的驚奇與失望。   那些被禁足的日日夜夜，與道...more
",https://www.books.com.tw/products/0010855694?loc=P_0003_004
5,武漢封城日記,郭晶,2020-03-31,"
一座大城市，就這樣突然靜了下來。 它什麼時候再醒過來呢? 城市，被封鎖了。人的聲音，不見了。   ★ 微博首發191萬閱讀次，轉發近5千次，7百餘則留言，1萬多人按讚。   ★ 英國《BBC新聞》精選轉載。   ★ ...more
",https://www.books.com.tw/products/0010852814?loc=P_0003_005
6,無花果：四川被販賣的農村婦女口述史,周浙平,2020-02-21,"
「結婚，她們四川上咱們這裡，就用不著結婚，四川就沒有她名字了，基本上就算結婚了。」   本書紀錄的是一九八〇年代年代至二十一世紀初，在涉及南北方十數省販賣婦女事件中，口述者們親歷深陷歧途的遭遇...more
",https://www.books.com.tw/products/0010850522?loc=P_0003_006
7,香港美事,林建岳,2020-01-24,"
《香港美事》輯錄林建岳博士2015年12月至2019年3月在報章撰寫的專欄文章，內容豐瞻，包括五大類：旅遊盛事、文創產業、美食天堂、影視娛樂、經濟之都。   綜覽全書，有四個突出特點：   一是美事連連 紀錄...more
",https://www.books.com.tw/products/0010847942?loc=P_0003_007
8,台灣冤案實錄：深冤,江元慶,2020-01-17,"
這52案、63人被冤，獲得國家「認證」、   全民付出近三千萬元賠償。   當正義被囚禁，甚至遭處決，   檢察官、法官與惡，已無距離!...more
",https://www.books.com.tw/products/0010847874?loc=P_0003_008
9,地下寫作和秘密閱讀,林賢治,2020-01-10,"
古代中國秦始皇「焚書坑儒」、中世紀羅馬教廷編製的《禁書目錄》、近代德國納粹的焚書儀式，無不揭示了自由寫作和閱讀是得來不易的。寫作史、閱讀史、出版史，是文化史中的重要組成部分。書籍的命運，無疑...more
",https://www.books.com.tw/products/0010846283?loc=P_0003_009
10,潮汐 2019年第九屆全球華文文學星雲獎：報導文學得獎作品集,"古雯,尹雯慧,許裕全",2019-12-27,"
本書為2019 年第九屆全球華文文學星雲獎報導文學得獎作品集，以「潮汐」為名，取自叁獎作品中的主意象。   首獎〈找尋埋伏在高雄地下的幽魂〉，頗得新新聞寫作的精髓，大量採訪消防員，從對話與場面中交織...more
",https://www.books.com.tw/products/0010845217?loc=P_0003_010
11,中國橋：港珠澳大橋圓夢之路,曾平標,2019-11-22,"
長篇紀實文學《中國橋――港珠澳大橋圓夢之路》描述了從20世紀80年代初發軔到2018年夢想成真，港珠澳大橋的緣起、立項、論證、環評、施工的過程，對這座涉及一個經濟特區和兩個特別行政區的超級工程進行了全...more
",https://www.books.com.tw/products/0010840912?loc=P_0003_011
12,"Wittgenstein, A One-way Ticket, and Other Unforeseen Benefits of Studying Chinese",Perry Link,2019-11-01,"
…. to imagine a language means to imagine a form of life.––Ludwig Wittgenstein(Philosophical Investigation, 1953)   What......more
",https://www.books.com.tw/products/0010870235?loc=P_0003_012
13,做伙走台步：疼入心肝的24堂台語課,中央社「文化+」採訪團隊,2019-10-16,"
從向前走到島嶼天光 從心事誰人知到眾神護台灣 24堂深情眷戀的台語課 24篇從泥土地長出來的動人故事   語言，是文化，是生活，也是養分   當台語成為伸展台上的主角   文雅多彩，風情萬種，翻轉出曼妙舞姿...more
",https://www.books.com.tw/products/0010836712?loc=P_0003_013
14,菸語憶像(雙封面隨機出貨),"張凱清,蔡依璇,陳柏政",2019-10-01,"
煙草公賣制於2017年結束，開啟一場多元的菸業跨時代對話。   《菸語憶像》一共收錄十五位人物專訪，保存每一段珍貴的口述歷史，拾起被世人遺忘的細節。帶領讀者探索臺灣菸業的源起、興盛與沒落。用最真實...more
",https://www.books.com.tw/products/0010837355?loc=P_0003_014
15,磺溪文學第27輯彰化縣作家作品集：鹿港那些人與事,丁志達,2019-10-01,"
作者父親為鹿港知名人士丁玉書先生，素有「鹿港活字典」美稱，博學多聞。此書內容包羅萬象，題材廣泛。作者採取平鋪直敘的方式，樸實的語言，一五一十地記錄所知所見所聞，以鹿港為描寫的焦點，配上珍貴老...more
",https://www.books.com.tw/products/0010844400?loc=P_0003_015
16,監獄裡的母親們,潘丁菡,2019-10-01,"
◎本書獲選「二○一八年台積電青年築夢計畫」，在一連串的採訪寫作與出版計畫中，看見青年學子對文學的熱情以及對生命的關懷。   ◎多次採訪故事主人翁後，以紀實小說的手法，反映出現代監獄的實況；真實記錄...more
",https://www.books.com.tw/products/0010835764?loc=P_0003_016
17,用頭帶背起一座座山：嚮導背工與巡山員的故事,沙力浪,2019-09-27,"
看著祖先走過的路，他們用背簍、背架，在這個空間活出自己的生活。 用頭帶背著歷史，傳承，也背著夢想……，回到自己的家，說出自己的故事。   二○○○年，作者第一次被帶到山林祖居地時，祖居地對他來說還是...more
",https://www.books.com.tw/products/0010833638?loc=P_0003_017
18,人類學活在我的眼睛與血管裡：從柬埔寨到中國，從「這裡」到「那裡」，一位人類學者的生命移動紀事,劉紹華,2019-09-17,"
人類學於我，是一種生命眼光，遠勝於一類學術語言。但我對人類學精髓的衷心體悟，是在柬埔寨開花，「後柬埔寨時期」才陸續結果，《柬埔寨旅人》與《我的涼山兄弟》都是受惠於柬埔寨移動經驗的花果。從柬埔...more
",https://www.books.com.tw/products/0010833123?loc=P_0003_018
19,品嘗的科學：普立茲獎得主的滋味探源之旅,約翰．麥奎德,2019-07-31,"
普立茲獎、國際專業烹飪協會大獎得主 約翰‧麥奎德 經典之作   嗅覺是向外探索世界的感官，   味覺是食物進入身體的守門者，   品嘗是人體最為獨特的感官能力，   我們每個人都活在自己的味道世界裡，   關...more
",https://www.books.com.tw/products/0010828835?loc=P_0003_019
20,風塵天涯路,張天國,2019-07-05,"
本書是作者張天國的第五部報導文學集，收錄了26篇文章，主要記錄了中國中鐵十七局集團四公司下的各項國家建設項目的真實現場紀錄，這些紀錄包括了公司執行董事，王應權在工作中如何兌現與職工共享企業發展...more
",https://www.books.com.tw/products/0010827603?loc=P_0003_020
21,跟著球評看世足：骨灰粉都不一定知道的足球史,駱明,2019-03-29,"
本書的內容由一群熱情、專業的體育賽事記者、編輯、評審等撰稿，分別收錄了許多足球評論，提供專業見解的各式文章精選，第一個章節分享70個德國、阿根廷、荷蘭、巴西、英格蘭、西班牙、義大利、法國等地的...more
",https://www.books.com.tw/products/0010818240?loc=P_0003_021
22,守望紅樹林,"周浩郎,路迪",2019-03-01,"
《守望紅樹林》以報告文學的形式，介紹了「海洋衛士」紅樹林的歷史與現狀，講述了中國各級政府對保護紅樹林所付出的努力，以生動的故事講述北海自上到下對紅樹林觀念的轉變：由隨意破壞到自覺保護。...more
",https://www.books.com.tw/products/0010838018?loc=P_0003_022
23,吃便當：人生解決不了的煩惱，就一口一口吃掉吧!,鄭進耀,2019-02-01,"
我們在別人的便當裡 看見生活的模樣 與他們對人生卑微的願望   ▍他是作家萬金油，也是「人物記者鄭進耀」，個人採訪選集初登場   粉絲敲碗苦等!最受期待的《鏡週刊》人物故事專欄「吃便當」終於熱騰騰上桌...more
",https://www.books.com.tw/products/0010812451?loc=P_0003_023
24,文化與創意,陸新之,2019-02-01,"
你一定很少看書了，因為累；雜誌也懶得看了，因為忙。   但你依然在看臉和讀：早起的枕畔，浴室裡面，午飯後的瞌睡間歇，臨睡前的掙扎，你不時點開的手機螢幕上……   我們不能給你閱讀的理由，但我們知道，...more
",https://www.books.com.tw/products/0010813723?loc=P_0003_024
25,現場：走過傷痕、愛與和解的人生日記,陳德愉,2018-12-27,"
人物，不是獵物 紙上台灣念真情!   謝金魚、黑嘉嘉、羅錦龍、蕭宇辰、鄭文堂、陳昌源、余秀華、鄭智偉 等26位，光環沒照到的人生故事。   每一家都有每一家的故事，我數一數，應該去過幾千戶人家，見過上...more
",https://www.books.com.tw/products/0010809275?loc=P_0003_025
26,中山堂視野：說不盡的臺北故事,黃國琴,2018-12-26,"
見證過無數歷史的流轉，承載著大時代的過往，同時也保存了許多庶民記憶的「臺北中山堂」，至今已八十多歲了。   由中山堂《節目手冊》中的「典藏中山堂」和「中山堂之美」兩個專欄結集成冊，在每位作者回...more
",https://www.books.com.tw/products/0010809469?loc=P_0003_026
27,護火：全球華文文學星雲獎報導文學得獎作品集(五),"乜寇‧索克魯曼,李展平,陳芸英",2018-12-05,"
現在，我要呈現的文學是絕對真實的，   我將在現場以第一手觀點述說你不知道，而我渴望你知道的事實。   第八屆「全球華文文學星雲獎」報導文學得獎作品集，收錄首獎、貳獎、叁獎各一篇，均由作者實地探訪...more
",https://www.books.com.tw/products/0010806759?loc=P_0003_027
28,大漢溪紀行：大漢溪桃園流域的人文生態與地景錄,陳銘磻,2018-11-01,"
以淡水河系大漢溪的源頭新竹縣尖石鄉大霸尖山與品田山下的塔克金溪、薩克亞金溪、馬里科灣溪，沿大漢溪流域，紀錄臺灣北部，這條滋養幾百萬人生命的大河，歷史、環境、人文的發展；以及沿線桃園市復興區、...more
",https://www.books.com.tw/products/0010802529?loc=P_0003_028
29,嘗僑居是山 ：一個新華社記者的香港筆記,張修智,2018-10-26,"
本書作者張修智是一位新華社資深記者。   他的香港筆記，源自他被派駐香港的三年半期間對香港社會的近距離觀察：寫人物、記風貌、評兩地，詳述法治與自由庇護下的香港的可貴之處。   身為讀書人，他看到「...more
",https://www.books.com.tw/products/0010802998?loc=P_0003_029
30,曲水回眸：小思訪談錄(上)(第二版),香港中文大學香港文學研究中心,2018-07-16,"
小思是香港文學口述歷史計劃的發起人，給她訪問過的人多不勝數，但以小思為主要的受訪對象，與她詳談和香港一起的成長故事倒是第一次。本書以「文化人眼中的香港」為主題，輯錄各代文化人，包括楊鍾基、陳...more
",https://www.books.com.tw/products/0010839829?loc=P_0003_030
