,書名,作者,出版日期,內容介紹,網址
1,世界之心看歐洲,滿謙法師,2020-11-10,"
站在巨人的肩膀 學習以「世界之心」觀宇宙 在穿梭古今思想的經緯上 看似行腳歐洲 也是雲遊法界    什麼?!   瑞士總統搭公車?   吃素一天的城市?   德國的警犬要學英語?   跳框出充滿浪滿色彩的朦朧形象， ...more
",https://www.books.com.tw/products/0010874369?loc=P_0003_001
2,以猶未盡：不斷重新認識自己，誠實面對自己的渺小,波阿斯（Boaz）,2020-10-30,"
美商CEO+以色列流浪旅人=波阿斯Boaz   背包客旅程，如同經歷一場人生的縮影，   旅途中遇見的人事物，就像過去所經歷的；將來要遇見的。    一趟不在計劃中的遠行，意外地使他重拾單純的生命。    人氣社...more
",https://www.books.com.tw/products/0010874698?loc=P_0003_002
3,日和見閒話(2版),李長聲,2020-10-28,"
｢日和見｣，本義是看天，即看天氣的好壞。 有這類套話很方便寒暄，避免了相視一笑或者被問及行蹤的尷尬。   作者由長春遊走至千葉，今天為人以知日學者傳誦捧讀，然而筆下從沒有背離筆記風情，幾至打造成李...more
",https://www.books.com.tw/products/0010874214?loc=P_0003_003
4,歐遊雜記(2版),朱自清,2020-10-28,"
乘坐剛朵拉穿梭在威尼斯的小河道中； 卡拉卡拉浴場的圓拱門，走進去覺得穩穩的； 歐洲的「美」和「真」在文壇大師朱自清的筆下動了起來。 歐洲的「景」是一種大自然和歷史的痕跡，它所展現的是對物、對人...more
",https://www.books.com.tw/products/0010874217?loc=P_0003_004
5,倫敦雜記(2版),朱自清,2020-10-28,"
詩籍鋪真是米米小，在一個大地方的一道小街上； 國家畫院匹對著特拉伐加方場一百八十四英尺高的納爾遜石柱子； 倫敦乞丐在路旁畫畫的多，寫字的卻少。 倫敦的「景」除了相貌優雅，一半是具有歷史輝煌的文...more
",https://www.books.com.tw/products/0010874220?loc=P_0003_005
6,一個人的無謀小旅行,米果,2020-10-26,"
我想念一個人出國旅行的那個自己，非常非常想念。 你也想念日本了嗎?懷念那些說出發就出發的日子。 想念東京乾燥的空氣，帶著迷人透明度的藍天， 在路邊販賣機買的BOSS咖啡，甚至是曾經覺得吵的烏鴉啼聲。...more
",https://www.books.com.tw/products/0010873572?loc=P_0003_006
7,非比尋常：北非、加勒比海,王秋今,2020-10-15,"
北「非」、加勒「比」海，以及清大「尋常」日子，交織出非比尋常的傳染力!   ◎跨國文化視野，藉由旅行書寫自己的真實體會和環保意識，並傳達多元思考。   ◎以三毛的思想文字貫串全書，效法三毛將快樂當作...more
",https://www.books.com.tw/products/0010872498?loc=P_0003_007
8,留下來生活,謎卡 Mika Lin,2020-09-12,"
遙遠的一切竟如此熟悉。    to每一位仍在路途中、思索離去或遠行在即的人。    這次，我不再將離開視為宿命，   我會留下來，用不疾不徐的愛，一起經過一頁又一頁的時光。    在亡靈節裡悼念情感、在賴索...more
",https://www.books.com.tw/products/0010869324?loc=P_0003_008
9,遙遠的公路,舒國治,2020-08-05,"
長榮寰宇文學獎首獎作，舒國治散文名篇，終於等到集結出版。   「他寫的都不是什麼了不起的大事，但總能自辛苦不便的旅途中蒸餾出不凡的意境，從微不足道的雜物中道出個所以然。尤其是一些名不見經傳的小...more
",https://www.books.com.tw/products/0010865891?loc=P_0003_009
10,北疆傳說：那年以來馬祖的美麗與哀愁,張麗霜,2020-07-17,"
是一本遊記，散文集，攝影集， 似戲劇，亦如電影。   金馬駐島作家張麗霜最新作品，它是所有想了解馬祖，去馬祖旅遊前必讀、必看的一本書。    作者張麗霜扮演獵奇探查的研究者行走馬祖離島，以貼近真實的...more
",https://www.books.com.tw/products/0010864885?loc=P_0003_010
11,地緣日本,盧峯,2020-06-18,"
位於九州最南方的鹿兒島縣，今天出名的是黑豬與溫泉，其實更有名的，是推翻幕府封建的反革命分子根據地；    橫濱海港已然成為今天日本的重要生活圈，在明治時期卻是美日角力的主要舞台；    本州西部廣島...more
",https://www.books.com.tw/products/0010861642?loc=P_0003_011
12,客居小唱,湘月,2020-06-01,"
作者近三十年客居異國、小住他鄉的生活故事，一本完全不同以往的深度旅遊記事文學。    ◎作者筆下娓娓道出的歐遊記事，讓讀者彷彿跨越時空，走進充滿藝術氣息的歐洲。   ◎小住巴黎半年，從品嘗乳牛的「甲...more
",https://www.books.com.tw/products/0010858002?loc=P_0003_012
13,3500公里的相遇：一個女孩的朝聖之路,鴨寶,2020-05-28,"
1個女孩、4個月、5個國家， 每天出發朝地圖上那一點走去， 就像即將拜訪一位陌生的朋友。 移動只為了相遇，Buen Camino !    「這條橫跨5個國家/地區的長途路線，行程超過4000公里，觸及15個聯合國教科文...more
",https://www.books.com.tw/products/0010858441?loc=P_0003_013
14,尋找天堂：十年前後的人生蛻變,Ginson Leung,2020-05-25,"
歲月如梭，人生如旅。十年前後，蛻變新生。 一個以「天堂」掛帥的實驗之旅   作者Ginson 用上兩年時間、跑了N 個十萬八千里，在地球村內從東走至西、由南奔至北，為的是要公告天下：   ① 每天把夢想逐一實...more
",https://www.books.com.tw/products/0010865901?loc=P_0003_014
15,布拉格廣場沒有許願池,"吳沚默,夏雪",2020-05-11,"
沒有男人的旅人，與丟在布拉格的靈魂── 送給心懷夢想的你，但願我們永遠是敢於離家出走的少年。   ▍布拉格廣場沒有許願池，就做彼此一生的樹洞   ▍一本誕生在旅途間，關於出走，關於夢想、友誼的成長書寫 ...more
",https://www.books.com.tw/products/0010857379?loc=P_0003_015
16,云與樵：獵影伊比利半島,蘇偉貞,2020-04-06,"
童年童語的旅行約定， 晶片紋織的一個名字一個城市，高弟、巴塞隆納， 十年後，以楚浮電影《夏日之戀》鏡頭開展……    一封西班牙的來信，串啟伊比利半島獵影，   里斯本與巴塞隆納，伊比利半島東西雙城，...more
",https://www.books.com.tw/products/0010853706?loc=P_0003_016
17,追日逐光(陳郁如的旅行風景2),"謝博明Robert Schafer,陳郁如",2020-03-31,"
走入荒蕪原始的北美大陸 從宛如神話傳說的兩大天文奇景中 體驗虛實交構的人生風景 華文奇幻女王、年度暢銷作家陳郁如的壯遊鉅作， 繼《修煉》、【仙靈傳奇】後，旅行散文系列最新作品    在缺乏科學實證的...more
",https://www.books.com.tw/products/0010853243?loc=P_0003_017
18,狀元地,"李基興,李家棟",2020-02-27,"
近代綠島的話語權，一直由外人所構建──「監獄」、「白色恐怖」、「觀光勝地」、「海底溫泉」，不是刻板的政治意向，就是浪漫多情的島國遐想。綠島真實的歷史、常民生活都被遮蔽在那些強烈而清晰的外來符號...more
",https://www.books.com.tw/products/0010849373?loc=P_0003_018
19,繪夢烏石：山海、平原與族群的交會之境，頭圍歷史寫生,馬丁,2020-02-21,"
知名插畫家「鉛筆馬丁」，以深情的文字與圖畫穿梭古今，娓娓勾勒深藏於內心，那個遺世樸真的美麗故鄉!   頭城是漢人在蘭陽平原第一個建立的開墾據點，亦是臺灣東部開發的起始點，因此又稱「頭圍」，當時是...more
",https://www.books.com.tw/products/0010849729?loc=P_0003_019
20,旅行之閱 閱讀之美,顧曉光,2020-01-21,"
這是一本關於閱讀的攝影隨筆集，是作者在十年旅行50多個國家和地區後，對閱讀和旅行的所見、所思和所悟。本書遴選的100餘張照片來自亞、非、美、歐四大洲50個國家和地區，閱讀者不分長幼、男女、階層；閱...more
",https://www.books.com.tw/products/0010847999?loc=P_0003_020
21,不只是旅行,黃麗穗,2020-01-01,"
旅行是唯一一件，剛開始讓你變窮 但真正實行之後，卻讓你變得富有的事 旅行的無限可能，帶我邂逅、認識了不同年齡的自己   ★ 第十三屆《講義雜誌》年度最佳旅遊文學作家黃麗穗，再度透過不間斷的行旅，品...more
",https://www.books.com.tw/products/0010843708?loc=P_0003_021
22,微塵記,何逸琪,2019-12-20,"
從神界到人間   從人情到史冊   何逸琪脫台入印太入亞歐   用塵世的腳步   丈量人與神祕的世界   Salamalaikom。她喜出望外，以結巴不熟練的華語：「妳是穆斯林?有清真寺?」「沒有。以後有機會，我們去臺...more
",https://www.books.com.tw/products/0010843805?loc=P_0003_022
23,情味香港,楊明,2019-12-19,"
小小香港，如何收納大半個世界?   你知道香港的「西多士」就是台灣說的「法國土司」嗎?台灣人颱風天裹腹的泡麵，卻能堂而皇之列入香港餐廳的菜單?香港的雲吞跟台灣的餛飩有何不同?高樓林立充滿都會感的香...more
",https://www.books.com.tw/products/0010843178?loc=P_0003_023
24,穿越撒哈拉：流浪，走向風沙未竟之地,謝哲青,2019-12-09,"
流浪，是將自己的寂寞，   寫成動詞。   一段最捨不得想起的遠行，一個跳躍舒適圈的衝擊。   一次人生行旅的驀然回首，一場與過往記憶的總決算。   當空虛的心靈，乍見廣漠的震撼，   再微薄、渺小的希望...more
",https://www.books.com.tw/products/0010841952?loc=P_0003_024
25,找出路：勤美學尋找快樂生活的配方,林保寶,2019-12-04,"
落寞的老樂園如何翻轉成為一夜難求的夢幻仙境， 甚至一開幕就掀起台灣狂熱的露營潮 勤美學，它是如何辦到的?   「荒廢的老樂園，有某種生命體要出現了，我被召喚來這邊，」藝術家陳建智說。   什麼是勤美...more
",https://www.books.com.tw/products/0010841532?loc=P_0003_025
26,洛卡：其實我們，一直都在路上,LOCA,2019-12-03,"
長腳背包客LOCA的旅遊傳奇 三年海外流浪，足跡遍六大洲四十餘國 「人生就是一場旅行，其實我們，一直都在路上。」   作家詹宏志曾在著作《旅行與讀書》中說，他不愛「旅行計劃」，也不喜歡「安全旅行」，...more
",https://www.books.com.tw/products/0010840747?loc=P_0003_026
27,親愛的!我回地球一下：身為地球人，不能等到下輩子的世界浪學,買買氏,2019-12-02,"
這個死小孩跑到那個隨時劍拔弩張的地方幹嘛!—— 導演 吳念真   在飛彈當頭的以色列農場賣命、和遊牧民族貝都因人深入大漠……   作者 買買氏，   四百天、四萬公里，最衝擊的地球居遊，   旅遊書上沒有的異境...more
",https://www.books.com.tw/products/0010841864?loc=P_0003_027
28,戀戀愛爾蘭,莊坤良,2019-11-20,"
本書內容多元，有愛爾蘭文學、文化、宗教、政治觀察的散文，也有文學作品賞析的小品文，更有多篇針對經典作家喬伊斯的深度論文。透過這些文章，讀者除了可體會到英國殖民統治愛爾蘭八百年的歷史經驗，和了...more
",https://www.books.com.tw/products/0010838730?loc=P_0003_028
29,東京二見鍾情：明太子小姐の東京生活手帳2,明太子小姐,2019-10-28,"
走過小春日和，看遍冬櫻吹雪，   與東京，再談一次戀愛!   三十歲的東京，對我來說是充滿新鮮感的探索；   四十歲的東京，我終於找到與她和平共處的方式……   在東京居住了八個年頭，從一個人變成三個人，...more
",https://www.books.com.tw/products/0010837851?loc=P_0003_029
30,流浪而後生：與時光交換11座城市的日常,黃昕語,2019-10-24,"
「希望你不是為了要去某個地方才看我的文章，而是因為看了我的文章，開始想去某個地方。」──黃昕語Iris   Iris其實從來沒想過要出國的，升上高二那年的暑假，她一個人拉著行李飛往美國中部，獨自面對陌生...more
",https://www.books.com.tw/products/0010835318?loc=P_0003_030
31,旅行，不斷的相遇與追尋,張文光,2019-10-18,"
世界是這樣大，國家是那麼多，城市那麼有趣，緩慢細意地走，歷史文化、風物人情、宗教藝術、人文風景，不斷在路上相遇，引發想像與追尋，只想走得更遠，走向未知的遠方。有些相遇是喜悅的，有時卻是厚重沉...more
",https://www.books.com.tw/products/0010837659?loc=P_0003_031
32,遠去的風景眼前的你,木子,2019-10-10,"
★ 華語文壇大師——余光中教授親題書名! ★ 知名學者——劉再復教授親筆撰序! ★ 兩岸四地文學名家聯袂推薦!   方寸之間 大千世界   香港著名多棲作家木子環球行遊記   《遠去的風景眼前的你》是我在不同國家和...more
",https://www.books.com.tw/products/0010836288?loc=P_0003_032
33,你記不得了嗎，你回憶一下,毛尖,2019-10-10,"
作為“我的旅遊文學精品庫”系列叢書之一，本書編選毛尖多年來在上海、香港、美國、歐洲所撰寫的文化觀察散文，向讀者介紹兩岸四地的社會生活、文化風貌、藝文前沿消息，令讀者在幽默睿智的文字中體會異地風...more
",https://www.books.com.tw/products/0010836849?loc=P_0003_033
34,大佛猶在：貫穿三千公里的壯遊行記,王維寧,2019-10-01,"
◎八年級建築師西域旅行筆記：自己的視野自己闖   ◎開眼、開心、開口--台灣年輕人三開打通關，自由行穿越中國大西北的冒險故事。   ◎簡媜 張國立 顏崑陽 專序推薦   ◎隨書附贈「大佛猶在」明信片一張。   ...more
",https://www.books.com.tw/products/0010835734?loc=P_0003_034
35,就活在未知裡,林細朗,2019-09-25,"
發掘未知地，發現未知的自己   每個人的經歷、價值觀都不同，而旅途的路上總是充滿驚喜，   到同一個地方做同一件事，也不一定會有相同的結果和感受。 名人推薦   音樂人 林二汶   台灣旅行作家 陳浪   誠...more
",https://www.books.com.tw/products/0010835698?loc=P_0003_035
36,謝謝，讓我遇見你：吳建恆的人生慢旅,吳建恆,2019-09-24,"
一期一會 你就是路上最美的風景 謝謝，讓我這樣遇見你   他，是知名主持人；   也是日韓娛樂達人；   更是粉絲口中的「大好人」。   他和日本的緣分開始得很早，從早期隻身前往日本拍攝節目、到日本行腳節...more
",https://www.books.com.tw/products/0010833710?loc=P_0003_036
37,一個旅人，在西拉雅：遇見台式生活美感,褚士瑩,2019-09-12,"
有人問我，西拉雅什麼都沒有，   為什麼那麼喜歡西拉雅?   我說：「你錯了。西拉雅其實什麼都有。」   實際上，台灣的美感，都在西拉雅裡了，   只是你還沒有看到而已。    台灣的生活美感是什麼?   我在...more
",https://www.books.com.tw/products/0010833480?loc=P_0003_037
38,跨越彩虹52天,黃霓霓,2019-07-30,"
《跨越彩虹52天》是一部親身經歷的長途自駕遊記，記述著作者和其夫婿麥克駕車跨越美國十六州的所見所聞，以及在旅途中內心感觸茁壯的歷程。書中作者亳不隱蔵的把許多內心的感觸真誠的描寫出來。透過她的描...more
",https://www.books.com.tw/products/0010831384?loc=P_0003_038
39,矽谷百合,李嘉音,2019-07-18,"
她將漂流異鄉的愁苦、打拼向上的日子、艱熬孤獨的單親生活，轉化為最熟悉的文字抒發，當年十四歲的小小留學生，而今成為一朵勇敢的百合在矽谷璀璨綻放。   【一朵踩不死的矽谷玫瑰，一本由時間淬鍊而出的...more
",https://www.books.com.tw/products/0010826879?loc=P_0003_039
40,敦煌語絲(增訂版),金耀基,2019-07-12,"
一九七八年，我的第一本散文集《劍橋語絲》出版。十五年後，第二本散文集《海德堡語絲》出版。這二本「語絲」在香港、臺灣和大陸都有幾個版本。一九八五年後，兩書一直以姊妹篇的姿態面世。從兩岸三地不時...more
",https://www.books.com.tw/products/0010839815?loc=P_0003_040
41,京都一年(修訂三版),林文月,2019-06-07,"
▍為什麼是京都?   「一個保留古典遺跡的驕傲，同時又慷慨地兼容今日科學文明的都市。這是一個奇妙的都市，在這兒，低矮而古老的日式木屋，可以和鋼筋水泥的新型大樓比鄰；在這兒，三味線的弦音，可以和爵...more
",https://www.books.com.tw/products/0010824222?loc=P_0003_041
