,書名,作者,出版日期,內容介紹,網址
1,五星級廚餘,Anna Lee,2020-10-05,"
在好萊塢擔任食物造型師，真是他媽的累翻了!    從電影《少年PI的奇幻漂流》開始，她決定離開台灣，勇闖好萊塢，追尋她的食物造型夢。    曾被笑廚藝不精的她，到「黑帶廚藝學校」學藝，去名流餐廳打工、...more
",https://www.books.com.tw/products/0010871404?loc=P_0003_001
2,流動香港飲食誌,蕭欣浩,2020-09-04,"
《流動香港飲食誌》匯集蕭欣浩多年來累積的經驗，為飲食相關的書籍和電影，留下了一些評論，也有作者抒發對香港和台灣的飲食文學、文化的一點看法。   作者為前明報專欄邀約作家，故書中許多文章來自《明...more
",https://www.books.com.tw/products/0010867919?loc=P_0003_002
3,用一頓飯的時間旅行：享受美食，把小日子過得閃閃發亮,高靜芬,2020-08-27,"
在這本書裡，作者高靜芬將她運用美食把小日子過得閃閃發亮的祕訣傾囊托出。她說，餐桌上的所有感官體驗都是她的旅行紀念品，那些在一頓飯的時間內所遇所交會的色香味型器景藝，她都看了聞了吃了感覺了，都...more
",https://www.books.com.tw/products/0010867630?loc=P_0003_003
4,牛肉麵的幸福滋味(新裝版),楊寒,2020-07-01,"
遺忘幸福的都市人必備的文學經典，日常的故事將喚醒靈魂最深處的感動。   下雨的夜裡，總有一個地方能夠溫暖我們……   胃暖了，心暖了；   從味道中尋回那些曾經遺忘的溫暖。   「有」，代表「有麵」、「有...more
",https://www.books.com.tw/products/0010862359?loc=P_0003_004
5,這一年吃些什麼好?東京家庭的四季飲食故事,新井一二三,2020-07-01,"
食物是跨越時間與空間，愛情的紀錄 春夏秋冬，因為「吃」更豐富，更有趣，更有記憶。   一月，看著《紅白歌合戰》，搭配這道魚卵之王鯡魚子，人稱「黃金鑽石」的滋味，好好迎接新的一年。   二月，趕緊再...more
",https://www.books.com.tw/products/0010862236?loc=P_0003_005
6,解構滋味：香港飲食文學與文化研究論集,蕭欣浩,2020-06-08,"
★ 文學跨界文化、飲食文學、都市生活的最新研究!   飲食圍繞日常，當中文化最容易被忽略。蕭欣浩博士花十年時間，研究香港飲食文學及文化，探討飲食的相關課題，結集成《解構滋味：香港飲食文學與文化研究...more
",https://www.books.com.tw/products/0010858994?loc=P_0003_006
7,品味日韓,蔡瀾,2020-06-03,"
傳統的老店，不管你星或不星，他們的出品不會有甚麼讓人驚嘆之處，保持着一代又一代傳下來的水準，謙虛地、矜持地經營，那份歷史的沉澱，那份優雅，也不是米芝蓮食評家能夠了解得到的。    我來韓國，加起...more
",https://www.books.com.tw/products/0010865917?loc=P_0003_007
8,環球之旅,蔡瀾,2020-06-03,"
人活在這世上，總希望活得一天比一天更好。今天好過昨日，明天更加精彩。在一生人不斷地努力之後，享受這些成果，一點也不過份，但如果你是含着銀匙出世的，讓你來到希臘安縵，你也不會覺得這份寧靜，所有...more
",https://www.books.com.tw/products/0010865920?loc=P_0003_008
9,南洋遊蹤,蔡瀾,2020-06-03,"
不斷的旅遊，令我感覺到天地無窮，永遠有新的驚喜，一生也發現不盡，當你足跡遍佈全世界，觀察不同的人生形態，你自然會反省，會對自己的生活作出評估，而在交往過程中，你會跟世上不同的人分享你的思想、...more
",https://www.books.com.tw/products/0010865878?loc=P_0003_009
10,覓食中華,蔡瀾,2020-06-03,"
中國地大物博，地方之大，三輩子也走不完，別說吃的了。只能從直感抽出幾樣：廣東：單單是手剁豬肉的燒賣，已能稱冠。福建：土筍凍、薄餅。四川：毛肚開膛。山東：炸醬麵、山東大包。河南：水席，其中有一...more
",https://www.books.com.tw/products/0010865913?loc=P_0003_010
11,素說新語,朱振藩,2020-05-14,"
素食之道大矣哉，   台灣首席美味鑑賞大師帶您領略素食之美!   「關於食素，源遠流長。或示虔誠，齋戒沐浴；或為宗教，戒不殺生；或為修行，忌口靜心；或求體健，棄絕葷腥；或不得已，絕糧陳蔡。理由固有...more
",https://www.books.com.tw/products/0010857513?loc=P_0003_011
12,純素天堂：我直直的‧傻傻的‧VEGAN之旅,徐立亭,2020-04-07,"
「不吃淚光閃閃的動物成份點心，因為甜甜的背後有鹹鹹的淚水；   吃充滿發芽力量的植物點心，因為甜甜的背後，愛讓生命延續。」   2012年，她和志同道合的先生在宜蘭礁溪溫泉路上開了一家純素甜點心店，取...more
",https://www.books.com.tw/products/0010853122?loc=P_0003_012
13,為小情人做早餐,焦桐,2020-02-20,"
一封寫了三十二年的二十萬字情書，焦桐沉潛三年扛鼎力作——    他長期鼓吹「君子近庖廚」：以半輩子的烹煮實踐，呵護生命中的女人。若說《完全壯陽食譜》當年以食譜之名、詩集之身，示範了一種嶄新的形式；...more
",https://www.books.com.tw/products/0010848741?loc=P_0003_013
14,出門訪古早(三版),逯耀東,2019-12-27,"
飲食文學開拓者──逯耀東──經典作品    逯耀東教授文化素養豐厚，長年致力於文化、歷史研究，對古籍中的飲饌有深刻的了解。他曾經數次前往中國大陸探訪民間飲食的變遷，尋覓流失的古早飲食，並記錄沿途所食...more
",https://www.books.com.tw/products/0010864245?loc=P_0003_014
15,2018飲食文選,,2019-12-25,"
文字的感官漫遊記，跨越時間與地理向度的味蕾選集   飲食的場景就是生活的場域，邁入第十六年度，由焦桐主編的《2018飲食文選》，搜羅31篇不同主題的精彩作品。家常吃食的眉角，緊扣關係與記憶；異地旅途...more
",https://www.books.com.tw/products/0010843729?loc=P_0003_015
16,情味香港,楊明,2019-12-19,"
小小香港，如何收納大半個世界?   你知道香港的「西多士」就是台灣說的「法國土司」嗎?台灣人颱風天裹腹的泡麵，卻能堂而皇之列入香港餐廳的菜單?香港的雲吞跟台灣的餛飩有何不同?高樓林立充滿都會感的香...more
",https://www.books.com.tw/products/0010843178?loc=P_0003_016
17,雅舍談吃(經典新版),梁實秋,2019-11-28,"
文學大師梁實秋唯一的飲食散文集，從生活中最平凡的「吃」談起，以食材為題，用字亦莊亦諧，淺顯而雋永。他很少正面講述食物的味道，卻讓人感受得到那滋味的美好；並不直接懷鄉，字裡行間卻流露出濃濃的鄉...more
",https://www.books.com.tw/products/0010840102?loc=P_0003_017
18,舌尖上的人生廚房：43道料理、43則故事，以味蕾交織情感記憶，調理人間悲歡!,凌煙,2019-11-06,"
自立報系百萬小說獎、打狗文學獎長篇小說獎得主──凌煙，最新飲食散文作品! 以食物乘載記憶、用文字擺盤呈現。原來，料理的滋味就是人生的滋味，酸甜苦澀盡在心頭!   ‧收錄43道家傳台味食譜，是最值得珍藏...more
",https://www.books.com.tw/products/0010838395?loc=P_0003_018
19,食字餐桌,鄒芷茵,2019-07-19,"
深夜、閱讀時餓了嗎?   翻開《食字餐桌》吧!   無法解憂的時候來一客果醬蛋糕捲搭一杯紅茶；憶起舊地相思時吃一口陳皮紅豆沙；身在異地思鄉之夜嚐一碗沒有大地魚熬湯的雲吞；想要孤獨避世時憑空煮一碟意大...more
",https://www.books.com.tw/products/0010829220?loc=P_0003_019
20,天下美食,蔡瀾,2019-07-12,"
一個人懂不懂得吃，也是天生的，遺傳基因決定了他們對吃沒有甚麼興趣的話，那麼一切只是養活他們的飼料。我見過一對夫婦，每天以即食麵維生。   喜歡吃東西的人，基本上都有一種好奇心。甚麼都想試試看，...more
",https://www.books.com.tw/products/0010827809?loc=P_0003_020
21,愛之味：散文集,梁雅英,2019-05-03,"
什麼樣的味道使得愛更有味?怎樣的食物能夠為愛調味?新鮮的?腐敗的?什麼是愛?什麼又是愛的味道?   《愛之味》散文集為作者梁雅英兒時在屏東的飲食經驗，書中歷歷描寫作者的奶奶因為經過食不裹腹的風雨，深...more
",https://www.books.com.tw/products/0010821809?loc=P_0003_021
