,書名,作者,出版日期,內容介紹,網址
1,剩餘的天空,郭至卿,2020-11-06,"
夜晚降下牢籠/撒下希區考克的懸疑/只有月光撥開黑暗    早起的鳥兒 衝進/日出洩密的方格內/叼起一片曙光 難道要/縫補天空的破衣裳?    郭至卿兼具商人、詩人雙重身分，亦是專業的日式俳句研究者。她習慣將...more
",https://www.books.com.tw/products/0010874783?loc=P_0003_001
2,歲時記,,2020-11-05,"
《歲時記》是華語圈第一本俳句季語的辭典。收錄華文俳句社從2019年3月18日至2020年6月22日徵文的春夏秋冬383個季語，和台灣、中國、香港、新加坡、馬來西亞和日本六個地區的華語詩人約1864首華文俳句例句...more
",https://www.books.com.tw/products/0010874127?loc=P_0003_002
3,黛穎,周悼│Zhou Doubt,2020-11-01,"
這裡沒有一首史詩，多是死詩，還有老詩，思索老與死。   ◎黛穎(Dying)，係Expression of Depression 系列作品主題，詠嘆脫離、消逝、空無，也歌頌生與在。   ◎老與死，失落與結束，詩人藉助詩作抒發苦澀心...more
",https://www.books.com.tw/products/0010873437?loc=P_0003_003
4,書寫青春17：第十七屆台積電青年學生文學獎得獎作品合集,,2020-10-29,"
虛構是一朵花，開在亂石累累的現實上，風格則是一種未來的偏移。 而創作，則是在非常有限的才華裡，向無限推進一小格。   倘若人生是一條公路，未完整走過，無人知曉這條公路能有多長，有多少的站點，以及...more
",https://www.books.com.tw/products/0010874498?loc=P_0003_004
5,詩路尋光：詩人本事,李桂媚,2020-10-28,"
跟隨領頭詩人們的生命印記，從心發現深耕於這塊土地的「詩人本事」。   《詩路尋光：詩人本事》以吳晟、向陽、林柏維、孟樊、洪淑苓、陳胤六位詩人為觀察對象，剖析創作歷程與作品風格，橫跨前輩作家到中...more
",https://www.books.com.tw/products/0010874123?loc=P_0003_005
6,寫給我62個男人的備忘錄(1984-2020),陳克華,2020-10-28,"
獻給我   看一眼   便在生命裡留下的男人    原想湊足100個男人再出書   但繆斯就是這樣   絲毫不得通融——   寄望此生   還會有另一批   62個男人    宮崎駿說：內心強大才能道歉。   但必須更強大，才能...more
",https://www.books.com.tw/products/0010874308?loc=P_0003_006
7,異形,孫維民,2020-10-22,"
二十三年後，《異形》終於再版，經過作者細心修訂，並加入若干首詩作，全書風格強烈，具實驗性和開創性，文字簡潔有力，冷澈又多情。    除了新增添詩作，另有一篇〈附件〉，是孫維民詩論精華，長久以來有...more
",https://www.books.com.tw/products/0010873072?loc=P_0003_007
8,2019臺灣詩選,,2020-10-19,"
2019年揀選一盤豐盛的臺灣詩壇收穫   《臺灣詩選》三十餘年，每年一冊都是一年份時間中的切片，二魚文化蒙各方提攜不棄，2019年也是豐收年，由主編孫梓評不分流通媒介，為讀者選出各色各異、飽含生命景色...more
",https://www.books.com.tw/products/0010873455?loc=P_0003_008
9,雲華無盡藏 蕭蕭茶詩集,蕭蕭,2020-10-15,"
《雲華無盡藏》是蕭蕭繼2012年出版華文世界第一本茶詩集《雲水依依》之後，雲淡風輕，溫潤委婉的有關茶的詩作專集。有茶山、茶園、茶種、茶葉的自然觀察，有茶品、茶湯、茶器、茶甌的美學體驗，有解渴的肉...more
",https://www.books.com.tw/products/0010869954?loc=P_0003_009
10,迷魂芳：倚海邊植物台語詩,黃徙,2020-10-10,"
《迷魂芳》收錄詩人黃徙以台灣植物成做主題的詩 100 首，大部分是生長在台灣西部海岸的樹種，以詩的視角觀察，書寫植物之生態、樣貌、特性，入眼儼然一座豐富的海岸植物園。    草根詩人最在地的書寫，詠...more
",https://www.books.com.tw/products/0010872391?loc=P_0003_010
11,只剩下海可以相信,陳少,2020-10-07,"
本書特色   逃離原本的生活，獨自逃到沒人知道的南太平洋島國——距離臺灣8540公里的薩摩亞，以及6962公里的萬那杜。   躍入潟湖海洋，爬上滾燙活火山；黑色石龍子、火山灰、熱帶氣旋一路尾隨……   在語言不...more
",https://www.books.com.tw/products/0010870317?loc=P_0003_011
12,泡壞了的茶湯,何健生,2020-10-01,"
資深茶人用他細膩的心、銳利的眼觀察半世紀臺、港、星馬以及大陸的茶事變遷……   百首敘事詩，但說不可言的人間茶事；卅篇論述文，道盡說不清的茶事陰翳；一本書穿越台灣茶事，半世紀的歡喜與哀愁。...more
",https://www.books.com.tw/products/0010872495?loc=P_0003_012
13,互望,劉潔岷,2020-09-24,"
《互望》是劉潔岷多年詩寫的集結，分為七輯。詩集題材廣闊，在現實、隱喻、玄思、回憶、當下、未來間穿梭遊走，在想像的領域納入面對世事萬象的洞察力和多重衝突中的「超越主義」邏輯，從而揭示出個體生存...more
",https://www.books.com.tw/products/0010870766?loc=P_0003_013
14,在花蓮：山與海的激盪,方群,2020-09-24,"
左手是海 右手是山   海是習慣流浪的名字 山是值得期待的朋友   名字別在不會傷心的胸口 朋友蟄伏在想像加密的頻率   胸口總是踮著腳瞭望遠方 頻率共振彼此沾黏的心悸    「沿著海岸的裙襬，我們/向北航行...more
",https://www.books.com.tw/products/0010870769?loc=P_0003_014
15,不見而見,施傑原,2020-09-24,"
倘若生命僅此一次，而存在本身也全無意義，至少尚有一生的時間，鍛鑄一方隱密的宇宙。未來，或能於鍛鑄的漣漪裡，聽見時空的聲音。    新生代詩人施傑原的首部詩集，分為上下兩卷：〈形上卷〉以生命的存有...more
",https://www.books.com.tw/products/0010870781?loc=P_0003_015
16,第九隻羊剛剛離開,西雍,2020-09-24,"
第九隻羊剛剛離開，像風，點燃   黑色禮帽下面苦苦掙扎的火苗。   今天，聖誕樹點燈的日子。基督徒   用一生的德行搭建致贈耶穌的馬槽。   ──節錄〈第九隻羊〉   《第九隻羊剛剛離開》是西雍近三年來的詩...more
",https://www.books.com.tw/products/0010870776?loc=P_0003_016
17,角落的聲音,林豐明,2020-09-23,"
一個人有興趣讀詩，相信他就有能力發現作品的內涵，不必用額外的東西來影響讀者的體會或感受，我希望作者與讀者之間，只以詩作為溝通的介面。   魔鏡/林豐明   魔鏡的故事為什麼   不是由這個民族創造出來...more
",https://www.books.com.tw/products/0010870774?loc=P_0003_017
18,星星的任期太長了,陳思嫻,2020-09-23,"
她從遠處窺探每一顆星，都是靈感和夢想 她在青春時代，以詩筆想像微物之神 成年後，仍不失童心，秉持初衷 決心與星星悠長的任期創造到老    本書收錄陳思嫻十幾年來的現代詩作品，充滿對生命不滅的熱情，...more
",https://www.books.com.tw/products/0010871315?loc=P_0003_018
19,露珠,李昌憲,2020-09-18,"
生活用巨掌   重重把我們   推倒在床上    還來不及喊   痛    妻的鼾聲   三月的春雷   響在午夜    突然轉身   抱住我   親了又親    《露珠》精選詩人李昌憲2005至2010年作品，收錄99首創作，共分五輯...more
",https://www.books.com.tw/products/0010870789?loc=P_0003_019
20,日出日落Sunrise and Sunset：李魁賢漢英雙語詩集,李魁賢,2020-09-16,"
我離開淡水時   詩寫淡水   心思留在出生的故鄉    我離開台灣時   詩念淡水   無法斷絕世居的故鄉    我離開世界時   詩留淡水   願終究成為詩的故鄉    《日出日落》依創作編年，收錄李魁賢近兩年詩作，...more
",https://www.books.com.tw/products/0010869884?loc=P_0003_020
21,臺灣現代詩 第63期,,2020-09-15,"
4月29日我們敬愛的前輩—詩人趙天儀—靜悄悄地離開我們了。他常說他喜歡人家稱呼他「詩人趙天儀」勝過趙教授。是的，詩人趙天儀將以著他的藝術結晶—詩，將流芳百世，為詩壇文壇所紀念。趙天儀老師是1964年笠...more
",https://www.books.com.tw/products/0010869570?loc=P_0003_021
22,黑暗中摸索：塔爾加夫與香港之間,陳守仁,2020-09-14,"
陳守仁撰寫的第一冊雙語詩集。    平日看到陳守仁的文字，多半是談及粵劇戲曲，這次陳守仁以創作者的身份，粉墨登場，希望各位可以欣賞到他詩作之中，對遭遇的社會人情的感覺，有所共鳴。     Being a non...more
",https://www.books.com.tw/products/0010868774?loc=P_0003_022
23,少女A,廖之韻,2020-09-10,"
記得帶一束玫瑰來看我 之後 就是你的滄桑了    少女，從來不是錨定於數字的身分。   少女是一種溝通方式，有一定的句法結構，是我們心中說不盡又難以言說的部分。   少女，也是玩耍著語言遊戲的我們，最自...more
",https://www.books.com.tw/products/0010870139?loc=P_0003_023
24,南迴,陳延禎,2020-09-09,"
走了多久的路 才發現砂石製成了夢境 和整面海的回音 ──〈航線〉   重新回到生活的詩   《南迴》是年輕詩人由故鄉臺南往返花蓮求學沿途累積的詩作，有臺南院子裡的雞冠花，花蓮宿舍裡的工業風房間，還有翻...more
",https://www.books.com.tw/products/0010869037?loc=P_0003_024
25,十圍之樹：當代華語詩壇十家詩,,2020-09-05,"
本書選錄當代華語詩壇十家詩，試圖通過不同風格的藝術文本築構華語詩歌的審美準則。並藉由「導讀」長文帶領讀者進入迷宮般的詩宇宙，打破詩歌漫無尺度的迷思。    |安 琪|的詩明澈清晰，分享一顆朝一切高...more
",https://www.books.com.tw/products/0010867836?loc=P_0003_025
26,圓的流動：謝碧修漢英西三語詩集,謝碧修,2020-09-05,"
直線思考無法破解   曾經存在的人類智慧   只有大自然的力量   能主宰    Linear thought cannot crack the code   Of the human wisdom from of old   Only t......more
",https://www.books.com.tw/products/0010868005?loc=P_0003_026
27,七寸帖,梁楓,2020-09-03,"
詩人梁楓在用詩歌串聯「世界」，並且侍弄「花園」，將東西方詩歌美學深度融匯，漢語詩歌之「美」和歐美詩歌之「思」被拿捏在一起，「意趣」和「理趣」皆得。這是一個容納型而非斷裂型的詩人，更顯大氣和深...more
",https://www.books.com.tw/products/0010869121?loc=P_0003_027
28,《野薑花詩集季刊33》,野薑花詩社,2020-09-01,"
一、野薑花詩社《野薑花詩集‧季刊》刊物從2012年6月開始創刊號，每年3、6、9、12月出刊。    二、野薑花詩社《野薑花詩集‧季刊》是由一群網路老中青少和海內外的華文詩人、詩評家一起組成經營的刊物，每期...more
",https://www.books.com.tw/products/0010868573?loc=P_0003_028
29,《野薑花詩集季刊34》,野薑花詩社,2020-09-01,"
一、野薑花詩社《野薑花詩集‧季刊》刊物從2012年6月開始創刊號，每年3、6、9、12月出刊。    二、野薑花詩社《野薑花詩集‧季刊》是由一群網路老中青少和海內外的華文詩人、詩評家一起組成經營的刊物，每期...more
",https://www.books.com.tw/products/0010874306?loc=P_0003_029
30,人世靈星 : 廖繼坤詩集,廖繼坤,2020-09-01,"
一位詩人用鋒利的筆描寫人性，描述世間萬物。    詩人作家廖繼坤現代新詩體裁犀利地描述人性的真實一面，敢於批判體制、嘲諷獨裁。...more
",https://www.books.com.tw/products/0010869635?loc=P_0003_030
