,書名,作者,出版日期,內容介紹,網址
1,生態欣賞與認識(第二增訂版),,2020-09-22,"
「自然生態系列」是一套將理性學術、主觀感覺、細心觀察和親身行動結合的工具書，旨在介紹環境科學知識，傳遞保育概念。「體驗、認識、欣賞、保育」是生態旅遊的四部曲，探索大自然奧妙的同時，了解歷史文...more
",https://www.books.com.tw/products/0010872096?loc=P_0003_001
2,從前，有個香港,Miroslav Šašek,2020-09-22,"
所謂「念念不忘」，形容的大概就是香港。問問那些到訪過此地的人，或是掀開這書中的一紙一頁看看。捷克作家Miroslav Sasek畫筆下的香港，令人難以忘懷。彩色的繪圖捕捉了60年代香港的魅力、她的神韻、表現...more
",https://www.books.com.tw/products/0010872246?loc=P_0003_002
3,香港觀鳥全圖鑑(套裝),香港觀鳥會,2020-08-28,"
展示鳥友多年來拍攝的心血結晶及努力成果，透過精美的圖片，描述香港鳥種的外形特徵、習性、較常出現的月份及生態環境，作為觀鳥的實際參考。...more
",https://www.books.com.tw/products/0010869364?loc=P_0003_003
4,觀鳥系列01：香港觀鳥全圖鑑,香港觀鳥會,2020-08-28,"
展示鳥友多年來拍攝的心血結晶及努力成果，透過精美的圖片，描述41科香港鳥種的外形特徵、習性、較常出現的月份及生態環境，作為觀鳥的實際參考；加上專題內容如：觀鳥在香港、辨認雀鳥技巧等，領略觀鳥的...more
",https://www.books.com.tw/products/0010869366?loc=P_0003_004
5,觀鳥系列02：香港觀鳥全圖鑑,香港觀鳥會,2020-08-28,"
展示鳥友多年來拍攝的心血結晶及努力成果，透過精美的圖片，描述42科香港鳥種的外形特徵、習性、較常出現的月份及生態環境，作為觀鳥的實際參考；加上專題內容如：城市雀鳥；塱原農田及新界西北魚塘；雀鳥...more
",https://www.books.com.tw/products/0010869369?loc=P_0003_005
6,櫻花樹下的鴛鴦茶,Mango Naoko,2020-08-20,"
平凡的生活，可能不夠新鮮刺激，卻充滿最貼地的生活感。   在這裡，你不會找到那種人生必去景點或日本最酷的潮流資訊，   卻能感受到另一種更寫實更樸素的感覺。...more
",https://www.books.com.tw/products/0010867254?loc=P_0003_006
7,二人四轆環港誌：九十後的單車追夢!,"Eddie,Leo",2020-02-21,"
九十後，多被標籤為「廢青」——頹廢、對社會充滿憤怨、凡事hea得就hea……但其實，他們都是懷有夢想、不輕易向現實妥協的熱血青年﹗   兩個青年人，各自騎著單車，開展超過400公里的環港之旅。旅程中他們跌倒...more
",https://www.books.com.tw/products/0010849001?loc=P_0003_007
8,開始在澳門自助旅行(全新增訂版),凱恩(Kahn),2020-02-12,"
2020年強勢新版   澳門達人凱恩新增16頁最新內容   添加港珠澳大橋與新開通輕軌資訊解析   全球票選主教山小堂、議事亭前地等澳門新八景   澳門巴黎人、永利皇宮住宿遊樂訊息公開   |主題玩樂，最精采|   ...more
",https://www.books.com.tw/products/0010848826?loc=P_0003_008
9,香港舊書店地圖(增訂版),黃曉南,2020-02-01,"
資訊科技日新千里，隨時代進步書種繁多，於一片書海競爭之中，大部分書籍於一般書店上架不久，可能從此沉入歷史長河，遭到冷待甚至退書。    幸運是舊書店(亦即二手書店)為它們提供寄居場所，部分書籍亦因...more
",https://www.books.com.tw/products/0010859816?loc=P_0003_009
10,香港邊界走一回,黃梓莘,2020-01-03,"
此書以「香港邊界」為主軸，由行山界資深專家黃梓莘親自執筆，帶領讀者深入香港各地的邊界，探索路線之外，更認識當中的文化歷史。...more
",https://www.books.com.tw/products/0010845383?loc=P_0003_010
11,香港遠足全攻略(第19刷),許超雄,2019-12-15,"
自度遠足路線，以第一身角度切身撰寫   曾入選香港書展「名家推介」。   內容以作者親身角度出發，感受其所見所聞，「臨場感」十足。   精選全港33條遠足路線   每條路線均附有清晰地圖   內文相片連相集...more
",https://www.books.com.tw/products/0010841635?loc=P_0003_011
12,追尋新界古蹟,"李健信,爾東",2019-12-12,"
昔日，新界滿佈鄉村、遍地田野，隨著城巿的急促發展，今時今日，不少鄉村已變成高廈林立的大型屋苑及購物商場，能倖存的古蹟更見珍貴，當中包含許多歷史文化及甚有價值的文物，可讓身為香港一分子的你和我...more
",https://www.books.com.tw/products/0010489519?loc=P_0003_012
13,追尋九龍古蹟,"李健信,爾東",2019-12-12,"
近年來，香港興起本地遊，旅行社紛紛舉辦香港一日遊，發掘了不少值得遊覽的地方，市民的腳步重新踏足香港這片土地，讓我們明白了，原來除了外地，香港也有很多讓我們尋幽探秘的地方。別的地方有名勝古蹟，...more
",https://www.books.com.tw/products/0010489521?loc=P_0003_013
14,香港打卡親子遊(2020年),"Ceci Shiu,Jacky Fu",2019-10-25,"
打卡又得，親子亦得，得左!   《香港親子遊》又再版啦!今次除了更新親子遊部份外，再為大家報導香港各區的打卡熱點，不論你是兩口子，或者親子，都可以一書在手，輕鬆一下，玩盡香港18區的人氣親子景點，...more
",https://www.books.com.tw/products/0010837654?loc=P_0003_014
