,書名,作者,出版日期,內容介紹,網址
1,移民其實可以好簡單,司徒詠怡,2020-09-22,"
提起移民二字，相信大家腦海中會浮現一堆問號。移民哪個國家好?有什麼條件和限制?子女就學情況如何?本書透過一方面請來移民專家為大家推薦適合港人的移民方案，另一方面，透過Augmented Reality 擴增實境 ...more
",https://www.books.com.tw/products/0010872119?loc=P_0003_001
2,前進吧!此生必走的世界十大徒步健行步道：超詳解路線指南╳行前準備攻略╳曲線高度表╳里程與進度率表,李英哲,2020-05-21,"
{ 徒步旅行帶來的樂趣是最純粹的   在步行的當下，世界只有你與大地，再無其他 } 徒步旅行者Must Go的心願清單， 世界10大徒步健行路線一次全部收錄! 廖科溢、謝哲青 走過才知道，感動推薦-- 本書作者耗費...more
",https://www.books.com.tw/products/0010857663?loc=P_0003_002
3,把拖油瓶養成小旅伴：0-6歲親子旅遊全攻略,陳彧馨,2020-05-19,"
我是這樣帶著孩子勇闖全世界! 旅遊性格養成X食衣住行須知X 全球旅行攻略，一本搞定! 從臺灣自駕遊，到日本與東南亞的短期之旅， 還有高手級的歐洲居遊，以及跨洲旅行。   私房遛小孩景點大公開，第一手親...more
",https://www.books.com.tw/products/0010857508?loc=P_0003_003
4,孤獨星球Lonely Planet 世界咖啡之旅：全球頂尖咖啡體驗鑑賞指南,孤獨星球,2020-05-01,"
地表最提神的旅行指南 一起來趟咖啡因之旅 探索全世界最棒的咖啡館和咖啡現場   你今天喝咖啡了嗎?   是否注意過咖啡豆來自哪裡?   全球每天喝掉20億杯咖啡   我們都是咖啡國度的一份子   除了提神醒腦、...more
",https://www.books.com.tw/products/0010856192?loc=P_0003_004
5,正反合,群英社編輯部,2020-01-22,"
正反合雜誌，提倡多元思考的生活哲學。在這裡，可體驗酒餘茶後的恬淡閒適，也可行萬里路去領略大千世界的絕美風光，可聽一場音樂，可嗅一朵花香。雜誌聚焦於年輕族群的生活哲學，在繁忙生活中給予人們簡單...more
",https://www.books.com.tw/products/0010848555?loc=P_0003_005
6,旅行者的寫作課：從題材挖掘、塑造觀點到改稿，寫出旅行見聞的深度、廣度和溫度,"喬安‧B‧穆卡希,彼得‧切爾森",2020-01-15,"
10堂課讓你成為獨一無二的旅遊作家!   遊記人人都能寫，但在競爭激烈的內容市場中，   你該如何提供不同的觀點，   傳達自己旅遊的初衷、獲得的改變，進而發揮影響力?    誰會需要這本書──   ▲喜歡透過文...more
",https://www.books.com.tw/products/0010845593?loc=P_0003_006
7,孤獨星球Lonely Planet 世界精釀啤酒之旅：全球頂尖啤酒廠品嚐導覽指南,孤獨星球,2020-01-10,"
搭上啤酒界的革新風潮   親自走入全球頂尖釀酒廠   享受世界上最新鮮、最道地的精釀啤酒   無論你是啤酒入門者或是啤酒狂熱者   在推薦斟滿啤酒杯的最佳地點這方面   誰能與Lonely Planet爭鋒?   和Lonely...more
",https://www.books.com.tw/products/0010845783?loc=P_0003_007
8,旅遊味：溫泉美學,捷沛實業有限公司編輯部,2019-11-21,"
本期將介紹日本北海道、千葉、土耳其、四川、雲南等。在國內飯店也特別介紹飯店最新優惠訊息 本書特色   1.部落客快樂雲、帆帆貓、瑪格的旅遊分享   2.國內外旅遊介紹   3.台灣飯店住宿精選...more
",https://www.books.com.tw/products/0010840687?loc=P_0003_008
9,最經典的101座教堂,,2019-11-12,"
一生至少要去一次的偉大神聖建築   走遍全球   一次圓滿你的朝聖夢想   ‧全世界最大的教堂是哪一座?可以容納多少人?(頁104)   ‧耶穌受難復活的聖地是在哪一座教堂?(頁20)   ‧全世界最高的教堂尖塔有幾公尺...more
",https://www.books.com.tw/products/0010839564?loc=P_0003_009
10,跟著狗狗去旅行：說走就走!帶毛小孩吃好住好玩好全台旅遊指南,林歐加,2019-07-09,"
誰說帶寵物旅行只能隨便吃吃、將就住住?   有了這一本   讓愛狗和愛旅行的心同時大噴發!   ▍隨書附贈 ▍12家寵物友善旅館及園區超值優惠券(價值超過4000元!)   1隻☛米克斯芭比   570間☛全台寵物友善店家   ...more
",https://www.books.com.tw/products/0010826222?loc=P_0003_010
