,書名,作者,出版日期,內容介紹,網址
1,到倫敦打工度蜜月,"李建偉,黃柳青",2019-04-01,"
到倫敦打工度蜜月   原本幻想是優雅度假吃貴婦下午茶   實際上卻是勤儉持家省錢度日   新婚後，決定辭掉工作與先生(Wei)到英國打工度蜜月，原本預計為期半年的異國體驗，因實在太過喜愛倫敦的生活環境，再...more
",https://www.books.com.tw/products/0010817731?loc=P_0003_001
2,我的移動城堡：開露營車在澳洲邊玩邊工作,Leon,2018-11-01,"
前往澳洲打工度假，很酷! 但開著露營車打工度假，更酷!   不僅僅賺著一桶金，還賺到了旅遊咖、背包客都想體驗的「說走就走」。   不僅僅能說走就走，還能省下住宿費、通勤費，同時免去只能固守一地打工的...more
",https://www.books.com.tw/products/0010803360?loc=P_0003_002
3,跳進阿公阿嬤的視界：與澳洲阿公阿嬤的奇幻之旅,"葉小嬋,葉筱韻,鄭麗蘭",2018-10-31,"
到澳洲打工度假難嗎?   想當街頭藝人在外國生存難嗎?   想辦公益活動難嗎?   其實沒有想像中困難。   夢想不遠，只要克服心中障礙，天涯近在咫尺。   這是一本寫給家裡有爺爺奶奶、高齡爸爸媽媽的人看的書...more
",https://www.books.com.tw/products/0010802497?loc=P_0003_003
4,澳洲打工度假聖經(2019年最新版),陳銘凱,2018-10-01,"
因應現代社會新局面，打工假期正是最佳試煉!   澳洲報稅資料填寫，全新格式一次公開!   消費採買、電話資訊，全面更新   出發求職、保障自身權益，都在這裡!   何時出發?找哪種住宿?   英文不會說?發生意...more
",https://www.books.com.tw/products/0010799786?loc=P_0003_004
5,東京小日子：Long stay!校園生活X打工賺錢X暢玩東京,妙妙琳,2018-08-07,"
人生值得冒險一次，日文程度不是問題!   留學・打工度假・小旅行都能順利通關!   不論是年輕學子想出外闖蕩挑戰大世界，   小資男女想要稍作喘息或嘗試轉換跑道，   單純喜歡日本想親身感受在地生活甘苦。...more
",https://www.books.com.tw/products/0010794177?loc=P_0003_005
6,她們的韓國夢：打工度假的美好與幻滅,Fion,2018-05-22,"
|韓國打工度假熱潮下，她們追夢、圓夢或夢碎的冒險旅程|   在這個被韓國年輕人形容為「地獄」的國度，   為什麼臺灣女孩們仍趨之若騖?   似乎每個人都想聽聽別人的說法，來映照自己的動機並不孤單。   ◆曼...more
",https://www.books.com.tw/products/0010786746?loc=P_0003_006
7,超圖解!澳洲打工度假完整攻略(2018-2019增訂版)：規劃、實踐、狀況排除，各種SOP流程輕鬆搞懂,無尾熊小多,2018-04-21,"
澳洲打工度假(2018-2019增訂版) ★覺得台灣薪情差、想跳出舒適圈，不如就去澳洲打工兼度假吧! ★除了賺到一桶金，接觸各國人士、累積英語能力、快速拓展視野的國際觀更是值千金! 從零基礎逐步教你簽證、打...more
",https://www.books.com.tw/products/0010784192?loc=P_0003_007
8,開始到紐西蘭打工度假-全新增訂版,蔡弦峰,2018-03-12,"
紐西蘭打工度假情報大幅更新 最新紐西蘭打工度假簽證申請教學 最新紐西蘭打工申請稅號教學 Stay in 紐西蘭，行家經驗談 基督城、威靈頓、奧克蘭玩樂景點及購物資訊   青春無畏，帶你打工度假去!   教你邊...more
",https://www.books.com.tw/products/0010781232?loc=P_0003_008
9,澳洲首都不是悉尼：打工度假不似預期,傅焯晞,2017-10-01,"
去Working holiday會認識很多好朋友?錯!奇人怪人奸人恨不得終生不再見者更多!   去Working holiday會熱鬧開心一整年?錯!孤獨寂寞時間更多!   去Working holiday會遇上賞識你的好老板?錯!無故裁員......more
",https://www.books.com.tw/products/0010768181?loc=P_0003_009
10,開始到加拿大打工度假(全新增訂版),陳玉琳,2017-05-12,"
打工之餘，同時玩樂一整年!實現夢想的超級工具書!   【最新加拿大打工度假申請步驟】   將繁瑣的程序整理成7大步驟，搭配精細圖解教學，包含帳號註冊、申請IEC個人檔案、登入MyCIC收訊息等，一步步設定妥...more
",https://www.books.com.tw/products/0010752238?loc=P_0003_010
