,書名,作者,出版日期,內容介紹,網址
1,北海道攻略完全制霸2020-2021,墨刻編輯部,2020-07-11,"
2020年全新改版!北海道吃‧喝‧玩‧樂進化中! 螃蟹、味噌拉麵、海鮮、烤肉、甜點，這些都是旅人對北海道的既有印象，不過，作為遊客喜愛的旅遊地，北海道當然不會甘於現狀!推陳出新的甜點、創新口味的拉麵、...more
",https://www.books.com.tw/products/0010863006?loc=P_0003_001
2,北海道旅遊全攻略2020-21年版(第 13 刷),鄭兆臻,2020-01-21,"
乘北海道新幹線.四季遊玩北海道   消費稅增稅至 10% 後的北海道旅遊全攻略   全書厚達496頁，集齊道央、道北、道南及道東熱門景點的全年情報，整理札幌冬季札幌、小樽、旭川、千歲等各大冰雪樂園，以及周...more
",https://www.books.com.tw/products/0010847301?loc=P_0003_002
3,北海道王(2020-21年版),經緯文化,2019-12-15,"
【打卡勝地‧美食特產‧浪漫花海】   【潮玩北海道新情報】星野雲海酒吧新登場、白い恋人公園再升級、首次登陸小樽的Otaru Cafe X Hello Kitty   【推薦靚景路線】小樽運河散策、美瑛田園單車遊、旭山動物園...more
",https://www.books.com.tw/products/0010841698?loc=P_0003_003
4,北海道達人天書2020-21最新版,"Wow!編輯部,卡兒",2019-12-15,"
首創WOW!MAP，出發前預先下載，在計劃行程時只要一掃想去景點的QR MAP，就可以自動為你編排行：交通導航、店舖資訊一目了然!編排行程從此輕鬆簡單   -夜遊札幌.薄野：薄野可以說是札幌的不夜天地區，入夜...more
",https://www.books.com.tw/products/0010841702?loc=P_0003_004
5,北海道札幌函館地圖隨身GO 2020,墨刻編輯部,2019-12-12,"
北海道幅元廣大，對於不自駕的人來說，還是搭乘電車、JR在城市間旅行最為方便。本書特別將北海道最適合以大眾交通工具自助旅行的區域挑選出來，分為「札幌」與「函館」兩大部分，札幌的熱鬧多變、小樽的歐...more
",https://www.books.com.tw/products/0010841902?loc=P_0003_005
6,北海道HO 2020年版,ぶらんとマガジン社,2019-11-11,"
✦獨特美景✦誘人美食✦與自然互動✦ 以招待之心，獻上最美好的旅遊提案 歡迎感受北海道的四季皆精彩的風情   四面環海，保留許多原始的自然環境，是美景與美食的寶庫。   光是造訪2次或3次，根本無法踏遍這片...more
",https://www.books.com.tw/products/0010837939?loc=P_0003_006
7,誌麟姊姊私藏北海道公路小旅行,誌麟姊姊,2019-10-11,"
道友們!跟著FB北海道旅遊情報版主「誌麟姊姊」，   告別北國都會區的人潮，一起潛入自然大地的懷抱吧!   無論你是喜歡山岳或大海、想蒐集北海道極點之地、   還是跟姊姊一樣愛帶著家人吃美食、賞花海、認...more
",https://www.books.com.tw/products/0010836524?loc=P_0003_007
8,北海道親子遊：跟著雪倫愛出走!交通X食宿X景點，大人小孩都說讚的行程規劃全書! 全新增訂版,雪倫,2019-08-22,"
PLUS+：定山溪一日小旅 豐平川划船、豐平峽水壩、定山溪農場採果樂 同場加映：北海道大學銀杏併木道、北海道神宮、道立公園兒童之國、天狗山夜景，親子景點全收錄。 ★帶孩子去北海道，一定要有這本終極攻...more
",https://www.books.com.tw/products/0010831018?loc=P_0003_008
9,北海道超導覽2019,朝日新聞出版,2019-06-26,"
北海道旅遊最新&最夯的主題!   ◎旭山動物園完美導覽   引導動物原始行為的展示創意/動物餵食秀/從各種角度觀察動物   ◎王道&新經典景點45   花田/流冰/藍色絕景/雲海/星空/夏日遊樂/美食/極致住宿   ◎札幌...more
",https://www.books.com.tw/products/0010824819?loc=P_0003_009
10,北海道旅遊全攻略2019-20年版,鄭兆臻,2019-05-24,"
乘北海道新幹線.四季遊玩北海道 令和元年.北海道旅遊全攻略   集齊熱門景點的全年情報，整理札幌夏季札幌中島公園、藻岩山、大倉山等周邊景點，並更新遷移新開的 JR 苗穗駅，方便遊客到 ARIO 札幌購物。另...more
",https://www.books.com.tw/products/0010822391?loc=P_0003_010
