,書名,作者,出版日期,內容介紹,網址
1,廣島.鳥取.岡山.山口.島根達人天書2021-22革新版,"Wow!編輯部,卡兒",2020-07-21,"
首創WOW!MAP，出發前預先下載，在計劃行程時只要一掃想去景點的QR MAP，就可以自動為你編排行：交通導航、店舖資訊一目了然!編排行程從此輕鬆簡單    - 區內推介海鮮美食：新鮮的海鮮丼、烤海鮮、生蠔、壽...more
",https://www.books.com.tw/products/0010863099?loc=P_0003_001
2,你說，鳥取到底有什麼?安西水丸的鳥取民藝散步,安西水丸,2020-06-10,"
「用之美」在民藝，民藝之美在鳥取! 村上春樹畢生密友與戰友、日本插畫大師安西水丸 生前未發表珠玉紀行首度集結成冊   陶器、童玩、和紙、人偶、絣布、木工家具……   鳥取的民藝，一如安西水丸的畫作，   ...more
",https://www.books.com.tw/products/0010860047?loc=P_0003_002
3,廣島岡山 山陽地區(20-21年版),Li,2020-03-26,"
本書帶你遊遍日本山陽地區3大縣：適合親子遊和購物的「廣島縣」、晴天之國的「岡山縣」、連結九州的「山口縣」，重點推介幾個瀨戶內海特色小島，如大久野島(兔子島)、位於島波海道上的大三島和生口島，是...more
",https://www.books.com.tw/products/0010851874?loc=P_0003_003
4,鳥取春散策(博客來獨家贈品版),王春子,2020-03-04,"
★博客來獨家贈品：王春子手繪活版印刷藏書票(一組二張)，完美收藏鳥取風情★ 慢・漫・遊的異國行旅。   插畫家王春子以獨特的繪者之眼，   漫步在沙丘、民藝與神話之國，   畫寫出「少即是多」的鳥取風景。...more
",https://www.books.com.tw/products/0010850615?loc=P_0003_004
5,旅遊味 鳥取,捷沛實業有限公司編輯部,2019-09-23,"
本期將介紹日本鳥取、千葉、韓國、瑞士、泰國等。在國內飯店也特別介紹飯店最新優惠訊息 本書特色   1.部落客快樂雲、帆帆貓、瑪格的旅遊分享   2.國內外旅遊介紹   3.台灣飯店暑假住宿精選...more
",https://www.books.com.tw/products/0010834264?loc=P_0003_005
6,岡山‧廣島慢旅行 附 姬路.直島.岩國.松山,牛奶杰,2019-09-01,"
號稱「晴天之國」的岡山   岡山市桃太郎傳說發源地「吉備津神社」   高梁市深山中的銅礦奇蹟「吹屋銅屋村」   倉敷市滿足紙膠帶和雜貨控的需求   在「兒島」搭牛仔巴士吃丹寧藍色冰淇淋   擁有「日本縮圖...more
",https://www.books.com.tw/products/0010831983?loc=P_0003_006
7,廣島、山陰 廣域遊,昭文社編輯部,2019-08-29,"
日本昭文社最具公信力的旅遊書籍品牌《たびまる》(TABIMARU)，於台灣發行繁體中文版! (1)收錄最完備的旅遊情報與路線地圖 (2)量身訂製推薦玩法，一本在手，功課免做 (3)活潑俐落的內文排版，輕鬆易讀，查...more
",https://www.books.com.tw/products/0010831552?loc=P_0003_007
8,廣島 宮島打卡通 艷遊日本7,昭文社,2019-07-25,"
~網美私藏打卡百讚景點!~   收錄「超上鏡」的新一代IG打卡聖地!   盤點日本「新地標」、雜貨、文青必逛「挖寶熱店」、最夯「藝術新秀」!   打破昔日行程規劃，【美照+體驗至上】的日本全新玩法!   ★★日本...more
",https://www.books.com.tw/products/0010828324?loc=P_0003_008
9,山陰 鳥取‧松江‧萩：MM哈日情報誌系列22,MAPPLE昭文社編輯部,2019-03-08,"
※本書隨書附贈特別附錄：出雲大社參拜BOOK&山陰MAP   前往令人永生難忘的知名景勝!   ★一遊水木茂之路的妖怪景點   ★搭松江堀川遊覽船觀賞美景   ★鳥取砂丘體驗絕美景色   ★前往秋芳洞&秋吉台探險   山陰...more
",https://www.books.com.tw/products/0010814685?loc=P_0003_009
10,廣島‧宮島 尾道‧吳‧島波海道：MM哈日情報誌系列19,MAPPLE昭文社編輯部,2019-01-04,"
※本書隨書附贈16頁廣島鯉魚隊特別附錄+自駕附錄24頁+嚴島神社地圖   蘊藏歷史與文化的廣島、宮島是日本本州西部的觀光重鎮，尤以沿海城市各自發展出不同的風情。來到臨近廣島市區的宮島能親眼見證最神秘且...more
",https://www.books.com.tw/products/0010809081?loc=P_0003_010
11,廣島鳥取食玩買終極天書 2019-20版(島根 岡山 山口),"何曉萍,趙敏惠",2018-12-12,"
說起日本山陰山陽地區，未必人人熟知其所在之處，不過當地幅員廣大、觀光資源極為豐富，再加上設直航航線來往香港及台北，若是厭倦了東京、關西的鬧市，這裡的湖光山色絕對是另一好選擇!今次長空閃令令自...more
",https://www.books.com.tw/products/0010807411?loc=P_0003_011
12,山陰山陽：鐵路周遊券+青春18交通全攻略，玩遍岡山‧鳥取‧山口‧島根──世界遺產、夢幻砂丘、絕景古城、美食祭典，最完整的自由行程規劃,米多力,2018-09-01,"
美國CNN評選「日本最美風景」此生必定要去 終於不用再跟團!自助達人帶路，跟著走不迷路 超划算→ 關西、福岡、岡山進入，搭廉航一路玩 超方便→ 親子閨密同遊，買套票再搭觀光計程車 PLUS ★ 加值收錄 ● 經典...more
",https://www.books.com.tw/products/0010796891?loc=P_0003_012
