,書名,作者,出版日期,內容介紹,網址
1,帶著聖經去旅行：跟著保羅宣教去(土耳其、希臘、義大利),白碧香,2020-05-01,"
防疫不旅行、好好讀聖經!    《帶著聖經去旅行—跟著保羅宣教去》是以「聖經為經、聖地為緯」的防疫好書，作者用800張精選照片與洗鍊文字，帶您穿越古今、臥遊寰宇，讓您在家也能神遊聖地、快樂讀經，提升...more
",https://www.books.com.tw/products/0010856293?loc=P_0003_001
2,葡萄牙,地球步方編集室,2020-03-21,"
位於歐亞大陸與伊比利半島西端的葡萄牙，擁有15處世界遺產，在滿是歷史建築與美麗大自然的這個國度，空氣中飄散著法朵樂音與烤魚香氣，所到之處充滿著懷舊風情。且跟著地球步方造訪葡萄牙大城小鎮，在美景...more
",https://www.books.com.tw/products/0010852097?loc=P_0003_002
3,葡萄牙：里斯本‧波特‧辛特拉‧科英布拉‧艾芙拉,蒙金蘭‧汪雨菁‧墨刻編輯部,2020-03-19,"
★★★這是一本可以增加葡萄牙旅途樂趣的旅遊書，從此讓旅遊不僅只記住吃喝玩樂，還讓人輕輕鬆鬆聽故事、長知識、一路笑著玩⋯★★★ 你知道….. ◎葡萄牙磁磚除了漂亮，還隱藏哪些秘密? ◎葡萄牙最有名的三明治竟然...more
",https://www.books.com.tw/products/0010851621?loc=P_0003_003
4,開始在愛爾蘭自助旅行(最新版),陳琬蓉,2020-03-12,"
全面資訊修訂更新! 機場與市區交通、Leap Card使用詳解 全境、南&北&西部主題行程規畫、斯凱利格島登島遊玩攻略   本書完整蒐羅愛爾蘭重點地區!   以都柏林市中心為主軸，擴及獨具特色的各城旅遊導覽。   ...more
",https://www.books.com.tw/products/0010851476?loc=P_0003_004
5,里斯本 附：辛特拉、卡須凱須、什突堡半島、馬孚勒、埃孚拉、歐畢杜須,黃詩雯Sharon,2020-02-28,"
被稱為歐洲陽光之都的葡萄牙里斯本   不僅因為絕佳的沙灘與海洋，更因為平實的消費與友善的民情   讓她成為最適合度假的歐洲國家   除了葡式蛋塔，在里斯本還有更多驚豔之旅   體驗搭升降機登觀景台俯視山...more
",https://www.books.com.tw/products/0010850433?loc=P_0003_005
6,開始在希臘自助旅行(新第四版),林少凡,2020-01-21,"
懷抱對過往神話的嚮往，沉醉流連於世界遺產的名勝古蹟中，   渡海走近五大小島，遠眺伊亞夕照或親近火山小島聖多里尼，   探訪世上最知名的雅典衛城，領略古文明帶來的衝擊震撼。   透過作者更新的資訊整...more
",https://www.books.com.tw/products/0010847094?loc=P_0003_006
7,荷蘭‧比利時‧盧森堡,戴鎂珍‧墨刻編輯部,2020-01-19,"
走，一起攪翻荷比盧的五感調色盤 想去荷蘭賞花、看風車、朝聖大師名畫， 嚮往比利時的啤酒、幽默漫畫、古城運河， 前進盧森堡的地下迷宮探險、喝杯汽泡酒，也不賴!  宛如調色盤的繽紛元素勾起了你的旅行魂...more
",https://www.books.com.tw/products/0010846462?loc=P_0003_007
8,走讀俄羅斯：8大必遊景點x10部經典電影，令人藝遊未盡的鐵道深度之旅,黃作炎,2019-12-05,"
※ 第一本結合電影、文學與鐵道的俄羅斯旅遊書 ※   循《安娜卡列尼娜》足跡，一睹如宮殿般華麗的聖彼得堡地鐵。莫斯科最古老的凱旋門，等同於《戰爭與和平》波瀾壯闊的歷史。到歷時百年的馬林斯基劇院，觀...more
",https://www.books.com.tw/products/0010842158?loc=P_0003_008
9,克羅埃西亞斯洛維尼亞(修訂二版)：人人遊世界(29),"實業之日本社,旅遊書海外版編輯部",2019-11-29,"
過往鐵幕時代的南斯拉夫，是個大家在課本上都讀過的國家，同時也是最不容易找到各種資訊的國家之一。但在長年內戰結束和推動民主化之後，這個位於義大利隔著亞得里亞海對面的國度克羅埃西亞，卻以亞得里亞...more
",https://www.books.com.tw/products/0010840403?loc=P_0003_009
10,歐洲從東邊玩：歐洲人的旅遊天堂波羅的海三小國、德東、波蘭、捷奧匈金三角，安全×超值×好吃×好玩，小資族也可以輕鬆上路!,背包Ken,2019-11-26,"
我們去歐洲玩，歐洲人去哪裡玩?   答案是：東歐!   歐洲向來是觀光客的最愛，相較於北歐的高物價、西歐和南歐的治安不佳，東歐無論是物價還是安全性，都顯得親民，即使是小資族也負擔得起，讓35歲前就玩過...more
",https://www.books.com.tw/products/0010840713?loc=P_0003_010
11,希臘王(2020年版),經緯文化,2019-11-15,"
神話‧古蹟‧浪漫‧熱情 一書收錄希臘全國名城熱點   豪情奔放的藍白色國度   蜜月聖地聖托里尼，在愛琴海岸欣賞世上最美日落；瘋狂沙灘米科諾斯，全天候天體海灘，感受希臘人的率性情懷   遊走遺跡探索古老...more
",https://www.books.com.tw/products/0010839538?loc=P_0003_011
12,莫斯科‧金環‧聖彼得堡(新第五版),王姿懿,2019-10-11,"
歷經輝煌的沙皇時代、波瀾四起的共產革命、諜對諜的冷戰歲月   脫下過去種種時代沉積，走入民主的俄羅斯依然引人矚目   年度最新版《莫斯科‧金環‧聖彼得堡》帶你目擊最新現況   朝聖宏偉的東正教殿堂、探...more
",https://www.books.com.tw/products/0010836506?loc=P_0003_012
13,心中的俄羅斯,邢協豪（行寫好）,2019-10-01,"
作者第一站起於聖彼德堡。五天四夜之內，涵蓋了周邊的彼得夏宮(Peterhof Palace)，凱薩琳宮(Catherine Palace)，巴甫洛夫斯克宮(Pavlovsk Palace)。再乘夜行火車南下雅羅斯拉夫爾(Yaroslval)......more
",https://www.books.com.tw/products/0010838377?loc=P_0003_013
14,波蘭自助超簡單：波蘭女孩X台灣男孩帶你去旅行(最新版),"葉士愷,蜜拉(Emilia Borza-Yeh)",2019-08-01,"
資訊全面更新，新增絕美度假夢境札科帕內、波蘭陶的首都博萊斯瓦維茨，   還有蜜拉&士愷深入導覽的影片連結QRcode!    市面上第一本波蘭自助旅遊專書，   由波蘭台灣夫妻檔帶路，一同前往東歐的美麗國度，...more
",https://www.books.com.tw/products/0010829173?loc=P_0003_014
15,希臘：雅典•愛琴海島嶼,趙思語•吳佳曄•墨刻編輯部,2019-07-20,"
HEY!聽說~你想去希臘玩? 但你不知道怎麼規劃行程? 啊!這或許可以幫到你~ 這是一本據說可以增加希臘旅遊樂趣的旅遊書，讓你一路笑著玩~ 不論跟團或自由行，一本在手，玩出精彩!  出發前你必須要知道， 希臘...more
",https://www.books.com.tw/products/0010827785?loc=P_0003_015
16,葡萄牙，我們一起去,Brian,2019-07-13,"
這一次，帶著你心愛的人， 暢遊葡萄牙!   如詩集般的迷人城市、獨特的藍旗海灘、   彩豔滾邊的野花地毯、山丘上一圈圈葡萄園、   一艘艘運送酒桶的木船、波光粼粼的多情河水……   ★里斯本大區x阿爾加維大區...more
",https://www.books.com.tw/products/0010827943?loc=P_0003_016
17,在希臘發現愛：愛在午夜希臘的心旅記,陳彧馨,2019-07-01,"
多年前，作者陳彧馨看了被喻為最棒的愛情電影三部曲(愛在黎明破曉時、愛在日落巴黎時、愛在午夜希臘時)後去了巴黎、維也納，寫出了她的第一本書《愛在日落破曉時：我的巴黎維也納》，當時她的年紀與愛情觀...more
",https://www.books.com.tw/products/0010827614?loc=P_0003_017
18,希臘愛琴海,地球步方編集室,2019-06-22,"
自古以來就因為出現輝煌的文明，希臘擁有著眾多的歷史觀光景點，而且在愛琴海與愛奧尼亞海之間各座隱世小島上，更有世界各國所聚焦的海灘度假勝地，特色獨具的大小島嶼星羅棋布點綴其間，在悠遊各處古蹟遺...more
",https://www.books.com.tw/products/0010824991?loc=P_0003_018
19,開始在荷蘭自助旅行(新第六版),陳奕伸,2019-06-12,"
暢遊荷蘭必備旅遊書，資訊全面更新!   ● 交通最強助功!提供超齊全的各種交通聯票詳解&實用評比、OV-Chip卡全面解析、荷蘭國鐵購票Step by Step教學、網上班次查詢圖示範例、囊括火車、巴士、電車、地鐵、...more
",https://www.books.com.tw/products/0010824308?loc=P_0003_019
20,葡萄牙,陳蓓蕾‧墨刻編輯部,2019-05-18,"
葡萄牙氣候溫暖，人民熱情，物價親民，美食美酒俯拾皆是。空氣中迴盪著法朵音樂的里斯本，浪漫夢幻的波爾圖，隱藏山間的石頭城，史前時代的遺跡，裸體海灘……。這裡新舊融合，風景萬千，讓人留連忘返。葡萄...more
",https://www.books.com.tw/products/0010821654?loc=P_0003_020
21,波蘭深度之旅：華沙、克拉科夫、格但斯克、托倫、波茲南,小仙仔,2019-04-12,"
波蘭，這個曾經在地圖上消失過兩次的國家，   世人對她的既定印象，總有些許悲傷的色彩。   然而，親身踏上這塊土地後，你會發現她早已浴火重生，蛻變成中歐最耀眼的一顆星。    無論是高樓櫛比鱗次、市容...more
",https://www.books.com.tw/products/0010818534?loc=P_0003_021
22,克羅埃西亞.斯洛維尼亞.蒙特內哥羅,李曉萍‧墨刻編輯部,2019-03-21,"
巴爾幹半島位於東歐、西歐與南歐的交界，位置居中的有點尷尬又令人眼紅，自古即是兵家必爭之地，身世乖舛總難得一時半刻的平靜，因此得了個火藥庫之名。但如果你以為克羅埃西亞、斯洛維尼亞、蒙特內哥羅這...more
",https://www.books.com.tw/products/0010816103?loc=P_0003_022
23,阿姆斯特丹(最新版),蘇瑞銘（Ricky）,2019-03-12,"
資深旅遊作家Ricky，深度導覽荷蘭最精華城市!   從鬱金香花海、風車、運河到特殊的大麻文化與紅燈區，帶你全面領略阿姆斯特丹的百變風情!   全書資訊、票價全面更新   國民美食&超市好物加碼推薦!   周邊...more
",https://www.books.com.tw/products/0010815632?loc=P_0003_023
24,從「荷」說起，漫遊荷蘭,"Nina,超大翻譯機",2019-02-01,"
★大城遊 小鎮走 荷蘭重點城市完全收錄 是自助攻略也是深度旅記，教你方法也陪你漫遊 ★一個城市一個故事，一段旅程一段心境 除了用雙眼與雙腳去體會，同時帶上心與夢想， 讓旅程精彩片刻，烙印在腦海，成為...more
",https://www.books.com.tw/products/0010812450?loc=P_0003_024
25,愛上海參崴，啾咪!,"耐嚕,阿丸",2019-01-09,"
海參崴位在俄羅斯的東部，鄰近中國東北和朝鮮，是濱海邊疆區的首府，也是俄國太平洋沿岸的最大港口，它的面積約略600平方公里，只比兩個台北市大一點，但是真正熱鬧的市區其實很小，甚至都是步行可達的距...more
",https://www.books.com.tw/products/0010810712?loc=P_0003_025
26,河山人會：歐遊史地情,靳達強,2018-11-02,"
「歐洲是近代文明發端所在，俄國以西的歐陸，民族錯綜，地緣複雜，歷史曲折……每當踏足歐洲各國的老鎮古巷，石橋城壘，常覺歷史在腳下流動，心頭每被觸動。」   到德國，不談萊茵河、多瑙河，反而走訪德國...more
",https://www.books.com.tw/products/0010803846?loc=P_0003_026
27,里斯本，沒落的美感,細腿男,2018-06-30,"
dato/專欄作家、樂評人 John Tao/鏡頭的角落 Soac 索艾克/電視主廚 田定豐/豐文創創辦人、旅遊作家 樂活的大方/旅遊部落客 李秀媛/廣播電視節目主持人 林福益/城邦出版集團業務總經理 馬賽Kyo/極境攝影人 ...more
",https://www.books.com.tw/products/0010790406?loc=P_0003_027
