,書名,作者,出版日期,內容介紹,網址
1,義大利經典繪旅行：由南到北漫遊名勝、品味美食，體驗理想的義式生活!(全新修訂版),"傅美璇Erica,文少輝Jackman",2020-06-17,"
義大利，值得一去再去! 歷史遺跡X藝術名作X飲食主義X文化美學 走訪七大百年城市、地中海小鎮， 深入小鎮尋寶，走訪火腿、酒醋工廠，跟著義大利媽媽做菜趣， 尋訪不一樣的義大利!   在畫筆、相機、文字的陪...more
",https://www.books.com.tw/products/0010860597?loc=P_0003_001
2,義大利南部深度之旅(’20~’21最新版),簡婉莉（莉莉安小貴婦）,2020-01-01,"
全書資訊修訂更新!知名部落客──莉莉安小貴婦傾囊分享，帶你遊走精采南義。   義大利南部，有點遙遠，有點陌生，但是很精采!   曾旅居義大利的知名部落客──莉莉安小貴婦，將她對南義的熱愛集結成書，   把...more
",https://www.books.com.tw/products/0010844094?loc=P_0003_002
3,開始在義大利自助旅行(新第七版),吳靜雯,2019-10-11,"
最完整的義大利在地資訊大公開!   2020年長榮航空將直飛米蘭，   新增羅馬機場快速通關服務介紹，義大利之行更便捷!   市區和機場退稅指南教戰守則，提供位置便利的住宿點   ，可節省體力並玩得盡興。   ....more
",https://www.books.com.tw/products/0010836509?loc=P_0003_003
4,義大利料理地圖：深度探訪義大利飲食文化‧100道經典義式家常菜,"傑克‧畢夏普,尤金妮亞‧彭恩,美國實驗廚房,茱莉亞‧德拉‧克羅斯",2019-10-08,"
暢遊義大利史地人文，重現百道經典料理   國家地理X美國實驗廚房 首次跨界合作，結合文化與美食的超滿足饗宴!   ․亞馬遜網路書店讀者五顆星★★★★★好評推薦。   ․國家地理深入介紹義大利各地的美食歷史、人...more
",https://www.books.com.tw/products/0010835840?loc=P_0003_004
5,意大利王(2020年),經緯文化,2019-09-25,"
古蹟。藝術。美食。時裝   體驗意國情懷。穿梭歷史時空   羅馬   氣勢磅礡鬥獸場、競技場，神聖國度梵蒂岡，見證古羅馬輝煌盛世   米蘭   米蘭大教堂、名店區，文藝復興百貨，集觀光與時裝於一身   佛羅倫...more
",https://www.books.com.tw/products/0010835569?loc=P_0003_005
6,義大利：羅馬‧佛羅倫斯‧威尼斯‧米蘭,王偉安•墨刻編輯部,2019-09-07,"
出國旅遊有時候需要貼心的家人；有時候需要專業的導遊；有時候需要有趣的朋友……或者……你需要的都在這本書裡了!最有趣、最實用的義大利旅遊書! 這些事你必須要知道 ◎咖啡店要站著喝還是坐著喝? ◎義大利麵到...more
",https://www.books.com.tw/products/0010832707?loc=P_0003_006
7,意大利 2020-21最新版,屠慧珊,2019-07-17,"
全書432頁，搜羅意大利4大名城羅馬、佛羅倫斯、威尼斯和米蘭的名勝古蹟和人氣景點。特別收錄梵蒂岡、維羅納、奧爾維耶托、白露里治奧、比薩和五漁村的旅遊資訊。增設10大主題特集，精選食、玩、買、拍、住...more
",https://www.books.com.tw/products/0010825559?loc=P_0003_007
8,如果，你來佛羅倫斯：漫步在天堂美食與文藝復興之間,法比歐．皮奇,2019-06-29,"
不要帶這本書去佛羅倫斯，把它放在枕邊，隨之神遊。 「羅倫斯的春天，讓你明白付出愛與接受愛的責任。當夏天來到佛羅倫斯，你將在丘陵間體會到時間的相對性。秋天，享用著一串串葡萄時，你忽然醒悟，生命...more
",https://www.books.com.tw/products/0010825598?loc=P_0003_008
9,義大利,王偉安‧墨刻編輯部,2019-04-11,"
坐辦公室太久覺得枯燥乏味嘛?台灣國內旅遊已經滿足不了你了嘛?日本、韓國去過太多次了嘛?歐洲有太多地方，不知道去哪裡嘛?這些症狀很好解決，推薦您「義大利New Action」這帖良方，內含多種療效，保證藥到...more
",https://www.books.com.tw/products/0010818100?loc=P_0003_009
10,私藏北義之美：Amanda的旅行散策,Amanda Cho,2019-01-25,"
作者Amanda以其多年在藝術與美食方面的沉浸，介紹你從來沒有看過的義大利之美。 本書特色   不同於其他旅遊書大多淪於景點的介紹與純粹的心情抒發，本書以獨特的寫法，介紹了義大利的歷史、藝術家的生平及...more
",https://www.books.com.tw/products/0010811471?loc=P_0003_010
