,書名,作者,出版日期,內容介紹,網址
1,溫哥華深度之旅(附：溫哥華都會區‧維多利亞市)(新第三版),海馬老爸,2020-01-10,"
新亮點：溫哥華重要慶典 + 精釀啤酒文巡禮   不容錯過!體驗在地限定的品酒品嘗團及感受道地的溫式節慶歡樂   老饕最愛!異國料理、跨界料理、米其林三星餐廳、特色早餐、另類咖啡館精選推薦   驚豔新點!島...more
",https://www.books.com.tw/products/0010845815?loc=P_0003_001
2,開始在加拿大自助旅行(新第四版),沈正柔,2019-10-11,"
山海圍繞的溫哥華，被視為宜居城市之一   擁有來自世界各地移民的歷史軌跡及文化   碧湖、雪山、冰川造就洛磯山的自然之美   尋訪可愛的野生動物，目睹「動物堵塞」   全書資訊修訂更新，增添賞櫻和極光之...more
",https://www.books.com.tw/products/0010836516?loc=P_0003_002
3,多倫多深度之旅：附尼加拉瀑布、京士頓、渥太華,海馬老爸,2019-06-01,"
多倫多，加拿大最有活力且多元性的城市! 定居加拿大的美食旅遊玩家「海馬老爸」，精選11大分區， 以在地人眼光，帶你走訪多倫多各個角落， 另有美加邊境的尼加拉瀑布、安大略省的京士頓、渥太華。 每當季...more
",https://www.books.com.tw/products/0010822965?loc=P_0003_003
4,加拿大,蔣育荏‧墨刻編輯部,2019-04-20,"
加拿大東西軍‧吃喝玩樂大比拚! 過去有很長一段時間，人們去加拿大旅行多半會選擇到西部，畢竟洛磯山脈裡的絕美景色，被譽為一生一定要去過一次的地方。不過近年來加拿大東部的人氣也直線攀升，法語區城市...more
",https://www.books.com.tw/products/0010818940?loc=P_0003_004
5,開始在加拿大自助旅行：附溫哥華‧洛磯山脈 (新第三版),沈正柔,2017-11-10,"
溫哥華，為山脈與海洋擁抱的大花園   曾被評比為世界上最適合居住的城市   擁有來自亞裔、歐裔及古老居民的歷史軌跡!      洛磯山脈，360°的壯闊絕景   擁有4處國家公園：班芙、傑士伯、幽鶴及庫特尼   冷...more
",https://www.books.com.tw/products/0010770221?loc=P_0003_005
6,溫哥華‧加拿大洛磯山脈：叩叩世界系列13,"Inc.,JTB Publishing",2017-06-27,"
※本書另附隨身大地圖   溫哥華是個多次被評選為世界上最適合居住的城市的國家，也是加拿大距離台灣最近的西岸城市。你可以在這裡騎自行車、划船、滑雪、登山健行，也可以走進流行時尚的精品店購物、享受優...more
",https://www.books.com.tw/products/0010755273?loc=P_0003_006
7,開始到加拿大打工度假(全新增訂版),陳玉琳,2017-05-12,"
打工之餘，同時玩樂一整年!實現夢想的超級工具書!   【最新加拿大打工度假申請步驟】   將繁瑣的程序整理成7大步驟，搭配精細圖解教學，包含帳號註冊、申請IEC個人檔案、登入MyCIC收訊息等，一步步設定妥...more
",https://www.books.com.tw/products/0010752238?loc=P_0003_007
8,上帝把葉子染紅了：溫哥華、西雅圖、萊溫芙斯的秋日旅行,依品凡,2016-09-02,"
心靈需要滋養的時候，跟著上帝去旅行，就是天堂。   這一次，旅行作家依品凡又有了新的冒險。   原來，在美國遼闊的土地上，有一座小小的「德國城」   萊溫芙斯……。   這個小小的心動，讓作者決定飛向加拿...more
",https://www.books.com.tw/products/0010726626?loc=P_0003_008
9,加拿大,蔣育荏,2016-07-21,"
請繫好安全帶，我們馬上就要出發了   我們的旅程從溫哥華開始，這座被評為地球上最適合人類居住的城市在和煦的陽光下閃閃發亮，朝氣蓬勃的街景彷彿正炫耀著她那與眾不同的生活品味。接著我們來到比英國還...more
",https://www.books.com.tw/products/0010721569?loc=P_0003_009
10,育空極地大冒險：勇闖北極圈，來趟極光、愛斯基摩、馴鹿大遷移、野生動物、圖騰、淘金之旅,烏騰與馬妞,2016-05-31,"
2013年2月14日，台灣夢想鬥士陳彥博花了10天7小時又15分鐘，徒步走完700公里，在跑步組獲得第三名，成為首位完成「育空極地馬拉松橫越賽」的亞洲人。   在加拿大育空特區舉行的「700公里極地馬拉松橫越賽...more
",https://www.books.com.tw/products/0010710854?loc=P_0003_010
