,書名,作者,出版日期,內容介紹,網址
1,打卡洛杉磯 附：拉斯維加斯,Jas,2020-01-21,"
這不是一本普通的旅遊導覽書，而是真正在地的LA新潮流行指南   好萊塢標誌、星光大道、環球影城不夠看，   文青必訪網美塗鴉牆、IG超夯打卡美食、豔陽四射的衝浪客海灘，   還有熱門電影、美劇場景，洛杉...more
",https://www.books.com.tw/products/0010847097?loc=P_0003_001
2,24H紐約漫旅：咬一口大蘋果，感受大都會‧紐約的迷人韻味。探索紐約，在最棒的時間做最棒的事!帶領你暢遊24小時的旅遊導覽書,,2020-01-06,"
要成為「紐約客」應該具備什麼樣的特質?   得先看看你是否擁有自由奔放的想像力與融入各式文化的柔軟性   充滿多元色彩與夢想的世界城市˙紐約   將永遠張開她的雙手，擁抱每一個熱愛探險的夢想實踐者   24...more
",https://www.books.com.tw/products/0010845230?loc=P_0003_002
3,洛杉磯：附聖地牙哥、聖塔芭芭拉、棕櫚泉與大熊湖(最新版),艾米莉,2019-11-01,"
全面資訊修訂更新!   以資深居民的熱忱與行動力、旅遊記者的細心與觀察力，   為你深度導覽洛杉磯縣、橙縣全區，以及周邊著名景點聖地牙哥、聖塔芭芭拉、棕櫚泉與大熊湖!    ● 最新直擊：Disney星際大戰主...more
",https://www.books.com.tw/products/0010838310?loc=P_0003_003
4,紐約客的紐約,張懿文,2019-11-01,"
紐約，這顆大蘋果，多元、充滿活力與新奇，   遊客們忙著逛博物館、吃美食、看百老匯、買精品......   紐約客租著居高不下的房子、看著街頭乞討的街友、忍受著沒冷氣的高齡地鐵......   這樣的矛盾與反差...more
",https://www.books.com.tw/products/0010838311?loc=P_0003_004
5,深南地方,保羅．索魯,2019-10-05,"
一名旅人可以隨即融入美國南方生活的節奏中， 因為這裡有股簡單將人包覆起來的歡迎力量，堪比魔咒。」 ──保羅.索魯 以「洋基」身分，保羅.索魯驅車駛入美國南方的深處。 這裡有時看似寬慰，有時又狂熱決絕...more
",https://www.books.com.tw/products/0010829604?loc=P_0003_005
6,美國東岸─紐約‧波士頓‧費城‧華盛頓特區‧尼加拉瀑布,蔣育荏‧墨刻編輯部,2019-09-12,"
「他站在慢慢駛進紐約港的班輪上，突然有一陣陽光似乎照亮了自由女神像。雖然他早就見到了自由女神像，但是他此時卻看到雕像浴在一種嶄新的亮光之中。雕像那隻握著火炬的手臂舉起來，好像剛剛向上伸展，而...more
",https://www.books.com.tw/products/0010832915?loc=P_0003_006
7,美國中西部驚嘆之旅：峽谷、山峰、瀑布、湖泊、巨石等國家級景觀風景(新裝版),"許正雄,陳美娜",2019-06-12,"
橫亙太平洋與大西洋之間的美國，幅員廣大 靠海的東西兩岸與位於中央的中西部景色截然不同 峽谷縱深、陡岩峭壁、沙漠沙丘、白楊瀑布，每個景點都讓人震懾驚嘆   素來有「美國文化縮影」之稱的中西部，有著...more
",https://www.books.com.tw/products/0010824309?loc=P_0003_007
8,開始到美國國家公園自助旅行,沈正柔,2019-06-01,"
優勝美地、黃石、大峽谷、約書亞樹、火山口湖國家公園……   美國國家公園擁有特殊的地理與人文環境，從壯麗峽谷與飛瀑，蒼茫鹽地，沉靜沙丘，   到巨柱仙人掌，原住民祕境聖湖等，蘊含世界珍貴的自然寶藏。...more
",https://www.books.com.tw/products/0010822959?loc=P_0003_008
9,開始在美國自助旅行(新第十版),陳婉娜,2019-04-12,"
紐約、舊金山、洛杉磯3大城市機場入出境、交通詳解   資訊全面更新，助你行程規畫更豐富更彈性!    【行家情報，精采揭露】   此生必訪全美18個熱搜景點   10大名城特色美食、全美頂尖名廚風雲榜   TOP 15...more
",https://www.books.com.tw/products/0010818523?loc=P_0003_009
10,紐約：最新‧最前線‧旅遊全攻略,朝日新聞出版,2019-04-10,"
紐約，國際大都會&美國大蘋果，城市旅行首選! 日本暢銷突破41萬冊!!   吃-喝-玩-樂-賞-買，在紐約必做的102件事，   從經典地區到私房景點，從最新資訊到實用便利帳，   盡情享受旅遊紐約的多樣美好提案! ...more
",https://www.books.com.tw/products/0010818114?loc=P_0003_010
11,舊金山在地漫遊：灣區X酒鄉X美食，精選行程說走就走!2019-2020,克里斯‧李,2019-02-21,"
最道地!最詳盡!讀者公認：史上最強舊金山行程全攻略! 舊金山最新旅遊景點零時差! 13條經典路線，文藝、親子、運動、自然、文化、美食，為美好的旅程增添驚嘆號! 最在地的私房精選路線，完美旅行現在就出發...more
",https://www.books.com.tw/products/0010813582?loc=P_0003_011
12,紐約客的美食地圖：從人氣名店到平價美食，跟著在地人吃遍曼哈頓&布魯克林,池城美菜子,2019-01-28,"
紐約之旅，就從美食開始吧!   CP值爆表的早午餐、名廚級的異國料理、   網美系的夢幻甜點、銅板價的平民美食，   從咖啡館、餐廳、地下酒吧到街頭餐車，   讓內行人帶你逛遍大蘋果，一次吃好吃滿!   在世...more
",https://www.books.com.tw/products/0010811527?loc=P_0003_012
13,CityDiscoverer：西雅圖溫哥華 美西北2019,楊春龍,2019-01-28,"
CityDiscoverer：西雅圖溫哥華.美西北2019第1版出版訊息   喜愛旅行的好朋友，我們的美加旅書-首冊：『西雅圖溫哥華.美西北』終於要與您見面了!   先把這新書特色與內容，簡單推薦一下   首先說,世上旅書...more
",https://www.books.com.tw/products/0010813088?loc=P_0003_013
14,洛杉磯‧舊金山‧拉斯維加斯,蔣育荏‧墨刻編輯部,2019-01-19,"
多彩多姿的加州，不是只有一種玩法，她集合了所有旅遊型態，你想怎麼玩，加州全都奉陪。在加州旅行的每一天，就像是快速瀏覽不同頻道，以下列出幾個熱門節目，供你參考：  【加州電影台】 「外太空應該是...more
",https://www.books.com.tw/products/0010810861?loc=P_0003_014
