,書名,作者,出版日期,內容介紹,網址
1,澳洲東岸 (2020-21年版),經緯文化,2020-01-21,"
一網打盡東澳洲5大熱門城市人氣景點!   【墨爾本】：Seven Seeds享用神級咖啡；漫步Hosier Lane欣賞塗鴉藝術；乘坐熱氣球鳥瞰雅拉河谷日出絕色；奔馳大洋路近觀12門徒石   【悉尼】：登上海港大橋盡覽悉尼...more
",https://www.books.com.tw/products/0010847322?loc=P_0003_001
2,澳洲,趙思語‧蒙金蘭‧墨刻編輯部,2020-01-19,"
G’day, mate! 歡迎光臨《澳洲New Action》的新書發布會! 想去澳洲玩，但無從下手開始準備? 現在有請MOOK編來回答各位的問題~ Q：澳洲到底有什麼特別的? A：在這個全世界最小洲、全世界最大島上，處處有驚...more
",https://www.books.com.tw/products/0010846461?loc=P_0003_002
3,開始在紐西蘭自助旅行(’20~’21最新版),"Jeff Chen,老包,舞菇",2019-12-12,"
三位專家聯手出擊，《開始在紐西蘭自助旅行》全新製作!   最新簽證申請說明，提供Step byStep詳解教學。資訊全面更新。   附贈：南北島12條路線規畫全地圖，一目了然，立即掌握各行程的銜接點!   ★背包客...more
",https://www.books.com.tw/products/0010842183?loc=P_0003_003
4,紐西蘭,地球步方編集室,2019-10-19,"
堪稱大自然寶庫的紐西蘭，擁有美麗的冰河峽灣、透明湖泊，以及2000~3000公尺高的山脈，其壯闊的自然景致與生活其中的野生動物，讓這個國家處處充滿迷人的魅力，而紐西蘭更善用其天然資源，開發出賞鯨豚、...more
",https://www.books.com.tw/products/0010836958?loc=P_0003_004
5,澳洲：叩叩世界系列23,JTB Publishing Inc.,2019-08-02,"
來自日本旅遊指南書最具代表的JTB出版   叩叩世界‧LalaCitta系列   推薦路線的規劃、在地通的情報滿點   帶你一路輕鬆玩、造訪世界城市的美好!   ※本書另附地圖別冊      本書以澳洲東部為主，分別介紹雪...more
",https://www.books.com.tw/products/0010828960?loc=P_0003_005
6,親子紐西蘭南島遊學自助行,魏美惠,2019-08-01,"
打包全家大小，一起勇闖奇異國!第一手「Kiwi」資訊，學習玩樂通通包   ◎紐西蘭南島自助遊最佳工具書──短期遊學、親子旅行、住宿訂房、租車自駕……   ◎內容豐富實用、完整詳細──超過400張彩色圖表，推薦的南...more
",https://www.books.com.tw/products/0010826527?loc=P_0003_006
7,親子玩澳洲：交通安排+行程規劃+自駕樂趣，一家四口，精彩澳遊15天，20萬元有找,陸昕慈,2019-05-08,"
當港澳、日本、新馬已走透透， 就開啟孩子更遠、更開闊的眼界， 計劃一場長途親子旅行吧!   五天你OK，十天、十五天一定也沒問題，   任何小資家庭都能在有限預算內，輕鬆實踐的精彩、精省之旅。   不要怕...more
",https://www.books.com.tw/products/0010821195?loc=P_0003_007
8,搭火車玩雪梨：8條市鐵線自遊筆記,蕭婷瑋,2019-05-01,"
雪梨市鐵8條主線、47個車站、40家美食餐廳、 20個旅遊好去處、10個巿集、5家博物館及展廳、 3座公園、3個海邊、3條經典渡輪線 一站玩過一站 來吧!一起來雪梨當在地「澳」客吧!   以「最在地」的角度，用最...more
",https://www.books.com.tw/products/0010820882?loc=P_0003_008
9,開始在紐西蘭自助旅行(最新版),"Jeff Chen,老包,舞菇",2019-03-12,"
★背包客棧紐西蘭達人——老包★   ★《紐西蘭旅行家》作者——舞菇★   ★定居紐西蘭二十餘年的登山愛好者——Jeff Chen★    資訊全面更新，三位專家聯手出擊，《開始在紐西蘭自助旅行》全新製作!    坐塔斯曼冰湖船...more
",https://www.books.com.tw/products/0010815644?loc=P_0003_009
10,「零旅館」玩澳洲：我的沙發衝浪旅行日記,陳萭筑,2019-01-01,"
「沙發衝浪」不再是新鮮的名詞，但親身經歷的體驗，卻是驚喜不斷的冒險!   遊走在22k薪水邊緣，銀行存款少之又少，   卻又想逃離家庭、給自己一次長途旅行冒險的機會。   於是毅然決然訂下前往澳洲的廉價...more
",https://www.books.com.tw/products/0010809901?loc=P_0003_010
11,紐西蘭,蒙金蘭‧墨刻編輯部,2018-11-22,"
在羅托魯瓦的地熱區看到彩色的溫泉池時，我不由得發出讚嘆；乘著飛機從北島前往南島，飛越庫克山脈時，我趕緊拿出手機猛按快門，眼睛都捨不得眨一下；在蒂卡波湖附近的約翰山，我看到此生看過最燦爛的星空...more
",https://www.books.com.tw/products/0010804725?loc=P_0003_011
12,驚奇紐西蘭，勇闖奇異王國,"張雅莉,汪銘峯",2018-11-21,"
驚奇紐西蘭 ╳ 勇闖奇異王國 帶你體驗最驚奇的紐西蘭 一起勇闖南太平洋最奇異的國度   南太平洋上的明珠──紐西蘭，這塊保有原生毛利文化及殖民時期文化的土地上，所到之處皆值得你細細品味、優游漫步。「Ki...more
",https://www.books.com.tw/products/0010804767?loc=P_0003_012
13,我的移動城堡：開露營車在澳洲邊玩邊工作,Leon,2018-11-01,"
前往澳洲打工度假，很酷! 但開著露營車打工度假，更酷!   不僅僅賺著一桶金，還賺到了旅遊咖、背包客都想體驗的「說走就走」。   不僅僅能說走就走，還能省下住宿費、通勤費，同時免去只能固守一地打工的...more
",https://www.books.com.tw/products/0010803360?loc=P_0003_013
14,跳進阿公阿嬤的視界：與澳洲阿公阿嬤的奇幻之旅,"葉小嬋,葉筱韻,鄭麗蘭",2018-10-31,"
到澳洲打工度假難嗎?   想當街頭藝人在外國生存難嗎?   想辦公益活動難嗎?   其實沒有想像中困難。   夢想不遠，只要克服心中障礙，天涯近在咫尺。   這是一本寫給家裡有爺爺奶奶、高齡爸爸媽媽的人看的書...more
",https://www.books.com.tw/products/0010802497?loc=P_0003_014
15,開始在澳洲自助旅行(新第六版),張念萱,2018-10-12,"
全新增訂，新增16頁! 最新雪梨澳寶卡、墨爾本My myki等交通票卡運用詳解   精采雙城七日遊行規畫、雪梨市區5日遊玩法   國民美食、必買天然保養品牌、特色蔬果名產攻略   更收錄實用旅遊APP、雪梨火車路線...more
",https://www.books.com.tw/products/0010801236?loc=P_0003_015
16,澳洲打工度假聖經(2019年最新版),陳銘凱,2018-10-01,"
因應現代社會新局面，打工假期正是最佳試煉!   澳洲報稅資料填寫，全新格式一次公開!   消費採買、電話資訊，全面更新   出發求職、保障自身權益，都在這裡!   何時出發?找哪種住宿?   英文不會說?發生意...more
",https://www.books.com.tw/products/0010799786?loc=P_0003_016
