,書名,作者,出版日期,內容介紹,網址
1,I AM Super Junior(隨書附贈團員九人漫畫書卡),Story Lab,2020-09-30,"
‧收錄Super Junior出道過程、台灣粉絲們對他們的喜愛、專輯在台灣KKBOX的排行榜紀錄等，是E.L.F不可錯過的收藏。   ‧隨書附贈九位成員漫畫書卡，以進口厚磅美術紙印製，封膜包裝。     引領KPOP潮流開拓者...more
",https://www.books.com.tw/products/0010870536?loc=P_0003_001
2,海風,小雪,2020-09-10,"
因為一張合掌村照片，決定動身前往富山縣旅遊的臺灣女孩雨軒，遇見了當地熱心的翔太，當翔太帶著雨軒遍遊富山縣美景時，一段跨國的情緣也似乎稍稍地被串連了起來……   看漫畫暢遊日本富山縣   感受山海風光...more
",https://www.books.com.tw/products/0010869497?loc=P_0003_002
3,想成為漫畫家卻在33歲得了腦梗塞(全),あやめゴン太,2020-09-09,"
這是腦梗塞的攻擊! 獲得廣大迴響的爆笑抗病故事!    ★推特超過2.2萬次轉推!集結人氣章節與多篇加筆!    我，權太，有個夢想，就是成為漫畫家!   33歲的權太，白天上班、晚上為了當上漫畫家而努力畫漫畫， ...more
",https://www.books.com.tw/products/0010869158?loc=P_0003_003
4,一弦定音!(21),アミュー,2020-09-07,"
愛等人受到一英高中的演奏所刺激，   開始致力於提升練習的質量。   然而，就在練習時，通孝接到母親骨折受傷的消息!?   身為家中5個兄弟姊妹的長男，   通孝在母親復元之前，必須和妹妹杏共同分擔家務， ...more
",https://www.books.com.tw/products/0010869412?loc=P_0003_004
5,不可思議的水,富伊,2020-09-01,"
上帝創造地球時，不小心製作出靈魂水和人類，故事描述和平,人性與大自然以及生存.......   故事中上帝的性格就是愛捉弄人，水滴為代表愛情不能強求。   男孩在二次大戰為了求生存把水滴帶走，途中遇到的魔...more
",https://www.books.com.tw/products/0010870301?loc=P_0003_005
6,新・鐵路便當之旅~鐵路攝影迷・菜菜篇~ 1,"はやせ 淳,櫻井 寛",2020-08-24,"
於漫畫ACTION連載結束後8年。鐵路便當迷期待已久的名作「鐵路便當之旅」回來了!這次的主角由原本的大介，改為在上一部作品中，曾經與大介一起旅行一陣子的菜菜!正在學習攝影的菜菜，再次來到曾經與大介一...more
",https://www.books.com.tw/products/0010867040?loc=P_0003_006
7,外天之夏 5完,"佐木飛朗斗,東 直輝",2020-08-17,"
本書主角「天外夏」是個熱愛摩托車的高中生，他在轉學考時意外搞砸，結果被分發到暴走族的大本營―通稱「亂校」的聖蘭高中。他在這裡赫然發現已過世的哥哥「天外冬」不為人知的過去，更在各路暴走族夾殺之...more
",https://www.books.com.tw/products/0010866494?loc=P_0003_007
8,願你幸福：アボガド6淚腺崩壞短篇漫畫集!,アボガド6,2020-07-13,"
アボガド6 #淚腺崩壞 短篇漫畫集  悲傷而圓滿，殘酷也真實，心痛又溫暖—— 你眼中的「幸福」，是什麼模樣?   ★最受好評的短篇漫畫代表作   繼熱賣的《滿是空虛之物》後，天才影像作家アボガド6再度推出第二...more
",https://www.books.com.tw/products/0010863344?loc=P_0003_008
9,過身,孤蟹,2020-06-30,"
大限已至，江教授 請慎選您的來世   江教授作為醫學界中的傳奇學者漫長的一生即將在今日清晨告一段落，他自滿的披著「聖賢」的名號與眾人的羨慕踏入轉生所的大門，在前方等著的是任他隨意選擇的「來世」，...more
",https://www.books.com.tw/products/0010863167?loc=P_0003_009
10,請叫我英雄 22完,花沢健吾,2020-06-04,"
(完結篇)英雄被ZQN逼到走投無路的地步!當他舉槍射擊那隻大型怪物時，發現另一邊的大樓上有一架直昇機。接著他目睹著來栖及虎列剌一行人的爭鬥。之後在他的協助下，直昇機終於載著倖存者起飛…長達22集的故...more
",https://www.books.com.tw/products/0010859564?loc=P_0003_010
11,漫畫 心療系 17,"ソウ,ゆうきゆう",2020-05-25,"
人天生就是負面的?   只有正面思考很危險?   負面情緒能提升專注力?   生活很痛苦的「HSP」是什麼?   正向和負面的平衡?   如何從負面的狀態中站起來?   開心學習關於正向、負面的所有知識!...more
",https://www.books.com.tw/products/0010857315?loc=P_0003_011
12,剝製：人生百態的剝製師アボガド6，致鬱×治癒的全彩畫集Vol.2!,アボガド6,2020-05-21,"
我是看著什麼樣的景色，思考著什麼樣的東西， 做了些什麼事，活到了現在的呢—— 人生百態的剝製師アボガド6 致鬱×治癒的全彩畫集Vol.2! 本書特色   ★插畫數激增，內容更豐富   繼大受好評的《果實》之後，...more
",https://www.books.com.tw/products/0010858235?loc=P_0003_012
13,一弦定音!(20),アミュー,2020-05-11,"
集訓的最後一天，愛等人決定去聽過去五年蟬聯全國大賽第一名的一英高中的演奏。   這所里曲原本預定要就讀的高中，   聚集了許多音樂菁英，這次的演奏者當中，   也都是得過各種獎項的實力箏手。   他們究...more
",https://www.books.com.tw/products/0010857471?loc=P_0003_013
14,一弦定音!(19),アミュー,2020-03-12,"
愛等人為了練習將在全國大賽中演奏的「和」，   全體社員利用黃金週假期，舉辦了集訓!   然而第一次嘗試四部合奏時，   刁鑽的樂句完全合不在一起，在疲憊不堪之際，   名都開始對分部的安排產生質疑…!?  ...more
",https://www.books.com.tw/products/0010851807?loc=P_0003_014
15,看漫畫認識社會企業：老東西實驗室,"余家豪,杜穎淇,蔡振榮",2020-02-24,"
「社會企業」是什麼? 輕鬆看漫畫，認識社會企業!   《看漫畫認識社會企業》系列書籍，是由香港理工大學及城市大學的二位老師寫的書，用漫畫形式述說香港三個社會企業創業的故事，以及如何解決問題，有別於...more
",https://www.books.com.tw/products/0010849939?loc=P_0003_015
16,看漫畫認識社會企業：歡迎光臨龍尾市,"余家豪,卓軒而,蔡振榮",2020-02-24,"
「社會企業」是什麼? 輕鬆看漫畫，認識社會企業!    《看漫畫認識社會企業》系列書籍，是由香港理工大學及城市大學的二位老師寫的書，用漫畫形式述說香港三個社會企業創業的故事，以及如何解決問題，有別...more
",https://www.books.com.tw/products/0010849940?loc=P_0003_016
17,看漫畫認識社會企業：瘋辣小館,陳慧瑜,2020-02-24,"
「社會企業」是什麼? 輕鬆看漫畫，認識社會企業!   《看漫畫認識社會企業》系列書籍，是由香港理工大學及城市大學的二位老師寫的書，用漫畫形式述說香港三個社會企業創業的故事，以及如何解決問題，有別於...more
",https://www.books.com.tw/products/0010849943?loc=P_0003_017
18,看漫畫認識社會企業(套書),"余家豪,卓軒而,杜穎淇,蔡振榮,陳慧瑜",2020-02-24,"
「社會企業」是什麼? 輕鬆看漫畫，認識社會企業!   公民意識向下紮根，親子共讀的優良套書!   特價500元(三冊一套)   《看漫畫認識社會企業》系列書籍，是由香港理工大學及城市大學的二位老師寫的書，用漫...more
",https://www.books.com.tw/products/0010850466?loc=P_0003_018
19,BTS 防彈少年團,金承顯,2020-02-05,"
‧BTS防彈少年團的出道歷程，身為阿米的粉絲們，不容錯過的收藏品   ‧就算面對網路酸言，一樣也是用最正面且積極的態度迎接。   七個來自不同家庭背景的少年，克服了艱辛的時期，   不放棄地朝著自己夢想勇...more
",https://www.books.com.tw/products/0010846959?loc=P_0003_019
20,BTS 防彈少年團【首刷預購限定青春Fire組】,金承顯,2020-02-05,"
‧BTS防彈少年團的出道歷程，身為阿米的粉絲們，不容錯過的收藏品   ‧就算面對網路酸言，一樣也是用最正面且積極的態度迎接。   七個來自不同家庭背景的少年，克服了艱辛的時期，   不放棄地朝著自己夢想勇...more
",https://www.books.com.tw/products/0010846962?loc=P_0003_020
