,書名,作者,出版日期,內容介紹,網址
1,企鵝紳士 其實很認真的企鵝知識書,上野綺士,2020-10-28,"
某個國家的祕密俱樂部，   有一群身穿燕尾服、化身為人類的「企鵝紳士」。    由國王企鵝老闆領軍的帥氣型男們，   為客人提供貼心服務的同時，   仍難掩企鵝習性──   挨在一起取暖、下意識的尾隨行為、  ...more
",https://www.books.com.tw/products/0010868801?loc=P_0003_001
2,鄉下的堂弟是個黏人的小麥色馬尾正太 (2),びみ太,2020-10-26,"
航平每次回鄉下，堂弟總是會來迎接他，   他每年也都為了堂弟的成長感到高興。   但今年久別重逢的堂弟，卻把柔順光澤的黑髮留長綁成馬尾。   每當看到那年輕又充滿光澤的黑色長髮隨風飄起，   他也不知為...more
",https://www.books.com.tw/products/0010868694?loc=P_0003_002
3,跌跌撞撞環遊世界單人行,低橋（hikuhashi）,2020-10-26,"
搭西伯利亞鐵路、騎單車橫渡南美，   紐幾尼亞的祭典，戈壁沙漠的星空……   一個個現在看起來都如此遙不可及的地點，   就讓旅人低橋為你帶路吧!     在Twitter大為轟動的旅人日記，   讓人不禁吶喊：   好...more
",https://www.books.com.tw/products/0010868808?loc=P_0003_003
4,爆笑校園57,朱斌,2020-10-23,"
讓人耳目一新的中學生活應該是怎樣的?就讓本書的”男豬腳”呆頭，一個來自農村的火星娃為你演譯吧!以“狗刨中學”裡鬥智鬥勇的教學課堂、妙語連珠的師生對話，到“白痴村”中數不勝數的奇人異事、空前絕後的家庭...more
",https://www.books.com.tw/products/0010874540?loc=P_0003_004
5,邪劍先生十分搖擺(02),飛田二木壱,2020-10-21,"
幻想破滅!?邪劍愈來愈亂來!   在劍與魔法與手機的世界裡突然出現了一把會說人話，名為「賈斯帝布雷巴」的劍──(暱稱賈斯布雷)。   這把劍的所有者霍普斯兄妹身邊漸漸聚集了邪神、石像兄弟、   還有外表是大...more
",https://www.books.com.tw/products/0010873688?loc=P_0003_005
6,此時此刻☆埃及神 2完,美影サカス,2020-10-16,"
(完結篇)阿努比斯竟然交了人類女友?芭絲特總是帶不同的人回家?依舊自戀的法老在同人場看到了……?包括了神來面試、人神聯誼、參拜神社、神與驅魔等，胡搞瞎搞埃及神in現代日本，這本就是神到底!此時此刻☆埃...more
",https://www.books.com.tw/products/0010871701?loc=P_0003_006
7,佐伯同學在睡覺(02),"小菊路耀,春原Robinson",2020-10-15,"
發現佐伯同學會偷偷睡覺的，   只有隔壁座位的時宮。   而每一次目睹到打瞌睡，   以及被看到時打瞌睡，   就讓佐伯同學與時宮關係   更加親近…似乎吧…  本書特色    1.不論何時何地她都能凜然瀟灑地打瞌...more
",https://www.books.com.tw/products/0010873299?loc=P_0003_007
8,女僕咖啡廳 14,石黑正數,2020-10-12,"
用「女僕!!」(問候)，大家耳熟能詳的嵐山步鳥，是嚮往成為偵探的高中女生。目前正在老街丸子商店街的女僕咖啡廳SEASIDE打工!本集裡她不是在學校大喊了「○二」，而被老師找去，還作了恐怖的夢，更去了森秋...more
",https://www.books.com.tw/products/0010872792?loc=P_0003_008
9,鯊魚系女子的領域(01),樂樂,2020-10-08,"
同班的鮫島同學有起床氣。   如同鯊魚般的銳利眼神，像魚鰭一樣的髮型，   以及過長的裙子……    要是遇到鯊魚了，那可是很危險的!!   但是我想更加了解妳的真貌!!    外表是不良少女，內心卻完全相反!?   ...more
",https://www.books.com.tw/products/0010872619?loc=P_0003_009
10,天地創造設計部 2,"蛇蔵,鈴木 蔦,鱈子",2020-10-06,"
像塗鴉一樣的生物誕生?   這裡是設計動物的「設計部」。今天也在神(客戶)的無理要求下努力創造生物……偏偏設計圖被小孩子拿去塗鴉，導致某個誇張的動物誕生了──!(※真實存在。)   「斑馬身上為什麼是黑白條...more
",https://www.books.com.tw/products/0010871744?loc=P_0003_010
11,聖哥傳 18,中村 光,2020-10-05,"
「西方世界」的人們也非常煩惱的，每年的「中元贈禮問題」!   佛陀收到的禮物是……?   天界最具人氣的連載漫畫『大澈大悟吧!阿難陀』   終於要宣告完結?令人意外的理由讓耶穌也啞口無言了…!   除了可憐的惡...more
",https://www.books.com.tw/products/0010871218?loc=P_0003_011
12,女僕‧IN‧非社交系少女(02),三角頭,2020-09-30,"
6人湊齊的非社交系少女，以及即將開始的死亡遊戲?   帶有特多歡笑淚水與感動等情感的娛樂漫畫!!    內向之人雖然獨自一人會很難過，   但要是有了伙伴便能散發光芒，並且調和光芒。   跨越各種「培訓」感...more
",https://www.books.com.tw/products/0010872254?loc=P_0003_012
13,呆頭農場17,朱斌,2020-09-25,"
這裡將揭祕呆頭小時候的農場爆笑生活，成長祕密史，   獅哥豹兄等各種獵奇動物逐一登場!   更有好奇心爆滿的外國新角色亮相……   更多爆笑趣事都將在呆頭農場中展開!...more
",https://www.books.com.tw/products/0010872753?loc=P_0003_013
14,織田肉桂信長(06),目黒川うな,2020-09-21,"
肉桂圖案的   點心組合!!    商品化的訂單   等待中!!   …是也!!!    家喻戶曉的知名武將們   轉生成狗狗，   譜出一段歌詠現代的狗生樂章♥   由織田信長娓娓道來，關於「改元」的祕密，   以及戰國武將們...more
",https://www.books.com.tw/products/0010870496?loc=P_0003_014
15,GRAND BLUE碧藍之海 15,"井上堅二,吉岡公威",2020-09-14,"
暑假過去了，許多人都因為暑假的體驗而有所改變，其中也包括了親愛的學長…原來是因為學長要開始找工作而改頭換面了!因此伊織等人決定幫學長進行一次模擬面試|此外，這次伊織的損友們居然要跟奈奈華等人進...more
",https://www.books.com.tw/products/0010869634?loc=P_0003_015
16,古見同學是溝通魯蛇。(11),ODA TOMOHITO,2020-09-10,"
黃金週的連續假期，古見同學全家一起共同出遊。   而在那裡偶然遇到了只野同學一家人以及馴染同學。   這是一段可以共同度過的快樂時光。夜裡，與只野同學步行去觀星時因為突來的驟雨，兩人躲進了山中小屋...more
",https://www.books.com.tw/products/0010869870?loc=P_0003_016
17,工作細菌 4,"吉田春幸,清水 茜",2020-09-07,"
人體內充滿著各種細菌，每天都很努力在工作。益菌跟害菌更為了爭奪地盤日夜都奮戰著!本集中將會出現讓指甲變綠色的綠膿桿菌，以及讓舌苔變厚造成口臭的梭桿菌…等等!究竟這些害菌的產生原因為何?又該如何解...more
",https://www.books.com.tw/products/0010868940?loc=P_0003_017
18,妖怪手錶(17),小西紀行,2020-09-03,"
隨處可見非常普通的小學生──天野景太以及奇特的妖怪們，帶來的搞笑喜劇!   過去、現在與未來的妖怪們，使用不可思議之門集合了!   收錄決定由誰獲得最強妖怪之名的大亂鬥特別篇   「我們抬頭仰望著同一片...more
",https://www.books.com.tw/products/0010869321?loc=P_0003_018
19,我們這一家BEST精選集 (1) 媽媽的熱情篇,けらえいこ,2020-09-03,"
「我們這一家」單行本1到22集，一共711話，作者從中選出200話特別感動的故事，按主題別編輯成5集。每一篇都有笑有淚，撫慰心靈。第1集是媽媽熱情篇，將媽媽的個性和有趣的小習慣，一次呈獻給您!老少咸宜。...more
",https://www.books.com.tw/products/0010868013?loc=P_0003_019
