,書名,作者,出版日期,內容介紹,網址
1,《金星人愛情故事》幕後設定資料集,"盧彥維,金星人事務所",2020-11-06,"
在暑假倒數的第七天，我們相遇了金星人──    ★原汁原味 旅日動畫團隊 製作心得分享：   細節處理 配音配樂調整   分鏡圖表 照相知識運用   角色設定 從造型到配色   基礎概念 整體創作流程    ★巴哈姆特動...more
",https://www.books.com.tw/products/0010873217?loc=P_0003_001
2,阿宅的戀愛太難 漫畫同人合集 全,ふじた,2020-10-16,"
(全一冊)阿宅戀首冊同人合集，匯集豪華執筆陣容，以截然不同的風格及視角詮釋ふじた老師筆下人物!   【小柳花子不太對勁】花子模仿得了成海嗎?   【咱們來開火鍋趴】樺倉和花子再次針鋒相對?   【STRAND】...more
",https://www.books.com.tw/products/0010872184?loc=P_0003_002
3,夢幻模擬戰 公式設定集 全 (首刷附錄版),東立編輯部,2020-10-07,"
(全一冊)《夢幻模擬戰》手遊版第一本公式設定集，內含值得珍藏的角色立繪與外觀，還有滿滿的豐富企劃內容與特別情報等你來看!...more
",https://www.books.com.tw/products/0010870220?loc=P_0003_003
4,廣域推進載具終極檔案 FAM-RV-S1拜法姆,GA Graphic,2020-09-25,"
經典機甲作、《銀河漂流》37週年紀念! 穿梭至遙遠星系的宇宙開拓地，任憑想像馳騁!    一切的起源，始於2019年地球無人探測船抵達43光年外的伊普賽隆星系。自20世紀起的經濟活動一路持續開拓至太空，意圖...more
",https://www.books.com.tw/products/0010871177?loc=P_0003_004
5,霹靂英雄戰紀 刀說異數 公式設定寫真 藏龍寶典 (首刷附錄版),霹靂多媒體,2020-09-18,"
超過50位角色的珍貴寫真!!   一覽無遺《刀說異數》的世界!!   包含各角色的設定寫真以及武器、劇照、人物關係圖等等的資料，最完整的資料盡在此書!...more
",https://www.books.com.tw/products/0010869932?loc=P_0003_005
6,五等分的新娘角色設定資料書 四葉 全,"春場 葱,週刊少年MAGAZINE編輯部",2020-09-11,"
中野四葉的魅力完全收在這一本!   讀者投票決定!「四葉的 超神的一回 分鏡」。   收錄嚴選彩頁&全新繪製的書店特典插圖!還有未公開的插圖!   一定陶醉而死!?「令人感動的名台詞集!四葉篇」   直擊四葉的魅...more
",https://www.books.com.tw/products/0010869268?loc=P_0003_006
7,2020第九屆開拓極短篇原創大賞 得獎作品集,,2020-09-10,"
如果只有極短的篇幅，你會怎麼訴說你的故事?   漫畫、插畫、圖文創作三組得獎作品全收錄!   評審作品分析、作者得獎心得、多組精采遺珠與評審花絮，一次收齊最完整的原創大賞!...more
",https://www.books.com.tw/products/0010870060?loc=P_0003_007
8,樂花流水 東方Project 水中花火作品集,"ZUN,水中花火",2020-09-09,"
株式会社アスキー.メディアワークス   此乃東方國度遠離村里的深山中，   位於與外面世界隔絕的結界內側，   眾多妖怪與極少數人類自由地昂首闊步的世界──「幻想鄉」。   只要窺見少女們不尋常的每一日， ...more
",https://www.books.com.tw/products/0010868291?loc=P_0003_008
9,崩壞!令人顫慄的恐怖動漫史：被封印的動漫真相!隱藏在經典動漫背後的衝擊設定,鐵人社編輯部,2020-09-03,"
每一部經典動漫，都有一個讓人背脊發涼的真實故事 名偵探柯南、航海王、哆啦A夢、神隱少女…… 帶你看清動漫的「真面目」，愛上腦洞大開的隱藏版設定!   這些知名動漫，你一定曾看過，   但這些恐怖祕辛，你...more
",https://www.books.com.tw/products/0010869180?loc=P_0003_009
10,超解析!鬼滅之刃最終研究：大正鬼殺考察錄,三才ブックス,2020-09-03,"
熱銷8000萬本! 人鬼交織、悲憤難抑的斬鬼奇譚   不論男女老少皆淪陷，堪稱2019年的必看神作《鬼滅之刃》(作者：吾峠呼世晴)，在全世界都掀起了一陣陣旋風!    故事背景時值日本大正時期，賣炭為生的平凡農...more
",https://www.books.com.tw/products/0010869183?loc=P_0003_010
11,Megasia 巨大生物異界譚 もの久保作品集II,もの久保,2020-08-27,"
★軟綿蓬鬆的少女之旅，巨大生物居住的異世界繪畫故事。 ★稀世的幻想繪師もの久保畫集第二彈   少女失足摔落日常生活的裂縫中，   掉進了某個東洋異世界。   她和在那裡遇見的狼狐與青鳥一起流浪，   前往...more
",https://www.books.com.tw/products/0010862078?loc=P_0003_011
12,Megalophilia 巨大生物的異想世界もの久保作品集I,もの久保,2020-08-27,"
★幻想世界的超人氣「巨大生物」畫家もの久保，第一本畫集!!   充斥於幻想世界的祝福與畏懼，   巨大生物存在的風景，   那是趟像是奇蹟的旅程。   新銳插畫家もの久保第一本畫集，   收錄大受歡迎的「巨大...more
",https://www.books.com.tw/products/0010862079?loc=P_0003_012
13,機動戰士終極檔案MSZ-006 Z鋼彈,GA Graphic,2020-08-24,"
賦予希臘第六字母「Zeta」之名   Z計畫最終完成品、Z的鼓動正式啟航!   在反地球聯邦組織幽谷的委託下，由亞納海姆電子公司(AE社)研發出的機體──Z鋼彈，可說是以第三世代機動戰士的象徵而廣為人知。   自...more
",https://www.books.com.tw/products/0010867558?loc=P_0003_013
14,名偵探柯南 灰原哀 祕密檔案,青山剛昌,2020-08-20,"
FILE.01 CHARACTERS   介紹背負著不尋常命運的少女‧灰原 哀/雪莉/宮野志保完整魅力的特輯!!   成長背景與經過、APTX4869研究報告、黑衣組織的追蹤紀錄   以及服裝風格解析等等，從各種角度深入剖析灰原這...more
",https://www.books.com.tw/products/0010867695?loc=P_0003_014
15,黑絲襪風情WIDE,よむ,2020-08-03,"
在よむ老師擔綱監修的領軍下，由46名插畫家/漫畫家組成黃金陣容精心繪製的黑絲襪畫集。  本書特色    〈動畫師〉田中將賀有云：   「只要盯著由肌膚和絲襪疊合而成的褐色看，   就能沉浸於由甜美巧克力所...more
",https://www.books.com.tw/products/0010865859?loc=P_0003_015
16,快打旋風30週年美術設定集 Beyond the World,KADOKAWA,2020-08-03,"
一舉收錄由豪華的插畫家陣容，專為「快打旋風Ⅴ Arcade Edition」繪製的破關插畫!!    獻給全世界的格鬥遊戲迷   「快打旋風」系列30週年之集大成!!    一併刊載歷代相關人士之30週年特別紀念訪談!!   小野...more
",https://www.books.com.tw/products/0010865861?loc=P_0003_016
