,書名,作者,出版日期,內容介紹,網址
1,BILLY BAT比利蝙蝠(01)-(20)完,浦澤直樹,2020-11-05,"
那隻蝙蝠代表的是""黑闇""還是""光明""呢?美國的日系漫畫家-凱文，被捲入了日本戰後最大的陰謀謎團""下山事件""(1949年行蹤不明的國鐵總裁下山定則在常磐線綾站附近遭列車輾斃)之中，在這起事件的背後，居然存...more
",https://www.books.com.tw/products/0010873998?loc=P_0003_001
2,為了夢中見到的那孩子 (5),三部敬,2020-10-26,"
千里等人在「火字男」的祕密基地碰上火災，驚險地逃了出來。    為了獲得可以更靠近一登的新情報，惠南前去拜訪千里的祖父，詢問在13年前過世的千里父母的事情，而千里則嘗試與黑社會的人接觸。    另一方...more
",https://www.books.com.tw/products/0010868721?loc=P_0003_002
3,自殺島(16),森恒二,2020-10-15,"
★討論生與死的究極爭議話題作!堂堂登場!★   ■前情提要■   故事講述一班自殺慣犯，因放棄生存的權利與義務而被流放到一個小島上。   主角阿政也是一名自殺慣犯，同樣被流放到小島上，並開始為了生存而努力...more
",https://www.books.com.tw/products/0010872936?loc=P_0003_003
4,達爾文遊戲(15),FLIPFLOPs,2020-10-15,"
我的確認識   那傢伙。    在理應安全的「圈外村」內，   鈴音一行人遭到神祕人襲擊。   眾人尋思凶手身分時，   遭到槍擊的隆二   吐露衝擊事實──!?   侵蝕現實世界的達爾文遊戲，惡意侵襲!!  本書特色  ...more
",https://www.books.com.tw/products/0010873291?loc=P_0003_004
5,無能力者娜娜 (2),"るーすぼーい,古屋庵",2020-09-24,"
學園裡聚集了身為人類之敵的能力者。   入侵其中的無能力者娜娜，將僅憑一己之智，   接二連三地暗殺能力者……   一而再再而三顛覆你的想像，   徬徨於正義與邪惡之間的懸疑故事第2集!! 本書特色   ★學園╳...more
",https://www.books.com.tw/products/0010866019?loc=P_0003_005
6,感應 全,伊藤潤二,2020-09-18,"
在不知不覺中走到了千獄岳山腳下的白夜京子，遇到一個男子帶領她到了清神村，而這是一個全村上下都發出金黃色光芒的奇妙村落。村民們信奉的「天髮神」究竟是什麼?無意之間撞見奇特自然現象，從而邂逅了白...more
",https://www.books.com.tw/products/0010867325?loc=P_0003_006
7,亞人 16,桜井 画門,2020-09-14,"
海斗遭到槍擊時發生的   氾濫現象。   永井放出了大量的IBM，   佐藤也與之共鳴。   頓時入間基地被無數的黑色幽靈填滿了。   當基地內黑煙盤旋，混亂加速惡化中，   IBM研究的第一把交椅   Ogura Ikuya博...more
",https://www.books.com.tw/products/0010869633?loc=P_0003_007
8,狂賭之淵雙(09),齋木桂,2020-09-07,"
在百花王學園文化祭「繚亂祭」暗地裡展開的「叛亂」──   目標是學生會。   地下組織善咲會的幹部們，   不知為何堅持對芽亞里所屬的文藝社進行干涉。   支配善咲會之男子的身影就此……   與夢子成對的雙， ...more
",https://www.books.com.tw/products/0010869428?loc=P_0003_008
9,狂賭之淵雙(09)限定版,齋木桂,2020-09-07,"
在百花王學園文化祭「繚亂祭」暗地裡展開的「叛亂」──   目標是學生會。   地下組織善咲會的幹部們，   不知為何堅持對芽亞里所屬的文藝社進行干涉。   支配善咲會之男子的身影就此……   與夢子成對的雙， ...more
",https://www.books.com.tw/products/0010869429?loc=P_0003_009
10,無能力者娜娜 (1),"るーすぼーい,古屋庵",2020-08-26,"
這是一所位在汪洋孤島中的學園。   在那裡，為了對抗人類之敵，   年輕的能力者們正日以繼夜地進行訓練。   而身為轉學生的主角也同樣懷抱   「消滅人類之敵」的理想展開行動……   一而再、再而三顛覆你的...more
",https://www.books.com.tw/products/0010866020?loc=P_0003_010
