,書名,作者,出版日期,內容介紹,網址
1,快樂天歷史漫談2,火鳥,2020-10-23,"
我等皆為歷史活生生的見證人   真理的求道者火鳥   繪製的人氣歷史系列——堂堂完結!   這是聯繫地球與情色漫畫、關於生命的物語——   ※本作品說不定是虛構的...more
",https://www.books.com.tw/products/0010873523?loc=P_0002_001
2,衛府七忍(07),山口貴由,2020-10-22,"
日本劍術界的至寶VS無法無天的鬼族究竟是劍會貫穿?抑或是牙會啃食?   撼動太平之世的異類間的真本事對決 大開幕! 本書特色   背景設定在元和元年，因為德川家康攻下了大阪城，豐臣家敗北了。   為了殲滅剩...more
",https://www.books.com.tw/products/0010873754?loc=P_0002_002
3,越南戰爭 後篇(A4大開本),王佐榮,2020-10-14,"
小林源文眾所期待的力作《越南戰爭》，在臺灣首次發行!越南戰爭分為前、後篇兩本，是由在越戰期間發生的短篇故事集結而成。在小林源文老師細膩的繪製之下，不論是人物的表情特寫、爆破轟炸場面，乃至軍備...more
",https://www.books.com.tw/products/0010873541?loc=P_0002_003
4,滬尾守衛阿火旦,Waste戊,2020-09-30,"
清法戰爭的非典型英雄傳奇   勾心魅惑花旦男投身抗法戰火   仰臥，翹左足，張趾架鎗…二百五十鎗齊發!   *番外篇60 P + 附錄解說文 揭露戰事背後政治角力與人文風情!    張李成。   瑞興班名旦角，面目姣好...more
",https://www.books.com.tw/products/0010870416?loc=P_0002_004
5,Angolmois 元寇合戰記(10)完,たかぎ七彦,2020-09-21,"
在接二連三   持續襲來的蒙古軍面前，   作為同伴一齊奮戰的流刑犯們，   也相繼撒手人寰。   無論步入怎樣的困境都不放棄，   持續著賭上性命的亡命之旅。   朽井迅三郎伴隨著那些島民，   誓死守下自身...more
",https://www.books.com.tw/products/0010870494?loc=P_0002_005
6,《SD高達世界 三國創傑傳~蒼翔記~》#2(全2期),拓植社編輯群,2020-09-21,"
神秘的異變生物「BUG」席捲大陸，令世界陷入前所未有毀滅災難。經過多番轉折，曹操終於查出刻意令危機擴散、罪魁禍首的真正身份!    為了剷除「BUG」對世人的威脅，由曹操、孫堅所統率的兩大組織結盟組成...more
",https://www.books.com.tw/products/0010872128?loc=P_0002_006
7,手繪台灣關鍵字：畫說1940-2020(中英文雙語),邱顯洵,2020-09-15,"
自法國留學，無意間讀到由史明所繪著，長期被列為禁書的《台灣人四百年史》以來，紀實漫畫職人邱顯洵矢志畫出屬於台灣本土的政治漫畫作品。自2017年出版《手繪台灣人四百年史》後，相隔3年，再次推出《手...more
",https://www.books.com.tw/products/0010869953?loc=P_0002_007
8,空母伊吹(01),川口開治,2020-09-14,"
★軍事漫畫大師川口開治最新力作，榮獲第63屆小學館漫畫賞一般向部門獎。    夢想與祈禱，無法擊落飛到國民頭上的飛彈。   當國土遭到侵襲時，還能夠守著「防衛」的原則默不吭聲嗎?    20XX年，海上自衛隊...more
",https://www.books.com.tw/products/0010869152?loc=P_0002_008
9,越南戰爭 前篇(A4大開本),小林源文,2020-09-14,"
小林源文眾所期待的力作《越南戰爭》，在臺灣首次發行!越南戰爭分為前、後篇兩本，是由在越戰期間發生的短篇故事集結而成。在小林源文老師細膩的繪製之下，不論是人物的表情特寫、爆破轟炸場面，乃至軍備...more
",https://www.books.com.tw/products/0010870305?loc=P_0002_009
10,大奧(16),吉永史,2020-09-10,"
第十三代將軍德川家定薨逝，   繼承人福子公主改名為家茂繼位，   並與幕府的天子之弟‧和宮舉行婚儀。   但沒想到在新婚之夜，   卻發現和宮其實是個女人……!?...more
",https://www.books.com.tw/products/0010869141?loc=P_0002_010
