,書名,作者,出版日期,內容介紹,網址
1,台灣爭霸~2020頂上決戰~,韋宗成,2020-05-20,"
四年一度的台灣爭霸學園賽正式開跑了   來自各班的美少年齊聚就是為了在舞台上發光發熱    藍綠白黃橘、極彩色大決戰!!   2020台灣頂上爭霸、前所未有多方勢力大混戰成   瑛 賴 柯 韓 郭 宋 朱 王 征途之...more
",https://www.books.com.tw/products/0010859524?loc=P_0003_001
2,賣國機關(01),"カルロ‧ゼン,品佳直",2020-03-09,"
以茲法爾迪克聯合共和國──   這個戰爭結束後的國家為舞台，   尤蘭妲‧洛夫斯基少校所率領的   特務機關‧『歌劇院』開始了檯面下的暗鬥。   他們的任務，便是在一切的威脅下   死守住「贏來的和平」──   這...more
",https://www.books.com.tw/products/0010851470?loc=P_0003_002
3,沈默的艦隊29.,川口開治,2019-10-21,"
在和美軍航艦「甘迺迪」號猛烈衝撞後奇蹟存活的「大和」號終於駛入紐約港。   海江田站在艦橋上促成4國核潛集結，並聲明要求召開聯合國大會。   此刻，承認戰敗的美國總統貝奈特在白宮內召見美國海軍萊恩...more
",https://www.books.com.tw/products/0010836507?loc=P_0003_003
4,布袋爺爺和他的台灣好朋友：NAGEE島國畫,nagee,2019-10-08,"
阿台黑犬護寶島、小華白兔牆頭草、布袋爺爺賣台灣   一本讓人讀了笑著笑著就哭了的   台灣的現代政治、社會、文化觀察錄   ★23萬臉書粉絲漫畫家nagee集創作精華之大成★   ★全新重繪圖文以及經典收錄台灣史...more
",https://www.books.com.tw/products/0010836201?loc=P_0003_004
5,憂國的拉斯普金 6完,"伊藤潤二,佐藤優,長崎尚志",2014-02-27,"
(完結篇)因「背信」與「偽計妨害業務罪」兩條罪名而遭逮捕、起訴的前外交官.憂木衛，現在他的主戰場移到了法院。東京地檢特搜部使盡各種卑劣的手段阻撓。憂木以前的上司以及以色列人教授原本想出面為他作...more
",https://www.books.com.tw/products/0010622572?loc=P_0003_005
6,憂國的拉斯普金 5,"伊藤潤二,佐藤優,長崎尚志",2013-10-04,"
前外交官.憂木衛遭逮捕至今已過了4個月。經偵訊調查後發現，檢方所扣在憂木與都築峰雄議員身上的罪嫌全都沒有任何證據、根本不能起訴。一般而言，在這種情形下早該無罪釋放兩人，但檢方卻堅持，一旦逮捕了...more
",https://www.books.com.tw/products/0010611552?loc=P_0003_006
7,憂國的拉斯普金 4,"伊藤潤二,佐藤優,長崎尚志",2013-02-22,"
前外交官.憂木衛與負責調查他的檢察官.高村達成共識，兩人決定以奇妙的方式合作。為了證實自己的言行舉止一切合法正確，憂木將盡可能地供述他所知道的政治、歷史內幕，這些供詞也將紀錄於筆錄中。日本駐莫...more
",https://www.books.com.tw/products/0010577715?loc=P_0003_007
8,憂國的拉斯普金 3,"伊藤潤二,佐藤優,長崎尚志",2012-11-01,"
前外交官.憂木衛在接受東京地檢特搜部的偵訊時，回想起種種往事。充斥著霸凌現象的外務省所傳出的鬼故事、憂木曾經跟過的三位總理各自的人格特質、受外務省以金錢酒色籠絡之媒體醜態，以及首相讚嘆一聲「...more
",https://www.books.com.tw/products/0010564689?loc=P_0003_008
9,憂國的拉斯普金 2,"伊藤潤二,佐藤優,長崎尚志",2012-07-19,"
遭檢方依背信與偽計妨害業務罪嫌逮捕的前外交官?憂木衛，面對檢方質詢，仍堅持自己是清白的。拿他沒輒的東京地檢特搜部，轉而將魔爪伸向其他與憂木有關係的人們，並逮捕他們!如負責俄羅斯業務的商務菁英、...more
",https://www.books.com.tw/products/0010553272?loc=P_0003_009
10,憂國的拉斯普金 1,"伊藤潤二,佐藤優,長崎尚志",2012-05-14,"
本書由鬼才漫畫家伊藤潤二作畫，改編自前日本外交官佐藤優的親身體驗，描寫從事外交官的主角「憂木衛」遭東京地檢特搜部收押、在看守所接受內審訊的過程，以及令人難以置信、卻又耐人尋味的辦案方式。故事...more
",https://www.books.com.tw/products/0010545921?loc=P_0003_010
11,聖堂風雲 7完,"史村翔,池上遼一",2012-03-22,"
什麼是政治的本質?什麼又是國家的本質?重新踏回國會的淺見，終於握到了掌握政權的機會!然而原因不明的重疾卻日漸深刻…而落選的北□為了與淺見之間的約定，更不惜與俄國黑手黨合作…北□與淺見心目中的聖堂，...more
",https://www.books.com.tw/products/0010539481?loc=P_0003_011
12,聖堂風雲 6,"史村翔,池上遼一",2012-02-04,"
識破北與淺見之間關係的伊佐岡，藉著媒體報導的力量讓淺見自願辭去國會議員一職。然而日本國會卻又即將全面解散改選!重新參入選戰，決心東山再起的淺見身邊，這時候突然出現另一位讓所有人跌破眼鏡的議員...more
",https://www.books.com.tw/products/0010534671?loc=P_0003_012
13,聖堂風雲 5,"史村翔,池上遼一",2011-12-22,"
北拖著傷重的身體，親自與第三代神戶山王會長談判。這場會面，為整個日本黑社會結構的激烈變動拉開了序幕…。立風會手中的機密檔案，足以逼民自黨的伊佐岡幹事長下台，然而就在緊要關頭，最重要的關鍵人物...more
",https://www.books.com.tw/products/0010529544?loc=P_0003_013
14,先生您鼻仔夭壽長(漫畫),陳義仁,2011-11-10,"
台灣人百百款：勇敢敢死?吞忍?……   看陳義仁牧師的Banga，就會當了解台灣種。   精、氣、神，十足   正港台灣人的味 作者簡介 陳義仁   台灣基督長老教會牧師。   發行製作台語羅馬字《風向》雙月刊三年(1...more
",https://www.books.com.tw/products/0010525272?loc=P_0003_014
15,聖堂風雲 3,"史村翔,池上遼一",2011-10-20,"
踏進國會議事堂的淺見，馬上對日本長年累積下來的腐敗政風做出挑戰，此時突然出現在他面前的，竟是當今日本首相-望月總理大臣?…預備反攻回日本的渡海，也開始吸收外來戰力，然而沖繩黑道所開出的第一個條...more
",https://www.books.com.tw/products/0010523080?loc=P_0003_015
16,聖堂風雲 4,"史村翔,池上遼一",2011-10-20,"
淺見順利抵擋住貝茜特使所帶來的經貿壓力，自此終於得到70年會狩谷議員的認同。距離掌握國會又向前邁進了一大步…。另一方面，北?也開始逐漸將勢力自關東向外推展，所下的第一步棋，就是與關西第一大勢力-...more
",https://www.books.com.tw/products/0010523081?loc=P_0003_016
17,聖堂風雲 1,"史村翔,池上遼一",2011-09-05,"
聖堂(Sanctuary)-一塊不容許他人窺探，侵犯、只屬於自己的世界。 六本木黑社會組織「北彰會」的會長北□彰，與國會議員的首席秘書淺見千秋，乍看之下毫無交集的兩人，事實上從高中時代即彼此約定，要站在黑...more
",https://www.books.com.tw/products/0010518126?loc=P_0003_017
18,聖堂風雲02,"史村翔,池上遼一",2011-09-05,"
奪下二代總長位子的北□，首先必須面對的，就是排除覬覦相樂連合地盤的外來勢力…。而與民自黨伊佐岡幹事長決裂的淺見，也決定投靠在野黨陣營，以面對即將到來的選戰…。就在這時，六本木分署的石原副署長，...more
",https://www.books.com.tw/products/0010518127?loc=P_0003_018
19,江澤民其人連環畫集,"大紀元編輯部,孟圓,屠龍",2011-06-01,"
江澤民，一個日本漢奸的兒子，一個被上海方言稱為「癟三」的人丑，在中共的權利鬥爭中靠認乾爹、拍馬屁站穩腳跟，踏著「六四」學生和百姓的屍骨爬上中共黨魁的位子。他四處吹拉彈唱，賣國求榮丟盡中國的人...more
",https://www.books.com.tw/products/0010508124?loc=P_0003_019
20,神鬼帝國11(完),玉井雪雄,2009-02-10,"
(完結篇)松平遭到「第6個男人」.拉瑪將奴控制，他告訴阿晴這一切悲劇的開端就是親子關係造成的，原本人類的進化是為了「個體」，如果要完全揮別絕望，就要跟他合作。另一方面，在美國的拉瑪將奴分身催促總...more
",https://www.books.com.tw/products/0010427451?loc=P_0003_020
